GEN | [get_disposable_virtual_card] | Orig: What is the procedure for depositing a virtual card -> Aug: How do I obtain a disposable virtual card and use it for transactions?
GEN | [receiving_money] | Orig: Is it ok for a friend to send me money? -> Aug: Can a friend deposit funds into my account?
GEN | [receiving_money] | Orig: I would like to know how my friend would be able to send me money -> Aug: I'd like to find out how my friend can transfer funds to me.
GEN | [topping_up_by_card] | Orig: What do I need to do to transfer money with my credit card? -> Aug: How can I use my credit card to add funds to my account?
GEN | [top_up_by_bank_transfer_charge] | Orig: If someone sends me money, will I be charged? -> Aug: If I receive a bank transfer from someone, will I be charged a fee?
GEN | [receiving_money] | Orig: What are the steps for my friend to send me money? -> Aug: How can my friend transfer funds to me?
GEN | [balance_not_updated_after_cheque_or_cash_deposit] | Orig: When will my deposit be processed? -> Aug: Why hasn't my account balance been updated after I deposited a cheque or cash?
GEN | [receiving_money] | Orig: How would my friend be able to send me money? -> Aug: How can my friend transfer funds to me?
GEN | [supported_cards_and_currencies] | Orig: I only have one other credit card from the US. Do you accept that? -> Aug: I'm wondering if you support any other credit cards besides the one I'm using, specifically one from the United States.
GEN | [receiving_money] | Orig: Can i get payed through this system? -> Aug: Can I receive payment through this system?
GEN | [supported_cards_and_currencies] | Orig: can i add funds  with a card from the united states -> Aug: Can I deposit funds using a US-issued card?
GEN | [exchange_charge] | Orig: If someone in a different country sends me money, do I have to pay a fee? -> Aug: If I receive a payment from someone in a foreign country, will I be charged a fee?
GEN | [cancel_transfer] | Orig: Help please!  My rent payment is coming out tomorrow and I made a payment mistake yesterday! Can you put in in the correct account? -> Aug: My rent payment is scheduled to be withdrawn tomorrow, but I made an error with the payment yesterday. Could you please correct the transfer to the correct account?
GEN | [pending_top_up] | Orig: how long should i expect to wait when i add money -> Aug: how long will it take for my top-up to be processed?
GEN | [topping_up_by_card] | Orig: How do I go about transferring money using my credit card? -> Aug: What steps do I need to follow to add funds to my account using my credit card?
GEN | [receiving_money] | Orig: Is it possible for a friend to personally send me a payment? -> Aug: Can a friend make a personal payment on my behalf?
GEN | [receiving_money] | Orig: Please show me how my friend can send me money. -> Aug: Can you guide me on how my friend can transfer funds to me?
GEN | [receiving_money] | Orig: Do I need to do anything special for my friend to send money to my account? -> Aug: What steps should my friend take to transfer funds to my account?
GEN | [supported_cards_and_currencies] | Orig: What are the currencies and cards that are supported with my account? -> Aug: What types of payment methods and currencies are accepted with my account?
GEN | [topping_up_by_card] | Orig: Transferring money using credit card -> Aug: Adding funds to your account using your credit card
GEN | [receiving_money] | Orig: Can my friend send me money? -> Aug: Can I receive a payment from my friend?
GEN | [topping_up_by_card] | Orig: I need to transfer some money, can I use my credit card? -> Aug: I'd like to add funds to my account using my credit card.
GEN | [top_up_by_bank_transfer_charge] | Orig: Is there a cost to receive money? -> Aug: Are there any fees associated with receiving a bank transfer to top up my account?
GEN | [topping_up_by_card] | Orig: What steps do I do to transfer money using my credit card? -> Aug: How can I add funds to my account using my credit card?
GEN | [top_up_by_bank_transfer_charge] | Orig: What does it cost to receive a SEPA transfer? -> Aug: What is the charge for receiving a bank transfer via SEPA?
GEN | [verify_source_of_funds] | Orig: Who is giving me my money? -> Aug: Who is the source of the funds being used to make this transaction?
GEN | [balance_not_updated_after_cheque_or_cash_deposit] | Orig: Why isn't my deposit showing up? -> Aug: Why hasn't my account balance been updated after I deposited a cheque or cash?
GEN | [balance_not_updated_after_cheque_or_cash_deposit] | Orig: I need my account checked because it appears there is a problem. I attempted to update my balance yesterday using cheque but it doesn't seem to have worked.  Should this not be faster than this? -> Aug: I'm concerned about an issue with my account. I deposited a cheque yesterday, but my balance hasn't been updated yet. Can you look into this and let me know why it's taking so long?
GEN | [receiving_money] | Orig: How does one send me money? -> Aug: How can I receive funds from someone else?
GEN | [topping_up_by_card] | Orig: Hoe do i use my credit card to transfer money? -> Aug: How can I use my credit card to make a payment or add funds to my account?
GEN | [disposable_card_limits] | Orig: On my disposable card, is there a transaction limit? -> Aug: Can I know the spending limit on my disposable card?
GEN | [topping_up_by_card] | Orig: I want to transfer money with my credit card. -> Aug: I'd like to add funds to my account using my credit card.
GEN | [Refund_not_showing_up] | Orig: how does my statement get updated so i know when a refund will reflect on my balance -> Aug: How do I get notified when a refund will be reflected on my account balance, and how will it be updated on my statement?
GEN | [top_up_by_card_charge] | Orig: Would I be charged any fees if I added money to my account using an international card? -> Aug: Will I incur any charges if I top up my account with an international card?
GEN | [direct_debit_payment_not_recognised] | Orig: I did not set up a direct debit I have -> Aug: We didn't find a direct debit payment arrangement in your account records.
VAL | [get_disposable_virtual_card] | REVIEW | Reason: N/A | Original: What is the procedure for depositing a virtual card | Augmented: How do I obtain a disposable virtual card and use it for transactions?
VAL | [receiving_money] | ACCEPT | Reason: N/A | Original: Is it ok for a friend to send me money? | Augmented: Can a friend deposit funds into my account?
VAL | [receiving_money] | ACCEPT | Reason: N/A | Original: I would like to know how my friend would be able to send me money | Augmented: I'd like to find out how my friend can transfer funds to me.
VAL | [topping_up_by_card] | ACCEPT | Reason: N/A | Original: What do I need to do to transfer money with my credit card? | Augmented: How can I use my credit card to add funds to my account?
VAL | [top_up_by_bank_transfer_charge] | ACCEPT | Reason: N/A | Original: If someone sends me money, will I be charged? | Augmented: If I receive a bank transfer from someone, will I be charged a fee?
VAL | [receiving_money] | ACCEPT | Reason: N/A | Original: What are the steps for my friend to send me money? | Augmented: How can my friend transfer funds to me?
VAL | [balance_not_updated_after_cheque_or_cash_deposit] | ACCEPT | Reason: N/A | Original: When will my deposit be processed? | Augmented: Why hasn't my account balance been updated after I deposited a cheque or cash?
VAL | [receiving_money] | ACCEPT | Reason: ... | Original: How would my friend be able to send me money? | Augmented: How can my friend transfer funds to me?
VAL | [supported_cards_and_currencies] | ACCEPT | Reason: ... | Original: I only have one other credit card from the US. Do you accept that? | Augmented: I'm wondering if you support any other credit cards besides the one I'm using, specifically one from the United States.
VAL | [receiving_money] | ACCEPT | Reason: N/A | Original: Can i get payed through this system? | Augmented: Can I receive payment through this system?
VAL | [supported_cards_and_currencies] | ACCEPT | Reason: N/A | Original: can i add funds  with a card from the united states | Augmented: Can I deposit funds using a US-issued card?
VAL | [exchange_charge] | ACCEPT | Reason: N/A | Original: If someone in a different country sends me money, do I have to pay a fee? | Augmented: If I receive a payment from someone in a foreign country, will I be charged a fee?
VAL | [cancel_transfer] | ACCEPT | Reason: ... | Original: Help please!  My rent payment is coming out tomorrow and I made a payment mistake yesterday! Can you put in in the correct account? | Augmented: My rent payment is scheduled to be withdrawn tomorrow, but I made an error with the payment yesterday. Could you please correct the transfer to the correct account?
VAL | [pending_top_up] | ACCEPT | Reason: ... | Original: how long should i expect to wait when i add money | Augmented: how long will it take for my top-up to be processed?
VAL | [topping_up_by_card] | ACCEPT | Reason: N/A | Original: How do I go about transferring money using my credit card? | Augmented: What steps do I need to follow to add funds to my account using my credit card?
VAL | [receiving_money] | ACCEPT | Reason: N/A | Original: Is it possible for a friend to personally send me a payment? | Augmented: Can a friend make a personal payment on my behalf?
VAL | [receiving_money] | ACCEPT | Reason: ... | Original: Please show me how my friend can send me money. | Augmented: Can you guide me on how my friend can transfer funds to me?
VAL | [receiving_money] | ACCEPT | Reason: N/A | Original: Do I need to do anything special for my friend to send money to my account? | Augmented: What steps should my friend take to transfer funds to my account?
VAL | [supported_cards_and_currencies] | ACCEPT | Reason: N/A | Original: What are the currencies and cards that are supported with my account? | Augmented: What types of payment methods and currencies are accepted with my account?
VAL | [topping_up_by_card] | ACCEPT | Reason: N/A | Original: Transferring money using credit card | Augmented: Adding funds to your account using your credit card
VAL | [receiving_money] | ACCEPT | Reason: N/A | Original: Can my friend send me money? | Augmented: Can I receive a payment from my friend?
VAL | [topping_up_by_card] | ACCEPT | Reason: N/A | Original: I need to transfer some money, can I use my credit card? | Augmented: I'd like to add funds to my account using my credit card.
VAL | [top_up_by_bank_transfer_charge] | UNKNOWN | Reason: N/A | Original: Is there a cost to receive money? | Augmented: Are there any fees associated with receiving a bank transfer to top up my account?
VAL | [topping_up_by_card] | ACCEPT | Reason: N/A | Original: What steps do I do to transfer money using my credit card? | Augmented: How can I add funds to my account using my credit card?
VAL | [top_up_by_bank_transfer_charge] | ACCEPT | Reason: N/A | Original: What does it cost to receive a SEPA transfer? | Augmented: What is the charge for receiving a bank transfer via SEPA?
VAL | [verify_source_of_funds] | ACCEPT | Reason: N/A | Original: Who is giving me my money? | Augmented: Who is the source of the funds being used to make this transaction?
VAL | [balance_not_updated_after_cheque_or_cash_deposit] | ACCEPT | Reason: N/A | Original: Why isn't my deposit showing up? | Augmented: Why hasn't my account balance been updated after I deposited a cheque or cash?
VAL | [balance_not_updated_after_cheque_or_cash_deposit] | ACCEPT | Reason: The augmented text preserves the same banking intent by focusing on the issue of a balance not being updated after a cheque deposit. It does not introduce any contradictory information or unsupported details. | Original: I need my account checked because it appears there is a problem. I attempted to update my balance yesterday using cheque but it doesn't seem to have worked.  Should this not be faster than this? | Augmented: I'm concerned about an issue with my account. I deposited a cheque yesterday, but my balance hasn't been updated yet. Can you look into this and let me know why it's taking so long?
VAL | [receiving_money] | ACCEPT | Reason: N/A | Original: How does one send me money? | Augmented: How can I receive funds from someone else?
VAL | [topping_up_by_card] | ACCEPT | Reason: N/A | Original: Hoe do i use my credit card to transfer money? | Augmented: How can I use my credit card to make a payment or add funds to my account?
