GEN | [request_refund] | Orig: My product was faulty. -> Aug: The item I purchased was defective.
GEN | [verify_my_identity] | Orig: How recent do my documents need to be for verification? -> Aug: What is the age requirement for the documents I need to provide for verification purposes?
GEN | [declined_transfer] | Orig: I'm having problems making a transfer to another account. I keep getting a declined message. I know that the information I'm putting in is accurate because I have checked it more than once. -> Aug: I'm experiencing an issue with a transfer to another account, and I keep receiving a decline notification. Despite verifying the information multiple times, I'm still getting the same error message.
GEN | [disposable_card_limits] | Orig: How many payments can I make using a virtual card? -> Aug: What is the maximum number of transactions I can make with a disposable card?
GEN | [automatic_top_up] | Orig: Can I add money in intervals to my account?  I will be traveling. -> Aug: Can I set up recurring deposits to my account, so I can maintain a steady balance while I'm away on my trip?
GEN | [exchange_rate] | Orig: How do I know how much money I will have when I travel abroad? -> Aug: What's the best way to determine the value of my money when I'm planning a trip overseas?
GEN | [pin_blocked] | Orig: How do I unblock my card? -> Aug: What steps can I take to reactivate my blocked card?
GEN | [disposable_card_limits] | Orig: Are there any limits if I use these virtual cards? -> Aug: What are the restrictions on disposable card usage?
GEN | [pin_blocked] | Orig: My card got blocked, how do I reset? -> Aug: My PIN has been blocked, what's the process to unblock it?
GEN | [wrong_exchange_rate_for_cash_withdrawal] | Orig: Why did you give me so little currency? -> Aug: Why was the exchange rate used for my cash withdrawal so inaccurate?
GEN | [Refund_not_showing_up] | Orig: Please send my refund now. -> Aug: Please dispatch my refund immediately.
GEN | [balance_not_updated_after_cheque_or_cash_deposit] | Orig: where is my money from this morning -> Aug: why hasn't my account balance been updated after the deposit I made this morning?
GEN | [request_refund] | Orig: Canceling my order is what I need to do right now. -> Aug: I'd like to terminate my recent purchase and initiate a refund process.
GEN | [card_payment_not_recognised] | Orig: I didn't make a payment at this business. -> Aug: We didn't process a payment at this merchant.
GEN | [declined_transfer] | Orig: Why do you keep declining my transfers? it's always been working really well so far but when I tried to buy something just now the card got declined . I tried couple of times already  but same thing is happening . -> Aug: I'm confused, I've always been able to make transfers without any issues, but when I tried to make a recent purchase, my card was declined. I've tried a few times, but the result is the same - my transfer is being declined.
GEN | [failed_transfer] | Orig: I think youre system may be broken because I have tried transfer money 5x and it isnt working!  I'm not doing anything complicated it is what I usually do. -> Aug: I'm having trouble transferring funds as it seems to be malfunctioning. I've attempted to make the transfer multiple times, but it's not going through. I'm not doing anything out of the ordinary, just my usual routine.
GEN | [lost_or_stolen_phone] | Orig: I was recently mugged and would like to know if I have to have access to the app to use your services and how I would go about setting up your services on a new device belonging to a current user? -> Aug: I had my phone stolen and I'm wondering if I need to access the app to use your services and how I can set up your services on a new device that's already linked to my account.
GEN | [reverted_card_payment?] | Orig: My card payments have stopped. -> Aug: My card payments have ceased.
GEN | [transaction_charged_twice] | Orig: There is a transaction showing up several times. -> Aug: A duplicate transaction appears on my account.
GEN | [reverted_card_payment?] | Orig: I was just contacted by a seller that let me know they didn't get my money even though I'm very sure it was removed from my account. Now it's back in my account. Get this resolved quickly. -> Aug: I'm concerned about a payment I made that was initially deducted from my account, but then reversed. The seller has informed me that they didn't receive the payment. Can you look into this and resolve the issue as soon as possible?
GEN | [card_not_working] | Orig: Why won't the machine accept my card anymore? -> Aug: The card is not functioning properly and won't be recognized by the payment terminal.
GEN | [card_about_to_expire] | Orig: Can I keep using my card after it expires? -> Aug: Can I continue to use my credit card after its expiration date?
GEN | [transfer_fee_charged] | Orig: Does it cost anything to buy something from another country? Like is there going to be hidden transfer fees or currency conversion fees? -> Aug: Are there any additional charges, such as transfer fees or currency conversion fees, when making a purchase from another country?
GEN | [card_payment_fee_charged] | Orig: Where can I find out the fee structure for my account? I have been charged fees for some transactions, but not for other ones. I can't find a pattern in these fees. -> Aug: I'm trying to understand the fee policy for my account. I've noticed that I've been charged fees for certain transactions, but not for others, and I'm having trouble identifying a pattern. Can you help me understand the fee structure?
GEN | [pending_card_payment] | Orig: I don't know what pending transaction means. -> Aug: I'm not sure what's meant by the outstanding payment.
GEN | [Refund_not_showing_up] | Orig: I requested a refund from Next because the dress I purchased had three arm holes. They said they sent the refund last Wednesday which is nearly a week ago and I still don't have it.  Why not? -> Aug: I'm still waiting for the refund from Next, which they claimed to have processed last Wednesday, but it's been almost a week and I haven't received it yet. Can you help me figure out what's going on?
GEN | [card_about_to_expire] | Orig: My card is about to expired what will happen? -> Aug: My credit card is nearing its expiration date, what will happen if it expires?
GEN | [request_refund] | Orig: Is there a way you can have money from a purchase I made refunded to my account. -> Aug: Can you assist me in getting a refund for a recent purchase credited back to my account?
GEN | [Refund_not_showing_up] | Orig: Card refund is not showing up in my statement. -> Aug: The refund for my card is missing from my latest statement.
GEN | [declined_transfer] | Orig: How do I contact customer support about my declined transfer? -> Aug: I'd like to know how to reach out to your customer support team regarding the transfer that was declined.
GEN | [supported_cards_and_currencies] | Orig: What card or currency can I use to pay? -> Aug: What payment methods or currencies are accepted for transactions?
GEN | [pending_transfer] | Orig: I have a pending transaction -> Aug: A transfer is currently in the process of being processed
GEN | [verify_source_of_funds] | Orig: where exactly does money come from -> Aug: what is the origin of the funds
