GEN | [verify_top_up] | Orig: Where's my top up code? -> Aug: Can you please provide me with my top-up code?
GEN | [cancel_transfer] | Orig: Is it possible for a transaction to be cancelled? -> Aug: Can I cancel a transfer that has already been initiated?
GEN | [transfer_fee_charged] | Orig: A transfer I sent was received in less than the full amount I originally sent, and now I have to send additional funds to cover the full amount. What happened? -> Aug: A transfer I initiated was short by a certain amount, and I need to send more funds to complete the transaction. What's the reason for the discrepancy?
GEN | [disposable_card_limits] | Orig: What are the restrictions on the virtual cards? -> Aug: What are the spending limits on my disposable virtual cards?
GEN | [card_swallowed] | Orig: A Bank ATM did not give my card back. What do I do now? -> Aug: A Bank ATM swallowed my card. What do I do now?
GEN | [top_up_reverted] | Orig: I'm having an issue with transaction. I topped up my account and saw it went through, but that was a few days ago and the money isn't in my account any more. What's up with that? -> Aug: I'm experiencing a problem with a recent transaction. I successfully topped up my account, but the funds were reversed, and I'm left with an empty account. Can you help me understand what happened?
GEN | [pin_blocked] | Orig: My PIN tries have run out. Now what? -> Aug: I've exceeded my PIN attempts. What's the next step?
GEN | [pin_blocked] | Orig: I logged in wrong and am blocked, how do I log in? -> Aug: I'm having trouble logging in because I entered my PIN incorrectly and it's been blocked, can you help me resolve this issue?
GEN | [automatic_top_up] | Orig: Can I schedule future top ups? -> Aug: Can I set up recurring automatic top-ups?
GEN | [balance_not_updated_after_bank_transfer] | Orig: The balance has not been updated. -> Aug: The account balance has not been reflected after the recent bank transfer.
GEN | [balance_not_updated_after_bank_transfer] | Orig: how do i see what i transferred -> Aug: why isn't my account balance updated after I made a recent bank transfer?
GEN | [get_disposable_virtual_card] | Orig: I have heard about these disposable virtual cards but don't understand how they work. -> Aug: I'm interested in learning more about the process of obtaining a disposable virtual card.
GEN | [card_acceptance] | Orig: Are there businesses that don't accept this card? -> Aug: Can you tell me if there are any merchants that don't accept this particular card?
GEN | [automatic_top_up] | Orig: I know there's an auto-top option but I can not locate it when I look? -> Aug: I'm having trouble finding the automatic top-up feature, can you help me locate it?
GEN | [direct_debit_payment_not_recognised] | Orig: Why is there a direct debit set up in my name? -> Aug: We've received a direct debit payment instruction, but it doesn't seem to be linked to your account. Can you please confirm if you've set up a direct debit with us recently?
GEN | [get_physical_card] | Orig: Is my PIN sent separably? -> Aug: Can I obtain my physical credit card?
GEN | [transfer_fee_charged] | Orig: Hi,  I have transferred money but beneficiary's account is credited with less amount. Now i have transfer the difference of the amount. I think there is some issue, could you please look into this. -> Aug: Hi, I've made a transfer, but the beneficiary's account was credited with a lower amount. I've since re-transferred the remaining difference. I believe there's an issue, could you please investigate this?
GEN | [supported_cards_and_currencies] | Orig: I want to add funds to my account. What payment methods are accepted? -> Aug: We accept a wide range of payment methods, including Visa, Mastercard, American Express, Discover, and Diners Club credit cards, as well as wire transfers in USD, EUR, JPY, and GBP.
GEN | [activate_my_card] | Orig: I couldn't complete card activation. -> Aug: I'm having trouble activating my card.
GEN | [virtual_card_not_working] | Orig: My disposable virtual card got rejected -> Aug: My temporary virtual card was declined
GEN | [balance_not_updated_after_bank_transfer] | Orig: Where is the transfer that I did? -> Aug: I'm still waiting to see the transfer I initiated.
GEN | [card_delivery_estimate] | Orig: are you sending me my card? -> Aug: Can you provide an estimated delivery date for my new card?
GEN | [fiat_currency_support] | Orig: Do you deal with EUR? -> Aug: Do you support the Euro (EUR) as a fiat currency?
GEN | [verify_source_of_funds] | Orig: where exactly does money come from -> Aug: Can you please confirm the origin of the funds used for this transaction?
GEN | [wrong_amount_of_cash_received] | Orig: my atm transaction was wrong -> Aug: The amount I received from the ATM was incorrect
GEN | [top_up_reverted] | Orig: Do you support top ups? -> Aug: Can you perform a top-up reversal or reversal of a top-up transaction?
GEN | [exchange_via_app] | Orig: Can you  tell me how to get AUD not GBP? -> Aug: Can you guide me on how to exchange currency from AUD to GBP using the app?
GEN | [disposable_card_limits] | Orig: Are there limits on the virtual cards? -> Aug: What are the spending limits for my disposable virtual card?
GEN | [receiving_money] | Orig: My salary is in GBP, do I need to exchange it before putting it into my account? -> Aug: Can I deposit my GBP salary directly into my account, or do I need to convert it to a different currency first?
GEN | [pending_top_up] | Orig: It's been some time since refilled the top-up. -> Aug: The top-up refill has been pending for a while now.
GEN | [card_payment_wrong_exchange_rate] | Orig: It seems that the rate I got is incorrect. -> Aug: The exchange rate applied to my card payment appears to be incorrect.
GEN | [direct_debit_payment_not_recognised] | Orig: This debit is not my transcation. How do I get my money out back? -> Aug: This direct debit payment is not recognized. Can you help me retrieve my funds?
