GEN | [passcode_forgotten] | Orig: I can't log in -> Aug: I've forgotten my passcode
GEN | [card_arrival] | Orig: What's go on, where is my new card? -> Aug: What's taking so long? When can I expect my new card to arrive?
GEN | [transaction_charged_twice] | Orig: Looks like my card payment was duplicated after all. I went to pay at the store earlier, got declined once,second time it works. App still stays pending for one of the payments. Can you remove one of them as it's wrong and clearly was declined? -> Aug: It appears that I was charged twice for the same transaction. I attempted to make a payment at a store earlier, but it was declined initially. The second attempt was successful, but the app still shows one of the payments as pending. Can you please cancel the duplicate charge, as it was clearly declined and not processed successfully?
GEN | [beneficiary_not_allowed] | Orig: Why is allowance not being given to my beneficiary? -> Aug: Why is the allowance not being disbursed to the beneficiary, as they are not authorized to receive it?
GEN | [country_support] | Orig: I just moved to the US how do I get a card? -> Aug: I recently relocated to the United States and would like to apply for a credit card. Can you guide me through the process?
GEN | [apple_pay_or_google_pay] | Orig: Can I deposit money using Apple Pay? -> Aug: Can I make a payment using Google Pay instead?
GEN | [why_verify_identity] | Orig: I don't want to use this method to identify myself. -> Aug: I'm not comfortable providing this information to verify my identity.
GEN | [verify_my_identity] | Orig: What form of identification is accepted? -> Aug: What types of identification documents can I provide to verify my identity?
GEN | [card_not_working] | Orig: How do I re-order a damaged card? -> Aug: I'm having trouble using my card, can I request a replacement?
GEN | [verify_my_identity] | Orig: How and where can I find the identity checks? -> Aug: Where can I locate the identity verification process?
GEN | [declined_card_payment] | Orig: My card couldn't pay in a shop. -> Aug: Your payment was declined due to an issue with your card.
GEN | [contactless_not_working] | Orig: My contactless stopped working today no matter where I try to use it. How do I get it to start working again? -> Aug: My contactless payment feature is not functioning today, regardless of the location I'm in. Can you help me resolve the issue and get it working again?
GEN | [card_about_to_expire] | Orig: Am I able to have a card sent to China? -> Aug: Can I arrange for a card to be delivered to China before it expires?
GEN | [card_arrival] | Orig: I want to find out what happened to my new card? -> Aug: I'm trying to track the status of my recently issued card.
GEN | [transfer_not_received_by_recipient] | Orig: How long does it take for transfers to be approved?  I sent funds to my girlfriend, and she says that she has not seen any approved funds in her account. -> Aug: I'm concerned about a transfer I initiated to my partner, but they haven't received the funds yet. Can you please help me understand the processing time for approved transfers?
GEN | [supported_cards_and_currencies] | Orig: What cards do you support -> Aug: We accept a wide range of cards, including Visa, Mastercard, American Express, Discover, and Diners Club, as well as various digital wallets and cryptocurrencies like Bitcoin, Ethereum, and Litecoin.
GEN | [transaction_charged_twice] | Orig: My card was declined but it shows as multiple charges? -> Aug: I've noticed that I've been charged twice for the same transaction, but my card was declined.
GEN | [declined_card_payment] | Orig: Please help me in this, as i was unable to make any payment by my new card,  it was getting declined repeatedly. I am not very happy with this incident. -> Aug: I'm sorry to hear that your recent payment attempt with your new card was declined. Can you please provide more details about the issue, such as the exact error message or the date and time of the declined transaction? This will help me assist you in resolving the issue and getting your payment processed successfully.
GEN | [transfer_not_received_by_recipient] | Orig: I've checked multiple times to make sure the account number listed is the right one after attempting to make a transfer within the country the day before yesterday. The transfer is still not available so can you please find out what is going on? -> Aug: I've double-checked the account number to ensure it's correct, but the transfer I initiated within the country yesterday still hasn't been received by the recipient. Can you investigate what's causing the delay?
GEN | [direct_debit_payment_not_recognised] | Orig: I haven't used my card all day but there is a payment showing in the app. Please cancel it! -> Aug: I'm showing a payment in the app that I didn't initiate, can you help me stop it?
GEN | [passcode_forgotten] | Orig: I'm locked out of my account as I can't remember my code, what do I do now? -> Aug: I've forgotten my passcode and can't access my account, what are my options?
GEN | [visa_or_mastercard] | Orig: Do I have to pick a creditcard brand? -> Aug: Must I choose between Visa or Mastercard?
GEN | [request_refund] | Orig: I just bought an item and would like to stop payment can you tell me if the item has been sent yet? -> Aug: I recently purchased an item and would like to initiate a refund, could you please let me know if the item has been dispatched yet?
GEN | [top_up_failed] | Orig: I've been trying to transfer funds to top-up my card, but the transaction is not going through.  Is there something I'm doing wrong? -> Aug: I attempted to add funds to my card by making a transfer, but the transaction was unsuccessful. Can you help me identify the issue?
GEN | [transfer_fee_charged] | Orig: I have used this account overseas recently. Has there been an increase in fees that I am unaware of? -> Aug: I've been making international transactions and I'm concerned about any potential fee changes I might have missed.
GEN | [transfer_into_account] | Orig: I need more money in my account. Can I add more by transferring? -> Aug: I'd like to move some funds into my account. Can I initiate a transfer to increase my balance?
