GEN | [receiving_money] | Orig: How can I receive money? -> Aug: What are the steps to receive a payment?
GEN | [pending_transfer] | Orig: How long would does it take for a seller to receive an EU transfer if I bought something from them and sent them the money immediately? -> Aug: How long does it typically take for a seller to receive a pending transfer from an EU account after I initiate the payment immediately?
GEN | [transfer_fee_charged] | Orig: A receiver made me aware that they did not receive the full transfer that I made. The amount was showing to be a bit less. I now have to make a second transfer just to make up the difference. Can you reach out and let me know what's going on? -> Aug: A sender informed me that the recipient didn't receive the full transfer amount, and I need to make an additional transfer to cover the remaining balance. Can you investigate this discrepancy and let me know what's happening?
GEN | [compromised_card] | Orig: How can I tell if someone else is using my card? -> Aug: How can I identify if someone else is using my compromised card?
GEN | [transfer_not_received_by_recipient] | Orig: How long do I have  to wait for my transaction to be completed? -> Aug: Why hasn't my transfer been received by the recipient yet? Can you provide an update on the status of my transaction?
GEN | [declined_cash_withdrawal] | Orig: I tried to withdraw some funds from my card, but was declined. How can I get my money? -> Aug: I attempted to make a cash withdrawal using my card, but it was declined. Can I find out why and get my funds released?
GEN | [exchange_charge] | Orig: is there a frequent currency discount? -> Aug: Are there any regular exchange rate promotions or discounts available for frequent currency exchanges?
GEN | [transaction_charged_twice] | Orig: I think I was charged double for something I bought - how long should I wait before reporting this? -> Aug: I'm concerned that I've been mistakenly charged twice for a recent purchase - what's the recommended timeframe for bringing this to your attention?
GEN | [cancel_transfer] | Orig: I have a transaction and would like to know if I it's cancelable? -> Aug: I'd like to inquire about the possibility of canceling a specific transaction.
GEN | [getting_virtual_card] | Orig: how many virtual cards can i have, i want 8 -> Aug: Can I have multiple virtual cards? I'd like to request 8.
GEN | [atm_support] | Orig: Where can I withdraw money from? -> Aug: What are the nearest locations where I can withdraw cash?
GEN | [atm_support] | Orig: 
Where can I withdraw money from? -> Aug: What are the nearest locations where I can withdraw cash?
GEN | [balance_not_updated_after_cheque_or_cash_deposit] | Orig: After trying to update my account balance yesterday by cheque it doesn't seem to working. Shouldn't the process be quicker? I need my account looked at because there appears to be a problem. -> Aug: I made a cash deposit at the bank yesterday, but my account balance still hasn't been updated. Can you please investigate this issue and let me know what's going on?
GEN | [supported_cards_and_currencies] | Orig: Can you accept my other card from the U.S.?  It is the only other one I have. -> Aug: Can you accept my other credit card from the United States? It is the only other one I have.
GEN | [transfer_timing] | Orig: How long do I have to wait for a US transfer? -> Aug: What is the estimated timeframe for a US transfer to be processed?
GEN | [balance_not_updated_after_cheque_or_cash_deposit] | Orig: Where is my cash deposit in my balance? -> Aug: I made a cash deposit yesterday, but my account balance hasn't been updated yet.
GEN | [cancel_transfer] | Orig: Please can you block the transaction I just sent from my account? It was a payment but I accidently typed in the wrong details and think it might have gone to the wrong place. -> Aug: I'd like to cancel the transfer I just initiated, as I accidentally entered incorrect details and fear it may have been sent to the wrong recipient.
GEN | [cash_withdrawal_not_recognised] | Orig: My app says I withdraw funds from my account through an ATM. -> Aug: The app shows that I made a cash withdrawal from my account at an ATM.
GEN | [top_up_by_cash_or_cheque] | Orig: What types of top-up methods do you accept? -> Aug: You can top up your account using either cash or cheque.
GEN | [top_up_failed] | Orig: How can correct Top up with the app to work correctly? -> Aug: Why is the top-up process failing when I try to use the app?
GEN | [cancel_transfer] | Orig: I am trying to revert a transcation I did this morning -> Aug: I would like to cancel the transfer I initiated earlier today
GEN | [verify_source_of_funds] | Orig: Can I see where my money is being transferred from? -> Aug: Can you confirm the source of the funds being used for this transaction?
GEN | [pending_transfer] | Orig: Transfers may show up as pending for up to one day while they are processed by one of our payment processors. Then, they will depart for the beneficiary accounts. Please also double-check that you have entered the correct account details. SEPA transfers can take up to two business days, and SWIFT transfers can take up to five business days. -> Aug: Transfers may appear as pending for up to a day as they are processed by our payment processors. After that, they will be sent to the recipient's accounts. Additionally, ensure you've entered the correct account information. SEPA transfers typically take up to two business days, while SWIFT transfers may take up to five business days.
GEN | [top_up_limits] | Orig: How many top-ups can I use? -> Aug: How many limit increases can I perform?
GEN | [card_acceptance] | Orig: Do all businesses take this card? -> Aug: Can all merchants accept this card?
GEN | [transfer_fee_charged] | Orig: I made a transfer and the receiver said an amount was received, but not exactly the same as the right amount. I now have to transfer more to get the remainder to the receiver. Can you alert me about this. What's been happening? -> Aug: I initiated a transfer, but the recipient reported receiving a different amount than the intended amount. Now, I need to make an additional transfer to cover the remaining balance. Can you investigate this discrepancy and notify me about the issue?
GEN | [top_up_by_bank_transfer_charge] | Orig: Are you aware of any charges for receiving money? -> Aug: Are you aware of any bank transfer fees for topping up your account?
