GEN | [lost_or_stolen_phone] | Orig: I have lost my phone or it has been stolen. -> Aug: I've misplaced my phone, or it's been stolen.
GEN | [lost_or_stolen_phone] | Orig: hello I have lost my phone and I'm worried someone's going to steal money from me -> Aug: I've misplaced my phone and I'm concerned that someone might access my account and steal my money.
GEN | [card_arrival] | Orig: can you share card tracking number? -> Aug: can you provide the tracking number for my card arrival?
GEN | [lost_or_stolen_phone] | Orig: My phone has been lost or stolen -> Aug: I've misplaced or had my phone stolen
GEN | [lost_or_stolen_phone] | Orig: Can my account me accessed by a thief?  I was mugged. -> Aug: Can my account be accessed by a thief? I had my phone stolen.
GEN | [lost_or_stolen_card] | Orig: I lost my wallet and all my cards were in it. -> Aug: I misplaced my wallet and all my credit cards were inside.
GEN | [lost_or_stolen_phone] | Orig: I got mugged yesterday and they took everything. I can't use the app, so I need some help. -> Aug: I had my phone stolen during a mugging yesterday and I'm unable to access the app. Can you assist me?
GEN | [lost_or_stolen_phone] | Orig: I can't use the app because I got mugged yesterday and they took everything. I need some help. -> Aug: I'm having trouble accessing my account because my phone was stolen during a mugging incident yesterday and I'm in need of assistance.
GEN | [lost_or_stolen_phone] | Orig: I was mugged.  They took everything.  I can't use the app.  What do I do? -> Aug: I had my phone stolen during a robbery. The thief took my device and I'm unable to access the app. Can you help me with this issue?
GEN | [card_arrival] | Orig: I would like to track the card you sent to me. -> Aug: I'd like to confirm the status of the card that was mailed to me.
GEN | [lost_or_stolen_phone] | Orig: Help me.  My phone has been lost or stolen! -> Aug: My phone has gone missing and I'm worried it might have been stolen!
GEN | [lost_or_stolen_phone] | Orig: I can't use the app because I got mugged yesterday and they took everything. Please help. -> Aug: I'm having trouble accessing my account because my phone was stolen during a robbery yesterday. Can you assist me?
GEN | [lost_or_stolen_card] | Orig: Hi, I am on vacation in Spain and someone stole my bag with my phone and wallet with cards and everything. Can you block it ASAP and then I want to order a new one also ASAP. -> Aug: Hi, I'm currently in Spain on vacation and my bag was stolen, which contained my phone, wallet, and cards. Can you please block my card immediately and arrange for a replacement as soon as possible?
