GEN | [pending_top_up] | Orig: When will my top up be approved? -> Aug: When will my pending top-up be processed?
GEN | [transfer_fee_charged] | Orig: I usually don't get charged for transfers, why was I this month? -> Aug: I'm surprised to see a transfer fee on my statement this month, can you explain why I was charged?
GEN | [failed_transfer] | Orig: I've tried completing a very standard transfer and have already attempted it 5 times. What's going on here? Is there a problem with your system? -> Aug: I've made multiple attempts to initiate a routine transfer, but it keeps failing. Is there an issue with your platform?
GEN | [unable_to_verify_identity] | Orig: The app does not know it is me. -> Aug: We're having trouble confirming your identity through our system.
GEN | [pending_top_up] | Orig: I already paid to top-up but the funds aren't available yet, where are they? -> Aug: I made a payment to top-up my account, but the funds are still pending, can you help me track the status?
GEN | [top_up_by_bank_transfer_charge] | Orig: Will there be a charge when money is added to my account? -> Aug: Is there a fee associated with topping up my account balance via bank transfer?
GEN | [top_up_failed] | Orig: I have the funds, why can I not use my top-up? -> Aug: I'm having trouble using my top-up, despite having sufficient funds in my account.
GEN | [lost_or_stolen_phone] | Orig: I cannot get to my app, what should I do? -> Aug: I've misplaced my phone and can't access my app, what can I do?
GEN | [request_refund] | Orig: Canceling my order is what I need to do right now. -> Aug: I'd like to initiate a cancellation and request a refund for my recent purchase.
GEN | [top_up_failed] | Orig: Fix my top up -> Aug: Resolve the failed top-up issue
GEN | [balance_not_updated_after_cheque_or_cash_deposit] | Orig: Please, tell me why I can't have the funds I deposited a week ago? I need the money now. -> Aug: I made a deposit last week, but my account balance hasn't been updated. Can you please explain why I'm still waiting for the funds to reflect in my account?
GEN | [top_up_failed] | Orig: I really need to top-up my card today urgently but my card keeps getting declined!! Can you please resolve this problem or let me know if you have any alternatives -> Aug: I'm in a rush to top up my card, but it's been declined repeatedly. Can you help me resolve this issue or suggest an alternative solution?
GEN | [failed_transfer] | Orig: Is there a problem with your system being down or something? I have already tried 5 times to issue a standard transfer but I'm getting nowhere. -> Aug: We've experienced some technical issues, and it seems that our system is having trouble processing your transfer request. I've tried initiating the transfer five times, but it keeps failing. Can you please help me troubleshoot the issue?
GEN | [card_about_to_expire] | Orig: What is the cost and time frame of getting a new card? -> Aug: How much does it cost and how long does it take to obtain a replacement card when my current one is about to expire?
GEN | [cash_withdrawal_charge] | Orig: How much can I withdrawal in one month without incurring fees? -> Aug: What is the maximum amount I can withdraw in a month without being charged a cash withdrawal fee?
GEN | [unable_to_verify_identity] | Orig: The app doesn't think it's me. -> Aug: We're having trouble confirming your identity through our system.
GEN | [activate_my_card] | Orig: I would like to get help from someone in your customer service department with assisting me with activating my card. -> Aug: I need assistance from your customer service team to activate my credit/debit card.
GEN | [transfer_fee_charged] | Orig: I transferred 7,000 to a receiver outside the EU and they received a lesser amount than what I sent, Unfortunately, now I must send an additional transfer to the receiver so that they can receive the full amount I initially sent.  I'm not sure why they received a lesser amount than what I initially sen, but can you please look into this and let me know what happened? -> Aug: I made an international transfer of 7,000 to a recipient outside the EU, but they only received a smaller amount than what I sent. To rectify this, I need to initiate another transfer to ensure they receive the full amount I originally sent. Could you investigate this discrepancy and provide insight into what might have caused the issue?
GEN | [balance_not_updated_after_cheque_or_cash_deposit] | Orig: Dude I put money in the ATM last week but it ain't there! I need the money now figure this out! -> Aug: I made a cash deposit at the ATM last week, but my account balance still shows the old amount. Can you please update it ASAP?
GEN | [apple_pay_or_google_pay] | Orig: Can I use my Apple Watch to pay for gas? -> Aug: Can I use my Apple Watch to make a payment, or do I need to use Google Pay instead?
GEN | [card_payment_wrong_exchange_rate] | Orig: Please check my payment from last Saturday as I feel I have been overcharged on the exchange rate.  Thank you. -> Aug: I'd like to review my payment from last weekend, as I believe I was incorrectly charged a higher exchange rate. Could you look into this for me, please?
GEN | [pending_top_up] | Orig: My top is still pending. -> Aug: My top-up request is still pending.
GEN | [transfer_fee_charged] | Orig: I think I have an extra transfer charge. -> Aug: I'm concerned about the additional transfer fee.
GEN | [declined_transfer] | Orig: I'm having problems making a transfer to another account. I keep getting a declined message. I know that the information I'm putting in is accurate because I have checked it more than once. -> Aug: I'm experiencing an issue with a transfer to another account, as the transaction is being declined. Despite verifying the information multiple times, I'm still receiving an error message.
GEN | [transfer_fee_charged] | Orig: who charged my card -> Aug: who is responsible for charging the transfer fee on my card
GEN | [top_up_reverted] | Orig: For some reason, the money I added was returned. -> Aug: The funds I deposited were unexpectedly reversed.
GEN | [transfer_fee_charged] | Orig: I have a fee listed for a transfer. -> Aug: I'm showing a charge for the transfer transaction.
GEN | [extra_charge_on_statement] | Orig: I had a dollar charged to my account that's still pending and wanted to know what the charge is for? -> Aug: I recently noticed an additional charge on my statement and I'd like to know what it's for?
GEN | [cash_withdrawal_charge] | Orig: I was charged for getting cash. -> Aug: I was unexpectedly charged a fee for withdrawing cash.
GEN | [card_payment_not_recognised] | Orig: I've never been to that store.  That's a fraudulent charge. -> Aug: I'm not familiar with that merchant. This transaction appears to be unauthorized.
GEN | [pending_top_up] | Orig: How long do top-ups take to go through -> Aug: When can I expect my pending top-up to be processed?
GEN | [card_arrival] | Orig: Is there a way I can get my card expedited? -> Aug: Can I request express shipping for my card delivery?
GEN | [cash_withdrawal_charge] | Orig: Could you explain your rules for ATM fees? -> Aug: What are the charges for withdrawing cash from an ATM using my debit card?
GEN | [declined_cash_withdrawal] | Orig: My ATM transaction was cancelled. -> Aug: Your recent cash withdrawal attempt was declined.
GEN | [apple_pay_or_google_pay] | Orig: Can you explain why my Google Pay Top isn't working? -> Aug: Can you explain why my Apple Pay or Google Pay isn't working?
GEN | [card_payment_not_recognised] | Orig: This card payment isn't is recognition. -> Aug: This card payment is not recognized.
GEN | [wrong_exchange_rate_for_cash_withdrawal] | Orig: I'm upset because I got charged a ridiculous fee when making an ATM withdrawal over a holiday weekend.  It didn't notify me beforehand either or I wouldn't have ever done it. -> Aug: I'm frustrated because I was surprised to be charged an unexpected fee when I withdrew cash from an ATM on a public holiday, and I wasn't informed about the fee beforehand, which would have prevented me from making the withdrawal.
GEN | [activate_my_card] | Orig: What do I need to do in order to use my card I just got? -> Aug: How can I activate my new card so I can start using it?
GEN | [extra_charge_on_statement] | Orig: I still have not received an answer as to why I was charged $1.00 in a transaction? -> Aug: I'm still waiting for an explanation about the additional fee that appeared on my statement.
GEN | [extra_charge_on_statement] | Orig: How long will the $1 charge show as pending? -> Aug: How long will the additional charge appear as pending on my statement?
