GEN | [pending_top_up] | Orig: When will my top up be approved? -> Aug: When will my pending top-up be processed?
GEN | [unable_to_verify_identity] | Orig: How long will it take to verify my account? -> Aug: We're having trouble confirming your identity, and we need a bit more time to complete the verification process.
GEN | [why_verify_identity] | Orig: Do you think you're asking for too much information about me? -> Aug: Are you feeling overwhelmed by the amount of personal details we're asking you to provide?
GEN | [exchange_via_app] | Orig: I may no longer need GBP, but instead I will need AUD, how can I go about making this change? -> Aug: I'd like to modify my currency exchange, as I no longer require GBP and instead need AUD. Can you guide me on the process for making this change?
GEN | [extra_charge_on_statement] | Orig: I still have not received an answer as to why I was charged $1.00 in a transaction? -> Aug: I'm still waiting for an explanation about the additional fee that appeared on my statement.
GEN | [direct_debit_payment_not_recognised] | Orig: I have an unknown charge. -> Aug: We've detected an unfamiliar payment.
GEN | [extra_charge_on_statement] | Orig: Why is it showing that my account has been charged a dollar that is showing as pending? -> Aug: We noticed that there's an additional charge listed on your statement that's still pending, and we'd like to clarify why it was applied to your account.
GEN | [why_verify_identity] | Orig: Why do you need so much information about me -> Aug: We're asking for this information to ensure we're verifying your identity accurately
GEN | [order_physical_card] | Orig: Where do you deliver cards to? -> Aug: How do you handle physical card delivery?
GEN | [order_physical_card] | Orig: What are the places that you deliver cards to? -> Aug: Where do you typically deliver physical cards to customers?
GEN | [direct_debit_payment_not_recognised] | Orig: I know this very late, but I just went through my statements from the last couple months and there's one quite large-ish payment that I definitely haven't made. Is it still possible to dispute it? -> Aug: I've reviewed my recent statements and noticed a significant payment that I'm certain I didn't make. Can I still contest it?
GEN | [terminate_account] | Orig: I no longer want this account, what should I do? -> Aug: I'd like to cancel my account, please.
GEN | [getting_spare_card] | Orig: What steps do I need to get another card? -> Aug: How can I obtain a replacement card?
GEN | [top_up_failed] | Orig: I did a bank transfer to top up, but the money is not available. -> Aug: I attempted to make a transfer to add funds, but the funds are still unavailable.
GEN | [unable_to_verify_identity] | Orig: I dont have identification -> Aug: We're having trouble confirming your identity.
GEN | [top_up_limits] | Orig: Is there a top-up limit that I have to stay under during a given period of time? -> Aug: Is there a maximum amount I'm allowed to top up within a specific timeframe?
GEN | [card_payment_wrong_exchange_rate] | Orig: Can you change the rate for the item I bought in a different currency as it is wrong? -> Aug: The exchange rate used for the transaction is incorrect, can you adjust it to reflect the correct rate for the foreign currency?
GEN | [receiving_money] | Orig: I received a transfer in GBP how do I change it to a different currency? -> Aug: I was sent a payment in British Pounds, can I convert it to a different currency?
GEN | [Refund_not_showing_up] | Orig: My refund isn't going fast enough. -> Aug: My refund is taking too long to process.
GEN | [country_support] | Orig: Can I use this all over the world? -> Aug: Can I access this service globally or internationally?
GEN | [card_swallowed] | Orig: I need a new card because the ATM took mine. -> Aug: I require a replacement card because I accidentally swallowed my original one.
GEN | [country_support] | Orig: Can I get a card that works in other countries like Africa and Indonesia? -> Aug: Can I obtain a card that is widely accepted in various countries, including those in Africa and Indonesia?
GEN | [getting_spare_card] | Orig: If I need more than cards will I have to pay a fee to receive them? -> Aug: If I require additional cards, will I be charged a fee for obtaining them?
GEN | [card_about_to_expire] | Orig: What is the cost and time frame of getting a new card? -> Aug: What is the process and timeline for replacing an expiring card?
GEN | [pin_blocked] | Orig: While I was drunk, I goofed my PIN number and your machine ate my card. How can I get it back? -> Aug: I made a mistake while entering my PIN and your ATM swallowed my card. Can I retrieve it?
GEN | [beneficiary_not_allowed] | Orig: My account transfer was blocked. -> Aug: The transfer to my account was halted due to the beneficiary not being allowed.
GEN | [direct_debit_payment_not_recognised] | Orig: Hi, i found a large amount payment in my old statements which i am sure was not made by me. I am aware that the time has passed but is there a way to raise a dispute for this payment now? -> Aug: I've noticed an unexpected direct debit payment in my historical statements, which I'm certain wasn't authorized by me. Although the time has passed, is there a way to dispute this payment now?
GEN | [card_payment_wrong_exchange_rate] | Orig: My card payment had the wrong exchange rate -> Aug: The exchange rate used for my card payment was incorrect
GEN | [fiat_currency_support] | Orig: Is my country's currency supported by your system? -> Aug: Does your bank support transactions in my local currency?
GEN | [topping_up_by_card] | Orig: Can a credit card be used to transfer money? -> Aug: Can I use my credit card to add funds to my account?
GEN | [card_payment_wrong_exchange_rate] | Orig: I think the rate that was applied to my purchase using foreign currency is wrong. Help! -> Aug: The exchange rate used for my international transaction seems to be incorrect. Can you assist me with this issue?
GEN | [top_up_by_bank_transfer_charge] | Orig: Are SWIFT Transfers available at this bank? -> Aug: Can I use bank transfer to top up my account at this bank?
GEN | [beneficiary_not_allowed] | Orig: Why is this not letting me exchange crypto? I need help making this transaction go through. -> Aug: Why am I unable to proceed with the crypto exchange? I require assistance to facilitate this transaction.
GEN | [pending_card_payment] | Orig: I made a payment with my card and it hasn't changed. How long do you think this will take? -> Aug: I authorized a payment using my card, but the status remains pending. Can you tell me when I can expect it to be processed?
GEN | [beneficiary_not_allowed] | Orig: the transfer to an account wasn't allowed is there any other way for me to do it -> Aug: The transfer to a designated recipient was not permitted; is there an alternative method I can use to complete the transaction?
GEN | [order_physical_card] | Orig: I still don't have a card. How do I get one? -> Aug: I'm missing my physical card. Can you help me obtain a new one?
GEN | [pending_top_up] | Orig: I already paid to top-up but the funds aren't available yet, where are they? -> Aug: I made a payment to top up my account, but the funds are still pending, can you tell me what's going on?
GEN | [card_acceptance] | Orig: Who accepts the card? -> Aug: What financial institutions or merchants accept the card?
