GEN | [transfer_not_received_by_recipient] | Orig: Where is my last money transaction -> Aug: I haven't received my recent transfer.
GEN | [receiving_money] | Orig: Do you support direct deposits from my employer? -> Aug: Can you accept direct deposits from my employer's payroll department?
GEN | [cash_withdrawal_not_recognised] | Orig: THere is some cash that is showing up on my app. -> Aug: There's an unexpected cash amount appearing on my account.
GEN | [cancel_transfer] | Orig: I paid my rent into the wrong account, could you please pay it into the right account, it needs to be done by tomorrow. -> Aug: I mistakenly deposited my rent into an incorrect account, could you assist in transferring the funds to the correct account, as it needs to be completed by tomorrow?
GEN | [wrong_amount_of_cash_received] | Orig: my cash balance less than what I thought -> Aug: my account shows a lower balance than I expected
GEN | [pending_transfer] | Orig: As I double checked that I have the correct account details that i submitted , they're right for sure. Transfer is still pending so far. -> Aug: Upon re-verifying the account information I provided, I'm confident it's accurate. The transfer remains in a pending state at this time.
GEN | [cancel_transfer] | Orig: I need to change a transfer. -> Aug: I'd like to modify a transfer.
GEN | [disposable_card_limits] | Orig: A friend was telling me about her disposable cards. What would I have to do to be able to get that feature? -> Aug: Can you tell me more about the disposable card limits your friend mentioned? What would I need to do to activate that feature for my own account?
GEN | [cash_withdrawal_charge] | Orig: I have a strange transaction on my account which appears to pertain to a cash withdrawal I made outside Nandos in Leeds.  What is that for?  Is it fraud? -> Aug: I'm concerned about a recent transaction on my account that seems to be related to a cash withdrawal I made at a location outside of Nandos in Leeds. Can you help me understand what this charge is for? Is it a legitimate transaction or could it be a case of fraud?
GEN | [terminate_account] | Orig: I am not happy with your service and request that my account be terminated! -> Aug: I'm extremely dissatisfied with your service and would like to cancel my account.
GEN | [contactless_not_working] | Orig: I am having issues using contactless payments, could my card be damaged? -> Aug: I'm experiencing problems with making contactless transactions, is it possible that my card is faulty?
GEN | [fiat_currency_support] | Orig: Do you deal with EUR? -> Aug: Are you able to assist with transactions involving the Euro currency?
GEN | [transfer_not_received_by_recipient] | Orig: i've waited 2 days for a transfer to reach a retailers account, am i going to have to wait longer. -> Aug: I've been waiting for two days for a transfer to be credited to a retailer's account, and I'm starting to worry that it might take even longer.
GEN | [wrong_exchange_rate_for_cash_withdrawal] | Orig: Why did I only receive this much currency? -> Aug: Why was the amount of cash I received not in line with the expected exchange rate?
GEN | [country_support] | Orig: where do you have locations at -> Aug: which locations do you have in your country?
GEN | [pending_cash_withdrawal] | Orig: Why is the app showing a still pending message on a withdraw that has already been done? -> Aug: Why is the app still displaying a pending status for a cash withdrawal that was completed earlier?
GEN | [card_not_working] | Orig: What should I do if I can't use my card? -> Aug: What should I do if my card is not functioning properly?
GEN | [wrong_amount_of_cash_received] | Orig: My cash received does not match what has been requested -> Aug: The amount of cash I received is not what I was expecting.
GEN | [exchange_rate] | Orig: Will my money be of equal value when I travel abroad? -> Aug: Will the value of my money remain the same when I travel internationally?
GEN | [exchange_via_app] | Orig: I need to get some Euros for my holiday. Am I able to exchange some of my money? -> Aug: I'm planning a trip and need to convert some currency. Can I exchange my money for Euros through the app?
GEN | [card_delivery_estimate] | Orig: how much to get my card in 2 days? -> Aug: Can you provide an estimate for the delivery of my card within a 2-day timeframe?
GEN | [balance_not_updated_after_cheque_or_cash_deposit] | Orig: I need my account checked because it appears there is a problem. I attempted to update my balance yesterday using cheque but it doesn't seem to have worked.  Should this not be faster than this? -> Aug: I'm concerned about an issue with my account. I deposited a cheque yesterday, but my balance hasn't been updated yet. Can you look into this and let me know why it's taking so long?
GEN | [why_verify_identity] | Orig: Do you need my birthdate? -> Aug: Can you confirm your date of birth with me?
GEN | [transfer_timing] | Orig: When will my money be in my account? -> Aug: When can I expect my funds to be deposited into my account?
GEN | [declined_card_payment] | Orig: I couldn't pay with my card -> Aug: The payment was not processed due to a card issue.
GEN | [get_disposable_virtual_card] | Orig: Please send me a disposable virtual card. -> Aug: Please provide me with a temporary virtual credit card.
GEN | [card_delivery_estimate] | Orig: I need my card ASAP! -> Aug: I require my card as soon as possible.
GEN | [pending_cash_withdrawal] | Orig: The machine didn't work earlier when I went to get money out and now my account says transaction in progress.Why? -> Aug: The ATM wasn't functioning properly when I tried to withdraw cash, and now my account shows a pending transaction. Can you help me understand why it's still processing?
GEN | [wrong_amount_of_cash_received] | Orig: how come when i asked for 100 it only gave me 20.00 in the app -> Aug: I was expecting to receive the full amount of $100, but instead, I only got $20.
GEN | [cancel_transfer] | Orig: I goofed up and used the wrong account.  Please help. -> Aug: I made an error and used the incorrect account. Can you assist me?
GEN | [balance_not_updated_after_bank_transfer] | Orig: Can you tell me how long it would take, to make a transfer from France? I made one 2 days ago and its not there yet. -> Aug: I'm trying to make sense of a recent bank transfer from France, but my account balance hasn't been updated yet. Can you give me an estimate of how long it usually takes for these transactions to reflect in my account?
GEN | [extra_charge_on_statement] | Orig: Please explain the charge of 1L in error.  I have purchased nothing in this amount. -> Aug: Could you please clarify the reason behind the additional charge of one lakh rupees on my statement? I'm certain I haven't made any transactions in this amount.
GEN | [cash_withdrawal_not_recognised] | Orig: There are incorrect charges on my account, there was a WD that was made by someone else.  I still have my card though. -> Aug: I'm experiencing an issue with an unauthorized cash withdrawal that was made on my account. I still have my card in my possession, but the transaction doesn't seem to be recognized by the system.
VAL | [transfer_not_received_by_recipient] | ACCEPT | Reason: N/A | Original: Where is my last money transaction | Augmented: I haven't received my recent transfer.
VAL | [receiving_money] | ACCEPT | Reason: N/A | Original: Do you support direct deposits from my employer? | Augmented: Can you accept direct deposits from my employer's payroll department?
VAL | [cash_withdrawal_not_recognised] | ACCEPT | Reason: N/A | Original: THere is some cash that is showing up on my app. | Augmented: There's an unexpected cash amount appearing on my account.
VAL | [cancel_transfer] | UNKNOWN | Reason: N/A | Original: I paid my rent into the wrong account, could you please pay it into the right account, it needs to be done by tomorrow. | Augmented: I mistakenly deposited my rent into an incorrect account, could you assist in transferring the funds to the correct account, as it needs to be completed by tomorrow?
VAL | [wrong_amount_of_cash_received] | ACCEPT | Reason: N/A | Original: my cash balance less than what I thought | Augmented: my account shows a lower balance than I expected
VAL | [pending_transfer] | ACCEPT | Reason: ... | Original: As I double checked that I have the correct account details that i submitted , they're right for sure. Transfer is still pending so far. | Augmented: Upon re-verifying the account information I provided, I'm confident it's accurate. The transfer remains in a pending state at this time.
VAL | [cancel_transfer] | ACCEPT | Reason: N/A | Original: I need to change a transfer. | Augmented: I'd like to modify a transfer.
VAL | [disposable_card_limits] | ACCEPT | Reason: N/A | Original: A friend was telling me about her disposable cards. What would I have to do to be able to get that feature? | Augmented: Can you tell me more about the disposable card limits your friend mentioned? What would I need to do to activate that feature for my own account?
VAL | [cash_withdrawal_charge] | ACCEPT | Reason: ... | Original: I have a strange transaction on my account which appears to pertain to a cash withdrawal I made outside Nandos in Leeds.  What is that for?  Is it fraud? | Augmented: I'm concerned about a recent transaction on my account that seems to be related to a cash withdrawal I made at a location outside of Nandos in Leeds. Can you help me understand what this charge is for? Is it a legitimate transaction or could it be a case of fraud?
VAL | [terminate_account] | ACCEPT | Reason: ... | Original: I am not happy with your service and request that my account be terminated! | Augmented: I'm extremely dissatisfied with your service and would like to cancel my account.
VAL | [contactless_not_working] | ACCEPT | Reason: ... | Original: I am having issues using contactless payments, could my card be damaged? | Augmented: I'm experiencing problems with making contactless transactions, is it possible that my card is faulty?
VAL | [fiat_currency_support] | ACCEPT | Reason: N/A | Original: Do you deal with EUR? | Augmented: Are you able to assist with transactions involving the Euro currency?
VAL | [transfer_not_received_by_recipient] | ACCEPT | Reason: N/A | Original: i've waited 2 days for a transfer to reach a retailers account, am i going to have to wait longer. | Augmented: I've been waiting for two days for a transfer to be credited to a retailer's account, and I'm starting to worry that it might take even longer.
VAL | [wrong_exchange_rate_for_cash_withdrawal] | ACCEPT | Reason: ... | Original: Why did I only receive this much currency? | Augmented: Why was the amount of cash I received not in line with the expected exchange rate?
VAL | [country_support] | ACCEPT | Reason: N/A | Original: where do you have locations at | Augmented: which locations do you have in your country?
VAL | [pending_cash_withdrawal] | ACCEPT | Reason: The augmented text does not change the intent; it merely rephrases the original question with slightly different wording but retains the essence of the inquiry about an un-updated withdrawal status. | Original: Why is the app showing a still pending message on a withdraw that has already been done? | Augmented: Why is the app still displaying a pending status for a cash withdrawal that was completed earlier?
VAL | [card_not_working] | ACCEPT | Reason: ... | Original: What should I do if I can't use my card? | Augmented: What should I do if my card is not functioning properly?
VAL | [wrong_amount_of_cash_received] | ACCEPT | Reason: N/A | Original: My cash received does not match what has been requested | Augmented: The amount of cash I received is not what I was expecting.
VAL | [exchange_rate] | ACCEPT | Reason: N/A | Original: Will my money be of equal value when I travel abroad? | Augmented: Will the value of my money remain the same when I travel internationally?
VAL | [exchange_via_app] | ACCEPT | Reason: ... | Original: I need to get some Euros for my holiday. Am I able to exchange some of my money? | Augmented: I'm planning a trip and need to convert some currency. Can I exchange my money for Euros through the app?
VAL | [card_delivery_estimate] | ACCEPT | Reason: ... | Original: how much to get my card in 2 days? | Augmented: Can you provide an estimate for the delivery of my card within a 2-day timeframe?
VAL | [balance_not_updated_after_cheque_or_cash_deposit] | ACCEPT | Reason: The augmented text preserves the same banking intent by focusing on the issue of a balance not being updated after a cheque deposit. It does not introduce any contradictory information or unsupported details. | Original: I need my account checked because it appears there is a problem. I attempted to update my balance yesterday using cheque but it doesn't seem to have worked.  Should this not be faster than this? | Augmented: I'm concerned about an issue with my account. I deposited a cheque yesterday, but my balance hasn't been updated yet. Can you look into this and let me know why it's taking so long?
VAL | [why_verify_identity] | ACCEPT | Reason: N/A | Original: Do you need my birthdate? | Augmented: Can you confirm your date of birth with me?
VAL | [transfer_timing] | ACCEPT | Reason: ... | Original: When will my money be in my account? | Augmented: When can I expect my funds to be deposited into my account?
VAL | [declined_card_payment] | ACCEPT | Reason: N/A | Original: I couldn't pay with my card | Augmented: The payment was not processed due to a card issue.
VAL | [get_disposable_virtual_card] | ACCEPT | Reason: Both texts request a temporary, virtual, and disposable card, preserving the original intent. | Original: Please send me a disposable virtual card. | Augmented: Please provide me with a temporary virtual credit card.
VAL | [card_delivery_estimate] | ACCEPT | Reason: N/A | Original: I need my card ASAP! | Augmented: I require my card as soon as possible.
VAL | [pending_cash_withdrawal] | ACCEPT | Reason: ... | Original: The machine didn't work earlier when I went to get money out and now my account says transaction in progress.Why? | Augmented: The ATM wasn't functioning properly when I tried to withdraw cash, and now my account shows a pending transaction. Can you help me understand why it's still processing?
VAL | [wrong_amount_of_cash_received] | ACCEPT | Reason: ... | Original: how come when i asked for 100 it only gave me 20.00 in the app | Augmented: I was expecting to receive the full amount of $100, but instead, I only got $20.
VAL | [cancel_transfer] | ACCEPT | Reason: N/A | Original: I goofed up and used the wrong account.  Please help. | Augmented: I made an error and used the incorrect account. Can you assist me?
VAL | [balance_not_updated_after_bank_transfer] | ACCEPT | Reason: ... | Original: Can you tell me how long it would take, to make a transfer from France? I made one 2 days ago and its not there yet. | Augmented: I'm trying to make sense of a recent bank transfer from France, but my account balance hasn't been updated yet. Can you give me an estimate of how long it usually takes for these transactions to reflect in my account?
VAL | [extra_charge_on_statement] | ACCEPT | Reason: ... | Original: Please explain the charge of 1L in error.  I have purchased nothing in this amount. | Augmented: Could you please clarify the reason behind the additional charge of one lakh rupees on my statement? I'm certain I haven't made any transactions in this amount.
VAL | [cash_withdrawal_not_recognised] | ACCEPT | Reason: The augmented text preserves the core issue of an unauthorized cash withdrawal not being recognized by the system, and it does not add any unsupported information or change the intent. | Original: There are incorrect charges on my account, there was a WD that was made by someone else.  I still have my card though. | Augmented: I'm experiencing an issue with an unauthorized cash withdrawal that was made on my account. I still have my card in my possession, but the transaction doesn't seem to be recognized by the system.
VAL_SUMMARY | ACCEPT: 32 | REVIEW: 0 | REJECT: 0 | UNKNOWN: 1 | Accept Rate: 0.9697
