GEN | [request_refund] | Orig: How do I begin the process of a refund? -> Aug: What are the steps to initiate a refund?
GEN | [card_not_working] | Orig: I tried to purchase airline tickets online this morning and my card information isn't working. Is there something going on with my account? -> Aug: I attempted to book a flight online this morning, but my credit card details aren't being accepted. Is there an issue with my account?
GEN | [top_up_failed] | Orig: I'm not sure if my pop-up went through. -> Aug: I'm unsure if my top-up was successfully processed.
GEN | [verify_source_of_funds] | Orig: How do I verify my source of funds? -> Aug: Can you please confirm the origin of the funds used for this transaction?
GEN | [card_not_working] | Orig: HOW LONG TO TAKE THE TIME TO SOLVE -> Aug: How long will it take to resolve the issue with my card not working?
GEN | [verify_source_of_funds] | Orig: How can I verify my source of funds? -> Aug: Can you please confirm the origin of the funds used for this transaction?
GEN | [verify_source_of_funds] | Orig: I require verification of my source of funds. -> Aug: I need to confirm the origin of my funds.
GEN | [request_refund] | Orig: What do I need to do for a refund? -> Aug: How can I initiate a refund process?
GEN | [verify_source_of_funds] | Orig: My source of funds need verification. -> Aug: We need to confirm the origin of your funds.
GEN | [declined_transfer] | Orig: What does the decline message mean -> Aug: The transfer was not successfully processed due to an issue.
GEN | [verify_source_of_funds] | Orig: I have to verify my source of funds. -> Aug: I need to confirm the origin of my funds.
GEN | [verify_top_up] | Orig: I can't see a verification code anywhere -> Aug: I'm having trouble finding the verification code for my top-up.
GEN | [verify_source_of_funds] | Orig: Verify my source of funds? -> Aug: Can you confirm the origin of the funds used for this transaction?
GEN | [verify_source_of_funds] | Orig: My source of funds require verification. -> Aug: We need to confirm the origin of your funds.
GEN | [verify_source_of_funds] | Orig: I would like to verify my source of funds. -> Aug: I'd like to confirm the origin of my funds.
GEN | [cash_withdrawal_not_recognised] | Orig: How can I verify if a cash withdrawal was made from my account? I still have my card with me but I did not authorize the withdrawal that just occurred. -> Aug: I'm trying to confirm if a cash withdrawal was processed from my account. I have my card with me, but I didn't initiate the transaction that just took place.
GEN | [verify_top_up] | Orig: Where is the verification code display? -> Aug: Can you please show me the verification code for the top-up process?
GEN | [receiving_money] | Orig: Can i get payed through this system? -> Aug: Can I receive payment through this system?
GEN | [declined_cash_withdrawal] | Orig: Hello, is there any way to double check my card? I have never had issues with withdraws in the past, but this morning on the way to work it was unexpectedly declined. -> Aug: Hello, could you please verify my card details? I've never experienced any issues with cash withdrawals before, but this morning, my attempt to withdraw cash was unexpectedly declined.
GEN | [virtual_card_not_working] | Orig: My Virtual card was rejected for a car rental. Why? -> Aug: My virtual card was declined for a car rental, and I'm wondering why.
GEN | [verify_source_of_funds] | Orig: is there a way i can see source of money? -> Aug: can you help me confirm the origin of the funds?
GEN | [cash_withdrawal_not_recognised] | Orig: I was trying to use my card and it was declined, when I tried to find out what happened I found cash withdraw for $500 that I didn't do.  Can you please help figure this out? -> Aug: I'm having an issue with a recent transaction on my account. When I tried to make a purchase, my card was declined, and upon further investigation, I noticed a cash withdrawal of $500 that I didn't authorize. Can you assist me in resolving this matter?
GEN | [disposable_card_limits] | Orig: i tried using a virtual card for a hotel but it didn't work, why not -> Aug: I attempted to utilize a disposable card for a hotel booking, but it was unsuccessful, could you please explain why?
GEN | [contactless_not_working] | Orig: How do I troubleshoot my contactless? -> Aug: What steps can I take to resolve the issue with my contactless payment method?
GEN | [verify_source_of_funds] | Orig: How do I find out my source of funds? -> Aug: What steps can I take to confirm the origin of my funds?
GEN | [verify_source_of_funds] | Orig: can i see money source? -> Aug: can you confirm the origin of the funds?
GEN | [verify_top_up] | Orig: I'm being asked for a verification code. Where do I find it? -> Aug: I'm being requested to provide a verification code. Can you please guide me on how to obtain it?
GEN | [wrong_exchange_rate_for_cash_withdrawal] | Orig: Why did you give me so little currency? -> Aug: Why was the exchange rate used for my cash withdrawal so inaccurate?
GEN | [verify_source_of_funds] | Orig: I would like to know where my source of funds came from. -> Aug: I'd like to confirm the origin of the funds used for this transaction.
GEN | [card_payment_fee_charged] | Orig: How can I check how much free spending I have left? I have some big purchases coming up and want to know where I can look for any info. -> Aug: Can you help me find out how much I have available for spending? I'm planning some significant transactions and need to know where to check for the remaining balance.
GEN | [cash_withdrawal_not_recognised] | Orig: It is urgency. Please freeze my card now. As someone in some odd remote town has withdrawn some money by using my card. As i did not withdraw any money. -> Aug: It's an emergency. Please cancel my card immediately. Someone in a distant location has made an unauthorized cash withdrawal using my card, and I didn't make the transaction myself.
GEN | [verify_source_of_funds] | Orig: What do I need to see my source of money? -> Aug: Can you please confirm the origin of your funds so I can assist you further?
GEN | [verify_source_of_funds] | Orig: How can I receive verification for the source of my funds? -> Aug: Can you please provide information to confirm the origin of the funds used for this transaction?
GEN | [verify_source_of_funds] | Orig: How can I find out the source of my available cash? -> Aug: What steps can I take to confirm the origin of my current funds?
GEN | [declined_cash_withdrawal] | Orig: This morning I wanted to make a withdrawal before work, but my card was declined! Please double check it for me as this is the first time it was declined. -> Aug: This morning, I attempted to make a cash withdrawal, but my card was rejected. Could you kindly verify the issue, as this is the first time it's happened?
GEN | [request_refund] | Orig: How do I go about getting a refund? -> Aug: I'd like to inquire about the process for requesting a refund.
