GEN | [card_acceptance] | Orig: How do I know where I can use my card? -> Aug: Where can I use my card?
GEN | [pending_transfer] | Orig: i put in money for vacation and its not showing. i need that money today, how long will it take -> Aug: I initiated a transfer for my vacation fund, but it's still pending. Can you please let me know when I can expect the funds to be available?
GEN | [card_payment_wrong_exchange_rate] | Orig: I was charged the wing amount for an item. -> Aug: I was incorrectly charged the wrong exchange rate for an international transaction.
GEN | [balance_not_updated_after_bank_transfer] | Orig: Why is  my balance not updated? -> Aug: I'm trying to figure out why my account balance hasn't been updated after a recent bank transfer.
GEN | [wrong_exchange_rate_for_cash_withdrawal] | Orig: I'm upset because I got charged a ridiculous fee when making an ATM withdrawal over a holiday weekend.  It didn't notify me beforehand either or I wouldn't have ever done it. -> Aug: I'm frustrated because I was surprised to be charged an unexpected fee when I withdrew cash from an ATM on a public holiday, and I wasn't informed about the fee beforehand, which would have prevented me from making the withdrawal.
GEN | [edit_personal_details] | Orig: went somewhere else, need to change details -> Aug: decided to switch banks, need to update my personal information
GEN | [balance_not_updated_after_cheque_or_cash_deposit] | Orig: Why is it taking so long for my money to appear in my account? I have been waiting a week! -> Aug: I made a deposit using a cheque/cash last week, but my account balance still hasn't been updated. Can you please look into this and let me know when I can expect the funds to reflect?
GEN | [beneficiary_not_allowed] | Orig: Why is allowance not being given to my beneficiary? -> Aug: Why is the allowance not being disbursed to the beneficiary, as they are not authorized to receive it?
GEN | [verify_source_of_funds] | Orig: My source of funds require verification. -> Aug: We need to confirm the origin of your funds.
GEN | [balance_not_updated_after_bank_transfer] | Orig: Why hasn't my account updated to reflect my current balance? -> Aug: I'm trying to check my account balance, but it's not showing the correct amount after I made a recent transfer.
GEN | [supported_cards_and_currencies] | Orig: Can you accept my other card from the U.S.?  It is the only other one I have. -> Aug: Can you accept my other credit card from the United States? It is the only other one I have.
GEN | [wrong_amount_of_cash_received] | Orig: How can I get my money that I didn't get from the ATM? -> Aug: I was given the wrong amount of cash when I withdrew money from the ATM, can you help me resolve this issue?
GEN | [get_physical_card] | Orig: I'm looking in the App and can't find my PIN, where should I look? -> Aug: I'm having trouble locating my physical card, can you guide me on how to retrieve it?
GEN | [exchange_rate] | Orig: explain the interbank exchange rate -> Aug: The rate at which banks and other financial institutions exchange one currency for another, typically used for large transactions.
GEN | [declined_cash_withdrawal] | Orig: Why did the ATM cancel my transaction -> Aug: Your cash withdrawal request was declined due to insufficient funds or technical issues.
GEN | [compromised_card] | Orig: am suspicious of my card's security -> Aug: I'm concerned about the security of my credit card.
GEN | [verify_top_up] | Orig: Where's my top up code? -> Aug: Can you please provide me with my top-up code?
GEN | [pending_top_up] | Orig: Is there a problem with the top up system? My transaction hasn't gone through properly -> Aug: Why hasn't my top-up request been processed? I'm still waiting for the transaction to go through
GEN | [receiving_money] | Orig: Can my friend send me money if it is not in US dollars? -> Aug: Can my friend transfer funds to me in a currency other than US dollars?
