GEN | [terminate_account] | Orig: Can you please disable my current account. -> Aug: Can you assist me in closing my account?
GEN | [transfer_into_account] | Orig: I need to move money from one of my other accounts to this one. -> Aug: I'd like to transfer funds from another account to this account.
GEN | [card_linking] | Orig: May I reactivate my card? I previously reported it lost, but have now found it safe and sound. -> Aug: Can I reissue my card? I previously reported it lost, but I've since located it and would like to reactivate it.
GEN | [request_refund] | Orig: I bought a product a week ago, but may need to return it. -> Aug: I recently purchased a product, but I'm considering returning it and would like to initiate the refund process.
GEN | [card_about_to_expire] | Orig: Are there any express fees if i want my new card faster? -> Aug: Can I get my new card sooner, and are there any expedited shipping fees associated with it?
GEN | [transaction_charged_twice] | Orig: I went for a meal in Seattle and paid the bill but I think they charged me twice, the first time they swiped the card I got a notification to say the money had gone out the account but then I added a tip and I think they swiped it all again. Can you refund one of the charges? -> Aug: I recently dined in Seattle and believe I was overcharged, as the restaurant processed my payment twice. Initially, I received a confirmation notification indicating the initial charge, but when I added a tip, they re-swiped my card, resulting in a second charge. Could you please assist with reversing one of the transactions?
GEN | [wrong_exchange_rate_for_cash_withdrawal] | Orig: Do you offer free ATM withdrawals of ones hometown currency while on holiday? -> Aug: Can I withdraw cash in my local currency without being charged an incorrect exchange rate while I'm traveling abroad?
GEN | [balance_not_updated_after_bank_transfer] | Orig: help my money isnt showing up -> Aug: my account balance isn't reflecting the recent bank transfer
GEN | [Refund_not_showing_up] | Orig: i need a refund right away but the funds aren't available in my account -> Aug: i'm expecting a refund, but it's not showing up in my account
GEN | [order_physical_card] | Orig: What do I do to get ahold of my own card? -> Aug: How can I obtain my physical credit card?
GEN | [transfer_not_received_by_recipient] | Orig: The app isn't showing my transactions -> Aug: The recipient hasn't received the transferred funds.
GEN | [beneficiary_not_allowed] | Orig: Hello - I'm on the app and trying to purchase crypto. It's not going through. What am I doing wrong? -> Aug: Hello - I'm on the app and trying to purchase crypto, but the beneficiary is not allowed. What's the issue?
GEN | [transfer_not_received_by_recipient] | Orig: When will I get my money? It's been too long. -> Aug: I'm concerned about the status of my transfer. The recipient hasn't received the funds yet, and I'm worried it's taking too long.
GEN | [request_refund] | Orig: Canceling my order is what I need to do right now. -> Aug: I'd like to initiate a cancellation and request a refund for my recent purchase.
GEN | [order_physical_card] | Orig: I need an actual card that I can hold in my hand, how do I do that? -> Aug: I'd like to place an order for a physical credit card, can you guide me through the process?
GEN | [card_payment_fee_charged] | Orig: Is there an allowance on cards? -> Aug: Are there any exceptions or waivers for card payment fees?
GEN | [card_linking] | Orig: What do I do if I already had a card with you guys? -> Aug: I already have a card with your bank, what's the next step?
GEN | [cash_withdrawal_charge] | Orig: Please help!  There was an extra fee when I got cash. -> Aug: Please assist me, I was charged an unexpected fee for the cash withdrawal.
GEN | [pending_transfer] | Orig: I have an outgoing transfer -> Aug: I have a pending outgoing transfer
GEN | [cash_withdrawal_not_recognised] | Orig: Someone stole my wallet a couple of hours ago now and they have taken money from my account. Is there any way that you can help so I won't lose any more of my money. -> Aug: I'm concerned that an unauthorized transaction has been made on my account. Someone took money from my account a few hours ago, and I'm worried that I might lose more if it's not resolved. Can you assist me in stopping any further transactions and recovering the stolen funds?
GEN | [reverted_card_payment?] | Orig: HELP. My account has been deducted already and the Seller says they haven't received the money yet? When can they expect it? -> Aug: HELP. My account was charged, but the seller claims they haven't received the payment? Can you clarify when the payment will be reversed?
GEN | [getting_spare_card] | Orig: I have left my card at my parents house. Can you send me a spare one please to use in the meantime? -> Aug: I accidentally left my card at my family's place and I was wondering if I could get a replacement card sent to me as soon as possible?
GEN | [topping_up_by_card] | Orig: I cannot tell what my top up currently is. -> Aug: I'm not sure what my card balance is after the recent top-up.
GEN | [pending_top_up] | Orig: Can you please sort out your top up? I need this to go through asap because I really need the money. It's already been pending for an hour. -> Aug: Could you look into the status of my top-up request? I'm in a hurry and need it to be processed as soon as possible, as it's been pending for a while.
GEN | [transfer_timing] | Orig: How long will I have to wait for my money to be in my account? -> Aug: When can I expect the funds to be available in my account?
GEN | [Refund_not_showing_up] | Orig: Three months ago I bought a new house for my cat, fluffy.  Unfortunately Fluffy was not a fan of the house and it had to be returned to Pet Smart last week.  They said they have sent a refund but it's not there, can you tell me where it is? -> Aug: I recently purchased a cat house from Pet Smart, but my cat, Whiskers, didn't take a liking to it. I returned it to the store three weeks ago and was assured a refund would be processed. However, I haven't received it yet, could you please look into this for me?
