GEN | [country_support] | Orig: Can I get support? -> Aug: Do you need assistance?
GEN | [top_up_by_bank_transfer_charge] | Orig: What does it cost to receive a SEPA transfer? -> Aug: What is the charge for receiving a bank transfer via SEPA?
GEN | [top_up_by_bank_transfer_charge] | Orig: How much will it cost me for a SEPA transfer? -> Aug: What is the fee for a bank transfer using the Single Euro Payments Area (SEPA) system?
GEN | [transfer_timing] | Orig: Help! I need to transfer something to China. -> Aug: Can you assist me with arranging a transfer to China?
GEN | [card_acceptance] | Orig: Are there any places that won't take my card? -> Aug: Are there any locations that don't accept my card?
GEN | [pending_top_up] | Orig: i put money on my card and i dont see it on the balance -> Aug: I added funds to my card, but the amount is still pending and hasn't been reflected in my balance.
GEN | [top_up_by_bank_transfer_charge] | Orig: Am I going to see a charge for a SEPA transfer? -> Aug: Will I be charged a fee for a bank transfer using the Single Euro Payments Area (SEPA) system?
GEN | [supported_cards_and_currencies] | Orig: Why doesn't it work when I use American Express to try to add money to my account? -> Aug: We're sorry to hear that you're experiencing issues using American Express to fund your account.
GEN | [supported_cards_and_currencies] | Orig: why wont my american express work to add money -> Aug: Why can't I use my American Express card to top up my account?
GEN | [card_about_to_expire] | Orig: Are there any express fees if i want my new card faster? -> Aug: Can I expect any additional charges if I opt for expedited delivery of my new card?
GEN | [activate_my_card] | Orig: How can I make my card ready to use? -> Aug: What steps can I take to activate my card and start using it?
GEN | [declined_transfer] | Orig: I'm trying to move money from my account to elsewhere, but it's giving me an error message. -> Aug: I'm attempting to initiate a transfer from my account to another account, but I'm receiving an error notification.
GEN | [why_verify_identity] | Orig: What is the first step I need to make for being able to access my account? -> Aug: What do I need to do to verify my identity before accessing my account?
GEN | [transfer_into_account] | Orig: I have zero dollars in my account. Can I submit additional funds via bank transfer? -> Aug: I have no balance in my account. Can I deposit more funds through a bank transfer?
GEN | [transfer_into_account] | Orig: I have no more money in my account.  Is there a way to do a bank transfer to put money into my account? -> Aug: I'm running low on funds in my account. Can I initiate a transfer to replenish my account balance?
GEN | [card_delivery_estimate] | Orig: My card is needed soon -> Aug: I require my card to be delivered shortly.
GEN | [top_up_by_bank_transfer_charge] | Orig: I want to do a swift transfer -> Aug: I'd like to make a bank transfer to top up my account.
GEN | [top_up_by_card_charge] | Orig: I am wanting to refill my card, is there a charge? -> Aug: I'd like to add funds to my card, will there be a fee involved?
GEN | [top_up_by_bank_transfer_charge] | Orig: Does this program take SWIFT transfers? -> Aug: Can I use a bank transfer to top up my account through this program?
GEN | [why_verify_identity] | Orig: I don't understand why you want so much of my personal info. -> Aug: I'm curious, what's the purpose behind requesting all this personal information?
GEN | [top_up_by_bank_transfer_charge] | Orig: Can I Transfer from SWIFT? -> Aug: Can I make a bank transfer to top up my account?
GEN | [compromised_card] | Orig: Should I order a new card before I freeze my original one? -> Aug: Should I request a replacement card before securing my compromised card?
GEN | [card_acceptance] | Orig: Where do I pay with my debit or credit card? -> Aug: How can I use my debit or credit card for payment?
GEN | [wrong_amount_of_cash_received] | Orig: Why can't I take $100 out -> Aug: I was expecting to receive a certain amount of cash, but it seems I've been given the wrong amount.
GEN | [top_up_failed] | Orig: I really need to top-up my card today urgently but my card keeps getting declined!! Can you please help me with this problem or let me know if you have any alternatives -> Aug: I'm in a bit of an emergency and I desperately need to add funds to my card, but it's not accepting the top-up. Can you assist me with this issue or suggest an alternative solution?
GEN | [top_up_by_cash_or_cheque] | Orig: How can I fill up my gas tank using a check? -> Aug: How can I replenish my account balance using a cheque or cash?
GEN | [transfer_into_account] | Orig: Can I use my bank account to send me more money? -> Aug: Can I transfer funds from my bank account to add more money to it?
GEN | [card_acceptance] | Orig: Is there anywhere I can't use my card? -> Aug: Are there any specific places or situations where my card won't be accepted?
GEN | [failed_transfer] | Orig: Your system is broken. My transfers keep failing, 5 times now. -> Aug: My transfers are consistently failing, and I've experienced this issue at least 5 times.
GEN | [fiat_currency_support] | Orig: Do you have EUR currency available for me? -> Aug: Can I get some information on the availability of the Euro currency for my transaction?
GEN | [top_up_limits] | Orig: How many top-ups can be approved? -> Aug: What is the limit on the number of top-ups that can be processed?
GEN | [card_acceptance] | Orig: How can I know where my card will be accepted? -> Aug: What areas can I expect to find merchants that accept my card?
GEN | [card_about_to_expire] | Orig: How do I go about ordering a new bank card? -> Aug: What steps can I take to get a replacement bank card before my current one expires?
GEN | [declined_card_payment] | Orig: I could not use my card in a store. -> Aug: I was unable to make a purchase using my card at a retail location.
GEN | [balance_not_updated_after_cheque_or_cash_deposit] | Orig: I have cash deposit to my account but it is experiencing a problem -> Aug: I've made a cash deposit to my account, but my account balance hasn't been updated yet.
GEN | [top_up_by_cash_or_cheque] | Orig: How can I put more money into my account? -> Aug: How can I add funds to my account using cash or cheque?
GEN | [top_up_by_bank_transfer_charge] | Orig: Will there be a fee if I receive a SEPA transfer -> Aug: Will there be a charge if I top up my account via bank transfer?
GEN | [top_up_by_cash_or_cheque] | Orig: Who do I make a check out to if I want to top off my account? -> Aug: What is the payee's name if I wish to replenish my account balance using a check?
VAL | [country_support] | UNKNOWN | Reason: N/A | Original: Can I get support? | Augmented: Do you need assistance?
VAL | [top_up_by_bank_transfer_charge] | ACCEPT | Reason: N/A | Original: What does it cost to receive a SEPA transfer? | Augmented: What is the charge for receiving a bank transfer via SEPA?
VAL | [top_up_by_bank_transfer_charge] | ACCEPT | Reason: N/A | Original: How much will it cost me for a SEPA transfer? | Augmented: What is the fee for a bank transfer using the Single Euro Payments Area (SEPA) system?
VAL | [transfer_timing] | ACCEPT | Reason: ... | Original: Help! I need to transfer something to China. | Augmented: Can you assist me with arranging a transfer to China?
VAL | [card_acceptance] | ACCEPT | Reason: ... | Original: Are there any places that won't take my card? | Augmented: Are there any locations that don't accept my card?
VAL | [pending_top_up] | ACCEPT | Reason: The augmented text preserves the same banking intent by indicating that the user has made a top-up, but the transaction is pending and not yet reflected in the balance. It does not introduce any contradictions or unsupported information. | Original: i put money on my card and i dont see it on the balance | Augmented: I added funds to my card, but the amount is still pending and hasn't been reflected in my balance.
VAL | [top_up_by_bank_transfer_charge] | ACCEPT | Reason: N/A | Original: Am I going to see a charge for a SEPA transfer? | Augmented: Will I be charged a fee for a bank transfer using the Single Euro Payments Area (SEPA) system?
VAL | [supported_cards_and_currencies] | REJECT | Reason: While the augmented text mentions American Express, it does not preserve the original intent of inquiring about supported cards and currencies. Instead, it expresses a problem without providing the necessary context for the original intent. | Original: Why doesn't it work when I use American Express to try to add money to my account? | Augmented: We're sorry to hear that you're experiencing issues using American Express to fund your account.
VAL | [supported_cards_and_currencies] | ACCEPT | Reason: N/A | Original: why wont my american express work to add money | Augmented: Why can't I use my American Express card to top up my account?
VAL | [card_about_to_expire] | ACCEPT | Reason: N/A | Original: Are there any express fees if i want my new card faster? | Augmented: Can I expect any additional charges if I opt for expedited delivery of my new card?
VAL | [activate_my_card] | ACCEPT | Reason: ... | Original: How can I make my card ready to use? | Augmented: What steps can I take to activate my card and start using it?
VAL | [declined_transfer] | ACCEPT | Reason: ... | Original: I'm trying to move money from my account to elsewhere, but it's giving me an error message. | Augmented: I'm attempting to initiate a transfer from my account to another account, but I'm receiving an error notification.
VAL | [why_verify_identity] | ACCEPT | Reason: N/A | Original: What is the first step I need to make for being able to access my account? | Augmented: What do I need to do to verify my identity before accessing my account?
VAL | [transfer_into_account] | ACCEPT | Reason: N/A | Original: I have zero dollars in my account. Can I submit additional funds via bank transfer? | Augmented: I have no balance in my account. Can I deposit more funds through a bank transfer?
VAL | [transfer_into_account] | ACCEPT | Reason: The augmented text preserves the intent of transferring money into the account to address a low balance situation, which is consistent with the original intent. | Original: I have no more money in my account.  Is there a way to do a bank transfer to put money into my account? | Augmented: I'm running low on funds in my account. Can I initiate a transfer to replenish my account balance?
VAL | [card_delivery_estimate] | ACCEPT | Reason: N/A | Original: My card is needed soon | Augmented: I require my card to be delivered shortly.
VAL | [top_up_by_bank_transfer_charge] | ACCEPT | Reason: N/A | Original: I want to do a swift transfer | Augmented: I'd like to make a bank transfer to top up my account.
VAL | [top_up_by_card_charge] | ACCEPT | Reason: ... | Original: I am wanting to refill my card, is there a charge? | Augmented: I'd like to add funds to my card, will there be a fee involved?
VAL | [top_up_by_bank_transfer_charge] | ACCEPT | Reason: N/A | Original: Does this program take SWIFT transfers? | Augmented: Can I use a bank transfer to top up my account through this program?
VAL | [why_verify_identity] | ACCEPT | Reason: ... | Original: I don't understand why you want so much of my personal info. | Augmented: I'm curious, what's the purpose behind requesting all this personal information?
VAL | [top_up_by_bank_transfer_charge] | ACCEPT | Reason: N/A | Original: Can I Transfer from SWIFT? | Augmented: Can I make a bank transfer to top up my account?
VAL | [compromised_card] | ACCEPT | Reason: N/A | Original: Should I order a new card before I freeze my original one? | Augmented: Should I request a replacement card before securing my compromised card?
VAL | [card_acceptance] | ACCEPT | Reason: ... | Original: Where do I pay with my debit or credit card? | Augmented: How can I use my debit or credit card for payment?
VAL | [wrong_amount_of_cash_received] | ACCEPT | Reason: N/A | Original: Why can't I take $100 out | Augmented: I was expecting to receive a certain amount of cash, but it seems I've been given the wrong amount.
VAL | [top_up_failed] | ACCEPT | Reason: ... | Original: I really need to top-up my card today urgently but my card keeps getting declined!! Can you please help me with this problem or let me know if you have any alternatives | Augmented: I'm in a bit of an emergency and I desperately need to add funds to my card, but it's not accepting the top-up. Can you assist me with this issue or suggest an alternative solution?
VAL | [top_up_by_cash_or_cheque] | ACCEPT | Reason: N/A | Original: How can I fill up my gas tank using a check? | Augmented: How can I replenish my account balance using a cheque or cash?
VAL | [transfer_into_account] | ACCEPT | Reason: N/A | Original: Can I use my bank account to send me more money? | Augmented: Can I transfer funds from my bank account to add more money to it?
VAL | [card_acceptance] | ACCEPT | Reason: ... | Original: Is there anywhere I can't use my card? | Augmented: Are there any specific places or situations where my card won't be accepted?
VAL | [failed_transfer] | ACCEPT | Reason: ... | Original: Your system is broken. My transfers keep failing, 5 times now. | Augmented: My transfers are consistently failing, and I've experienced this issue at least 5 times.
VAL | [fiat_currency_support] | ACCEPT | Reason: N/A | Original: Do you have EUR currency available for me? | Augmented: Can I get some information on the availability of the Euro currency for my transaction?
