GEN | [card_not_working] | Orig: I can't get my actual card to work -> Aug: I'm having trouble using my physical card
GEN | [card_not_working] | Orig: Why can't I use my card? -> Aug: Why is my card not functioning properly?
GEN | [beneficiary_not_allowed] | Orig: I really was trying to complete this exhange. I was trying to purchase some crypto but the app won't allow me to do it. Can you tell me what's going on here? -> Aug: I'm having trouble finalizing a transaction. I'm attempting to buy some cryptocurrency, but the app is preventing me from doing so. Can you help me understand what's blocking this process?
GEN | [card_not_working] | Orig: Why won't my card accept any transactions? -> Aug: Why is my card unable to process any transactions?
GEN | [transfer_into_account] | Orig: I need more money in my account. Can I add more by transferring? -> Aug: I'd like to increase my account balance by transferring funds into my account.
GEN | [atm_support] | Orig: how do I know where I can get money withdrawn? -> Aug: where can I find an ATM to withdraw cash?
GEN | [edit_personal_details] | Orig: I need to update my demographics. -> Aug: I'd like to modify my personal information.
GEN | [cash_withdrawal_not_recognised] | Orig: I believe my card has been compromised as there are funds showing that I did not receive. -> Aug: I'm concerned that my card has been compromised because I'm seeing transactions that I didn't authorize.
GEN | [wrong_exchange_rate_for_cash_withdrawal] | Orig: Can the exchange rate change while I am in the process of making a withdrawal? -> Aug: Is the exchange rate adjusted while I'm in the middle of a cash withdrawal?
GEN | [card_acceptance] | Orig: Can I pay with my card anywhere? -> Aug: Can I use my card for purchases at any location?
GEN | [receiving_money] | Orig: I received a transfer in GBP how do I change it to a different currency? -> Aug: I was sent a payment in British Pounds, can I convert it to a different currency?
GEN | [compromised_card] | Orig: Questionable transactions on my account. -> Aug: Suspicious activity detected on my account.
GEN | [passcode_forgotten] | Orig: I can't remember my app code, can you reset it? -> Aug: I've forgotten my passcode, could you please reset it for me?
GEN | [cash_withdrawal_charge] | Orig: When did you start charging to make a withdrawal? How much is it now? I always thought it was free. -> Aug: When did you begin being charged for cash withdrawals? What's the current fee amount? I'm surprised to hear it's no longer free.
GEN | [card_not_working] | Orig: I can't seem to use my card. Can you help? -> Aug: I'm having trouble using my card. Can you assist me?
GEN | [transfer_fee_charged] | Orig: Someone that I had to send money to told me that they didn't receive the full amount I sent them - can you look into this? -> Aug: They informed me that they didn't receive the entire amount I transferred to them, and I'd appreciate it if you could investigate this issue.
GEN | [lost_or_stolen_phone] | Orig: I misplaced my phone so I can't use the app! Does this mean I can't use my card? -> Aug: I accidentally left my phone behind, and now I'm unable to access the app. Does this mean I'm unable to use my card?
GEN | [verify_top_up] | Orig: Verifying the top-up seems like a hassle. -> Aug: Confirming the top-up process appears to be a bit of a chore.
GEN | [receiving_money] | Orig: Do I need to convert my currency from GBP before transferring? -> Aug: Do I need to exchange my British pounds for another currency before making a transfer?
GEN | [card_payment_not_recognised] | Orig: i dont recognize a charge on my card -> Aug: I'm unable to identify a transaction on my credit card statement.
GEN | [get_physical_card] | Orig: can i create my own pin right away -> Aug: can I obtain my physical card immediately?
GEN | [balance_not_updated_after_bank_transfer] | Orig: Hello I have a UK account.  Can you please check if everything is alright with it?  I made a transfer a couple hours ago but it doesn't show up yet. -> Aug: Hi, I'd like to inquire about my UK account. I've recently made a transfer, but my account balance hasn't been updated yet. Could you please look into this and let me know what's going on?
GEN | [cash_withdrawal_charge] | Orig: Hello, I have a question concerning an unfamiliar fee that I notice on my account. I see that you guys charge for ATM withdrawal. Never notice this fee until now. Can you please explain? -> Aug: I'm reaching out about a fee that recently caught my attention on my account statement. I'm wondering why I'm being charged for cash withdrawals at an ATM. I've never noticed this fee before, and I'd appreciate it if you could clarify the reason behind it.
GEN | [pending_cash_withdrawal] | Orig: Why does it still charge me even though I was unable to withdraw money from the ATM? -> Aug: Why am I still being charged for a cash withdrawal attempt that was unsuccessful at the ATM?
GEN | [supported_cards_and_currencies] | Orig: Will you accept my credit card? -> Aug: Do you support credit card payments?
GEN | [supported_cards_and_currencies] | Orig: What forms of payment do you accept? -> Aug: We accept a range of payment methods, including various credit and debit cards, as well as multiple currencies.
GEN | [lost_or_stolen_phone] | Orig: I just replaced my phone but how do I use my card information? -> Aug: I recently got a new phone, but how do I access my card details?
GEN | [get_physical_card] | Orig: I haven't been sent my new pin! -> Aug: I need to receive my physical card.
GEN | [top_up_by_cash_or_cheque] | Orig: What types of top-up methods do you accept? -> Aug: You can top up your account using either cash or cheque.
GEN | [get_disposable_virtual_card] | Orig: Can you point me in the right direction of where to go to roder a disposable virtual card, I can't seem to find it. -> Aug: Could you please guide me on how to obtain a disposable virtual card? I'm having trouble locating it.
GEN | [declined_transfer] | Orig: I think there has been a mistake with my transfer -> Aug: I believe there's been an error with the transfer I initiated
GEN | [visa_or_mastercard] | Orig: Please help me get a Visa card. -> Aug: Please assist me in obtaining a Mastercard.
GEN | [why_verify_identity] | Orig: Why do you need so much information about me -> Aug: We're asking for this information to ensure we're verifying your identity accurately
GEN | [disposable_card_limits] | Orig: Are there limits on the virtual cards? -> Aug: Are there any restrictions on the usage of disposable cards?
GEN | [top_up_by_cash_or_cheque] | Orig: Is topping up with cash allowed? -> Aug: Can I make a cash deposit to top up my account?
GEN | [transfer_into_account] | Orig: What are the steps for  making a transfer for topping up? -> Aug: How do I initiate a transfer to add funds to an account?
