GEN | [get_disposable_virtual_card] | Orig: What is the procedure for depositing a virtual card -> Aug: How do I obtain a disposable virtual card and use it for transactions?
GEN | [atm_support] | Orig: How can I tell if an AMT will take this card? -> Aug: What's the best way to determine if an ATM will accept my card?
GEN | [why_verify_identity] | Orig: Can I already use my account although the identity verification has not passed yet? -> Aug: Can I access my account before the identity verification process is completed?
GEN | [why_verify_identity] | Orig: Can I use my account even though the identity verification has not passed yet? -> Aug: Can I still access my account if the identity verification process hasn't been completed yet?
GEN | [verify_source_of_funds] | Orig: What do I need to see my source of money? -> Aug: Can you please confirm the origin of your funds so I can assist you further?
GEN | [pin_blocked] | Orig: How many incorrect attempts cause card to be blocked? -> Aug: What is the threshold for the number of incorrect PIN attempts that will trigger a card block?
GEN | [extra_charge_on_statement] | Orig: Why is there a pending hold on one pound on my statement? -> Aug: What's the reason for the extra charge showing up on my statement?
GEN | [receiving_money] | Orig: How do I know what my account is set to, I am paid in GBP? -> Aug: How can I confirm my account's default currency, as I receive payments in British Pounds?
GEN | [why_verify_identity] | Orig: Can I use my account although my identity verification has yet to pass? -> Aug: Can I access my account if my identity verification process is still pending?
GEN | [why_verify_identity] | Orig: Can I use my account although the identity verification has not been accepted yet? -> Aug: Can I access my account services if my identity verification is still pending?
GEN | [card_not_working] | Orig: WHAT IS THE REASON FOR THAT -> Aug: WHY IS MY CARD NOT FUNCTIONING?
GEN | [verify_source_of_funds] | Orig: Where do I go to see the source of my available money? -> Aug: How can I confirm the origin of my current funds?
GEN | [transfer_into_account] | Orig: Where can I find out how to transfer money into my account. -> Aug: How do I initiate a transfer to deposit funds into my account?
GEN | [card_about_to_expire] | Orig: My card is expiring so how fast can I get a new one and how much will it be? -> Aug: I'm concerned that my card is nearing its expiration date. Can you please let me know how quickly I can obtain a replacement and what the cost will be?
GEN | [verify_source_of_funds] | Orig: where can I get the info for my funds -> Aug: Can you please provide me with the source of my funds?
GEN | [balance_not_updated_after_cheque_or_cash_deposit] | Orig: Where is my cash deposit in my balance? -> Aug: Why hasn't my account balance been updated to reflect the cash deposit I made?
GEN | [verify_source_of_funds] | Orig: How can I look at where my available cash is coming from? -> Aug: Can you help me identify the source of my available funds?
GEN | [verify_source_of_funds] | Orig: How can I lookup the source for my available money? -> Aug: Can you please confirm the origin of the funds currently available in my account?
GEN | [why_verify_identity] | Orig: Can I use my account now, even though my identity verification has not gone through yet? -> Aug: Can I access my account services if my identity has not been fully verified?
GEN | [extra_charge_on_statement] | Orig: What is the dollar that I have pending on my statement there? -> Aug: What is the additional charge that I see on my statement?
GEN | [verify_source_of_funds] | Orig: what is source of my money -> Aug: where is the origin of the funds used for this transaction?
GEN | [verify_source_of_funds] | Orig: Can you tell me where my readily available cash has come from? -> Aug: Can you confirm the origin of the funds that are readily available in my account?
GEN | [verify_source_of_funds] | Orig: I need to know this, where do my funds come from? -> Aug: I'd like to confirm the origin of the funds in my account.
GEN | [verify_source_of_funds] | Orig: How can I tell the source for my available funds? -> Aug: What steps can I take to confirm the origin of my current account balance?
GEN | [cash_withdrawal_charge] | Orig: Do you charge for cash withdrawals?  I want to get my hands on my own money and you appear to be charging me for the pleasure! Why is this, you'd never get this with my high street bank! -> Aug: Are there any fees associated with making cash withdrawals from your account? I'm surprised to find that I'm being charged for accessing my own funds, whereas my previous bank didn't impose such a charge.
GEN | [why_verify_identity] | Orig: Can i make transactions before identity verification? -> Aug: Can I initiate transactions before completing the identity verification process?
GEN | [verify_source_of_funds] | Orig: Where can I find information about where my money came from? -> Aug: Can you please provide me with information about the origin of my funds?
GEN | [why_verify_identity] | Orig: Why are you asking so many questions about who I am -> Aug: What's the purpose behind all these inquiries about my identity?
GEN | [why_verify_identity] | Orig: My Identity verification hasn't passed yet is it possible to use my account? -> Aug: Can I still access my account if my identity verification is still pending?
GEN | [verify_source_of_funds] | Orig: What do I need to do to verify my funds? -> Aug: How can I confirm the origin of my funds?
GEN | [verify_source_of_funds] | Orig: What are the sources for the funds in my account? -> Aug: Can you please confirm the origin of the funds in your account?
GEN | [verify_source_of_funds] | Orig: How can I find the source for my available funds and money? -> Aug: What steps can I take to confirm the origin of my current funds and balance?
GEN | [top_up_by_bank_transfer_charge] | Orig: Do you take SWIFT transfers? -> Aug: Can you accept bank transfers via international wire transfer?
GEN | [declined_card_payment] | Orig: Why are the payments being declined on my new card?  I tried several times to use my new card to pay for my gas at the Shell station in my neighborhood.  I am very distressed about my new card not working. -> Aug: I'm having trouble using my new card to make payments, and it keeps getting declined. I've tried to use it multiple times to pay for gas at the Shell station near my home, but it's not working. I'm really frustrated about this issue with my new card.
GEN | [verify_source_of_funds] | Orig: Where do my available funds come from? -> Aug: What is the origin of the funds currently available in my account?
GEN | [verify_source_of_funds] | Orig: How do I know where my funds come from? -> Aug: Can you confirm the origin of the funds in your account?
GEN | [verify_source_of_funds] | Orig: Where do my funds originate from? -> Aug: What is the source of the funds in my account?
GEN | [verify_source_of_funds] | Orig: Where can I check out the source of available funds in my account? -> Aug: How can I confirm the origin of the funds currently available in my account?
GEN | [verify_source_of_funds] | Orig: I have to verify my source of funds. -> Aug: I need to confirm the origin of my funds.
VAL | [get_disposable_virtual_card] | REVIEW | Reason: N/A | Original: What is the procedure for depositing a virtual card | Augmented: How do I obtain a disposable virtual card and use it for transactions?
VAL | [atm_support] | ACCEPT | Reason: ... | Original: How can I tell if an AMT will take this card? | Augmented: What's the best way to determine if an ATM will accept my card?
VAL | [why_verify_identity] | ACCEPT | Reason: ... | Original: Can I already use my account although the identity verification has not passed yet? | Augmented: Can I access my account before the identity verification process is completed?
VAL | [why_verify_identity] | ACCEPT | Reason: Both texts are asking about the ability to use an account while the identity verification is pending, which aligns with the 'why_verify_identity' intent. | Original: Can I use my account even though the identity verification has not passed yet? | Augmented: Can I still access my account if the identity verification process hasn't been completed yet?
VAL | [verify_source_of_funds] | ACCEPT | Reason: N/A | Original: What do I need to see my source of money? | Augmented: Can you please confirm the origin of your funds so I can assist you further?
VAL | [pin_blocked] | ACCEPT | Reason: N/A | Original: How many incorrect attempts cause card to be blocked? | Augmented: What is the threshold for the number of incorrect PIN attempts that will trigger a card block?
VAL | [extra_charge_on_statement] | ACCEPT | Reason: N/A | Original: Why is there a pending hold on one pound on my statement? | Augmented: What's the reason for the extra charge showing up on my statement?
VAL | [receiving_money] | ACCEPT | Reason: N/A | Original: How do I know what my account is set to, I am paid in GBP? | Augmented: How can I confirm my account's default currency, as I receive payments in British Pounds?
VAL | [why_verify_identity] | ACCEPT | Reason: ... | Original: Can I use my account although my identity verification has yet to pass? | Augmented: Can I access my account if my identity verification process is still pending?
VAL | [why_verify_identity] | ACCEPT | Reason: ... | Original: Can I use my account although the identity verification has not been accepted yet? | Augmented: Can I access my account services if my identity verification is still pending?
VAL | [card_not_working] | ACCEPT | Reason: N/A | Original: WHAT IS THE REASON FOR THAT | Augmented: WHY IS MY CARD NOT FUNCTIONING?
VAL | [verify_source_of_funds] | ACCEPT | Reason: N/A | Original: Where do I go to see the source of my available money? | Augmented: How can I confirm the origin of my current funds?
VAL | [transfer_into_account] | ACCEPT | Reason: N/A | Original: Where can I find out how to transfer money into my account. | Augmented: How do I initiate a transfer to deposit funds into my account?
VAL | [card_about_to_expire] | ACCEPT | Reason: ... | Original: My card is expiring so how fast can I get a new one and how much will it be? | Augmented: I'm concerned that my card is nearing its expiration date. Can you please let me know how quickly I can obtain a replacement and what the cost will be?
VAL | [verify_source_of_funds] | ACCEPT | Reason: N/A | Original: where can I get the info for my funds | Augmented: Can you please provide me with the source of my funds?
VAL | [balance_not_updated_after_cheque_or_cash_deposit] | ACCEPT | Reason: ... | Original: Where is my cash deposit in my balance? | Augmented: Why hasn't my account balance been updated to reflect the cash deposit I made?
VAL | [verify_source_of_funds] | ACCEPT | Reason: N/A | Original: How can I look at where my available cash is coming from? | Augmented: Can you help me identify the source of my available funds?
VAL | [verify_source_of_funds] | ACCEPT | Reason: Both texts are asking about the origin of available funds in the user's account, which aligns with the 'verify_source_of_funds' intent. | Original: How can I lookup the source for my available money? | Augmented: Can you please confirm the origin of the funds currently available in my account?
VAL | [why_verify_identity] | ACCEPT | Reason: ... | Original: Can I use my account now, even though my identity verification has not gone through yet? | Augmented: Can I access my account services if my identity has not been fully verified?
VAL | [extra_charge_on_statement] | ACCEPT | Reason: N/A | Original: What is the dollar that I have pending on my statement there? | Augmented: What is the additional charge that I see on my statement?
VAL | [verify_source_of_funds] | ACCEPT | Reason: N/A | Original: what is source of my money | Augmented: where is the origin of the funds used for this transaction?
VAL | [verify_source_of_funds] | ACCEPT | Reason: ... | Original: Can you tell me where my readily available cash has come from? | Augmented: Can you confirm the origin of the funds that are readily available in my account?
VAL | [verify_source_of_funds] | ACCEPT | Reason: ... | Original: I need to know this, where do my funds come from? | Augmented: I'd like to confirm the origin of the funds in my account.
VAL | [verify_source_of_funds] | ACCEPT | Reason: N/A | Original: How can I tell the source for my available funds? | Augmented: What steps can I take to confirm the origin of my current account balance?
VAL | [cash_withdrawal_charge] | ACCEPT | Reason: ... | Original: Do you charge for cash withdrawals?  I want to get my hands on my own money and you appear to be charging me for the pleasure! Why is this, you'd never get this with my high street bank! | Augmented: Are there any fees associated with making cash withdrawals from your account? I'm surprised to find that I'm being charged for accessing my own funds, whereas my previous bank didn't impose such a charge.
VAL | [why_verify_identity] | ACCEPT | Reason: ... | Original: Can i make transactions before identity verification? | Augmented: Can I initiate transactions before completing the identity verification process?
VAL | [verify_source_of_funds] | ACCEPT | Reason: ... | Original: Where can I find information about where my money came from? | Augmented: Can you please provide me with information about the origin of my funds?
VAL | [why_verify_identity] | ACCEPT | Reason: ... | Original: Why are you asking so many questions about who I am | Augmented: What's the purpose behind all these inquiries about my identity?
VAL | [why_verify_identity] | UNKNOWN | Reason: N/A | Original: My Identity verification hasn't passed yet is it possible to use my account? | Augmented: Can I still access my account if my identity verification is still pending?
VAL | [verify_source_of_funds] | ACCEPT | Reason: N/A | Original: What do I need to do to verify my funds? | Augmented: How can I confirm the origin of my funds?
VAL | [verify_source_of_funds] | ACCEPT | Reason: N/A | Original: What are the sources for the funds in my account? | Augmented: Can you please confirm the origin of the funds in your account?
VAL | [verify_source_of_funds] | ACCEPT | Reason: N/A | Original: How can I find the source for my available funds and money? | Augmented: What steps can I take to confirm the origin of my current funds and balance?
VAL | [top_up_by_bank_transfer_charge] | ACCEPT | Reason: N/A | Original: Do you take SWIFT transfers? | Augmented: Can you accept bank transfers via international wire transfer?
