GEN | [top_up_by_cash_or_cheque] | Orig: Can I top up online? -> Aug: Can I make a cash or cheque deposit online?
GEN | [pending_top_up] | Orig: Did I do something incorrectly? Where is my top-up? -> Aug: Why hasn't my top-up been processed? I'm still waiting to see it reflected in my account.
GEN | [balance_not_updated_after_bank_transfer] | Orig: How long before transferred money shows up? -> Aug: When will the transferred amount be reflected in my account balance?
GEN | [card_acceptance] | Orig: In which stores can I shop with this card? -> Aug: In which retail locations can I use this card for purchases?
GEN | [card_swallowed] | Orig: My card was eaten by the cash machine what do I do? -> Aug: My card seems to have been swallowed by the ATM, what should I do now?
GEN | [passcode_forgotten] | Orig: The passcode isn't working for me. -> Aug: The passcode I'm using isn't recognized.
GEN | [cancel_transfer] | Orig: Can you help me to quickly cancel a transaction I accidentally did to the wrong account? -> Aug: Can you assist me in terminating a transfer I mistakenly made to the incorrect account?
GEN | [card_arrival] | Orig: My card isn't here yet. -> Aug: My credit card still hasn't arrived.
GEN | [lost_or_stolen_phone] | Orig: My phone was left at a hotel and I can't access the app. -> Aug: I left my phone at a hotel and I'm unable to access the app.
GEN | [terminate_account] | Orig: I am very dissatisfied with the services that you are providing.  I want to cancel my account. -> Aug: I'm extremely unhappy with the service I've received and would like to close my account.
GEN | [age_limit] | Orig: If I want my son to have his own account is that possible? -> Aug: Can I open an account for my child, considering the age limit for minors?
GEN | [verify_top_up] | Orig: this verifying the top up is annoying -> Aug: This top-up verification process is really frustrating.
GEN | [beneficiary_not_allowed] | Orig: Is there something wrong with the transferring functions? I keep trying to transfer funds and only get an error message. -> Aug: The transfer process is malfunctioning, and I'm receiving an error message every time I attempt to transfer funds.
GEN | [wrong_exchange_rate_for_cash_withdrawal] | Orig: Can I get money in my home currency at an ATM? I'm on vacation and don't have cash with me. This is cause for a bit of concern. Is it possible to withdraw here without additional cost? -> Aug: Can I get my local currency at an ATM? I'm traveling and need some cash, but I'm worried about the exchange rate being incorrect, which might result in an unexpected fee. Is it possible to withdraw some cash without incurring extra charges?
GEN | [Refund_not_showing_up] | Orig: I am noticing that a refund of a large purchase still has not been credited to my account. I contacted the merchant a few days ago and he assured me that he would submit it right away. Is there a status update? -> Aug: I'm concerned that a refund for a significant purchase hasn't been reflected in my account yet. I spoke with the merchant a few days ago and was told they would process the refund promptly. Can you provide an update on the status of this refund?
GEN | [declined_card_payment] | Orig: I was so embarrassed. Why didn't my payment clear? -> Aug: I'm really disappointed. My payment was declined, and I'm not sure why.
GEN | [reverted_card_payment?] | Orig: I bought something and already paid for it but now I don't see it. -> Aug: I made a purchase and settled the payment, but the item is still missing.
GEN | [cancel_transfer] | Orig: I made a mistake and performed a transaction on the wrong account! -> Aug: I accidentally initiated a transfer to the wrong account.
GEN | [cash_withdrawal_charge] | Orig: I just had a look at my statement. Why have I been changed for using the ATM? -> Aug: I've reviewed my statement and noticed a charge for using an ATM. Can you explain why I was charged for this transaction?
GEN | [card_not_working] | Orig: I tried to purchase airline tickets online this morning and my card information isn't working. Is there something going on with my account? -> Aug: I attempted to book a flight online this morning, but my credit card details aren't being accepted. Is there an issue with my account?
GEN | [beneficiary_not_allowed] | Orig: I cant transfer money into my account -> Aug: I'm unable to add funds to my account.
GEN | [card_not_working] | Orig: Need help to get my card to work. -> Aug: Can you assist me in resolving the issue with my card not functioning properly?
GEN | [edit_personal_details] | Orig: I just had a wedding and I want to take my spouses name. -> Aug: I recently got married and I'd like to update my personal details to reflect my new married name.
GEN | [top_up_reverted] | Orig: Did you lose my money? I had added funds through top-up not long ago and I know they were in my account, but they seem to have disappeared. What happened? -> Aug: I'm concerned about the funds I transferred through a recent top-up. I'm certain they were deposited into my account, but now they're gone. Can you help me figure out what went wrong?
GEN | [transfer_not_received_by_recipient] | Orig: Why can't the person I sent the money transfer to see it? -> Aug: The recipient is unable to view the transferred funds.
GEN | [card_payment_fee_charged] | Orig: Please tell me why I was charged additionally when I used the card. -> Aug: Please explain why I was assessed an extra fee when I made the payment using my card.
GEN | [topping_up_by_card] | Orig: My money disappeared right when I tried to top up -> Aug: My funds vanished when I attempted to add more using my card.
GEN | [order_physical_card] | Orig: How do I go about getting an actual card? -> Aug: What steps can I take to obtain a physical card?
GEN | [verify_top_up] | Orig: Tell me why I need top-up to be verified? -> Aug: Can you explain why the top-up needs to be verified before it can be processed?
GEN | [disposable_card_limits] | Orig: Do the disposable cards have any restrictions on them? -> Aug: Are there any limitations or restrictions associated with the disposable cards?
GEN | [fiat_currency_support] | Orig: Can I change or hold different currency? -> Aug: Can I switch or reserve a different currency?
GEN | [card_payment_fee_charged] | Orig: what is this extra charge with my purchase? -> Aug: what's the additional fee I'm being charged for this transaction?
GEN | [card_payment_fee_charged] | Orig: How can I tell if there will be a fee added to my payment or not? -> Aug: How can I determine if a fee will be applied to my payment or not?
GEN | [reverted_card_payment?] | Orig: What is the reason for my card payment to be reverted? -> Aug: Why was my card payment reversed?
GEN | [card_linking] | Orig: I found my lost card in my jacket pocket this morning so I'd like to reactivate it please. -> Aug: I discovered my misplaced card in my jacket pocket this morning, and I'd appreciate it if you could reactivate it for me.
GEN | [transfer_fee_charged] | Orig: Hey I thought transfers were free.  Why are you charging me? -> Aug: I was under the impression that transfers were fee-free. Can you explain why I'm being charged a transfer fee?
VAL | [top_up_by_cash_or_cheque] | UNKNOWN | Reason: N/A | Original: Can I top up online? | Augmented: Can I make a cash or cheque deposit online?
VAL | [pending_top_up] | ACCEPT | Reason: ... | Original: Did I do something incorrectly? Where is my top-up? | Augmented: Why hasn't my top-up been processed? I'm still waiting to see it reflected in my account.
VAL | [balance_not_updated_after_bank_transfer] | ACCEPT | Reason: The augmented text is asking about the same issue of a delay in updating the account balance after a transfer, which aligns with the target intent of 'balance_not_updated_after_bank_transfer'. It does not introduce any new or unsupported information and is not ambiguous. | Original: How long before transferred money shows up? | Augmented: When will the transferred amount be reflected in my account balance?
VAL | [card_acceptance] | ACCEPT | Reason: ... | Original: In which stores can I shop with this card? | Augmented: In which retail locations can I use this card for purchases?
VAL | [card_swallowed] | ACCEPT | Reason: The augmented text maintains the same intent of a card being swallowed by a machine and needing guidance on what to do next. | Original: My card was eaten by the cash machine what do I do? | Augmented: My card seems to have been swallowed by the ATM, what should I do now?
VAL | [passcode_forgotten] | ACCEPT | Reason: ... | Original: The passcode isn't working for me. | Augmented: The passcode I'm using isn't recognized.
VAL | [cancel_transfer] | ACCEPT | Reason: ... | Original: Can you help me to quickly cancel a transaction I accidentally did to the wrong account? | Augmented: Can you assist me in terminating a transfer I mistakenly made to the incorrect account?
VAL | [card_arrival] | ACCEPT | Reason: N/A | Original: My card isn't here yet. | Augmented: My credit card still hasn't arrived.
VAL | [lost_or_stolen_phone] | ACCEPT | Reason: N/A | Original: My phone was left at a hotel and I can't access the app. | Augmented: I left my phone at a hotel and I'm unable to access the app.
VAL | [terminate_account] | ACCEPT | Reason: ... | Original: I am very dissatisfied with the services that you are providing.  I want to cancel my account. | Augmented: I'm extremely unhappy with the service I've received and would like to close my account.
VAL | [age_limit] | ACCEPT | Reason: N/A | Original: If I want my son to have his own account is that possible? | Augmented: Can I open an account for my child, considering the age limit for minors?
VAL | [verify_top_up] | ACCEPT | Reason: N/A | Original: this verifying the top up is annoying | Augmented: This top-up verification process is really frustrating.
VAL | [beneficiary_not_allowed] | UNKNOWN | Reason: N/A | Original: Is there something wrong with the transferring functions? I keep trying to transfer funds and only get an error message. | Augmented: The transfer process is malfunctioning, and I'm receiving an error message every time I attempt to transfer funds.
VAL | [wrong_exchange_rate_for_cash_withdrawal] | ACCEPT | Reason: N/A | Original: Can I get money in my home currency at an ATM? I'm on vacation and don't have cash with me. This is cause for a bit of concern. Is it possible to withdraw here without additional cost? | Augmented: Can I get my local currency at an ATM? I'm traveling and need some cash, but I'm worried about the exchange rate being incorrect, which might result in an unexpected fee. Is it possible to withdraw some cash without incurring extra charges?
VAL | [Refund_not_showing_up] | ACCEPT | Reason: ... | Original: I am noticing that a refund of a large purchase still has not been credited to my account. I contacted the merchant a few days ago and he assured me that he would submit it right away. Is there a status update? | Augmented: I'm concerned that a refund for a significant purchase hasn't been reflected in my account yet. I spoke with the merchant a few days ago and was told they would process the refund promptly. Can you provide an update on the status of this refund?
VAL | [declined_card_payment] | ACCEPT | Reason: ... | Original: I was so embarrassed. Why didn't my payment clear? | Augmented: I'm really disappointed. My payment was declined, and I'm not sure why.
VAL | [reverted_card_payment?] | ACCEPT | Reason: N/A | Original: I bought something and already paid for it but now I don't see it. | Augmented: I made a purchase and settled the payment, but the item is still missing.
VAL | [cancel_transfer] | ACCEPT | Reason: N/A | Original: I made a mistake and performed a transaction on the wrong account! | Augmented: I accidentally initiated a transfer to the wrong account.
VAL | [cash_withdrawal_charge] | ACCEPT | Reason: ... | Original: I just had a look at my statement. Why have I been changed for using the ATM? | Augmented: I've reviewed my statement and noticed a charge for using an ATM. Can you explain why I was charged for this transaction?
VAL | [card_not_working] | ACCEPT | Reason: ... | Original: I tried to purchase airline tickets online this morning and my card information isn't working. Is there something going on with my account? | Augmented: I attempted to book a flight online this morning, but my credit card details aren't being accepted. Is there an issue with my account?
VAL | [beneficiary_not_allowed] | ACCEPT | Reason: N/A | Original: I cant transfer money into my account | Augmented: I'm unable to add funds to my account.
VAL | [card_not_working] | ACCEPT | Reason: ... | Original: Need help to get my card to work. | Augmented: Can you assist me in resolving the issue with my card not functioning properly?
VAL | [edit_personal_details] | ACCEPT | Reason: N/A | Original: I just had a wedding and I want to take my spouses name. | Augmented: I recently got married and I'd like to update my personal details to reflect my new married name.
VAL | [top_up_reverted] | ACCEPT | Reason: The augmented text preserves the same concern about a top-up transaction and the disappearance of funds, which is consistent with the original intent. It does not introduce any contradictory information or unsupported details. | Original: Did you lose my money? I had added funds through top-up not long ago and I know they were in my account, but they seem to have disappeared. What happened? | Augmented: I'm concerned about the funds I transferred through a recent top-up. I'm certain they were deposited into my account, but now they're gone. Can you help me figure out what went wrong?
VAL | [transfer_not_received_by_recipient] | ACCEPT | Reason: ... | Original: Why can't the person I sent the money transfer to see it? | Augmented: The recipient is unable to view the transferred funds.
VAL | [card_payment_fee_charged] | ACCEPT | Reason: ... | Original: Please tell me why I was charged additionally when I used the card. | Augmented: Please explain why I was assessed an extra fee when I made the payment using my card.
VAL | [topping_up_by_card] | ACCEPT | Reason: N/A | Original: My money disappeared right when I tried to top up | Augmented: My funds vanished when I attempted to add more using my card.
VAL | [order_physical_card] | ACCEPT | Reason: ... | Original: How do I go about getting an actual card? | Augmented: What steps can I take to obtain a physical card?
VAL | [verify_top_up] | ACCEPT | Reason: N/A | Original: Tell me why I need top-up to be verified? | Augmented: Can you explain why the top-up needs to be verified before it can be processed?
