GEN | [reverted_card_payment?] | Orig: My card payments have stopped. -> Aug: My card payments have ceased.
GEN | [card_payment_not_recognised] | Orig: This card payment isn't is recognition. -> Aug: This payment made with the card is not being recognized.
GEN | [lost_or_stolen_phone] | Orig: I was recently mugged and would like to know if I have to have access to the app to use your services and how I would go about setting up your services on a new device belonging to a current user? -> Aug: I had my phone stolen and I'm wondering if I need to access the app to use your services and how I can set up your services on a new device that's already linked to my account.
GEN | [why_verify_identity] | Orig: Do you need my birthdate? -> Aug: Can you confirm your date of birth with me?
GEN | [card_linking] | Orig: In the app, how can I make it show the new card that arrived? -> Aug: In the app, how can I access the recently added card?
GEN | [card_payment_not_recognised] | Orig: I do not recognise the card payment. -> Aug: I'm unable to verify the card payment.
GEN | [reverted_card_payment?] | Orig: Can you tell me why my card isn't letting me make purchases online? It's been 2 weeks I've been trying. -> Aug: Why is my card not allowing me to make online transactions? I've been trying for two weeks now.
GEN | [verify_my_identity] | Orig: Let me know what the steps for the identity checks are -> Aug: Can you walk me through the process of verifying my identity?
GEN | [country_support] | Orig: Can I use this all over the world? -> Aug: Can I access this service globally or internationally?
GEN | [why_verify_identity] | Orig: Can i make transactions before identity verification? -> Aug: Can I initiate transactions before completing the identity verification process?
GEN | [country_support] | Orig: What countries do your accounts send and receive to? -> Aug: Which countries do your accounts support international transactions to and from?
GEN | [visa_or_mastercard] | Orig: Can I select my card scheme or do you choose it for me? -> Aug: Do you allow me to choose between Visa and Mastercard, or do you automatically select the card type for me?
GEN | [get_disposable_virtual_card] | Orig: I need a single use card for shopping online -> Aug: I require a one-time use virtual card for online transactions
GEN | [topping_up_by_card] | Orig: My money I had was gone and I could not get gas! -> Aug: I was left with no funds and couldn't afford to fill up my tank.
GEN | [exchange_rate] | Orig: How do you do exchanges? -> Aug: What's the process for converting currencies?
GEN | [unable_to_verify_identity] | Orig: Problem verifying my account -> Aug: We're having trouble confirming your account information.
GEN | [unable_to_verify_identity] | Orig: How long will it take to verify my account? -> Aug: We're having trouble confirming your identity, and we need a bit more time to complete the verification process.
GEN | [card_acceptance] | Orig: Is my card denied anywhere? -> Aug: Is my credit card being rejected anywhere?
GEN | [why_verify_identity] | Orig: I still want to use my account but haven't verified is that OK? -> Aug: I'd like to continue using my account, but I haven't completed the verification process. Is that acceptable?
GEN | [pending_cash_withdrawal] | Orig: How long does it take to verify a cash withdraw? -> Aug: How long does it typically take to process a pending cash withdrawal request?
GEN | [virtual_card_not_working] | Orig: Please help me.  My disposable virtual card won't work right. -> Aug: Please assist me. My temporary virtual card is not functioning properly.
GEN | [declined_card_payment] | Orig: I keep trying to make a payment, but it doesn't work. -> Aug: I've been attempting to process a payment, but it's consistently being rejected.
GEN | [card_delivery_estimate] | Orig: I need my card immediately. -> Aug: I require my card as soon as possible.
GEN | [declined_card_payment] | Orig: I NEED HELP WITH MY CARD!!!!! please. It keeps getting declined when I try to use it. I have tried a few times to use it and it keeps getting rejected. I have no idea why. -> Aug: I'm having trouble with my card, as it's consistently being declined whenever I attempt to use it. Despite trying multiple times, it's still being rejected, and I'm unsure why this is happening.
GEN | [reverted_card_payment?] | Orig: The seller just told me he didn't get paid. After reviewing my account it did subtract the balance but now it has added it back to my account. I need you to please take care of this promptly. -> Aug: The seller informed me that they didn't receive the payment. Upon checking my account, I noticed that the payment was initially deducted, but it was then reversed and credited back to my account. Can you assist me with resolving this issue as soon as possible?
GEN | [cash_withdrawal_not_recognised] | Orig: There are incorrect charges on my account, there was a WD that was made by someone else.  I still have my card though. -> Aug: I'm experiencing an issue with an unauthorized cash withdrawal that was made on my account. I still have my card in my possession, but the transaction doesn't seem to be recognized by the system.
GEN | [country_support] | Orig: where do you have locations at -> Aug: which locations do you have in your country?
GEN | [card_acceptance] | Orig: How can I know where my card will be accepted? -> Aug: What areas can I expect to find merchants that accept my card?
GEN | [card_not_working] | Orig: Why won't the machine accept my card anymore? -> Aug: The card is not functioning properly and won't be recognized by the payment terminal.
GEN | [country_support] | Orig: can I use it all over the world? -> Aug: Can I utilize it globally or in any country worldwide?
GEN | [failed_transfer] | Orig: I need to know what is going on. I'm attempting to purchase a flat and need the money to pay on my initial mortgage payment. I'm only getting an error. Can you find out what's going on and help in making the transfer? -> Aug: I'm trying to complete a transaction to secure a new property and require the funds for my initial mortgage payment. However, I'm encountering an issue and receiving an error message. Could you investigate the cause and assist me in resolving the transfer problem?
GEN | [card_arrival] | Orig: I was expecting my new card by now. -> Aug: I'm still waiting for my new card to arrive.
GEN | [why_verify_identity] | Orig: Can I make transfers before my identity verification? -> Aug: Can I initiate transactions before completing the identity verification process?
GEN | [transfer_timing] | Orig: What are the time frames for the money to be available in my account? -> Aug: When can I expect the funds to be credited to my account?
GEN | [card_payment_wrong_exchange_rate] | Orig: I was charged the wing amount for an item. -> Aug: I was overcharged for the item, and the amount doesn't match the expected exchange rate.
GEN | [card_payment_not_recognised] | Orig: I didn't make a payment at this business. -> Aug: We didn't process a payment at this merchant.
GEN | [visa_or_mastercard] | Orig: What type of card will I receive? -> Aug: What kind of payment card will I be issued?
GEN | [card_linking] | Orig: Card has been received, how will it show up on the app? -> Aug: How will the newly received card be reflected in the app?
GEN | [card_payment_not_recognised] | Orig: Is there any way to know how the transaction got on my account? -> Aug: Can you help me understand how the payment was processed on my account?
