GEN | [topping_up_by_card] | Orig: How do I to up by card? -> Aug: How can I add funds to my account using my card?
GEN | [get_disposable_virtual_card] | Orig: how do the cards work? -> Aug: What's the process for obtaining a disposable virtual card?
GEN | [top_up_by_cash_or_cheque] | Orig: How can I add physical money to my card? -> Aug: You can replenish your card balance by depositing cash or cheque.
GEN | [card_delivery_estimate] | Orig: Give me my card, I need it now! -> Aug: Can you expedite the delivery of my card, please? I require it urgently.
GEN | [visa_or_mastercard] | Orig: I won't be pleased unless I get a Mastercard. -> Aug: I'm not satisfied unless I receive a Visa or Mastercard.
GEN | [atm_support] | Orig: Where can I get money from my card? -> Aug: How can I access funds from my card?
GEN | [automatic_top_up] | Orig: Can I add money in intervals to my account?  I will be traveling. -> Aug: Can I set up recurring deposits to my account, so I can maintain a steady balance while I'm away on my trip?
GEN | [fiat_currency_support] | Orig: What currencies can I not hold many in, if so what are they? -> Aug: Which fiat currencies are restricted for holding a large amount, and what are the limitations?
GEN | [visa_or_mastercard] | Orig: I do not want a VISA card. -> Aug: I prefer not to use a Mastercard.
GEN | [topping_up_by_card] | Orig: can other people use the app to add money to my account -> Aug: can I allow others to use the app to deposit funds into my account using their card?
GEN | [top_up_by_card_charge] | Orig: I topped off my card is that something you will charge me for? -> Aug: I'm wondering if there's a fee associated with adding funds to my card?
GEN | [country_support] | Orig: I am in the EU. Can I get one of your cards? -> Aug: I am a resident in the European Union. Can I obtain one of your credit cards?
GEN | [disposable_card_limits] | Orig: I need several cards per day. And I need to be able to throw away all of the cards I make. -> Aug: I require a large quantity of disposable cards daily, and I'd like the ability to discard them as needed.
GEN | [lost_or_stolen_phone] | Orig: I don't have my mobile device and am unable to make the payment because I forgot my details. -> Aug: I've misplaced my phone and can't access my account information to make the payment.
GEN | [visa_or_mastercard] | Orig: I'm wanting to get a Visa card today. -> Aug: I'm looking to obtain a Mastercard today.
GEN | [visa_or_mastercard] | Orig: I anticipate getting a Visa card -> Aug: I'm expecting to receive a Mastercard
GEN | [order_physical_card] | Orig: I want a real card -> Aug: I'd like a physical credit card.
GEN | [country_support] | Orig: I'm in the EU. Can I get one of your cards? -> Aug: I'm a resident of the European Union. Can I obtain one of your credit cards?
GEN | [topping_up_by_card] | Orig: Can I get my friends to add money to my account? -> Aug: Can I have my friends use their cards to top up my account?
GEN | [virtual_card_not_working] | Orig: My throwaway virtual card won't work -> Aug: My temporary virtual card is not functioning properly.
GEN | [top_up_by_bank_transfer_charge] | Orig: Are you going to charge me to collect the money? -> Aug: Will there be a fee for processing the bank transfer to top up my account?
GEN | [order_physical_card] | Orig: I need an actual card that I can hold in my hand, how do I do that? -> Aug: I'd like to request a physical card that I can physically possess, how can I go about ordering one?
GEN | [virtual_card_not_working] | Orig: I can't do any business with this virtual card. -> Aug: I'm unable to complete any transactions with this virtual card.
GEN | [topping_up_by_card] | Orig: Can my account be topped-up by friends of mine. -> Aug: Can I have my account replenished by my friends using their cards?
GEN | [order_physical_card] | Orig: How much is a physical card? -> Aug: What is the cost of a physical bank card?
GEN | [visa_or_mastercard] | Orig: I'm happy with Mastercard and want to stick with just that credit card. -> Aug: I'm content with Mastercard and would prefer to continue using only that Visa or Mastercard.
GEN | [atm_support] | Orig: Do I have to use bank approved ATM's -> Aug: Must I only use bank-recommended ATMs?
GEN | [order_physical_card] | Orig: How much for an actual card? -> Aug: What's the cost of a physical card?
GEN | [topping_up_by_card] | Orig: Who can have access to top up my account? -> Aug: Who is eligible to make a card-based account top-up for me?
GEN | [exchange_charge] | Orig: Do I have to pay more for exchanges? -> Aug: Are there additional fees for exchanging funds?
GEN | [lost_or_stolen_card] | Orig: I misplaced my card and I dont know where the last place is where I used the card last. Can you look at my account and tell me the last place I used the card? -> Aug: I'm not sure where I last used my card, but I think I might have misplaced it. Can you check my account activity to see the last transaction made with my card?
GEN | [activate_my_card] | Orig: I want to start using my card. -> Aug: I'd like to activate my card and begin making transactions.
GEN | [wrong_amount_of_cash_received] | Orig: i did not get any money but still was charged -> Aug: I was expecting to receive some cash, but instead, I was debited without any funds being transferred.
GEN | [balance_not_updated_after_cheque_or_cash_deposit] | Orig: Do you guys accept cash? Because i deposited some this morning and I can't see it in my account. -> Aug: We've received a cash deposit from you, but it's not showing up in your account balance yet. Can you please confirm if we accept cash deposits and when you can expect the update?
GEN | [receiving_money] | Orig: What are the steps for getting money from a friend? -> Aug: How do I receive money from a friend?
GEN | [card_acceptance] | Orig: Can I use my card while on vacation overseas? -> Aug: Can I make purchases with my card while traveling abroad?
VAL | [topping_up_by_card] | ACCEPT | Reason: N/A | Original: How do I to up by card? | Augmented: How can I add funds to my account using my card?
VAL | [get_disposable_virtual_card] | ACCEPT | Reason: N/A | Original: how do the cards work? | Augmented: What's the process for obtaining a disposable virtual card?
VAL | [top_up_by_cash_or_cheque] | ACCEPT | Reason: N/A | Original: How can I add physical money to my card? | Augmented: You can replenish your card balance by depositing cash or cheque.
VAL | [card_delivery_estimate] | ACCEPT | Reason: N/A | Original: Give me my card, I need it now! | Augmented: Can you expedite the delivery of my card, please? I require it urgently.
VAL | [visa_or_mastercard] | ACCEPT | Reason: N/A | Original: I won't be pleased unless I get a Mastercard. | Augmented: I'm not satisfied unless I receive a Visa or Mastercard.
VAL | [atm_support] | ACCEPT | Reason: Both texts are seeking information on accessing funds from a card, which aligns with the 'atm_support' intent. | Original: Where can I get money from my card? | Augmented: How can I access funds from my card?
VAL | [automatic_top_up] | ACCEPT | Reason: N/A | Original: Can I add money in intervals to my account?  I will be traveling. | Augmented: Can I set up recurring deposits to my account, so I can maintain a steady balance while I'm away on my trip?
VAL | [fiat_currency_support] | ACCEPT | Reason: N/A | Original: What currencies can I not hold many in, if so what are they? | Augmented: Which fiat currencies are restricted for holding a large amount, and what are the limitations?
VAL | [visa_or_mastercard] | UNKNOWN | Reason: N/A | Original: I do not want a VISA card. | Augmented: I prefer not to use a Mastercard.
VAL | [topping_up_by_card] | UNKNOWN | Reason: N/A | Original: can other people use the app to add money to my account | Augmented: can I allow others to use the app to deposit funds into my account using their card?
VAL | [top_up_by_card_charge] | ACCEPT | Reason: N/A | Original: I topped off my card is that something you will charge me for? | Augmented: I'm wondering if there's a fee associated with adding funds to my card?
VAL | [country_support] | ACCEPT | Reason: N/A | Original: I am in the EU. Can I get one of your cards? | Augmented: I am a resident in the European Union. Can I obtain one of your credit cards?
VAL | [disposable_card_limits] | ACCEPT | Reason: N/A | Original: I need several cards per day. And I need to be able to throw away all of the cards I make. | Augmented: I require a large quantity of disposable cards daily, and I'd like the ability to discard them as needed.
VAL | [lost_or_stolen_phone] | ACCEPT | Reason: N/A | Original: I don't have my mobile device and am unable to make the payment because I forgot my details. | Augmented: I've misplaced my phone and can't access my account information to make the payment.
VAL | [visa_or_mastercard] | UNKNOWN | Reason: N/A | Original: I'm wanting to get a Visa card today. | Augmented: I'm looking to obtain a Mastercard today.
VAL | [visa_or_mastercard] | REVIEW | Reason: N/A | Original: I anticipate getting a Visa card | Augmented: I'm expecting to receive a Mastercard
VAL | [order_physical_card] | ACCEPT | Reason: ... | Original: I want a real card | Augmented: I'd like a physical credit card.
VAL | [country_support] | ACCEPT | Reason: N/A | Original: I'm in the EU. Can I get one of your cards? | Augmented: I'm a resident of the European Union. Can I obtain one of your credit cards?
VAL | [topping_up_by_card] | ACCEPT | Reason: N/A | Original: Can I get my friends to add money to my account? | Augmented: Can I have my friends use their cards to top up my account?
VAL | [virtual_card_not_working] | ACCEPT | Reason: ... | Original: My throwaway virtual card won't work | Augmented: My temporary virtual card is not functioning properly.
VAL | [top_up_by_bank_transfer_charge] | ACCEPT | Reason: N/A | Original: Are you going to charge me to collect the money? | Augmented: Will there be a fee for processing the bank transfer to top up my account?
VAL | [order_physical_card] | ACCEPT | Reason: ... | Original: I need an actual card that I can hold in my hand, how do I do that? | Augmented: I'd like to request a physical card that I can physically possess, how can I go about ordering one?
VAL | [virtual_card_not_working] | ACCEPT | Reason: ... | Original: I can't do any business with this virtual card. | Augmented: I'm unable to complete any transactions with this virtual card.
VAL | [topping_up_by_card] | ACCEPT | Reason: N/A | Original: Can my account be topped-up by friends of mine. | Augmented: Can I have my account replenished by my friends using their cards?
VAL | [order_physical_card] | ACCEPT | Reason: N/A | Original: How much is a physical card? | Augmented: What is the cost of a physical bank card?
VAL | [visa_or_mastercard] | ACCEPT | Reason: N/A | Original: I'm happy with Mastercard and want to stick with just that credit card. | Augmented: I'm content with Mastercard and would prefer to continue using only that Visa or Mastercard.
VAL | [atm_support] | ACCEPT | Reason: ... | Original: Do I have to use bank approved ATM's | Augmented: Must I only use bank-recommended ATMs?
VAL | [order_physical_card] | ACCEPT | Reason: N/A | Original: How much for an actual card? | Augmented: What's the cost of a physical card?
VAL | [topping_up_by_card] | ACCEPT | Reason: N/A | Original: Who can have access to top up my account? | Augmented: Who is eligible to make a card-based account top-up for me?
VAL | [exchange_charge] | ACCEPT | Reason: N/A | Original: Do I have to pay more for exchanges? | Augmented: Are there additional fees for exchanging funds?
VAL | [lost_or_stolen_card] | ACCEPT | Reason: N/A | Original: I misplaced my card and I dont know where the last place is where I used the card last. Can you look at my account and tell me the last place I used the card? | Augmented: I'm not sure where I last used my card, but I think I might have misplaced it. Can you check my account activity to see the last transaction made with my card?
