GEN | [activate_my_card] | Orig: How can i make my card active? -> Aug: What steps can I take to activate my card?
GEN | [top_up_limits] | Orig: Is the top-up amount unlimited? -> Aug: Can the top-up limit be increased without any restrictions?
GEN | [pending_transfer] | Orig: I recently purchased something and the seller says my money has not arrived yet. It was in EU's. How long does this take? -> Aug: I recently made a purchase and the vendor informed me that the transfer is still pending. The transaction was in euros. Can you please provide an estimate of how long it usually takes for the funds to be received?
GEN | [transfer_into_account] | Orig: Why can I not transfer money into my account? -> Aug: Why am I unable to deposit funds into my account?
GEN | [activate_my_card] | Orig: My card activation attempt failed. -> Aug: My previous attempt to activate my card was unsuccessful.
GEN | [request_refund] | Orig: I bought a product a week ago, but may need to return it. -> Aug: I recently purchased a product, but I'm considering returning it.
GEN | [declined_transfer] | Orig: How do I make my transfer go through -> Aug: Why was my transfer rejected?
GEN | [transaction_charged_twice] | Orig: I have been overcharged. -> Aug: I've been mistakenly charged twice.
GEN | [beneficiary_not_allowed] | Orig: Why am I unable to transfer money when I was able to before? -> Aug: I'm having trouble sending funds, but I've successfully done so in the past. What's changed?
GEN | [verify_top_up] | Orig: Can you explain to me the way to verify my top up has gone through? -> Aug: Could you please guide me on the process of confirming that my top-up transaction has been successfully processed?
GEN | [card_swallowed] | Orig: I need a new card because the ATM took mine. -> Aug: I require a replacement card because I accidentally swallowed my original one.
GEN | [cash_withdrawal_charge] | Orig: Why did I get charged when getting cash? -> Aug: Why was I charged a fee for withdrawing cash?
GEN | [transfer_not_received_by_recipient] | Orig: Two days ago I did a transfer to another account within the country.  It doesn't appear the transfer went through.  I have verified the account number several times.  Could you please check on this for me? -> Aug: I made a domestic transfer two days ago, but it seems the recipient hasn't received the funds. I've double-checked the account number to ensure it's correct. Could you look into this matter for me?
GEN | [cash_withdrawal_charge] | Orig: Why was I charged when taking out money? -> Aug: Why was I assessed a fee when I withdrew cash?
GEN | [apple_pay_or_google_pay] | Orig: What services can I use to top up? -> Aug: What payment methods can I use to add funds?
GEN | [topping_up_by_card] | Orig: Can a credit card be used to transfer money? -> Aug: Can I use my credit card to add funds to my account?
GEN | [beneficiary_not_allowed] | Orig: why didnt a transfer to my account process -> Aug: why was I unable to receive a transfer into my account?
GEN | [exchange_charge] | Orig: is there a frequent currency discount? -> Aug: are there any regular exchange rate promotions available?
GEN | [lost_or_stolen_phone] | Orig: Please help!  I was mugged and everything stolen.  What do I do to stop them from accessing my account? -> Aug: I'm in a bit of a panic - I was robbed and my phone was taken, which means they have access to my account. Can you please assist me in securing my account to prevent any unauthorized transactions?
GEN | [compromised_card] | Orig: There's a possibility that my card was compromised. -> Aug: My card may have been compromised.
GEN | [exchange_charge] | Orig: How much do I have to pay to accept an international transfer? -> Aug: What is the exchange charge for accepting an international transfer?
GEN | [get_disposable_virtual_card] | Orig: Please explain how I use the disposable cards? -> Aug: Please provide instructions on how to utilize the virtual disposable cards.
GEN | [top_up_by_cash_or_cheque] | Orig: Is there somewhere I can send a check to add to my account? -> Aug: Can I send a check to deposit funds into my account?
GEN | [pending_top_up] | Orig: My account is  new  why can I  not top up -> Aug: My recently opened account is not allowing me to make a top-up transaction.
GEN | [top_up_by_cash_or_cheque] | Orig: How do I add cash to my account? -> Aug: How can I replenish my account balance using cash or a cheque?
GEN | [balance_not_updated_after_bank_transfer] | Orig: How long do transfers to international banks take? I made one to france a couple of days ago, but it's still not there. -> Aug: I'm trying to understand why my international bank transfer to France hasn't been reflected in my account balance yet, as it was initiated a few days ago.
GEN | [lost_or_stolen_card] | Orig: Help!  I fear that my card was stolen, -> Aug: I'm worried that my card has been stolen.
GEN | [beneficiary_not_allowed] | Orig: I couldn't transfer money to my bank, why not? -> Aug: I'm unable to make a transfer to my account, what's the reason?
GEN | [topping_up_by_card] | Orig: I want to transfer money with my credit card. -> Aug: I'd like to add funds to my account using my credit card.
GEN | [card_swallowed] | Orig: I didn't get my card back from the ATM. -> Aug: I failed to retrieve my card from the ATM.
GEN | [declined_cash_withdrawal] | Orig: Why can't I get cash out? -> Aug: Why was my cash withdrawal request denied?
GEN | [pending_card_payment] | Orig: pending transaction? -> Aug: outstanding payment
GEN | [get_disposable_virtual_card] | Orig: How do I use the disposable cards? -> Aug: What steps do I need to follow to utilize the temporary virtual cards?
GEN | [pending_transfer] | Orig: How long do EU transfers actually take? I bought something online a couple days ago, sent the money immediately online but the seller says it's still not there yet. -> Aug: How long does it typically take for international transfers to be processed? I made an online purchase a few days ago and initiated the transfer promptly, but the vendor is telling me that the funds are still pending.
GEN | [declined_cash_withdrawal] | Orig: I tried to get funds in hard cash but it was rejected! -> Aug: I attempted to withdraw cash, but the transaction was declined.
GEN | [top_up_limits] | Orig: What is the top-up limit on my cards? -> Aug: What is the maximum amount I can add to my card balance at one time?
GEN | [supported_cards_and_currencies] | Orig: I wish to use my American Express to put funds into my account. -> Aug: I'd like to deposit funds into my account using my American Express card.
GEN | [card_acceptance] | Orig: Do all businesses take this card? -> Aug: Can all merchants accept this card?
GEN | [pending_card_payment] | Orig: I made a payment with my card and it hasn't changed. How long do you think this will take? -> Aug: I authorized a payment using my card, but the status remains pending. Can you tell me when I can expect it to be processed?
