GEN | [activate_my_card] | Orig: will you be able to activate my card -> Aug: can you assist me in activating my card
GEN | [activate_my_card] | Orig: My card activation attempt failed. -> Aug: My previous attempt to activate my card was unsuccessful.
GEN | [activate_my_card] | Orig: I need my card to be activated right now. -> Aug: I require immediate activation of my card.
GEN | [balance_not_updated_after_cheque_or_cash_deposit] | Orig: I deposited cash into my account and I'm having trouble seeing it on my account. -> Aug: I made a cash deposit into my account, but my account balance hasn't been updated yet.
GEN | [why_verify_identity] | Orig: If my identy verifacation hasn't gone through can I use my account? -> Aug: If my identity verification process hasn't been completed, can I still access my account?
GEN | [transfer_not_received_by_recipient] | Orig: I sent money to my family last Friday but they don't have it. -> Aug: I made a transfer to my family on Friday, but they haven't received it yet.
GEN | [reverted_card_payment?] | Orig: My card payment has not been withdrawn from my account -> Aug: Did my card payment get reversed from my account?
GEN | [reverted_card_payment?] | Orig: Why wasn't my payment accepted by the app -> Aug: Why was my payment rejected by the app?
GEN | [order_physical_card] | Orig: how much does a card cost and why do you charge me -> Aug: What is the price of a physical card, and can you explain the fees associated with it?
GEN | [card_linking] | Orig: how do I get my card to show in the app? -> Aug: why isn't my card visible in the app?
GEN | [wrong_amount_of_cash_received] | Orig: I tried taking out 30 pounds from the ATM just now and it only gave me 10. Why would it do that? I need the 30 pounds now! -> Aug: I withdrew 30 pounds from the ATM, but it dispensed only 10. Can you explain why this happened? I urgently need the remaining amount.
GEN | [wrong_amount_of_cash_received] | Orig: Hi, Please help me to request cash back. As i have been withdrawn money from ATM, but i got wrong amount. in Application its showing the amount i have been charged through. -> Aug: I'm having an issue with a recent ATM withdrawal. I took out some cash, but the amount I received was incorrect. The app shows the amount I was charged, but it's not what I actually got.
GEN | [balance_not_updated_after_cheque_or_cash_deposit] | Orig: the balance has not changed, but I have deposited some money -> Aug: The balance remains the same, despite the recent deposit.
GEN | [cash_withdrawal_not_recognised] | Orig: Please help me, its urgent. Someone has withdrawn money from my account as few hours before my wallet has been. Now i want to stop withdrawal of more money. -> Aug: I'm in a rush, please assist me. I've noticed an unexpected cash withdrawal from my account, and I'm worried that someone might continue to access my funds. Can you help me put a stop to any further transactions?
GEN | [declined_card_payment] | Orig: My card couldn't pay in a shop. -> Aug: My payment was declined at a store.
GEN | [pending_cash_withdrawal] | Orig: Why does it still charge me even though I was unable to withdraw money from the ATM? -> Aug: Why am I still being charged for a cash withdrawal attempt that was unsuccessful at the ATM?
GEN | [pin_blocked] | Orig: I cannot use my PIN. -> Aug: I'm having trouble accessing my account due to a PIN issue.
GEN | [terminate_account] | Orig: What's the process for terminating an account? -> Aug: How do I go about closing my account?
GEN | [card_payment_fee_charged] | Orig: Why did I have to pay an additional amount when using my card to pay? -> Aug: Why was I charged an extra fee when I used my card to make a payment?
GEN | [activate_my_card] | Orig: You can activate your card in a few seconds by going to account, hitting activate, and just following the directions. -> Aug: You can easily activate your card by accessing your account, selecting the 'activate' option, and following the on-screen instructions.
GEN | [terminate_account] | Orig: Remove my account immediately. -> Aug: Cancel my account forthwith.
GEN | [visa_or_mastercard] | Orig: I need a Visa card -> Aug: I require a Mastercard
GEN | [card_arrival] | Orig: I want to find out what happened to my new card? -> Aug: I'm trying to figure out what's going on with my recently issued card.
GEN | [card_payment_not_recognised] | Orig: There is a payment in the app that I did not approve -> Aug: A payment has been recorded in the app that I did not authorize.
GEN | [transfer_into_account] | Orig: What are the steps for  making a transfer for topping up? -> Aug: How do I initiate a transfer to add funds to an account?
GEN | [exchange_charge] | Orig: is there a frequent currency discount? -> Aug: are there any regular exchange rate promotions available?
GEN | [order_physical_card] | Orig: Card delivery services? Where? -> Aug: How do I get my physical card delivered?
GEN | [direct_debit_payment_not_recognised] | Orig: There is a payment in my app that I did not make.  I have not used that card all day  Please reimburse my money. -> Aug: I'm showing a payment in my account that I didn't initiate. I haven't used that card at all today, so I'm not sure why it's showing up. Can you investigate and refund the amount?
GEN | [declined_card_payment] | Orig: I tried to pay with my card and it didn't work -> Aug: I attempted to make a payment using my credit/debit card, but it was unsuccessful.
GEN | [age_limit] | Orig: I need to set up an account for my daughter, how would I do that? -> Aug: I'd like to open an account for my child, what's the process for doing so?
GEN | [card_payment_fee_charged] | Orig: You advertise no fee when paying with a card then my statement shows a fee. -> Aug: You claim there's no charge for card payments, but I've been charged a fee on my statement.
GEN | [beneficiary_not_allowed] | Orig: why didnt a transfer to my account process -> Aug: why was I unable to receive a transfer into my account?
GEN | [unable_to_verify_identity] | Orig: I dont have identification -> Aug: We're having trouble confirming your identity.
GEN | [pin_blocked] | Orig: I have used all of my PIN tries. What should I do now? -> Aug: I've exhausted my PIN attempts. What's the next step I should take?
GEN | [cash_withdrawal_not_recognised] | Orig: My wallet got stolen a couple hours ago and now I've seen there already is a withdrawal. Help this is absolutely urgent I don't want to loose more money -> Aug: My wallet was stolen a short while ago, and I've just noticed an unauthorized withdrawal. I'm extremely concerned and need immediate assistance to prevent further unauthorized transactions.
GEN | [wrong_amount_of_cash_received] | Orig: I haven't received my cash yet. -> Aug: I'm still waiting to receive the cash.
GEN | [top_up_limits] | Orig: Is the top-up amount unlimited? -> Aug: Can the top-up limit be increased without any restrictions?
VAL | [activate_my_card] | ACCEPT | Reason: ... | Original: will you be able to activate my card | Augmented: can you assist me in activating my card
VAL | [activate_my_card] | ACCEPT | Reason: N/A | Original: My card activation attempt failed. | Augmented: My previous attempt to activate my card was unsuccessful.
VAL | [activate_my_card] | ACCEPT | Reason: ... | Original: I need my card to be activated right now. | Augmented: I require immediate activation of my card.
VAL | [balance_not_updated_after_cheque_or_cash_deposit] | ACCEPT | Reason: N/A | Original: I deposited cash into my account and I'm having trouble seeing it on my account. | Augmented: I made a cash deposit into my account, but my account balance hasn't been updated yet.
VAL | [why_verify_identity] | ACCEPT | Reason: ... | Original: If my identy verifacation hasn't gone through can I use my account? | Augmented: If my identity verification process hasn't been completed, can I still access my account?
VAL | [transfer_not_received_by_recipient] | ACCEPT | Reason: N/A | Original: I sent money to my family last Friday but they don't have it. | Augmented: I made a transfer to my family on Friday, but they haven't received it yet.
VAL | [reverted_card_payment?] | REVIEW | Reason: N/A | Original: My card payment has not been withdrawn from my account | Augmented: Did my card payment get reversed from my account?
VAL | [reverted_card_payment?] | ACCEPT | Reason: N/A | Original: Why wasn't my payment accepted by the app | Augmented: Why was my payment rejected by the app?
VAL | [order_physical_card] | ACCEPT | Reason: N/A | Original: how much does a card cost and why do you charge me | Augmented: What is the price of a physical card, and can you explain the fees associated with it?
VAL | [card_linking] | ACCEPT | Reason: N/A | Original: how do I get my card to show in the app? | Augmented: why isn't my card visible in the app?
VAL | [wrong_amount_of_cash_received] | ACCEPT | Reason: ... | Original: I tried taking out 30 pounds from the ATM just now and it only gave me 10. Why would it do that? I need the 30 pounds now! | Augmented: I withdrew 30 pounds from the ATM, but it dispensed only 10. Can you explain why this happened? I urgently need the remaining amount.
VAL | [wrong_amount_of_cash_received] | ACCEPT | Reason: ... | Original: Hi, Please help me to request cash back. As i have been withdrawn money from ATM, but i got wrong amount. in Application its showing the amount i have been charged through. | Augmented: I'm having an issue with a recent ATM withdrawal. I took out some cash, but the amount I received was incorrect. The app shows the amount I was charged, but it's not what I actually got.
VAL | [balance_not_updated_after_cheque_or_cash_deposit] | ACCEPT | Reason: N/A | Original: the balance has not changed, but I have deposited some money | Augmented: The balance remains the same, despite the recent deposit.
VAL | [cash_withdrawal_not_recognised] | ACCEPT | Reason: N/A | Original: Please help me, its urgent. Someone has withdrawn money from my account as few hours before my wallet has been. Now i want to stop withdrawal of more money. | Augmented: I'm in a rush, please assist me. I've noticed an unexpected cash withdrawal from my account, and I'm worried that someone might continue to access my funds. Can you help me put a stop to any further transactions?
VAL | [declined_card_payment] | ACCEPT | Reason: ... | Original: My card couldn't pay in a shop. | Augmented: My payment was declined at a store.
VAL | [pending_cash_withdrawal] | ACCEPT | Reason: ... | Original: Why does it still charge me even though I was unable to withdraw money from the ATM? | Augmented: Why am I still being charged for a cash withdrawal attempt that was unsuccessful at the ATM?
VAL | [pin_blocked] | ACCEPT | Reason: N/A | Original: I cannot use my PIN. | Augmented: I'm having trouble accessing my account due to a PIN issue.
VAL | [terminate_account] | ACCEPT | Reason: Both texts are asking about the process to end an account, which is consistent with the target intent of 'terminate_account'. There is no contradiction or ambiguity introduced. | Original: What's the process for terminating an account? | Augmented: How do I go about closing my account?
VAL | [card_payment_fee_charged] | ACCEPT | Reason: The augmented text maintains the core question about an additional charge (fee) for a card payment, which is consistent with the original intent. | Original: Why did I have to pay an additional amount when using my card to pay? | Augmented: Why was I charged an extra fee when I used my card to make a payment?
VAL | [activate_my_card] | ACCEPT | Reason: ... | Original: You can activate your card in a few seconds by going to account, hitting activate, and just following the directions. | Augmented: You can easily activate your card by accessing your account, selecting the 'activate' option, and following the on-screen instructions.
VAL | [terminate_account] | ACCEPT | Reason: N/A | Original: Remove my account immediately. | Augmented: Cancel my account forthwith.
VAL | [visa_or_mastercard] | REVIEW | Reason: N/A | Original: I need a Visa card | Augmented: I require a Mastercard
VAL | [card_arrival] | ACCEPT | Reason: N/A | Original: I want to find out what happened to my new card? | Augmented: I'm trying to figure out what's going on with my recently issued card.
VAL | [card_payment_not_recognised] | ACCEPT | Reason: N/A | Original: There is a payment in the app that I did not approve | Augmented: A payment has been recorded in the app that I did not authorize.
VAL | [transfer_into_account] | ACCEPT | Reason: N/A | Original: What are the steps for  making a transfer for topping up? | Augmented: How do I initiate a transfer to add funds to an account?
VAL | [exchange_charge] | ACCEPT | Reason: N/A | Original: is there a frequent currency discount? | Augmented: are there any regular exchange rate promotions available?
VAL | [order_physical_card] | ACCEPT | Reason: N/A | Original: Card delivery services? Where? | Augmented: How do I get my physical card delivered?
VAL | [direct_debit_payment_not_recognised] | ACCEPT | Reason: N/A | Original: There is a payment in my app that I did not make.  I have not used that card all day  Please reimburse my money. | Augmented: I'm showing a payment in my account that I didn't initiate. I haven't used that card at all today, so I'm not sure why it's showing up. Can you investigate and refund the amount?
VAL | [declined_card_payment] | ACCEPT | Reason: ... | Original: I tried to pay with my card and it didn't work | Augmented: I attempted to make a payment using my credit/debit card, but it was unsuccessful.
VAL | [age_limit] | ACCEPT | Reason: N/A | Original: I need to set up an account for my daughter, how would I do that? | Augmented: I'd like to open an account for my child, what's the process for doing so?
VAL | [card_payment_fee_charged] | ACCEPT | Reason: The augmented text maintains the core issue of a fee being charged despite being told there would be none, which is consistent with the original intent. | Original: You advertise no fee when paying with a card then my statement shows a fee. | Augmented: You claim there's no charge for card payments, but I've been charged a fee on my statement.
VAL | [beneficiary_not_allowed] | ACCEPT | Reason: N/A | Original: why didnt a transfer to my account process | Augmented: why was I unable to receive a transfer into my account?
VAL | [unable_to_verify_identity] | ACCEPT | Reason: N/A | Original: I dont have identification | Augmented: We're having trouble confirming your identity.
VAL | [pin_blocked] | ACCEPT | Reason: ... | Original: I have used all of my PIN tries. What should I do now? | Augmented: I've exhausted my PIN attempts. What's the next step I should take?
VAL | [cash_withdrawal_not_recognised] | ACCEPT | Reason: N/A | Original: My wallet got stolen a couple hours ago and now I've seen there already is a withdrawal. Help this is absolutely urgent I don't want to loose more money | Augmented: My wallet was stolen a short while ago, and I've just noticed an unauthorized withdrawal. I'm extremely concerned and need immediate assistance to prevent further unauthorized transactions.
VAL | [wrong_amount_of_cash_received] | UNKNOWN | Reason: N/A | Original: I haven't received my cash yet. | Augmented: I'm still waiting to receive the cash.
VAL | [top_up_limits] | ACCEPT | Reason: N/A | Original: Is the top-up amount unlimited? | Augmented: Can the top-up limit be increased without any restrictions?
VAL_SUMMARY | ACCEPT: 34 | REVIEW: 2 | REJECT: 0 | UNKNOWN: 1 | Accept Rate: 0.9189
