GEN | [getting_virtual_card] | Orig: what is a virtual and how do i get one -> Aug: How do I obtain a virtual card, and what is its purpose?
GEN | [visa_or_mastercard] | Orig: Can I get a Visa or does it have to be something else. -> Aug: Can I use a Mastercard instead, or is it specifically a Visa requirement?
GEN | [visa_or_mastercard] | Orig: I prefer Mastecard. -> Aug: I would rather use Mastercard.
GEN | [edit_personal_details] | Orig: I am here to change my adress. -> Aug: I'd like to update my residential address.
GEN | [change_pin] | Orig: Can I change my PIN in Austria? -> Aug: Can I modify my PIN in Austria?
GEN | [visa_or_mastercard] | Orig: Can I get a Visa from you? -> Aug: Can I obtain a Mastercard from you instead?
GEN | [visa_or_mastercard] | Orig: I prefer Visa, can I get that instead? -> Aug: I'd like to opt for a Visa, if possible?
GEN | [change_pin] | Orig: Do I have to change my PIN at a bank? -> Aug: Can I modify my PIN at a bank's location?
GEN | [edit_personal_details] | Orig: I am looking to change my adress. -> Aug: I'd like to update my residential address.
GEN | [card_delivery_estimate] | Orig: Are the delivery days flexible?  My schedule only allows me to be a available on specific dates. -> Aug: Can you accommodate my schedule, which has specific availability on certain dates, for the card delivery?
GEN | [change_pin] | Orig: I'm in Austria right now, but I really need to change my PIN right now. Can I do this even though I'm in another country? -> Aug: I'm currently abroad in Austria, but I urgently need to modify my PIN. Can I still make this change despite being in a different country?
GEN | [change_pin] | Orig: Can I change my PIN on holiday? -> Aug: Can I modify my PIN while I'm away on vacation?
GEN | [edit_personal_details] | Orig: details need to be modified -> Aug: information needs to be updated
GEN | [change_pin] | Orig: Can I change my PIN at my local bank? -> Aug: Can I modify my PIN at a nearby bank branch?
GEN | [top_up_by_cash_or_cheque] | Orig: What is your check-cashing policy? -> Aug: You can top up your account by cash or cheque.
GEN | [pin_blocked] | Orig: What should I do if I exceed my PIN tries? -> Aug: What should I do if I reach the maximum number of PIN attempts allowed?
GEN | [change_pin] | Orig: Do I need to speak to a representative to change my pin? -> Aug: Can I request assistance from a representative to modify my personal identification number (PIN)?
GEN | [visa_or_mastercard] | Orig: I want to get a Visa -> Aug: I'd like to obtain a Mastercard
GEN | [top_up_by_cash_or_cheque] | Orig: Can I purchase with cash or cheque? -> Aug: May I pay using cash or by cheque?
GEN | [terminate_account] | Orig: This place has been too much work so I'd just like to close out my account & be done. -> Aug: This account has become too burdensome, and I'd prefer to shut it down and move on.
GEN | [card_delivery_estimate] | Orig: i need to add express delivery if that's an option -> Aug: I'd like to inquire about the possibility of expedited shipping for my card delivery.
GEN | [edit_personal_details] | Orig: I must change my address. -> Aug: I need to update my residential information.
GEN | [change_pin] | Orig: How can I change my Rowlock ? -> Aug: How do I modify my PIN?
GEN | [change_pin] | Orig: I must change my PIN as soon as possible. -> Aug: I need to update my PIN immediately.
GEN | [pin_blocked] | Orig: What if I type in the wrong PIN too many times? -> Aug: What happens if I enter my PIN incorrectly multiple times?
GEN | [change_pin] | Orig: Help me with a PIN change. -> Aug: Assist me in updating my PIN.
GEN | [beneficiary_not_allowed] | Orig: What are then rules on beneficiaries? -> Aug: What are the restrictions on beneficiary designations?
GEN | [terminate_account] | Orig: I want to close my account now. -> Aug: I'd like to cancel my account immediately.
GEN | [top_up_by_cash_or_cheque] | Orig: where can i deposit a check -> Aug: where can i make a deposit by cheque
GEN | [receiving_money] | Orig: What do I need to do to get my salary through this? -> Aug: How can I receive my salary payment through this channel?
GEN | [change_pin] | Orig: I want to change my PIN - do I need to be in a bank? -> Aug: I'd like to modify my PIN - must I visit a bank branch to do so?
GEN | [edit_personal_details] | Orig: Talk me through modifying my details. -> Aug: Can you guide me through the process of updating my personal information?
GEN | [card_delivery_estimate] | Orig: can the delivery be specific to my needs? -> Aug: Can you provide more details about your specific needs, so we can tailor the delivery of your card to meet them?
GEN | [top_up_by_cash_or_cheque] | Orig: Do you take checks? -> Aug: Can you accept payments by cheque or cash?
GEN | [visa_or_mastercard] | Orig: I need a Visa and a Mastercard from you. -> Aug: I require both a Visa and a Mastercard from your institution.
GEN | [beneficiary_not_allowed] | Orig: Why am I not allowed to add a certain beneficiary? -> Aug: You are not permitted to add a specific beneficiary.
GEN | [why_verify_identity] | Orig: Why are you asking so many questions about who I am -> Aug: What's the purpose behind all these inquiries about my identity?
GEN | [verify_my_identity] | Orig: What type of ID do you accept? -> Aug: We accept various forms of identification. Which one would you like to provide?
GEN | [edit_personal_details] | Orig: Can I change my name?  I am not married. -> Aug: Can I update my personal information, specifically my name, since I am not married?
