GEN | [Assignments] | Text: The benefits payable to the Participant under the Plan shall not be subject to alienation, transfer, assignment, garnishment, execution, or attachment of any kind and any attempt to cause any benefits to be so subjected shall not be recognized.
GEN | [Amendments] | Text: The parties agree that no amendments of this Agreement may be made except by means of a written agreement signed by each of the parties and approved by the Company's Chief Executive Officer (the "CEO") or the CEO's designee.
GEN | [Severability] | Text: The parties intend Sections 8 and 9 of this Agreement to be enforced as written. However, if any portion or provision of such sections shall, to any extent, be declared illegal or unenforceable by a court having jurisdiction, then the remainder of such sections, or the application of such portion or provision in circumstances other than those as to which it is so declared illegal or unenforceable, shall not be affected thereby, and each remaining portion and provision of such sections shall be valid and enforceable to the fullest extent permitted by law.
GEN | [Expenses] | Text: The plan administrator shall serve without bond unless state or federal statutes require otherwise, in which event the Company shall pay the premium of any statutorily required bond. Except as may otherwise be provided in this Agreement, the expenses of the plan administrator shall be paid by the Company. Such expenses shall include all expenses incident to the functioning of the plan administrator, including litigation costs, fees of accountants, counsel, and other specialists, and other costs of administering the Plan, as well as any other expenses necessary to ensure the proper administration of the Plan.
GEN | [Entire Agreements] | Text: This Agreement, that certain Confidentiality Agreement, dated as of July 3, 2016, by and between the Company and Leonard Green & Partners, L.P., that certain Shareholders’ Agreement, dated as of the date hereof, by and between the Company and the Purchaser (the “Shareholders’ Agreement”) and the Investment Agreement are intended by the parties as a final expression of their agreement, and are intended to be a complete and exclusive statement of the agreement and understanding of the parties hereto in respect of the subject matter contained herein and therein. There are no restrictions, promises, warranties or undertakings, other than those set forth or referred to herein and therein, with respect to the registration rights granted by the Company with respect to Registrable Securities. This Agreement, together with the Investment Agreement and the Shareholders’ Agreement, supersedes all prior agreements and understandings between the parties with respect to such subject matter. Notwithstanding the foregoing, this Agreement shall not supersede the transfer restrictions in the Shareholders’ Agreement, and the parties acknowledge that the Investment Agreement and the Shareholders’ Agreement are hereby incorporated by reference.
GEN | [Terms] | Text: At the time any Award is made under this Article VIII, the Company and the Holder shall enter into a Restricted Stock Agreement setting forth each of the matters contemplated thereby and such other matters as the Committee may determine to be appropriate. Shares awarded pursuant to a Restricted Stock Award shall be represented by a share certificate registered in the name of the Holder of such Restricted Stock Award. If provided for under the Restricted Stock Agreement, the Holder shall have the right to vote Shares subject thereto and to enjoy all other stockholder rights, including the entitlement to receive dividends on the Shares during the Restriction Period, except that (i) the Holder shall not be entitled to delivery of the share certificate until the Restriction Period shall have expired, (ii) the Company shall retain custody of the share certificate during the Restriction Period (with a share power endorsed by the Holder in blank), (iii) the Holder may not sell, transfer, pledge, exchange, hypothecate or otherwise dispose of the Shares during the Restriction Period and (iv) a breach of the terms and conditions established by the Committee pursuant to the Restricted Stock Agreement shall cause a forfeiture of the Restricted Stock Award. At the time of such Award, the Committee may, in its sole discretion, prescribe additional terms and conditions or restrictions relating to Restricted Stock Awards, including, but not limited to, rules pertaining to the effect of Termination of Service prior to expiration of the Restriction Period. Such additional terms, conditions or restrictions shall, to the extent inconsistent with the provisions of Sections 6.2, 6.3 and 6.4, as applicable, be set forth in a Restricted Stock Agreement made in conjunction with the Award. Such Restricted Stock Agreement may also include provisions relating to: (i) subject to the provisions hereof, accelerated vesting of Awards, including but not limited to accelerated vesting upon the occurrence of a Change of Control, (
GEN | [Submission To Jurisdiction] | Text: Borrower hereby irrevocably and unconditionally agrees that any legal action, suit or proceeding arising out of or relating to this Note may be brought in the courts of the State of Florida or of the United States of America for the Middle District of Florida and submits to the exclusive jurisdiction of any such court in any such action, suit or proceeding. Final judgment against Borrower in any action, suit or proceeding shall be conclusive and may be enforced in any other jurisdiction by suit on the judgment.
GEN | [Amendments] | Text: Guarantor shall remain obligated hereunder notwithstanding that, without any reservation of rights against Guarantor and without notice to or further assent by Guarantor, any demand for payment of any of the Secured Obligations made by the Administrative Agent or the Required Lenders may be rescinded by the Administrative Agent or the Required Lenders and any of the Secured Obligations continued, and the Secured Obligations, or the liability of any other Person upon or for any part thereof, or any collateral security or guaranty therefor or right of offset with respect thereto, may, from time to time, in whole or in part, be renewed, extended, amended, modified, accelerated, compromised, waived, surrendered or released by the Administrative Agent (or the Required Lenders or all the Lenders, as the case may be) and the Credit Agreement and the other Loan Documents and any other documents executed and delivered in connection therewith may be amended, modified, supplemented or terminated, in whole or in part, as the Administrative Agent (or the Required Lenders or all the Lenders, as the case may be) may deem advisable from time to time.
GEN | [Effectiveness] | Text: This Agreement shall be effective as of the Effective Time. In the event the Merger Agreement is terminated for any reason, this Agreement shall be deemed null and void ab initio, without prejudice to the rights and obligations of the parties under the Merger Agreement.
GEN | [Consent To Jurisdiction] | Text: The Company and Indemnitee each hereby irrevocably consent to the jurisdiction of the courts of the State of Delaware for all purposes in connection with any Proceeding which arises out of or relates to this Agreement. Notwithstanding the foregoing, Indemnitee or a Third Party Beneficiary, at Indemnitee or such Third Party Beneficiary's option, may seek an award in arbitration to be conducted by a single arbitrator in accordance with the rules of the American Arbitration Association. The Company shall not oppose Indemnitee or a Third Party Beneficiary's right to seek any such adjudication or award in arbitration.
GEN | [Consent To Jurisdiction] | Text: The Company and Indemnitee each hereby irrevocably consent to the jurisdiction of the courts of the State of Delaware for all purposes in connection with any Proceeding which arises out of or relates to this Agreement. Notwithstanding the foregoing, Indemnitee or a Third Party Beneficiary, at Indemnitee or such Third Party Beneficiary's option, may seek an award in arbitration to be conducted by a single arbitrator in accordance with the rules of the American Arbitration Association. The Company shall not oppose Indemnitee or a Third Party Beneficiary's right to seek any such adjudication or award in arbitration.
GEN | [Submission To Jurisdiction] | Text: The Borrower hereby irrevocably consents to the nonexclusive jurisdiction of any state or federal court in Denver, Colorado, and consents that Lender may effect any service of process in the manner and at the Borrower's address set forth in Schedule A for providing notice or demand; provided that nothing contained in this Agreement will prevent Lender from bringing any action, enforcing any award or judgment or exercising any rights against the Borrower individually, against any collateral or against any property of the Borrower within any other county, state or other foreign or domestic jurisdiction.
GEN | [Terms] | Text: The Compensation Committee shall have authority and responsibility and all necessary discretion for granting shares of Restricted Stock under this Plan and setting the terms and conditions of each grant to the extent not inconsistent with the terms of this Plan. Each grant and the terms and conditions of that grant shall be evidenced by a restricted stock agreement between the Company and the person to whom such grant of Restricted Stock has been granted. The Compensation Committee shall have the power and authority, which need not be exercised uniformly among all grants, to set the terms and conditions of each grant of shares of Restricted Stock, provided that such terms and conditions are consistent with the purposes and objectives of this Plan.
