GEN | [disposable_card_limits] | Orig: I need several cards per day. And I need to be able to throw away all of the cards I make. -> Aug: I require a high daily limit on my disposable card, and I'd like to know if I can dispose of the used cards without any issues.
GEN | [exchange_via_app] | Orig: Can I use this app to change money? -> Aug: Can I make an exchange using this mobile app?
GEN | [card_payment_fee_charged] | Orig: Is there an allowance on cards? -> Aug: Are there any exceptions or waivers for card payment fees?
GEN | [exchange_charge] | Orig: Would you be able to offer me a discount, since I need to exchange currencies frequently? -> Aug: Could you consider waiving the exchange fee for me since I'm a frequent user of your currency exchange services?
GEN | [card_delivery_estimate] | Orig: i need to expedite my card -> Aug: I'd be happy to assist you with estimating the delivery time for your card. Can you please provide me with your card's tracking number or the order number so I can look into it for you?
GEN | [order_physical_card] | Orig: Where do you export the cards to? -> Aug: Can you please provide the shipping address for the physical card I'd like to order?
GEN | [exchange_via_app] | Orig: Can this convert money? -> Aug: Can I exchange currency using the app?
GEN | [transfer_fee_charged] | Orig: Does it cost anything to buy something from another country? Like is there going to be hidden transfer fees or currency conversion fees? -> Aug: Are there any additional fees associated with international transactions, such as transfer fees or currency conversion fees, when purchasing something from another country?
GEN | [disposable_card_limits] | Orig: Show me the amount of transactions I can do with a disposable card. -> Aug: What is the daily spending limit for a disposable card, and how many transactions can I make with it?
GEN | [exchange_charge] | Orig: My currencies needed to be exchanged often and I was wondering if there were any discounts available for this? -> Aug: I'm looking to exchange currencies frequently and was hoping to find any promotions or discounts that might be available for this service.
GEN | [exchange_via_app] | Orig: My plans may change so I may need to change from GBP to AUD. -> Aug: I may need to convert my plans from GBP to AUD due to changes in my plans.
GEN | [why_verify_identity] | Orig: Is the identity check part of bank policy? -> Aug: What's the purpose of verifying my identity when I'm opening an account or applying for a loan?
GEN | [direct_debit_payment_not_recognised] | Orig: How long after I receive my statement can I dispute payments on it? -> Aug: We've received your statement, but we're unable to locate a direct debit payment from your account. Can you please confirm the payment details and the date you made the payment, so we can assist you further?
GEN | [top_up_by_card_charge] | Orig: If I were to use a European bank card for a top up, will I incur a charge? -> Aug: If I were to use a foreign bank card for a top-up, will I be charged a fee?
GEN | [order_physical_card] | Orig: Do I receive the physical card for free -> Aug: Is the physical card included in the order at no additional cost?
GEN | [card_arrival] | Orig: Is my new bank card on the way and is there a way to track it? -> Aug: Can I expect my new bank card to arrive soon and is there a tracking option available to monitor its delivery?
GEN | [automatic_top_up] | Orig: Can I have money transferred into my account at different intervals along my trip? -> Aug: Can I set up automatic top-ups to my account at regular intervals during my trip?
GEN | [cancel_transfer] | Orig: How fast can you fix an error in payment?  I made a payment in the wrong account yesterday and it needs to be adjusted by tomorrow for my rent. -> Aug: I need to cancel a transfer that was made in error yesterday and it's crucial that it's reversed by tomorrow as it's related to my rent payment.
GEN | [getting_spare_card] | Orig: My daughter would like a card from my account?  Can I do this? -> Aug: I'd like to request a replacement card for my account, is that possible?
GEN | [top_up_by_card_charge] | Orig: I am wanting to refill my card, is there a charge? -> Aug: I'd like to add funds to my card, will there be a charge for this transaction?
GEN | [getting_spare_card] | Orig: Physical cards are what I need more of -> Aug: I require additional physical debit/credit cards.
GEN | [country_support] | Orig: I am in the EU. Can I get one of your cards? -> Aug: I am a resident in the European Union. Can I apply for a card from your bank?
GEN | [exchange_charge] | Orig: Do I have to pay more for exchanges? -> Aug: Can I expect an additional fee for exchanging my item?
GEN | [exchange_charge] | Orig: Do you offer a discount for those who perform frequent currency exchanges? -> Aug: Are there any promotions or discounts available for customers who regularly exchange currencies with your bank?
GEN | [direct_debit_payment_not_recognised] | Orig: Unusual direct deposit -> Aug: Unidentified direct debit payment
GEN | [card_delivery_estimate] | Orig: My card is needed soon -> Aug: When can I expect my card to arrive?
GEN | [country_support] | Orig: May I get one of your cards?  I live in the EU. -> Aug: Can I apply for a card that's available in the European Union? I'm a resident there.
GEN | [getting_spare_card] | Orig: I would like some more physical cards, what is my limit? -> Aug: I need an additional physical debit/credit card, what is my available limit?
GEN | [activate_my_card] | Orig: How can I make my card ready to use? -> Aug: What steps can I take to activate my card and start using it?
GEN | [compromised_card] | Orig: How do I stop fraud to my card? -> Aug: What can I do to prevent unauthorized transactions on my compromised card?
GEN | [disposable_card_limits] | Orig: Is there a transaction limit on a disposable card? -> Aug: What is the daily spending limit for a disposable credit card?
GEN | [order_physical_card] | Orig: do i need to add money before i order a card -> Aug: Can I fund my account before placing an order for a physical card?
GEN | [country_support] | Orig: I'm in the EU. Can I get one of your cards? -> Aug: I'm a resident in the European Union. Can I apply for a credit card from your bank?
GEN | [exchange_via_app] | Orig: I need to get some Euros for my holiday. Am I able to exchange some of my money? -> Aug: I'm planning a trip and need to exchange some currency. Can I do it through your app?
VAL | [disposable_card_limits] | NO | Text: I require a high daily limit on my disposable card, and I'd like to know if I can dispose of the used cards without any issues.
VAL | [exchange_via_app] | YES | Text: Can I make an exchange using this mobile app?
VAL | [card_payment_fee_charged] | NO | Text: Are there any exceptions or waivers for card payment fees?
VAL | [exchange_charge] | YES | Text: Could you consider waiving the exchange fee for me since I'm a frequent user of your currency exchange services?
VAL | [card_delivery_estimate] | NO | Text: I'd be happy to assist you with estimating the delivery time for your card. Can you please provide me with your card's tracking number or the order number so I can look into it for you?
VAL | [order_physical_card] | NO | Text: Can you please provide the shipping address for the physical card I'd like to order?
VAL | [exchange_via_app] | YES | Text: Can I exchange currency using the app?
VAL | [transfer_fee_charged] | YES | Text: Are there any additional fees associated with international transactions, such as transfer fees or currency conversion fees, when purchasing something from another country?
VAL | [disposable_card_limits] | YES | Text: What is the daily spending limit for a disposable card, and how many transactions can I make with it?
VAL | [exchange_charge] | YES | Text: I'm looking to exchange currencies frequently and was hoping to find any promotions or discounts that might be available for this service.
VAL | [exchange_via_app] | NO | Text: I may need to convert my plans from GBP to AUD due to changes in my plans.
VAL | [why_verify_identity] | NO | Text: What's the purpose of verifying my identity when I'm opening an account or applying for a loan?
VAL | [direct_debit_payment_not_recognised] | YES | Text: We've received your statement, but we're unable to locate a direct debit payment from your account. Can you please confirm the payment details and the date you made the payment, so we can assist you further?
VAL | [top_up_by_card_charge] | YES | Text: If I were to use a foreign bank card for a top-up, will I be charged a fee?
VAL | [order_physical_card] | YES | Text: Is the physical card included in the order at no additional cost?
VAL | [card_arrival] | YES | Text: Can I expect my new bank card to arrive soon and is there a tracking option available to monitor its delivery?
VAL | [automatic_top_up] | YES | Text: Can I set up automatic top-ups to my account at regular intervals during my trip?
VAL | [cancel_transfer] | NO | Text: I need to cancel a transfer that was made in error yesterday and it's crucial that it's reversed by tomorrow as it's related to my rent payment.
VAL | [getting_spare_card] | NO | Text: I'd like to request a replacement card for my account, is that possible?
VAL | [top_up_by_card_charge] | YES | Text: I'd like to add funds to my card, will there be a charge for this transaction?
VAL | [getting_spare_card] | YES | Text: I require additional physical debit/credit cards.
VAL | [country_support] | YES | Text: I am a resident in the European Union. Can I apply for a card from your bank?
VAL | [exchange_charge] | YES | Text: Can I expect an additional fee for exchanging my item?
VAL | [exchange_charge] | YES | Text: Are there any promotions or discounts available for customers who regularly exchange currencies with your bank?
VAL | [direct_debit_payment_not_recognised] | NO | Text: Unidentified direct debit payment
VAL | [card_delivery_estimate] | YES | Text: When can I expect my card to arrive?
VAL | [country_support] | YES | Text: Can I apply for a card that's available in the European Union? I'm a resident there.
VAL | [getting_spare_card] | YES | Text: I need an additional physical debit/credit card, what is my available limit?
VAL | [activate_my_card] | YES | Text: What steps can I take to activate my card and start using it?
VAL | [compromised_card] | YES | Text: What can I do to prevent unauthorized transactions on my compromised card?
VAL | [disposable_card_limits] | YES | Text: What is the daily spending limit for a disposable credit card?
VAL | [order_physical_card] | NO | Text: Can I fund my account before placing an order for a physical card?
VAL | [country_support] | NO | Text: I'm a resident in the European Union. Can I apply for a credit card from your bank?
VAL | [exchange_via_app] | YES | Text: I'm planning a trip and need to exchange some currency. Can I do it through your app?
