GEN | [transfer_into_account] | Orig: Can I use my bank account to send me more money? -> Aug: Can I transfer funds from my bank account to add more money to it?
GEN | [card_arrival] | Orig: Can you help me track my card? -> Aug: Can you assist me in locating my card?
GEN | [pending_top_up] | Orig: i put money on my card and i dont see it on the balance -> Aug: I added funds to my card, but the amount is not reflecting on my account balance.
GEN | [card_arrival] | Orig: Can you track my card for me? -> Aug: Could you please help me locate my card's delivery status?
GEN | [card_delivery_estimate] | Orig: are you sending me my card? -> Aug: Can you provide an estimated delivery date for my new card?
GEN | [transfer_into_account] | Orig: I need to move money from one of my other accounts to this one. -> Aug: I'd like to transfer funds from another account to this account.
GEN | [beneficiary_not_allowed] | Orig: Are there restrictions to transfers to certain accounts? -> Aug: Can I transfer funds to a specific account, or are there limitations on the recipient's account type or institution?
GEN | [balance_not_updated_after_bank_transfer] | Orig: help my money isnt showing up -> Aug: my account balance isn't reflecting the recent transfer I made
GEN | [atm_support] | Orig: How do I withdraw money? -> Aug: What are the steps to withdraw cash from an ATM?
GEN | [edit_personal_details] | Orig: My address is incorrect on my file. -> Aug: My personal address is outdated and needs to be updated.
GEN | [transfer_into_account] | Orig: I need to deposit money to my account -> Aug: I would like to transfer funds into my account
GEN | [card_payment_not_recognised] | Orig: i disagree with a charge -> Aug: I'm disputing a transaction on my account
GEN | [balance_not_updated_after_bank_transfer] | Orig: Tell me why my balance did not change when I tranferred cash. -> Aug: I'm trying to figure out why my account balance didn't update after I made a cash transfer.
GEN | [card_payment_not_recognised] | Orig: I did not charge my account for that transaction.  That's an error. -> Aug: I'm not seeing the payment reflected in my account. Can you look into this discrepancy?
GEN | [card_arrival] | Orig: I don't have my card in 1 week.  Should I be worried? -> Aug: I haven't received my card after a week. Should I be concerned?
GEN | [beneficiary_not_allowed] | Orig: I need to transfer to my account and cant. -> Aug: I'm trying to transfer funds to my account, but it's not allowing me to.
GEN | [card_linking] | Orig: If I find a card I lost do I need to dispose of it? Or can I re-active the card and continue to use it? -> Aug: If I locate a lost card, do I need to cancel it or can I reactivate it and continue using it?
GEN | [transaction_charged_twice] | Orig: I had a duplicate card and bought something and it showed up twice. I canceled my card, how do I get my money back? -> Aug: I accidentally used my old card and made a purchase, but it was charged twice. I've since canceled the card, can I get a refund for the extra charge?
GEN | [transfer_into_account] | Orig: I am out of money in my account and I was wondering if I could do a bank transfer is put more in it? -> Aug: I'm running low on funds in my account and I'd like to know if I can initiate a transfer to add more money to it.
GEN | [transfer_fee_charged] | Orig: Transfers are supposed to be free.  I just got a fee tacked on  to something I bought abroad.  Not cool.  Figure out how to remove it. -> Aug: I'm surprised to see a fee added to my international transfer. Can you help me understand why this charge was applied and how to have it reversed?
GEN | [pending_card_payment] | Orig: I don't know what pending transaction means. -> Aug: I'm not sure what the pending payment on my card is for.
GEN | [cash_withdrawal_charge] | Orig: How come I got to pay to get my money from the ATM? -> Aug: Why do I have to pay a fee to withdraw cash from the ATM?
GEN | [topping_up_by_card] | Orig: If I want a friend to top off my account, can they? -> Aug: If a friend wants to add funds to my account using their card, can they do so?
GEN | [change_pin] | Orig: Can I change my in at all ATM's? -> Aug: Can I modify my PIN at any ATM location?
GEN | [transfer_fee_charged] | Orig: Why was money taken for a transfer? -> Aug: I was charged a fee for the transfer, can you explain why?
GEN | [card_about_to_expire] | Orig: How do I go about ordering a new bank card? -> Aug: Before I do that, I'd like to confirm if my current bank card is still active or if it's about to expire soon, and if so, what are the next steps to replace it?
GEN | [pending_cash_withdrawal] | Orig: How long does it take to verify a cash withdraw? -> Aug: When can I expect the verification process for my pending cash withdrawal to be completed?
GEN | [declined_cash_withdrawal] | Orig: I entered the correct pin but I still couldnt get funds. -> Aug: I attempted to withdraw cash, but despite entering my PIN correctly, the transaction was declined.
GEN | [cash_withdrawal_charge] | Orig: Please help!  There was an extra fee when I got cash. -> Aug: I'm happy to assist you with the unexpected fee you were charged for the cash withdrawal.
GEN | [order_physical_card] | Orig: What do I owe for a new card? -> Aug: How much does a new physical credit card cost?
GEN | [direct_debit_payment_not_recognised] | Orig: Is there a strict timeline regarding disputing transactions made on my account? I just noticed a fraudulent charge on a statement from a couple months ago. -> Aug: We've received a payment notification from your account, but it appears to be a direct debit payment that we're not recognizing. Can you please confirm the payment details and the merchant's name to help us investigate this discrepancy?
GEN | [top_up_by_bank_transfer_charge] | Orig: Can third party fees affect a transfer? -> Aug: Are there any bank transfer charges or fees associated with topping up my account via bank transfer?
GEN | [cash_withdrawal_not_recognised] | Orig: I see cash in my app but I did not get it. -> Aug: I'm showing a cash withdrawal in my account, but I didn't receive the cash.
VAL | [transfer_into_account] | NO | Text: Can I transfer funds from my bank account to add more money to it?
VAL | [card_arrival] | NO | Text: Can you assist me in locating my card?
VAL | [pending_top_up] | YES | Text: I added funds to my card, but the amount is not reflecting on my account balance.
VAL | [card_arrival] | NO | Text: Could you please help me locate my card's delivery status?
VAL | [card_delivery_estimate] | YES | Text: Can you provide an estimated delivery date for my new card?
VAL | [transfer_into_account] | YES | Text: I'd like to transfer funds from another account to this account.
VAL | [beneficiary_not_allowed] | NO | Text: Can I transfer funds to a specific account, or are there limitations on the recipient's account type or institution?
VAL | [balance_not_updated_after_bank_transfer] | YES | Text: my account balance isn't reflecting the recent transfer I made
VAL | [atm_support] | NO | Text: What are the steps to withdraw cash from an ATM?
VAL | [edit_personal_details] | YES | Text: My personal address is outdated and needs to be updated.
VAL | [transfer_into_account] | YES | Text: I would like to transfer funds into my account
VAL | [card_payment_not_recognised] | NO | Text: I'm disputing a transaction on my account
VAL | [balance_not_updated_after_bank_transfer] | YES | Text: I'm trying to figure out why my account balance didn't update after I made a cash transfer.
VAL | [card_payment_not_recognised] | YES | Text: I'm not seeing the payment reflected in my account. Can you look into this discrepancy?
VAL | [card_arrival] | YES | Text: I haven't received my card after a week. Should I be concerned?
VAL | [beneficiary_not_allowed] | YES | Text: I'm trying to transfer funds to my account, but it's not allowing me to.
VAL | [card_linking] | NO | Text: If I locate a lost card, do I need to cancel it or can I reactivate it and continue using it?
VAL | [transaction_charged_twice] | YES | Text: I accidentally used my old card and made a purchase, but it was charged twice. I've since canceled the card, can I get a refund for the extra charge?
VAL | [transfer_into_account] | YES | Text: I'm running low on funds in my account and I'd like to know if I can initiate a transfer to add more money to it.
VAL | [transfer_fee_charged] | NO | Text: I'm surprised to see a fee added to my international transfer. Can you help me understand why this charge was applied and how to have it reversed?
VAL | [pending_card_payment] | YES | Text: I'm not sure what the pending payment on my card is for.
VAL | [cash_withdrawal_charge] | YES | Text: Why do I have to pay a fee to withdraw cash from the ATM?
VAL | [topping_up_by_card] | NO | Text: If a friend wants to add funds to my account using their card, can they do so?
VAL | [change_pin] | YES | Text: Can I modify my PIN at any ATM location?
VAL | [transfer_fee_charged] | NO | Text: I was charged a fee for the transfer, can you explain why?
VAL | [card_about_to_expire] | NO | Text: Before I do that, I'd like to confirm if my current bank card is still active or if it's about to expire soon, and if so, what are the next steps to replace it?
VAL | [pending_cash_withdrawal] | YES | Text: When can I expect the verification process for my pending cash withdrawal to be completed?
VAL | [declined_cash_withdrawal] | YES | Text: I attempted to withdraw cash, but despite entering my PIN correctly, the transaction was declined.
VAL | [cash_withdrawal_charge] | YES | Text: I'm happy to assist you with the unexpected fee you were charged for the cash withdrawal.
VAL | [order_physical_card] | YES | Text: How much does a new physical credit card cost?
VAL | [direct_debit_payment_not_recognised] | NO | Text: We've received a payment notification from your account, but it appears to be a direct debit payment that we're not recognizing. Can you please confirm the payment details and the merchant's name to help us investigate this discrepancy?
VAL | [top_up_by_bank_transfer_charge] | NO | Text: Are there any bank transfer charges or fees associated with topping up my account via bank transfer?
VAL | [cash_withdrawal_not_recognised] | YES | Text: I'm showing a cash withdrawal in my account, but I didn't receive the cash.
