GEN | [verify_source_of_funds] | Orig: Can I track history on funds? -> Aug: Can I review the origin of the funds?
GEN | [lost_or_stolen_card] | Orig: My card is lost!  Please help me! -> Aug: I've misplaced my card and need assistance.
GEN | [contactless_not_working] | Orig: I can't get a contactless payment to work. -> Aug: I'm having trouble making a contactless payment.
GEN | [transaction_charged_twice] | Orig: My account seems a bit off and getting weird charges. -> Aug: My account appears to have an unusual discrepancy, with duplicate charges showing up.
GEN | [extra_charge_on_statement] | Orig: Hello, there seems to be a billing mistake associated with my account.  My app was charged $1 more than it should have.  Could you please explain why this may have happened? -> Aug: Hi, I noticed an unexpected extra charge on my statement. My account was billed an additional $1 that I don't recognize. Could you help me understand why this occurred?
GEN | [card_not_working] | Orig: How do I re-order a damaged card? -> Aug: I'm having trouble using my card, can I request a replacement?
GEN | [activate_my_card] | Orig: Tell me how to renew my new card? -> Aug: Can you guide me on how to activate my new card?
GEN | [declined_cash_withdrawal] | Orig: Is my card working? It's the first time I tried using it I tried to get money out of an ATM, but got nothing. -> Aug: I apologize for the inconvenience. It seems that your card was declined for a cash withdrawal attempt at an ATM. Please check your account balance and ensure you have sufficient funds. If the issue persists, please contact our customer service team for further assistance.
GEN | [declined_card_payment] | Orig: Please help me in this, as i was unable to make any payment by my new card,  it was getting declined repeatedly. I am not very happy with this incident. -> Aug: I'm sorry to hear that your recent payment attempt with your new card was declined. Can you please provide more details about the issue, such as the exact error message or the date and time of the declined transaction? This will help me assist you in resolving the issue and getting your payment processed successfully.
GEN | [card_payment_fee_charged] | Orig: I have a fee showing from last time I used my card. -> Aug: A fee was deducted from my last card transaction.
GEN | [card_about_to_expire] | Orig: What is the cost and time frame of getting a new card? -> Aug: How much does it cost and how long does it take to obtain a replacement card when my current one is about to expire?
GEN | [apple_pay_or_google_pay] | Orig: Can I use my Apple Watch to pay for gas? -> Aug: Can I use my Apple Watch to make a payment, or do I need to use Google Pay instead?
GEN | [card_payment_fee_charged] | Orig: I was charged and shouldn't have been charged when using my card! -> Aug: I was unexpectedly charged a fee on my card transaction, which I didn't authorize.
