GEN | [card_delivery_estimate] | Orig: can you express my card to me? -> Aug: Can you provide an estimated delivery date for my card?
GEN | [card_arrival] | Orig: Was there a number to track that I could get? -> Aug: Can I get a tracking number for my card arrival?
GEN | [card_swallowed] | Orig: how can the money machine keep my card what do i need to do? -> Aug: what should I do if my card has been swallowed by the ATM? Can I retrieve it or do I need to report it to the bank?
GEN | [balance_not_updated_after_bank_transfer] | Orig: Can you see my new balance yet? -> Aug: I'm still waiting for my account balance to reflect the recent bank transfer.
GEN | [visa_or_mastercard] | Orig: Please give me a Mastercard instead. -> Aug: Please provide me with a Visa or Mastercard.
GEN | [receiving_money] | Orig: Is it possible for a friend to personally send me a payment? -> Aug: Can a friend directly transfer funds to me?
GEN | [card_delivery_estimate] | Orig: Can I get my card fast tracked? -> Aug: Can I expedite my card delivery?
GEN | [visa_or_mastercard] | Orig: I won't be pleased unless I get a Mastercard. -> Aug: I won't be satisfied unless I get a Visa or Mastercard.
GEN | [card_arrival] | Orig: can you share card tracking number? -> Aug: can you provide the tracking number for my card arrival?
GEN | [contactless_not_working] | Orig: Can I make a contactless payments? -> Aug: I'm afraid our contactless payment system is currently unavailable. Would you like to explore alternative payment options?
GEN | [visa_or_mastercard] | Orig: I need a Visa and a Mastercard from you. -> Aug: I require a Visa or a Mastercard from your institution.
GEN | [verify_source_of_funds] | Orig: Verify my source of funds? -> Aug: Can you confirm the origin of the funds used for this transaction?
GEN | [verify_source_of_funds] | Orig: How do I verify my source of funds? -> Aug: Can you please confirm the origin of the funds used for this transaction?
GEN | [verify_source_of_funds] | Orig: How can I verify my source of funds? -> Aug: Can you please confirm the origin of the funds used for this transaction?
GEN | [card_delivery_estimate] | Orig: how much to get my card in 2 days? -> Aug: Can you please provide an estimate for the delivery of my card within a 2-day timeframe?
GEN | [visa_or_mastercard] | Orig: Can both a Visa and Mastercard be received from you? -> Aug: Can both a Visa and Mastercard be accepted by you?
GEN | [verify_source_of_funds] | Orig: What do I do to verify my source of funds? -> Aug: How can I confirm the origin of my funds?
GEN | [verify_source_of_funds] | Orig: Who is giving me my money? -> Aug: Can you confirm the source of the funds being used for this transaction?
GEN | [card_arrival] | Orig: maximum how many days get the courier? -> Aug: How long does it take for the courier to deliver the card?
GEN | [contactless_not_working] | Orig: Help me to set up contactless payments. -> Aug: Can you assist me in enabling contactless payment functionality?
GEN | [visa_or_mastercard] | Orig: I'm happy with Mastercard and want to stick with just that credit card. -> Aug: I'm content with Visa and prefer to use only that credit card.
GEN | [passcode_forgotten] | Orig: I can't find my code -> Aug: I've misplaced my passcode
GEN | [passcode_forgotten] | Orig: I don't know the code for the app. -> Aug: I've forgotten the passcode for the mobile banking app.
GEN | [visa_or_mastercard] | Orig: I want a Mastercard, instead. -> Aug: I'd prefer a Visa, if possible.
GEN | [order_physical_card] | Orig: do i need to add money before i order a card -> Aug: Do I need to fund my account before ordering a physical credit/debit card?
GEN | [verify_source_of_funds] | Orig: I require verification of my source of funds. -> Aug: We need to confirm the origin of your funds.
GEN | [supported_cards_and_currencies] | Orig: What are my payment options? -> Aug: We accept various payment methods, including credit cards such as Visa, Mastercard, American Express, and Discover, as well as digital wallets like Apple Pay and Google Pay. We also support transactions in multiple currencies, including USD, EUR, JPY, and GBP.
GEN | [getting_spare_card] | Orig: Can you send me more cards for my account? -> Aug: Could you please provide me with additional cards for my account?
GEN | [verify_source_of_funds] | Orig: How do I find out my source of funds? -> Aug: What steps can I take to verify the origin of my funds?
GEN | [verify_source_of_funds] | Orig: Where can I find my fund information? -> Aug: Can you please provide the source of your funds for verification purposes?
GEN | [verify_source_of_funds] | Orig: need to verify source of funds -> Aug: can you confirm the origin of the funds?
GEN | [pending_cash_withdrawal] | Orig: Explain pending transactions. -> Aug: Describe the status of your cash withdrawal request.
GEN | [card_delivery_estimate] | Orig: Can I pay more to get it deliver quicker? -> Aug: Would you like to upgrade your shipping option to expedite the delivery of your card?
GEN | [getting_spare_card] | Orig: Do you send more than one card? -> Aug: Can I request an additional card or a replacement card?
GEN | [verify_source_of_funds] | Orig: How can I receive verification for the source of my funds? -> Aug: Can you please provide documentation to confirm the origin of your funds?
GEN | [pending_top_up] | Orig: I do not think the pop up went through yet. -> Aug: I'm not sure if the top-up request has been processed.
GEN | [lost_or_stolen_card] | Orig: Can you send me a new card and block my current one. I'm in Spain and my wallet was stolen. -> Aug: I'd like to report my card as stolen and request a replacement. I'm currently in Spain and my wallet was taken, so I'd appreciate it if you could block my current card and send me a new one.
GEN | [verify_top_up] | Orig: I can't see a verification code anywhere -> Aug: I'm having trouble finding the verification code for my top-up
GEN | [verify_source_of_funds] | Orig: where can I get the info for my funds -> Aug: Can you please provide the source of your funds for verification?
