GEN | [fiat_currency_support] | Orig: are multiple currencies acceptable? -> Aug: Can I use multiple fiat currencies for a single transaction?
GEN | [fiat_currency_support] | Orig: Do you have EUR currency available for me? -> Aug: Can you confirm if you have the Euro (EUR) available for my transaction?
GEN | [exchange_rate] | Orig: What value can I get for my currency? -> Aug: What is the current exchange rate for my currency?
GEN | [wrong_amount_of_cash_received] | Orig: why did i only get 20.00 -> Aug: I was expecting to receive a larger amount, but I only got 20.00.
GEN | [fiat_currency_support] | Orig: I need assistance with understanding which fiat currencies that you support. -> Aug: I require information on the fiat currencies that your bank accepts and facilitates transactions with.
GEN | [supported_cards_and_currencies] | Orig: Which currencies do you work with? -> Aug: We accept a wide range of currencies, including USD, EUR, JPY, and more. What type of card do you have?
GEN | [supported_cards_and_currencies] | Orig: Which currencies do you handle? -> Aug: We accept a wide range of currencies, including USD, EUR, JPY, and more. What type of card do you have?
GEN | [wrong_exchange_rate_for_cash_withdrawal] | Orig: Why did you give me so little currency? -> Aug: The exchange rate you provided for the cash withdrawal was incorrect, resulting in an insufficient amount of currency.
GEN | [fiat_currency_support] | Orig: I would like to know which fiat currencies are recognized by your organization. -> Aug: I'd like to inquire about the list of supported fiat currencies accepted by your institution.
GEN | [receiving_money] | Orig: Can i get payed through this system? -> Aug: Can I receive payment through this system?
GEN | [cash_withdrawal_charge] | Orig: How much money can I withdraw before fees? I noticed a fee on my card but I didn't think I had hit the limit of how much I could withdraw in a month. -> Aug: Can you tell me about the cash withdrawal charge? I'm trying to understand when I'll be charged a fee for taking out cash from my account.
GEN | [wrong_amount_of_cash_received] | Orig: how come when i asked for 100 it only gave me 20.00 in the app -> Aug: I was expecting to receive the full amount of $100, but instead, I only got $20.
GEN | [exchange_via_app] | Orig: My plans may change so I may need to change from GBP to AUD. -> Aug: My travel plans are subject to change, and I might need to convert my currency from GBP to AUD.
GEN | [card_payment_fee_charged] | Orig: I'm going on holiday to France for 6 weeks with my family and the cat, Fluffy.  I just purchased €10,000 from a currency exchange to ensure we don't run short but there appears to be a fee.  What is this for? -> Aug: I'm planning a 6-week trip to France with my family, including our cat Fluffy. I recently exchanged €10,000 from a currency exchange, but I noticed a fee was applied. Can you please explain what this fee is for?
GEN | [wrong_amount_of_cash_received] | Orig: When I went to $100, all the machine would give me was $20. -> Aug: When I went to withdraw $200, all the machine would give me was $50.
GEN | [fiat_currency_support] | Orig: what currencies do you accept? -> Aug: What types of fiat currencies do you support for transactions?
