iteration,original_text,label,label_name,augmented_text,qwen_reasoning,qwen_decision,status,timestamp
1,"All questions concerning the construction, validity, enforcement, and interpretation of this Warrant shall be determined in accordance with the provisions of the Purchase Agreement.",14,Jurisdictions,"All questions concerning the construction, validity, enforcement, and interpretation of this Warrant shall be determined in accordance with the terms of the Purchase Agreement","The Augmented Text uses ""terms"" instead of ""provisions,"" which is a synonym and maintains the same legal intent. The text is concise and free of any conversational fillers.

<decision>YES</decision>",YES,Accepted,2026-04-29T18:27:43.330123
1,"All questions concerning the construction, validity, enforcement and interpretation of this Warrant shall be determined in accordance with the provisions of the Agreement.",14,Jurisdictions,"All questions concerning the construction, validity, enforcement and interpretation of this Warrant shall be resolved in accordance with the stipulations of the Agreement","The Augmented Text uses ""resolved"" instead of ""determined"" and ""stipulations"" instead of ""provisions,"" which are acceptable synonyms in this context. The sentence structure and legal intent remain int",YES,Accepted,2026-04-29T18:27:44.213872
1,"The Award is subject to all the terms and conditions of the Tyson Foods, Inc. 2000 Stock Incentive Plan (the “Plan”). Unless otherwise defined herein, all capitalized terms in this Restricted Stock Subject to Performance Criteria Stock Incentive Award Agreement (the “Award Agreement”) shall have the meaning stated in the Plan. Please see the Plan document for more information on these terms and conditions. A copy of the Plan is available upon request.",9,Terms,"The Award is subject to all the terms and conditions of the Tyson Foods, Inc. 1999 Stock Incentive Plan (the “Plan”). Unless otherwise defined herein, all capitalized terms in this Restricted Stock Subject to Performance Criteria Stock Incentive Award Agreement (the “Award Agreement”) shall have the meaning stated in the Plan. Please see the Plan document for more information on these terms and conditions. A copy of the Plan is available upon request.","Reasoning: The Augmented Text changes the year of the Stock Incentive Plan from 2000 to 1999, which alters the legal reference and could potentially affect the legal obligations and rights under the a",NO,Rejected,2026-04-29T18:27:45.415542
1,"The Award is subject to all the terms and conditions of the Tyson Foods, Inc. 2000 Stock Incentive Plan (the “Plan”). Unless otherwise defined herein, all capitalized terms in this Performance Shares Stock Incentive Award Agreement (the “Award Agreement”) shall have the meaning stated in the Plan. Please see the Plan document for more information on these terms and conditions. A copy of the Plan is available upon request.",9,Terms,"The Award is subject to all the terms and conditions of the Tyson Foods, Inc. 2000 Stock Incentive Plan (the “Plan”) as amended from time to time. Unless otherwise defined herein, all capitalized terms in this Performance Shares Stock Incentive Award Agreement (the “Award Agreement”) shall have the meaning stated in the Plan. Please see the Plan document for more information on these terms and conditions, which are also available on the Tyson Foods, Inc. website. A copy of the Plan is available upon request, and a hard copy may also be obtained at the Company's principal place of business.","Reasoning: The Augmented Text introduces a minor change by adding ""as amended from time to time"" which could imply that the terms and conditions might change over time. Additionally, the Augmented Tex",NO,Rejected,2026-04-29T18:27:46.897515
1,"All questions concerning the construction, validity, enforcement and interpretation of this Agreement shall be determined pursuant to the Governing Law provision of the 2015 Purchase Agreement.",0,Governing Laws,"All questions concerning the construction, validity, enforcement and interpretation of this Agreement shall be determined in accordance with the Governing Law provision specified in the 2015 Purchase Agreement","The Augmented Text uses synonyms and rephrases the Original Text without altering the legal intent, and it removes any conversational filler.

<decision>YES</decision>",YES,Accepted,2026-04-29T18:27:47.511964
1,"T his A g ree m e nt s e ts f o r th the e nti r e a g r ee m e nt a nd und er st a ndi n g b e t w e e n t he Comp a n y a nd me r e l a ting to the subj ec t m a tt e r h ere in a nd m er g e s a ll p r i or dis c ussions b e t wee n us. N o modi f i ca tion or a m e n dm e nt to this A g r e e m e nt, nor a n y wa i v e r of a n y r i g hts und e r this A g ree m e nt, w ill be ef f ec tive unl e ss approved by the Company’s Board of Directors and in wr iting si g n e d b y the Company’s General Counsel and me. A n y subs e qu e nt c h a n ge or c h a ng e s in m y duti e s, obl i g a tions, r i g hts or c om p e ns a tion w ill not affec t the v a lidi t y or s c o p e of this A g ree m e nt.",3,Entire Agreements,"This Agreement sets forth the entire Agreement and understanding between the Company and me regarding the subject matter here in and merges all prior discussions between us. No modification or amendment to this Agreement, nor any waiver of any rights under this Agreement, will be effective unless approved by the Company’s Board of Directors and in writing signed by the Company’s General Counsel and me","The Augmented Text strictly preserves the legal intent of the Original Text using synonyms and rephrasing without altering the meaning. The Augmented Text is free of any conversational fillers.

<deci",YES,Accepted,2026-04-29T18:27:48.317174
1,"The release executed by an Employee (in a form to be provided to the Employee by the Plan Administrator, within five days of the Termination Date in its sole and absolute discretion) under which, among other things, the Employee releases and discharges all Employers and related entities (as well as any third party for whom the employee provides services on the Employer’s behalf) from all claims and liabilities relating to the Employee’s employment with the Employer and/or the termination of the Employee’s employment, including without limitation, claims under the Title VII of the Civil Rights Act of 1964, the Americans with Disabilities Act, the Family and Medical Leave Act, the Age Discrimination in Employment Act, the Older Workers Benefit Protection Act, where applicable, the California Fair Employment and Housing Act, the California Labor Code Sections 200 et seq., 510 et seq., 970 and 1959 et seq., defamation provisions of California Civil Code Section 44 et seq., and the New York State and City Human Rights Laws (and similar laws of any other state).",10,Agreements,"The release executed by an Employee (in a form to be provided to the Employee by the Plan Administrator, within five days of the Termination Date, in its sole and absolute discretion) under which, among other things, the Employee releases and discharges all Employers and related entities (as well as any third party for whom the Employee provides services on the Employer's behalf) from all claims and liabilities relating to the Employee's employment with the Employer and/or the termination of the Employee's employment, including without limitation, claims under the Title VII of the Civil Rights Act of 1964, the Americans with Disabilities Act, the Family and Medical Leave Act, the Age Discrimination in Employment Act, the Older Workers Benefit Protection Act, where applicable, the California Fair Employment and Housing Act, the California Labor Code Sections 200 et seq., 510 et seq., 970, and 1959 et seq., the defamation provisions of California Civil Code Section 44 et seq., and the New York State and City Human Rights Laws (and similar laws of any other state)","The Augmented Text uses synonyms and rephrases the Original Text without altering the legal intent, and it removes any conversational fillers. However, there is a minor difference in the punctuation o",NO,Rejected,2026-04-29T18:27:49.393920
1,"This Agreement shall be deemed to be a contract made under and shall be governed by, construed and enforced in accordance with the laws of the State of Texas. Without limiting the intent of the parties set forth above, (a) Texas Finance Code Chapter 346 (which regulates certain revolving loan accounts and revolving tri-party accounts), shall not apply to this Agreement or the transactions contemplated hereby and (b) to the extent that any Lender may be subject to Texas law limiting the amount of interest payable for its account, such Lender shall utilize the indicated (weekly) rate ceiling from time to time in effect as provided under Texas Finance Code, §303.002, as limited by Texas Finance Code §303.009.",0,Governing Laws,"This Agreement shall be deemed to be a contract made under and shall be governed by, construed and enforced in accordance with the laws of the State of California. Without limiting the intent of the parties set forth above, (a) California Finance Code Chapter 347 (which regulates certain revolving loan accounts and revolving tri-party accounts), shall not apply to this Agreement or the transactions contemplated hereby and (b) to the extent that any Lender may be subject to California law limiting the amount of interest payable for its account, such Lender shall utilize the indicated (monthly) rate ceiling from time to time in effect as provided under California Finance Code, §303.004, as limited by California Finance Code §303.011","The Augmented Text changes the governing law from Texas to California and alters the specific sections of the Finance Code being referenced, which significantly impacts the legal obligations and right",NO,Rejected,2026-04-29T18:27:50.858470
1,"The Lender agrees    that concurrently with its execution of this Agreement, it is executing and delivering to the Company an Assignment and Termination of Net Profits Interest in the form attached as Exhibit B , terminating all rights and obligations under the Assignment of Net Profits Interest dated as of August 28, 2013 by the Company to the Lender.",7,Assignments,"The Lender confirms that contemporaneously with its execution of this Agreement, it is executing and delivering to the Company an Assignment and Termination of Net Profits Interest in the form annexed as Exhibit B, extinguishing all rights and obligations under the Assignment of Net Profits Interest dated as of August 28, 2013 by the Company in favor of the Lender","Reasoning: The Augmented Text uses synonyms such as ""confirms"" for ""agrees"" and ""extinguishing"" for ""terminating,"" which preserves the legal intent while rephrasing. It also removes any conversational",YES,Accepted,2026-04-29T18:27:51.864086
1,This Letter Agreement and the rights and obligations of the parties will be subject to the provisions of Clause 21 of the Agreement.,7,Assignments,"This Letter Agreement, and the rights and obligations of the parties thereto, shall be governed by and construed in accordance with the provisions of Clause 21 of the Agreement","The Augmented Text maintains the core legal intent of the Original Text by preserving the subject matter (Letter Agreement), the parties' rights and obligations, and the reference to Clause 21 of the ",YES,Accepted,2026-04-29T18:27:53.005706
