Run_Log,Random_Seed,Framework,Max_Utility,Max_Utility_Iteration,Final_Utility,Final_Performance_Score,Final_Normalized_Cost,Final_Total_Cost,Final_Human_Labels,Final_LLM_Generation_Requests,Final_LLM_Valid_Generated,Final_LLM_Verification_Requests,Final_Synthetic_Accepted,New_ROI_Stop_Iteration
experiment_log_Banking77_Refactored_20260523_131333.txt,42,Passive,0.3248572668112798,19,0.13449999999999995,0.7345,1.0,1844.0,1844,0,0,0,0,24
experiment_log_Banking77_Refactored_20260523_131333.txt,42,Active,0.4502114967462039,24,0.23709999999999987,0.8371,1.0,1844.0,1844,0,0,0,0,29
experiment_log_Banking77_Refactored_20260523_131333.txt,42,Generate-only,0.5211259978308026,18,0.2696622342733188,0.88489,1.0253796095444685,1890.8,1844,1560,1518,0,1518,23
experiment_log_Banking77_Refactored_20260523_131333.txt,42,Generate-and-Verify,0.5067059110629066,20,0.2553939696312362,0.8854199999999999,1.0500433839479393,1936.28,1844,1560,1516,1516,1011,25
experiment_log_Banking77_Refactored_20260523_145729.txt,43,Passive,0.3419804772234273,21,0.13779999999999992,0.7378,1.0,1844.0,1844,0,0,0,0,26
experiment_log_Banking77_Refactored_20260523_145729.txt,43,Active,0.42623579175704984,20,0.19689999999999996,0.7969,1.0,1844.0,1844,0,0,0,0,23
experiment_log_Banking77_Refactored_20260523_145729.txt,43,Generate-only,0.5318489370932755,19,0.2613772342733188,0.876605,1.0253796095444685,1890.8,1844,1560,1524,0,1524,24
experiment_log_Banking77_Refactored_20260523_145729.txt,43,Generate-and-Verify,0.5591614316702821,21,0.24156516268980477,0.87164,1.0501247288503253,1936.4299999999998,1844,1560,1521,1521,1016,26
experiment_log_Banking77_Refactored_20260523_164301.txt,44,Passive,0.33546832971800433,23,0.14419999999999988,0.7442,1.0,1844.0,1844,0,0,0,0,27
experiment_log_Banking77_Refactored_20260523_164301.txt,44,Active,0.40404577006507597,28,0.22829999999999995,0.8283,1.0,1844.0,1844,0,0,0,0,24
experiment_log_Banking77_Refactored_20260523_164301.txt,44,Generate-only,0.5112839370932755,19,0.2631522342733188,0.8783799999999999,1.0253796095444685,1890.8,1844,1560,1524,0,1524,24
experiment_log_Banking77_Refactored_20260523_164301.txt,44,Generate-and-Verify,0.47845955531453366,18,0.2394108785249458,0.869515,1.050173535791757,1936.52,1844,1560,1524,1524,1024,23
