method,iteration,f1,tail_f1,accuracy,tail_f1_available,performance_score,lambda_t,normalized_cost,total_cost,human_cost,generation_cost,verification_cost,synthetic_processing_cost,human_labels,llm_generation_requests,llm_valid_generated,llm_verification_requests,synthetic_accepted,utility,run_log,random_seed,head_f1
Passive,1,0.032,0.032,0.1279,False,0.032,0.21000000000000002,0.1540130151843818,284.0,284.0,0.0,0.0,0.0,284,0,0,0,0,-0.0003427331887201762,experiment_log_Banking77_Refactored_20260523_164301.txt,44,
Passive,2,0.045,0.045,0.137,False,0.045,0.22000000000000003,0.175704989154013,324.0,324.0,0.0,0.0,0.0,324,0,0,0,0,0.006344902386117131,experiment_log_Banking77_Refactored_20260523_164301.txt,44,
Passive,3,0.0526,0.0526,0.1409,False,0.05260000000000001,0.22999999999999998,0.19739696312364424,364.0,364.0,0.0,0.0,0.0,364,0,0,0,0,0.0071986984815618354,experiment_log_Banking77_Refactored_20260523_164301.txt,44,
Passive,4,0.0986,0.0986,0.1799,False,0.0986,0.24,0.21908893709327548,404.0,404.0,0.0,0.0,0.0,404,0,0,0,0,0.04601865509761388,experiment_log_Banking77_Refactored_20260523_164301.txt,44,
Passive,5,0.0945,0.0945,0.1903,False,0.0945,0.25,0.24078091106290672,444.0,444.0,0.0,0.0,0.0,444,0,0,0,0,0.03430477223427332,experiment_log_Banking77_Refactored_20260523_164301.txt,44,
Passive,6,0.1656,0.1656,0.2565,False,0.1656,0.26,0.26247288503253796,484.0,484.0,0.0,0.0,0.0,484,0,0,0,0,0.09735704989154012,experiment_log_Banking77_Refactored_20260523_164301.txt,44,
Passive,7,0.1991,0.1991,0.2922,False,0.1991,0.27,0.2841648590021692,524.0,524.0,0.0,0.0,0.0,524,0,0,0,0,0.12237548806941431,experiment_log_Banking77_Refactored_20260523_164301.txt,44,
Passive,8,0.2522,0.2522,0.3383,False,0.2522,0.27999999999999997,0.30585683297180044,564.0,564.0,0.0,0.0,0.0,564,0,0,0,0,0.16656008676789585,experiment_log_Banking77_Refactored_20260523_164301.txt,44,
Passive,9,0.2685,0.2685,0.3526,False,0.2685,0.29,0.3275488069414317,604.0,604.0,0.0,0.0,0.0,604,0,0,0,0,0.17351084598698485,experiment_log_Banking77_Refactored_20260523_164301.txt,44,
Passive,10,0.2991,0.2991,0.3851,False,0.2991,0.30000000000000004,0.3492407809110629,644.0,644.0,0.0,0.0,0.0,644,0,0,0,0,0.1943277657266811,experiment_log_Banking77_Refactored_20260523_164301.txt,44,
Passive,11,0.3301,0.3301,0.4143,False,0.3301,0.31000000000000005,0.37093275488069416,684.0,684.0,0.0,0.0,0.0,684,0,0,0,0,0.2151108459869848,experiment_log_Banking77_Refactored_20260523_164301.txt,44,
Passive,12,0.3619,0.3619,0.4377,False,0.3619,0.32000000000000006,0.3926247288503254,724.0,724.0,0.0,0.0,0.0,724,0,0,0,0,0.23626008676789584,experiment_log_Banking77_Refactored_20260523_164301.txt,44,
Passive,13,0.3864,0.3864,0.4675,False,0.3864000000000001,0.33,0.41431670281995664,764.0,764.0,0.0,0.0,0.0,764,0,0,0,0,0.2496754880694144,experiment_log_Banking77_Refactored_20260523_164301.txt,44,
Passive,14,0.3941,0.3941,0.4773,False,0.3941,0.34,0.4360086767895879,804.0,804.0,0.0,0.0,0.0,804,0,0,0,0,0.2458570498915401,experiment_log_Banking77_Refactored_20260523_164301.txt,44,
