method,iteration,f1,tail_f1,accuracy,tail_f1_available,performance_score,lambda_t,normalized_cost,total_cost,human_cost,generation_cost,verification_cost,synthetic_processing_cost,human_labels,llm_generation_requests,llm_valid_generated,llm_verification_requests,synthetic_accepted,utility,run_log,random_seed,head_f1
Passive,1,0.031,0.031,0.1286,False,0.031,0.21000000000000002,0.1540130151843818,284.0,284.0,0.0,0.0,0.0,284,0,0,0,0,-0.001342733188720177,experiment_log_Banking77_Refactored_20260523_131333.txt,42,
Passive,2,0.0316,0.0316,0.1286,False,0.0316,0.22000000000000003,0.175704989154013,324.0,324.0,0.0,0.0,0.0,324,0,0,0,0,-0.0070550976138828644,experiment_log_Banking77_Refactored_20260523_131333.txt,42,
Passive,3,0.0326,0.0326,0.1286,False,0.0326,0.22999999999999998,0.19739696312364424,364.0,364.0,0.0,0.0,0.0,364,0,0,0,0,-0.012801301518438175,experiment_log_Banking77_Refactored_20260523_131333.txt,42,
Passive,4,0.0563,0.0563,0.1487,False,0.0563,0.24,0.21908893709327548,404.0,404.0,0.0,0.0,0.0,404,0,0,0,0,0.0037186550976138905,experiment_log_Banking77_Refactored_20260523_131333.txt,42,
Passive,5,0.0807,0.0807,0.174,False,0.0807,0.25,0.24078091106290672,444.0,444.0,0.0,0.0,0.0,444,0,0,0,0,0.020504772234273314,experiment_log_Banking77_Refactored_20260523_131333.txt,42,
Passive,6,0.1185,0.1185,0.2065,False,0.1185,0.26,0.26247288503253796,484.0,484.0,0.0,0.0,0.0,484,0,0,0,0,0.05025704989154012,experiment_log_Banking77_Refactored_20260523_131333.txt,42,
Passive,7,0.169,0.169,0.2519,False,0.169,0.27,0.2841648590021692,524.0,524.0,0.0,0.0,0.0,524,0,0,0,0,0.09227548806941432,experiment_log_Banking77_Refactored_20260523_131333.txt,42,
Passive,8,0.1924,0.1924,0.2779,False,0.19240000000000002,0.27999999999999997,0.30585683297180044,564.0,564.0,0.0,0.0,0.0,564,0,0,0,0,0.1067600867678959,experiment_log_Banking77_Refactored_20260523_131333.txt,42,
Passive,9,0.2255,0.2255,0.3078,False,0.2255,0.29,0.3275488069414317,604.0,604.0,0.0,0.0,0.0,604,0,0,0,0,0.1305108459869848,experiment_log_Banking77_Refactored_20260523_131333.txt,42,
Passive,10,0.286,0.286,0.3565,False,0.286,0.30000000000000004,0.3492407809110629,644.0,644.0,0.0,0.0,0.0,644,0,0,0,0,0.1812277657266811,experiment_log_Banking77_Refactored_20260523_131333.txt,42,
Passive,11,0.3242,0.3242,0.4,False,0.3242,0.31000000000000005,0.37093275488069416,684.0,684.0,0.0,0.0,0.0,684,0,0,0,0,0.20921084598698478,experiment_log_Banking77_Refactored_20260523_131333.txt,42,
Passive,12,0.3607,0.3607,0.439,False,0.3607,0.32000000000000006,0.3926247288503254,724.0,724.0,0.0,0.0,0.0,724,0,0,0,0,0.23506008676789586,experiment_log_Banking77_Refactored_20260523_131333.txt,42,
Passive,13,0.4162,0.4162,0.4838,False,0.4162,0.33,0.41431670281995664,764.0,764.0,0.0,0.0,0.0,764,0,0,0,0,0.27947548806941436,experiment_log_Banking77_Refactored_20260523_131333.txt,42,
Passive,14,0.4366,0.4366,0.5013,False,0.4366,0.34,0.4360086767895879,804.0,804.0,0.0,0.0,0.0,804,0,0,0,0,0.2883570498915401,experiment_log_Banking77_Refactored_20260523_131333.txt,42,
Passive,15,0.448,0.448,0.5104,False,0.448,0.35000000000000003,0.45770065075921906,844.0,844.0,0.0,0.0,0.0,844,0,0,0,0,0.2878047722342733,experiment_log_Banking77_Refactored_20260523_131333.txt,42,
Passive,16,0.4746,0.4746,0.5383,False,0.4746,0.36000000000000004,0.4793926247288503,884.0,884.0,0.0,0.0,0.0,884,0,0,0,0,0.3020186550976139,experiment_log_Banking77_Refactored_20260523_131333.txt,42,
