method,iteration,f1,tail_f1,accuracy,tail_f1_available,performance_score,lambda_t,normalized_cost,total_cost,human_cost,generation_cost,verification_cost,synthetic_processing_cost,human_labels,llm_generation_requests,llm_valid_generated,llm_verification_requests,synthetic_accepted,utility,run_log,random_seed,head_f1
Passive,1,0.0325,0.0325,0.1273,False,0.0325,0.21000000000000002,0.1540130151843818,284.0,284.0,0.0,0.0,0.0,284,0,0,0,0,0.00015726681127982423,experiment_log_Banking77_Refactored_20260523_145729.txt,43,
Passive,2,0.0423,0.0423,0.1377,False,0.0423,0.22000000000000003,0.175704989154013,324.0,324.0,0.0,0.0,0.0,324,0,0,0,0,0.00364490238611713,experiment_log_Banking77_Refactored_20260523_145729.txt,43,
Passive,3,0.0568,0.0568,0.1474,False,0.0568,0.22999999999999998,0.19739696312364424,364.0,364.0,0.0,0.0,0.0,364,0,0,0,0,0.01139869848156183,experiment_log_Banking77_Refactored_20260523_145729.txt,43,
Passive,4,0.0797,0.0797,0.161,False,0.0797,0.24,0.21908893709327548,404.0,404.0,0.0,0.0,0.0,404,0,0,0,0,0.02711865509761388,experiment_log_Banking77_Refactored_20260523_145729.txt,43,
Passive,5,0.0814,0.0814,0.1682,False,0.0814,0.25,0.24078091106290672,444.0,444.0,0.0,0.0,0.0,444,0,0,0,0,0.02120477223427332,experiment_log_Banking77_Refactored_20260523_145729.txt,43,
Passive,6,0.1259,0.1259,0.2065,False,0.1259,0.26,0.26247288503253796,484.0,484.0,0.0,0.0,0.0,484,0,0,0,0,0.057657049891540135,experiment_log_Banking77_Refactored_20260523_145729.txt,43,
Passive,7,0.1431,0.1431,0.2266,False,0.1431,0.27,0.2841648590021692,524.0,524.0,0.0,0.0,0.0,524,0,0,0,0,0.06637548806941432,experiment_log_Banking77_Refactored_20260523_145729.txt,43,
Passive,8,0.2171,0.2171,0.2864,False,0.2171,0.27999999999999997,0.30585683297180044,564.0,564.0,0.0,0.0,0.0,564,0,0,0,0,0.1314600867678959,experiment_log_Banking77_Refactored_20260523_145729.txt,43,
Passive,9,0.2524,0.2524,0.3273,False,0.2524,0.29,0.3275488069414317,604.0,604.0,0.0,0.0,0.0,604,0,0,0,0,0.15741084598698485,experiment_log_Banking77_Refactored_20260523_145729.txt,43,
Passive,10,0.2805,0.2805,0.361,False,0.2805,0.30000000000000004,0.3492407809110629,644.0,644.0,0.0,0.0,0.0,644,0,0,0,0,0.17572776572668114,experiment_log_Banking77_Refactored_20260523_145729.txt,43,
Passive,11,0.3347,0.3347,0.4117,False,0.3347,0.31000000000000005,0.37093275488069416,684.0,684.0,0.0,0.0,0.0,684,0,0,0,0,0.2197108459869848,experiment_log_Banking77_Refactored_20260523_145729.txt,43,
Passive,12,0.3773,0.3773,0.4571,False,0.3773,0.32000000000000006,0.3926247288503254,724.0,724.0,0.0,0.0,0.0,724,0,0,0,0,0.25166008676789586,experiment_log_Banking77_Refactored_20260523_145729.txt,43,
Passive,13,0.3989,0.3989,0.4779,False,0.3989,0.33,0.41431670281995664,764.0,764.0,0.0,0.0,0.0,764,0,0,0,0,0.26217548806941426,experiment_log_Banking77_Refactored_20260523_145729.txt,43,
Passive,14,0.4261,0.4261,0.5026,False,0.42610000000000003,0.34,0.4360086767895879,804.0,804.0,0.0,0.0,0.0,804,0,0,0,0,0.27785704989154014,experiment_log_Banking77_Refactored_20260523_145729.txt,43,
Passive,15,0.4578,0.4578,0.537,False,0.4578,0.35000000000000003,0.45770065075921906,844.0,844.0,0.0,0.0,0.0,844,0,0,0,0,0.2976047722342733,experiment_log_Banking77_Refactored_20260523_145729.txt,43,
Passive,16,0.477,0.477,0.5539,False,0.477,0.36000000000000004,0.4793926247288503,884.0,884.0,0.0,0.0,0.0,884,0,0,0,0,0.30441865509761384,experiment_log_Banking77_Refactored_20260523_145729.txt,43,
Passive,17,0.483,0.483,0.563,False,0.483,0.37000000000000005,0.5010845986984815,924.0,924.0,0.0,0.0,0.0,924,0,0,0,0,0.2975986984815618,experiment_log_Banking77_Refactored_20260523_145729.txt,43,
Passive,18,0.499,0.499,0.5786,False,0.499,0.38,0.5227765726681128,964.0,964.0,0.0,0.0,0.0,964,0,0,0,0,0.3003449023861171,experiment_log_Banking77_Refactored_20260523_145729.txt,43,
Passive,19,0.531,0.531,0.6006,False,0.531,0.39,0.544468546637744,1004.0,1004.0,0.0,0.0,0.0,1004,0,0,0,0,0.3186572668112798,experiment_log_Banking77_Refactored_20260523_145729.txt,43,
Passive,20,0.5653,0.5653,0.6266,False,0.5653,0.4,0.5661605206073753,1044.0,1044.0,0.0,0.0,0.0,1044,0,0,0,0,0.3388357917570499,experiment_log_Banking77_Refactored_20260523_145729.txt,43,
Passive,21,0.583,0.583,0.6422,False,0.583,0.41,0.5878524945770065,1084.0,1084.0,0.0,0.0,0.0,1084,0,0,0,0,0.3419804772234273,experiment_log_Banking77_Refactored_20260523_145729.txt,43,
Passive,22,0.5877,0.5877,0.6474,False,0.5877,0.42000000000000004,0.6095444685466378,1124.0,1124.0,0.0,0.0,0.0,1124,0,0,0,0,0.3316913232104121,experiment_log_Banking77_Refactored_20260523_145729.txt,43,
Passive,23,0.599,0.599,0.6604,False,0.599,0.43,0.631236442516269,1164.0,1164.0,0.0,0.0,0.0,1164,0,0,0,0,0.3275683297180043,experiment_log_Banking77_Refactored_20260523_145729.txt,43,
Passive,24,0.6058,0.6058,0.6701,False,0.6058,0.44000000000000006,0.6529284164859002,1204.0,1204.0,0.0,0.0,0.0,1204,0,0,0,0,0.3185114967462039,experiment_log_Banking77_Refactored_20260523_145729.txt,43,
Passive,25,0.6165,0.6165,0.6779,False,0.6165,0.45,0.6746203904555315,1244.0,1244.0,0.0,0.0,0.0,1244,0,0,0,0,0.3129208242950109,experiment_log_Banking77_Refactored_20260523_145729.txt,43,
Passive,26,0.6384,0.6384,0.6935,False,0.6384,0.45999999999999996,0.6963123644251626,1284.0,1284.0,0.0,0.0,0.0,1284,0,0,0,0,0.31809631236442515,experiment_log_Banking77_Refactored_20260523_145729.txt,43,
Passive,27,0.6594,0.6594,0.7097,False,0.6594,0.47000000000000003,0.7180043383947939,1324.0,1324.0,0.0,0.0,0.0,1324,0,0,0,0,0.3219379609544468,experiment_log_Banking77_Refactored_20260523_145729.txt,43,
Passive,28,0.6804,0.6804,0.7253,False,0.6804,0.48,0.7396963123644251,1364.0,1364.0,0.0,0.0,0.0,1364,0,0,0,0,0.325345770065076,experiment_log_Banking77_Refactored_20260523_145729.txt,43,
