GEN | [card_payment_not_recognised] | Orig: i didnt do this charge -> Aug: We didn't recognize this payment from you.
GEN | [cancel_transfer] | Orig: I submitted a transaction but it was for the incorrect account. -> Aug: I mistakenly initiated a transfer to the wrong account.
GEN | [activate_my_card] | Orig: Would you be so kind as to activate my card? Thanks -> Aug: Could you please activate my card for me? I'd greatly appreciate it.
GEN | [cancel_transfer] | Orig: I used the wrong account number! -> Aug: I mistakenly entered an incorrect account number.
GEN | [declined_card_payment] | Orig: why couldn't I use my card at a store? -> Aug: Why was my card payment declined at the store?
GEN | [reverted_card_payment?] | Orig: I tried to use my debit card, but the payment did not work. -> Aug: I attempted to make a payment using my debit card, but it was unsuccessful.
GEN | [declined_card_payment] | Orig: My card was not accepted in a shop -> Aug: The payment made with my card was declined at a retail store.
GEN | [cancel_transfer] | Orig: I have arranged a transfer, but no longer need to send it. How do I stop the transfer? -> Aug: I've initiated a transfer, but I've changed my mind and would like to cancel it. Can you help me stop the transfer from going through?
GEN | [cancel_transfer] | Orig: How do i cancel a charge? -> Aug: How can I stop a pending transfer?
GEN | [change_pin] | Orig: Can I change my PIN at a nearby ATM when in Spain? I think someone saw my PIN and I need to change it but am on vacation. -> Aug: Can I modify my PIN at a nearby ATM while I'm in Spain? I'm concerned someone may have observed my PIN and I'd like to update it, but I'm currently on vacation.
GEN | [fiat_currency_support] | Orig: What types of foreign money can be used with this service.? -> Aug: What currencies are accepted for international transactions with this service?
GEN | [transfer_into_account] | Orig: Please provide details on how to top up my account using transfer option -> Aug: Please provide instructions on how to deposit funds into my account using the transfer feature
GEN | [terminate_account] | Orig: I need to close my account as soon as possible. -> Aug: I would like to cancel my account immediately.
GEN | [card_payment_not_recognised] | Orig: Why is this payment on my app -> Aug: We're having trouble identifying this payment on your account.
GEN | [fiat_currency_support] | Orig: Can I have money of different country of origin. -> Aug: Can I obtain funds in various foreign currencies?
GEN | [direct_debit_payment_not_recognised] | Orig: I have an unauthorized charge. -> Aug: I've noticed an unexpected payment on my account.
GEN | [card_payment_not_recognised] | Orig: I've never been to that store.  That's a fraudulent charge. -> Aug: We've never processed a payment from that merchant before. This transaction appears to be unauthorized.
GEN | [activate_my_card] | Orig: Tell me how to renew my new card? -> Aug: How do I reactivate my new credit card?
GEN | [direct_debit_payment_not_recognised] | Orig: This debit is not my transcation. How do I get my money out back? -> Aug: This direct debit payment is not recognized as my transaction. How can I retrieve my funds?
GEN | [transfer_into_account] | Orig: Whats the transfer process -> Aug: How do I initiate a transfer into an account?
GEN | [cash_withdrawal_not_recognised] | Orig: I think someone may have cloned my card or something.  My card isn't lost but I just saw a charge of $500 cash withdraw.  Can you help me? -> Aug: I'm concerned that my card may have been compromised. Although I haven't misplaced it, I've noticed an unusual cash withdrawal of $500. Can you assist me in resolving this issue?
GEN | [fiat_currency_support] | Orig: Can I exchange my money for EUR? -> Aug: Can I convert my funds to euros?
GEN | [verify_top_up] | Orig: I just want to top-up, why do I need to verify anything? -> Aug: I'm trying to add funds, but I'm being asked to confirm some information before I can proceed. Can you help me with that?
GEN | [card_not_working] | Orig: I haven't been able to complete any transactions on my card today. Do you know what's wrong? -> Aug: I'm having trouble making any purchases with my card today. Can you help me figure out what's going on?
GEN | [atm_support] | Orig: I need to withdraw money. Where can I do that? -> Aug: I'm looking to make a withdrawal. Can you tell me where I can access an ATM to do so?
GEN | [transaction_charged_twice] | Orig: I had a duplicate card and bought something and it showed up twice. I canceled my card, how do I get my money back? -> Aug: I accidentally used a duplicate credit card to make a purchase, and it was reflected on my account twice. I've since cancelled the card, but I'd like to know how to recover the extra charge.
GEN | [balance_not_updated_after_cheque_or_cash_deposit] | Orig: My friend deposited $100 into my account, but it is not showing up! -> Aug: My friend made a cash deposit of $100 into my account, but the balance hasn't been updated yet.
GEN | [top_up_by_cash_or_cheque] | Orig: Do you take checks? -> Aug: Can you accept payments by cheque or cash?
GEN | [transfer_timing] | Orig: When will the money reach my  account? -> Aug: When can I expect the funds to be deposited into my account?
GEN | [compromised_card] | Orig: How can I tell if someone else is using my card? -> Aug: How can I determine if my card has been compromised and is being used by someone else?
GEN | [card_payment_not_recognised] | Orig: There are a couple payments with my card shown in the app that i really didn't make myself. What's happenning with this, does someone has access to my card?! -> Aug: I'm seeing some transactions on my card in the app that I didn't authorize. Can you help me figure out what's going on? Is someone else using my card without my permission?
GEN | [order_physical_card] | Orig: Do you ship your cards anywhere? -> Aug: Can you deliver your physical cards to any location?
GEN | [card_not_working] | Orig: I can't seem to use my card. Can you help? -> Aug: I'm having trouble using my card. Can you assist me?
GEN | [card_not_working] | Orig: Why won't my card accept any transactions? -> Aug: Why is my card unable to process any transactions?
GEN | [balance_not_updated_after_bank_transfer] | Orig: Is there a longer processing time for international bank transfers? -> Aug: Why does it take a while for my account balance to update after an international bank transfer is made?
GEN | [card_delivery_estimate] | Orig: I need my card right away. -> Aug: I require my card as soon as possible.
GEN | [compromised_card] | Orig: Questionable transactions on my account. -> Aug: Suspicious activity detected on my account.
GEN | [activate_my_card] | Orig: How do I active this card? -> Aug: How can I activate this card?
GEN | [card_payment_not_recognised] | Orig: There is a payment in the app that I did not approve -> Aug: A payment has been recorded in the app that I did not authorize.
GEN | [order_physical_card] | Orig: Show me where to order my card. -> Aug: Where can I place an order for a physical card?
