GEN | [order_physical_card] | Orig: Can I have a tangible form of my virtual card. -> Aug: I'd like to request a physical version of my digital card.
GEN | [automatic_top_up] | Orig: How do I get refills to my card when I'm traveling? -> Aug: Can I set up automatic top-ups for my card when I'm abroad, so I can receive refills easily while traveling?
GEN | [direct_debit_payment_not_recognised] | Orig: I did not set up a direct debit I have -> Aug: I'm not sure if I set up a direct debit, but I'm trying to make a payment
GEN | [get_disposable_virtual_card] | Orig: I have heard about these disposable virtual cards but don't understand how they work. -> Aug: I'm interested in learning more about the process of obtaining a disposable virtual card. Can you explain how it works and how I can get one?
GEN | [get_disposable_virtual_card] | Orig: I'm not sure how disposable virtual cards work. Please help. -> Aug: Can you explain how to obtain a disposable virtual card? I'm a bit unclear on the process.
GEN | [why_verify_identity] | Orig: I still want to use my account but haven't verified is that OK? -> Aug: I'd like to continue using my account, but I haven't completed the verification process yet. Is that acceptable?
GEN | [get_disposable_virtual_card] | Orig: How can I get a virtual card for a one-time transaction? -> Aug: I'd like to obtain a disposable virtual card for a single-use payment.
GEN | [why_verify_identity] | Orig: I'm waiting for the ID verification to go through still, so is it too soon to use my account? -> Aug: I'm still waiting for the ID verification process to complete, so can I use my account before it's fully verified?
GEN | [virtual_card_not_working] | Orig: Can I use my virtual card to complete transactions for memberships? -> Aug: Can I use my virtual credit card to make payments for subscription services?
GEN | [disposable_card_limits] | Orig: On my disposable card, is there a transaction limit? -> Aug: Can you please tell me the daily spending limit on my disposable card?
GEN | [direct_debit_payment_not_recognised] | Orig: I don't recognise a Direct Debit payment -> Aug: I'm not familiar with a Direct Debit payment that was made
GEN | [get_disposable_virtual_card] | Orig: Please explain how disposable virtual card work. -> Aug: Please provide more information about how to obtain a disposable virtual card.
GEN | [country_support] | Orig: I live in Germany. Is that one of the countries you are in? What other countries are you in? -> Aug: I'm based in the United Kingdom. Are you asking about the countries you operate in? Can you please provide a list of the countries you support?
GEN | [card_payment_not_recognised] | Orig: I didn't do a payment and I have it now. -> Aug: I've made a payment, but it's not showing up in my account.
GEN | [direct_debit_payment_not_recognised] | Orig: I didn't set up the direct debit I have -> Aug: I'm not seeing the direct debit payment I set up
GEN | [country_support] | Orig: Is there anywhere  In the  Eu  this card can not be delivered in -> Aug: Can this card be delivered to all areas within the European Union, or are there any specific countries or regions where it may not be possible?
GEN | [why_verify_identity] | Orig: I am still waiting for verification.  Can I use my account before I am verified? -> Aug: I'm trying to access my account, but I haven't received the verification email yet. Can I still use my account until I'm verified?
GEN | [receiving_money] | Orig: Is it possible for a friend to personally send me a payment? -> Aug: Can a friend directly transfer funds to me?
GEN | [disposable_card_limits] | Orig: What is the number of transactions I get with a disposable card? -> Aug: How many transactions can I make with a disposable card before it expires or is no longer valid?
GEN | [getting_virtual_card] | Orig: Which part of the app do I order virtual cards from? -> Aug: Where can I find the option to order virtual cards within the app?
GEN | [contactless_not_working] | Orig: Help me to set up contactless payments. -> Aug: I'm having trouble using contactless payments and need assistance with setting it up.
GEN | [disposable_card_limits] | Orig: How many payments can I make using a virtual card? -> Aug: What is the maximum number of transactions allowed on a disposable card?
GEN | [card_arrival] | Orig: can you share card tracking number? -> Aug: can you provide the tracking number for my card delivery?
GEN | [order_physical_card] | Orig: Where do you export the cards to? -> Aug: Can you please provide the shipping address for the physical card I'd like to order?
GEN | [get_disposable_virtual_card] | Orig: What systems do you have in place for my security when using my card for everyday purchases? -> Aug: Can you provide information on the security measures in place for virtual cards, specifically for online transactions and daily purchases?
GEN | [country_support] | Orig: Do you work in Greece? -> Aug: Are you based in Greece?
GEN | [disposable_card_limits] | Orig: How many transactions can I make on my disposable card? -> Aug: What is the daily transaction limit for my disposable card?
GEN | [transfer_into_account] | Orig: Can I transfer money to my card via bank-transfer? -> Aug: Can I initiate a transfer from my account to my debit card?
GEN | [country_support] | Orig: May I get one of your cards?  I live in the EU. -> Aug: Can I apply for a card that's available in the European Union? I'm a resident there.
GEN | [getting_virtual_card] | Orig: I look but I see no virtual card. Why is that? -> Aug: I'm trying to find my virtual card, but it's not showing up. Can you help me locate it?
GEN | [getting_spare_card] | Orig: Is it possible to give a second card from my account to my daughter? -> Aug: I'd like to request a spare card for my daughter, can I get another one from my account?
GEN | [top_up_by_cash_or_cheque] | Orig: How can I add physical money to my card? -> Aug: You can top up your card using cash or cheque. Can I assist you with the process?
GEN | [edit_personal_details] | Orig: I have a new email. -> Aug: I would like to update my email address.
GEN | [top_up_limits] | Orig: What is the daily limit on my card? -> Aug: Can you please inform me about the daily spending limit on my credit/debit card?
GEN | [country_support] | Orig: I'm in the EU. Can I get one of your cards? -> Aug: I'm a resident in the European Union. Can I apply for a credit card from your bank?
GEN | [disposable_card_limits] | Orig: Show me the amount of transactions I can do with a disposable card. -> Aug: What is the daily spending limit for a disposable card, and how many transactions can I make with it?
GEN | [country_support] | Orig: I am in the EU. Can I get one of your cards? -> Aug: I am a resident in the European Union. Can I apply for a card from your bank?
GEN | [disposable_card_limits] | Orig: Do the disposable cards have a transaction limit? -> Aug: What is the daily spending limit for disposable cards?
VAL | [order_physical_card] | YES | Text: I'd like to request a physical version of my digital card.
VAL | [automatic_top_up] | NO | Text: Can I set up automatic top-ups for my card when I'm abroad, so I can receive refills easily while traveling?
VAL | [direct_debit_payment_not_recognised] | NO | Text: I'm not sure if I set up a direct debit, but I'm trying to make a payment
VAL | [get_disposable_virtual_card] | YES | Text: I'm interested in learning more about the process of obtaining a disposable virtual card. Can you explain how it works and how I can get one?
VAL | [get_disposable_virtual_card] | NO | Text: Can you explain how to obtain a disposable virtual card? I'm a bit unclear on the process.
VAL | [why_verify_identity] | YES | Text: I'd like to continue using my account, but I haven't completed the verification process yet. Is that acceptable?
VAL | [get_disposable_virtual_card] | YES | Text: I'd like to obtain a disposable virtual card for a single-use payment.
VAL | [why_verify_identity] | NO | Text: I'm still waiting for the ID verification process to complete, so can I use my account before it's fully verified?
VAL | [virtual_card_not_working] | NO | Text: Can I use my virtual credit card to make payments for subscription services?
VAL | [disposable_card_limits] | YES | Text: Can you please tell me the daily spending limit on my disposable card?
VAL | [direct_debit_payment_not_recognised] | YES | Text: I'm not familiar with a Direct Debit payment that was made
VAL | [get_disposable_virtual_card] | NO | Text: Please provide more information about how to obtain a disposable virtual card.
VAL | [country_support] | NO | Text: I'm based in the United Kingdom. Are you asking about the countries you operate in? Can you please provide a list of the countries you support?
VAL | [card_payment_not_recognised] | YES | Text: I've made a payment, but it's not showing up in my account.
VAL | [direct_debit_payment_not_recognised] | YES | Text: I'm not seeing the direct debit payment I set up
VAL | [country_support] | YES | Text: Can this card be delivered to all areas within the European Union, or are there any specific countries or regions where it may not be possible?
VAL | [why_verify_identity] | NO | Text: I'm trying to access my account, but I haven't received the verification email yet. Can I still use my account until I'm verified?
VAL | [receiving_money] | YES | Text: Can a friend directly transfer funds to me?
VAL | [disposable_card_limits] | YES | Text: How many transactions can I make with a disposable card before it expires or is no longer valid?
VAL | [getting_virtual_card] | YES | Text: Where can I find the option to order virtual cards within the app?
VAL | [contactless_not_working] | NO | Text: I'm having trouble using contactless payments and need assistance with setting it up.
VAL | [disposable_card_limits] | YES | Text: What is the maximum number of transactions allowed on a disposable card?
VAL | [card_arrival] | YES | Text: can you provide the tracking number for my card delivery?
VAL | [order_physical_card] | NO | Text: Can you please provide the shipping address for the physical card I'd like to order?
VAL | [get_disposable_virtual_card] | NO | Text: Can you provide information on the security measures in place for virtual cards, specifically for online transactions and daily purchases?
VAL | [country_support] | YES | Text: Are you based in Greece?
VAL | [disposable_card_limits] | YES | Text: What is the daily transaction limit for my disposable card?
VAL | [transfer_into_account] | NO | Text: Can I initiate a transfer from my account to my debit card?
VAL | [country_support] | YES | Text: Can I apply for a card that's available in the European Union? I'm a resident there.
VAL | [getting_virtual_card] | YES | Text: I'm trying to find my virtual card, but it's not showing up. Can you help me locate it?
VAL | [getting_spare_card] | YES | Text: I'd like to request a spare card for my daughter, can I get another one from my account?
VAL | [top_up_by_cash_or_cheque] | NO | Text: You can top up your card using cash or cheque. Can I assist you with the process?
VAL | [edit_personal_details] | YES | Text: I would like to update my email address.
VAL | [top_up_limits] | YES | Text: Can you please inform me about the daily spending limit on my credit/debit card?
VAL | [country_support] | NO | Text: I'm a resident in the European Union. Can I apply for a credit card from your bank?
VAL | [disposable_card_limits] | YES | Text: What is the daily spending limit for a disposable card, and how many transactions can I make with it?
VAL | [country_support] | YES | Text: I am a resident in the European Union. Can I apply for a card from your bank?
VAL | [disposable_card_limits] | YES | Text: What is the daily spending limit for disposable cards?
