GEN | [top_up_failed] | Orig: I can't add any more money. -> Aug: I'm unable to make a successful top-up.
GEN | [receiving_money] | Orig: I need my payment in another currency -> Aug: I would like to receive my payment in a different currency
GEN | [top_up_reverted] | Orig: Tell me how a top up would be reverted. -> Aug: If a top-up transaction is cancelled or reversed, how would the amount be restored to my account?
GEN | [topping_up_by_card] | Orig: I need my card topped up, -> Aug: I would like to add funds to my card using my card details.
GEN | [visa_or_mastercard] | Orig: Why did I get a different card then requested? -> Aug: I was expecting a specific type of card, but I received a different one. Can you help me understand why?
GEN | [top_up_by_card_charge] | Orig: Are there any charges for topping up a US-issued card? -> Aug: Is there a fee associated with recharging a US-issued card using a card charge?
GEN | [card_swallowed] | Orig: My card was eaten by the cash machine what do I do? -> Aug: My card seems to have been swallowed by the ATM, what should I do now?
GEN | [visa_or_mastercard] | Orig: Does it matter which card I use -> Aug: Is it important which credit card I use, specifically Visa or Mastercard?
GEN | [card_delivery_estimate] | Orig: Can I pay more to get it deliver quicker? -> Aug: Is there an expedited shipping option available for a faster delivery of my card?
GEN | [card_swallowed] | Orig: I have lost my credit card in the ATM! -> Aug: I swallowed my debit card while trying to get cash from the ATM!
GEN | [exchange_rate] | Orig: Does this app have the same exchange rate as third parties? -> Aug: Is the exchange rate offered by this app identical to what I would find on other platforms?
GEN | [virtual_card_not_working] | Orig: I can't do any business with this virtual card. -> Aug: I'm unable to complete any transactions with this virtual card.
GEN | [top_up_by_card_charge] | Orig: I topped off my card is that something you will charge me for? -> Aug: I'm wondering if there's a fee associated with topping up my card using a charge?
GEN | [card_delivery_estimate] | Orig: how much to get my card in 2 days? -> Aug: Can you please provide an estimate of the delivery time for my card, specifically within a 2-day timeframe?
GEN | [order_physical_card] | Orig: Do physical cards cost money? -> Aug: Are there any fees associated with ordering a physical credit card?
GEN | [top_up_by_card_charge] | Orig: If I were to use a European bank card for a top up, will I incur a charge? -> Aug: If I were to use a foreign bank card for a top-up, will I be charged a fee?
GEN | [top_up_by_bank_transfer_charge] | Orig: Is there a cost to receive money? -> Aug: Are there any fees associated with receiving a bank transfer top-up?
GEN | [topping_up_by_card] | Orig: My card needs to be topped up. -> Aug: I'd like to add some funds to my card.
GEN | [card_delivery_estimate] | Orig: Can I have it by a certain date? -> Aug: Can you provide an estimated delivery date for my card?
GEN | [card_about_to_expire] | Orig: Are there restrictions on new cards in China? -> Aug: I'm concerned about my credit card's expiration date. Will I be able to get a new one if it's about to expire while I'm in China?
GEN | [card_acceptance] | Orig: Is there anywhere I can't use my card? -> Aug: Are there any specific locations or merchants where my card is not accepted?
GEN | [compromised_card] | Orig: How do I stop fraud to my card? -> Aug: What can I do to prevent unauthorized transactions on my compromised card?
GEN | [card_swallowed] | Orig: An ATM swallowed my credit card! -> Aug: The ATM seems to have eaten my credit card.
GEN | [wrong_exchange_rate_for_cash_withdrawal] | Orig: My rate is not right when I used my card in a different country's money. -> Aug: The exchange rate I got when I withdrew cash with my card in a foreign country is incorrect.
GEN | [top_up_reverted] | Orig: The app reversed a top off I had.  What should I do? -> Aug: The top-up I made was reversed in the app. What can I do to rectify the situation?
GEN | [order_physical_card] | Orig: how much for a physical card? -> Aug: what is the cost of a physical credit card?
GEN | [transfer_into_account] | Orig: Can I use my bank account to send me more money? -> Aug: Can I transfer funds from my bank account to add more money to it?
GEN | [card_acceptance] | Orig: Where do I pay with my debit or credit card? -> Aug: How can I use my debit or credit card to make a payment?
GEN | [topping_up_by_card] | Orig: Why was my card charged when topping off my balance but it's not showing up in my wallet balance? -> Aug: I'm trying to add funds to my account using my card, but the transaction is being processed, but the updated balance isn't reflecting in my account.
GEN | [top_up_reverted] | Orig: Reasons for top up cancellation. -> Aug: Why was my top-up reversed?
GEN | [order_physical_card] | Orig: What is the price for a physical card? -> Aug: Can you please provide the cost of a physical credit/debit card?
GEN | [card_about_to_expire] | Orig: Am I able to get this shipped to China? -> Aug: I'm trying to renew my credit card, which is about to expire, and I'd like to know if I can have it delivered to China.
VAL | [top_up_failed] | YES | Text: I'm unable to make a successful top-up.
VAL | [receiving_money] | YES | Text: I would like to receive my payment in a different currency
VAL | [top_up_reverted] | NO | Text: If a top-up transaction is cancelled or reversed, how would the amount be restored to my account?
VAL | [topping_up_by_card] | YES | Text: I would like to add funds to my card using my card details.
VAL | [visa_or_mastercard] | NO | Text: I was expecting a specific type of card, but I received a different one. Can you help me understand why?
VAL | [top_up_by_card_charge] | YES | Text: Is there a fee associated with recharging a US-issued card using a card charge?
VAL | [card_swallowed] | YES | Text: My card seems to have been swallowed by the ATM, what should I do now?
VAL | [visa_or_mastercard] | YES | Text: Is it important which credit card I use, specifically Visa or Mastercard?
VAL | [card_delivery_estimate] | YES | Text: Is there an expedited shipping option available for a faster delivery of my card?
VAL | [card_swallowed] | YES | Text: I swallowed my debit card while trying to get cash from the ATM!
VAL | [exchange_rate] | YES | Text: Is the exchange rate offered by this app identical to what I would find on other platforms?
VAL | [virtual_card_not_working] | YES | Text: I'm unable to complete any transactions with this virtual card.
VAL | [top_up_by_card_charge] | YES | Text: I'm wondering if there's a fee associated with topping up my card using a charge?
VAL | [card_delivery_estimate] | YES | Text: Can you please provide an estimate of the delivery time for my card, specifically within a 2-day timeframe?
VAL | [order_physical_card] | NO | Text: Are there any fees associated with ordering a physical credit card?
VAL | [top_up_by_card_charge] | YES | Text: If I were to use a foreign bank card for a top-up, will I be charged a fee?
VAL | [top_up_by_bank_transfer_charge] | NO | Text: Are there any fees associated with receiving a bank transfer top-up?
VAL | [topping_up_by_card] | YES | Text: I'd like to add some funds to my card.
VAL | [card_delivery_estimate] | YES | Text: Can you provide an estimated delivery date for my card?
VAL | [card_about_to_expire] | NO | Text: I'm concerned about my credit card's expiration date. Will I be able to get a new one if it's about to expire while I'm in China?
VAL | [card_acceptance] | YES | Text: Are there any specific locations or merchants where my card is not accepted?
VAL | [compromised_card] | YES | Text: What can I do to prevent unauthorized transactions on my compromised card?
VAL | [card_swallowed] | YES | Text: The ATM seems to have eaten my credit card.
VAL | [wrong_exchange_rate_for_cash_withdrawal] | YES | Text: The exchange rate I got when I withdrew cash with my card in a foreign country is incorrect.
VAL | [top_up_reverted] | YES | Text: The top-up I made was reversed in the app. What can I do to rectify the situation?
VAL | [order_physical_card] | NO | Text: what is the cost of a physical credit card?
VAL | [transfer_into_account] | NO | Text: Can I transfer funds from my bank account to add more money to it?
VAL | [card_acceptance] | YES | Text: How can I use my debit or credit card to make a payment?
VAL | [topping_up_by_card] | NO | Text: I'm trying to add funds to my account using my card, but the transaction is being processed, but the updated balance isn't reflecting in my account.
VAL | [top_up_reverted] | YES | Text: Why was my top-up reversed?
VAL | [order_physical_card] | NO | Text: Can you please provide the cost of a physical credit/debit card?
VAL | [card_about_to_expire] | NO | Text: I'm trying to renew my credit card, which is about to expire, and I'd like to know if I can have it delivered to China.
