GEN | [lost_or_stolen_card] | Orig: My card has been lost! help! -> Aug: I've misplaced my card and I need assistance with replacing it.
GEN | [cancel_transfer] | Orig: How do i cancel a charge? -> Aug: Can you help me stop a pending transfer?
GEN | [lost_or_stolen_card] | Orig: I cant find my card. -> Aug: I've misplaced my credit card and I'm worried it might be lost.
GEN | [receiving_money] | Orig: Do I need to convert my currency from GBP before transferring? -> Aug: Can I transfer funds in GBP or do I need to convert it to another currency first?
GEN | [lost_or_stolen_card] | Orig: My card is missing!  Help! -> Aug: I've misplaced my card and I'm worried it might have been stolen. Can you assist me in reporting it lost or stolen?
GEN | [extra_charge_on_statement] | Orig: I still have not received an answer as to why I was charged $1.00 in a transaction? -> Aug: I'm still waiting to understand why I was unexpectedly charged $1.00 on my recent statement.
GEN | [lost_or_stolen_card] | Orig: Help! I lost my card! -> Aug: I've misplaced my bank card and I'm worried it might be lost or stolen.
GEN | [reverted_card_payment?] | Orig: I cancelled my card payment -> Aug: I reversed my card payment
GEN | [card_linking] | Orig: I have found my lost or stolen card, would I still have to activate the new card that was sent to me through the mail in order to access my account? -> Aug: I've located my missing or stolen card, do I need to activate the replacement card that was mailed to me in order to access my account?
GEN | [getting_spare_card] | Orig: I need a new card. -> Aug: I require a replacement card.
GEN | [card_arrival] | Orig: How long should it take for my new card to arrive in them mail? What should I do if I never receive it? -> Aug: When can I expect my new card to arrive by mail? If it doesn't show up, what steps can I take to resolve the issue?
GEN | [declined_cash_withdrawal] | Orig: I tried to withdraw some funds from my card, but was declined. How can I get my money? -> Aug: I attempted to withdraw cash from my account, but the transaction was declined. What are my options for retrieving my funds?
GEN | [top_up_by_card_charge] | Orig: What do I need to know about topping up? -> Aug: How can I charge my card to top up my account?
GEN | [pin_blocked] | Orig: How do I unblock my card? -> Aug: I'm having trouble accessing my account due to a PIN block. Can you help me resolve the issue and unblock my card?
GEN | [transfer_fee_charged] | Orig: A receiver made me aware that they did not receive the full transfer that I made. The amount was showing to be a bit less. I now have to make a second transfer just to make up the difference. Can you reach out and let me know what's going on? -> Aug: A sender informed me that the recipient didn't receive the full transfer amount, and I need to make an additional transfer to cover the shortfall. Can you investigate this discrepancy and let me know what's happening?
GEN | [atm_support] | Orig: I need to withdraw money. Where can I do that? -> Aug: I'm looking to make a withdrawal. Can I use an ATM to get some cash?
GEN | [transfer_not_received_by_recipient] | Orig: What happens when I money transaction doesn't show up on the receiving side? -> Aug: If the recipient hasn't received the transferred amount, what's the next step to resolve the issue?
GEN | [card_linking] | Orig: I recently reported my card as missing/lost, and I just found it. Can I still use it? -> Aug: I previously reported my card as stolen, and I've since found it. Can I still use it?
GEN | [card_about_to_expire] | Orig: Can I order a new card with the app? -> Aug: Before my card expires, can I request a new one through the mobile app?
GEN | [top_up_by_cash_or_cheque] | Orig: Where do I look for cash top up? -> Aug: You can top up your account using cash at any of our bank branches or by depositing a cheque at a nearby post office.
GEN | [atm_support] | Orig: Where should I withdraw money from? -> Aug: Can you please tell me where I can withdraw cash from an ATM?
GEN | [transfer_fee_charged] | Orig: I made a transfer and the receiver said an amount was received, but not exactly the same as the right amount. I now have to transfer more to get the remainder to the receiver. Can you alert me about this. What's been happening? -> Aug: I initiated a transfer, but the recipient claims to have received a different amount than what I intended. Now, I need to make an additional transfer to cover the remaining balance. Can you help me understand what's going on?
GEN | [transaction_charged_twice] | Orig: My card was declined but it shows as multiple charges? -> Aug: I was charged twice for the same transaction, but my card was declined.
GEN | [transfer_fee_charged] | Orig: I made a transfer and the receiver did not get the right amount its lesser than what it should be,Now I have to transfer more money to make up for the missing amount . Can you please help me about this, what should be done -> Aug: I initiated a transfer, but the recipient only received a smaller amount than expected. I need to make up the difference by transferring more funds. Can you assist me in resolving this issue?
GEN | [top_up_failed] | Orig: How can correct Top up with the app to work correctly? -> Aug: Why is the top-up process not working properly when I try to use the app?
GEN | [card_payment_fee_charged] | Orig: What are the fees imposed when I make a transaction? -> Aug: Can you tell me about the charges I'll be charged for processing a payment?
GEN | [declined_cash_withdrawal] | Orig: Why am I unable to withdraw money even though in the past I've done it just fine? -> Aug: I'm sorry to inform you that your recent cash withdrawal request has been declined due to insufficient funds or account restrictions. Please check your account balance and transaction history to understand the reason behind this decline.
GEN | [top_up_by_cash_or_cheque] | Orig: What types of top-up methods do you accept? -> Aug: You can top up your account using cash or cheque. What would you like to do?
GEN | [card_linking] | Orig: I don't see my card anywhere in the app. -> Aug: I'm unable to locate my card in the app.
GEN | [wrong_amount_of_cash_received] | Orig: Yikes!  I didn't get the amount of money that I requested.  What do I do now? -> Aug: I'm shortchanged! I received less cash than I was supposed to get. Can you help me resolve this issue?
GEN | [top_up_limits] | Orig: What are the rules for a top-up? -> Aug: Can you please provide information on the requirements for increasing my credit limit?
GEN | [lost_or_stolen_card] | Orig: Who can I speak with regarding a lost card? -> Aug: I'd like to report my credit card as stolen.
GEN | [balance_not_updated_after_bank_transfer] | Orig: Are bank transfers immediate? -> Aug: Why hasn't my account balance updated after I made a bank transfer today?
VAL | [lost_or_stolen_card] | YES | Text: I've misplaced my card and I need assistance with replacing it.
VAL | [cancel_transfer] | NO | Text: Can you help me stop a pending transfer?
VAL | [lost_or_stolen_card] | YES | Text: I've misplaced my credit card and I'm worried it might be lost.
VAL | [receiving_money] | NO | Text: Can I transfer funds in GBP or do I need to convert it to another currency first?
VAL | [lost_or_stolen_card] | YES | Text: I've misplaced my card and I'm worried it might have been stolen. Can you assist me in reporting it lost or stolen?
VAL | [extra_charge_on_statement] | YES | Text: I'm still waiting to understand why I was unexpectedly charged $1.00 on my recent statement.
VAL | [lost_or_stolen_card] | YES | Text: I've misplaced my bank card and I'm worried it might be lost or stolen.
VAL | [reverted_card_payment?] | YES | Text: I reversed my card payment
VAL | [card_linking] | YES | Text: I've located my missing or stolen card, do I need to activate the replacement card that was mailed to me in order to access my account?
VAL | [getting_spare_card] | YES | Text: I require a replacement card.
VAL | [card_arrival] | YES | Text: When can I expect my new card to arrive by mail? If it doesn't show up, what steps can I take to resolve the issue?
VAL | [declined_cash_withdrawal] | YES | Text: I attempted to withdraw cash from my account, but the transaction was declined. What are my options for retrieving my funds?
VAL | [top_up_by_card_charge] | YES | Text: How can I charge my card to top up my account?
VAL | [pin_blocked] | NO | Text: I'm having trouble accessing my account due to a PIN block. Can you help me resolve the issue and unblock my card?
VAL | [transfer_fee_charged] | NO | Text: A sender informed me that the recipient didn't receive the full transfer amount, and I need to make an additional transfer to cover the shortfall. Can you investigate this discrepancy and let me know what's happening?
VAL | [atm_support] | YES | Text: I'm looking to make a withdrawal. Can I use an ATM to get some cash?
VAL | [transfer_not_received_by_recipient] | YES | Text: If the recipient hasn't received the transferred amount, what's the next step to resolve the issue?
VAL | [card_linking] | NO | Text: I previously reported my card as stolen, and I've since found it. Can I still use it?
VAL | [card_about_to_expire] | NO | Text: Before my card expires, can I request a new one through the mobile app?
VAL | [top_up_by_cash_or_cheque] | NO | Text: You can top up your account using cash at any of our bank branches or by depositing a cheque at a nearby post office.
VAL | [atm_support] | NO | Text: Can you please tell me where I can withdraw cash from an ATM?
VAL | [transfer_fee_charged] | NO | Text: I initiated a transfer, but the recipient claims to have received a different amount than what I intended. Now, I need to make an additional transfer to cover the remaining balance. Can you help me understand what's going on?
VAL | [transaction_charged_twice] | YES | Text: I was charged twice for the same transaction, but my card was declined.
VAL | [transfer_fee_charged] | YES | Text: I initiated a transfer, but the recipient only received a smaller amount than expected. I need to make up the difference by transferring more funds. Can you assist me in resolving this issue?
VAL | [top_up_failed] | NO | Text: Why is the top-up process not working properly when I try to use the app?
VAL | [card_payment_fee_charged] | YES | Text: Can you tell me about the charges I'll be charged for processing a payment?
VAL | [declined_cash_withdrawal] | NO | Text: I'm sorry to inform you that your recent cash withdrawal request has been declined due to insufficient funds or account restrictions. Please check your account balance and transaction history to understand the reason behind this decline.
VAL | [top_up_by_cash_or_cheque] | NO | Text: You can top up your account using cash or cheque. What would you like to do?
VAL | [card_linking] | NO | Text: I'm unable to locate my card in the app.
VAL | [wrong_amount_of_cash_received] | YES | Text: I'm shortchanged! I received less cash than I was supposed to get. Can you help me resolve this issue?
VAL | [top_up_limits] | NO | Text: Can you please provide information on the requirements for increasing my credit limit?
VAL | [lost_or_stolen_card] | YES | Text: I'd like to report my credit card as stolen.
VAL | [balance_not_updated_after_bank_transfer] | NO | Text: Why hasn't my account balance updated after I made a bank transfer today?
