text,label
"Swimming: Phelps charged - Six-time Olympic swimming champion Michael Phelps has publicly apologised after his arrest for drink-driving. The 19-year-old ran a stop sign in Salisbury, Maryland.",1
"Novell Promises Continued Support for SuSE Linux (Ziff Davis) - Ziff Davis - The company says SuSE Linux Professional will become more of a community desktop, while its upcoming Novell Linux Desktop will target business users.",3
"Key New England games - UCONN (5-2) vs. SYRACUSE (3-4) When, where: Tomorrow, 1:30 p.m., at Syracuse, N.Y. Last season: First meeting. Comments: UConn is coming off a 45-31 victory against Temple. Dan Orlovsky became UConn's career leader in TD passes. He was 18 of 26 for 260 yards, with two TDs and one interception. LBs Maurice Lloyd and Alfred Fincher combined for 29 tackles ...",1
"Championship season - For the city, the team #39;s WNBA championship was the first major professional title for a local franchise in a generation. It #39;s time tomorrow for a downtown civic celebration -- much like the one with the Sonics in 1979.",1
"U.S. Signs Agreement Targeting Methane (AP) - AP - Seeking to bolster its credentials on global warming, the United States signed an agreement Tuesday with 13 other nations that calls for investing up to  #36;53 million in companies that will profitably control emissions of methane, a greenhouse gas.",0
"Ford unit sales slip 5 in October - SAN FRANCISCO (CBS.MW) - Ford Motor on Wednesday was the first of the major automakers to turn in October US sales results, reporting that unit sales slipped 5 percent.",2
Dollar Falls to 6-Month Low Vs Yen -  LONDON (Reuters) - The dollar hit a six-month low against  the yen and drifted near recent eight-month lows versus the  euro on Friday as investors considered the effect of China's  interest rate hike on currencies and the U.S economic outlook.,2
"Yudhoyono eyes Jemaah Islamiyah ban - JAKARTA - Indonesian President Susilo Bambang Yudhoyono has said the government will ban Jemaah Islamiyah, which is believed to have links with international terrorist network al-Qaida, if it does exist, according to a US-based magazine.",0
"Online casino pays 28 grand for  #39;religious icon #39; grilled cheese - Today, they forked over more than 28-thousand dollars for half a grilled cheese sandwich that #39;s more than ten years old. The seller claims it bears the image of the Virgin Mary.",3
"Venus gets off to positive start - Venus Williams, fighting to qualify for the season-ending WTA Championships, ousted Lisa Raymond in the first round of the Advanta Championships.",1
WTO OKs sanctions on US products - In a trade dispute that could spread to one of Washington state #39;s biggest exports -- apples -- the World Trade Organization gave the go-ahead yesterday for punitive sanctions on US products.,2
"Sox Victorious At Last!! - BOSTON -- After suffering decades of defeat and disappointment, the 2004 Boston Red Sox made history Wednesday night, beating the Yankees in the house that Ruth built and claiming the American League championship trophy.",1
