GEN | [beneficiary_not_allowed] | Orig: I wasn't allowed to transfer to my account -> Aug: I was prohibited from crediting my account
GEN | [getting_spare_card] | Orig: Can I have a spare card for this account please? -> Aug: Could you provide me with a replacement card for this account?
GEN | [visa_or_mastercard] | Orig: I anticipate getting a Visa card -> Aug: I'm expecting to receive a Mastercard
GEN | [card_payment_fee_charged] | Orig: You promised no fees but now I've got one. What the hell!? -> Aug: You assured me there would be no charges, but I've been slapped with a fee. Can you explain this discrepancy?
GEN | [top_up_by_cash_or_cheque] | Orig: Do you accept cash? -> Aug: Can you make a cash deposit or pay by cheque?
GEN | [top_up_limits] | Orig: Do you limit my top-offs? -> Aug: Are you limiting my limit increases?
GEN | [top_up_by_bank_transfer_charge] | Orig: Is there a cost to receive money? -> Aug: Are there any fees associated with receiving a bank transfer to top up my account?
GEN | [supported_cards_and_currencies] | Orig: why wont my american express work to add money -> Aug: Why can't I use my American Express card to top up my account?
GEN | [pending_cash_withdrawal] | Orig: Hae there, I have a transaction that is in progress despite the fact that the ATM was not working, what do I do to avoid being charged? -> Aug: I'm experiencing a pending cash withdrawal issue, as the ATM was malfunctioning, and I'm concerned about being charged for the transaction. What can I do to resolve this situation?
GEN | [why_verify_identity] | Orig: What is the first step I need to make for being able to access my account? -> Aug: What do I need to do to verify my identity before accessing my account?
GEN | [pending_top_up] | Orig: I have a new card and I can't add money to it.  I tried about 30 minutes ago and it is still pending.  What do I do? -> Aug: I've just got a new card and I'm having trouble topping it up. I attempted to add funds about half an hour ago, but the transaction is still pending. Can you help me resolve this issue?
GEN | [declined_cash_withdrawal] | Orig: I'm trying to take money from my account but its not letting me. Help! -> Aug: I'm having trouble accessing my funds and making a cash withdrawal. Can you assist me?
GEN | [failed_transfer] | Orig: Is there a problem with your system being down or something? I have already tried 5 times to issue a standard transfer but I'm getting nowhere. -> Aug: Is there an issue with your system or network? I've attempted to initiate a standard transfer multiple times, but it's not going through.
GEN | [apple_pay_or_google_pay] | Orig: what can I do if I got my American Express in Apple Bay but top up is not working? -> Aug: What can I do if I've added my American Express card to Google Pay but the top-up feature isn't functioning properly?
GEN | [receiving_money] | Orig: My friend wants to send me money, can she? -> Aug: Is it possible for my friend to transfer funds to me?
GEN | [failed_transfer] | Orig: Hi, I'm trying to purchase a flat and I'm needing the first payment for the mortgage to go through on the flat I'm trying to buy. For some reason I keep getting an error.can you assist in making this transfer? What is going on? -> Aug: I'm attempting to finalize the purchase of a property and the initial mortgage payment is stuck. I'm encountering an issue with the transfer, and I'd appreciate it if you could help resolve this problem. What's causing the delay?
GEN | [card_acceptance] | Orig: Are there any places that won't take my card? -> Aug: Are there any locations that don't accept my card?
GEN | [top_up_by_bank_transfer_charge] | Orig: If someone sends me money, will I be charged? -> Aug: If I receive a bank transfer from someone, will I be charged a fee?
GEN | [balance_not_updated_after_cheque_or_cash_deposit] | Orig: When will my cheque be processed? -> Aug: When will my cash deposit be reflected in my account balance?
GEN | [failed_transfer] | Orig: I need to know what is going on. I'm attempting to purchase a flat and need the money to pay on my initial mortgage payment. I'm only getting an error. Can you find out what's going on and help in making the transfer? -> Aug: I'm trying to complete a transaction to secure a new property and require the funds for my initial mortgage payment. However, I'm encountering an issue and receiving an error message. Could you investigate the cause and assist me in resolving the transfer problem?
GEN | [beneficiary_not_allowed] | Orig: I need to transfer to my account and cant. -> Aug: I'm trying to transfer funds to my account, but it's not possible.
GEN | [transaction_charged_twice] | Orig: There is a transaction showing up several times. -> Aug: A duplicate transaction appears on my account.
GEN | [top_up_failed] | Orig: I added funds to my account but the app didn't process it. -> Aug: I attempted to make a deposit into my account, but the transaction was unsuccessful.
GEN | [getting_spare_card] | Orig: What is the procedure for me to get more cards on my account? -> Aug: How do I obtain additional cards for my account?
GEN | [extra_charge_on_statement] | Orig: I still have not received an answer as to why I was charged $1.00 in a transaction? -> Aug: I'm still waiting for an explanation about the additional fee that appeared on my statement.
GEN | [getting_spare_card] | Orig: I would like to get additional physical cards at this time -> Aug: I'd like to obtain extra physical debit/credit cards right now
GEN | [card_payment_not_recognised] | Orig: Could you please put a freeze on my card?  There are some payments on it that I don't know where they came from. -> Aug: Can you temporarily suspend my card activity? I'm concerned about unauthorized transactions that have been made on my account.
GEN | [order_physical_card] | Orig: I need an actual card that I can hold in my hand, how do I do that? -> Aug: I'd like to request a physical card that I can physically possess, how can I go about ordering one?
GEN | [top_up_by_bank_transfer_charge] | Orig: Do I get charged if I am receiving money? -> Aug: Will I be charged a fee when I receive funds through bank transfer?
GEN | [top_up_failed] | Orig: Fix my top up -> Aug: Complete my top-up transaction
GEN | [card_linking] | Orig: If I find a card I lost do I need to dispose of it? Or can I re-active the card and continue to use it? -> Aug: If I locate a lost card, do I need to destroy it or can I reactivate it and continue using it?
GEN | [apple_pay_or_google_pay] | Orig: I seem to be having trouble with my Google Pay Top. Can you please help? -> Aug: I'm experiencing an issue with my Apple Pay account. Can you assist me with that?
GEN | [beneficiary_not_allowed] | Orig: I was unable to transfer to another account. -> Aug: I was unable to make a transfer to a different account.
GEN | [why_verify_identity] | Orig: Is the identity check part of bank policy? -> Aug: What's the reason behind verifying identities at our bank?
GEN | [direct_debit_payment_not_recognised] | Orig: I was checking the app for my account and I noticed there is an authorized charge on it.  I haven't used my card today, so I know I didn't do it.  I would like the transaction reversed and the money replaced. -> Aug: I'm reviewing my account activity and noticed an unexpected direct debit payment. I'm certain I didn't initiate the transaction, so I'd appreciate it if you could investigate and reverse the charge, restoring the funds to my account.
GEN | [top_up_failed] | Orig: I didn't see the money I added to my card. -> Aug: I didn't receive the funds I attempted to add to my card.
GEN | [failed_transfer] | Orig: Can you help me transfer money into my friend's bank account? I tried to do it but it keeps rejecting me. I need to get the money in there asap. I have enough and all the account info is correct. -> Aug: I'm having trouble completing a transfer to my friend's account. The transaction keeps getting declined, and I'm in a hurry to get the funds there. I've double-checked the account details, and everything seems to be accurate.
VAL | [beneficiary_not_allowed] | ACCEPT | Reason: N/A | Original: I wasn't allowed to transfer to my account | Augmented: I was prohibited from crediting my account
VAL | [getting_spare_card] | ACCEPT | Reason: ... | Original: Can I have a spare card for this account please? | Augmented: Could you provide me with a replacement card for this account?
VAL | [visa_or_mastercard] | REVIEW | Reason: N/A | Original: I anticipate getting a Visa card | Augmented: I'm expecting to receive a Mastercard
VAL | [card_payment_fee_charged] | ACCEPT | Reason: ... | Original: You promised no fees but now I've got one. What the hell!? | Augmented: You assured me there would be no charges, but I've been slapped with a fee. Can you explain this discrepancy?
VAL | [top_up_by_cash_or_cheque] | ACCEPT | Reason: N/A | Original: Do you accept cash? | Augmented: Can you make a cash deposit or pay by cheque?
VAL | [top_up_limits] | ACCEPT | Reason: N/A | Original: Do you limit my top-offs? | Augmented: Are you limiting my limit increases?
VAL | [top_up_by_bank_transfer_charge] | UNKNOWN | Reason: N/A | Original: Is there a cost to receive money? | Augmented: Are there any fees associated with receiving a bank transfer to top up my account?
VAL | [supported_cards_and_currencies] | ACCEPT | Reason: N/A | Original: why wont my american express work to add money | Augmented: Why can't I use my American Express card to top up my account?
VAL | [pending_cash_withdrawal] | ACCEPT | Reason: N/A | Original: Hae there, I have a transaction that is in progress despite the fact that the ATM was not working, what do I do to avoid being charged? | Augmented: I'm experiencing a pending cash withdrawal issue, as the ATM was malfunctioning, and I'm concerned about being charged for the transaction. What can I do to resolve this situation?
VAL | [why_verify_identity] | ACCEPT | Reason: N/A | Original: What is the first step I need to make for being able to access my account? | Augmented: What do I need to do to verify my identity before accessing my account?
VAL | [pending_top_up] | ACCEPT | Reason: ... | Original: I have a new card and I can't add money to it.  I tried about 30 minutes ago and it is still pending.  What do I do? | Augmented: I've just got a new card and I'm having trouble topping it up. I attempted to add funds about half an hour ago, but the transaction is still pending. Can you help me resolve this issue?
VAL | [declined_cash_withdrawal] | ACCEPT | Reason: ... | Original: I'm trying to take money from my account but its not letting me. Help! | Augmented: I'm having trouble accessing my funds and making a cash withdrawal. Can you assist me?
VAL | [failed_transfer] | ACCEPT | Reason: N/A | Original: Is there a problem with your system being down or something? I have already tried 5 times to issue a standard transfer but I'm getting nowhere. | Augmented: Is there an issue with your system or network? I've attempted to initiate a standard transfer multiple times, but it's not going through.
VAL | [apple_pay_or_google_pay] | ACCEPT | Reason: N/A | Original: what can I do if I got my American Express in Apple Bay but top up is not working? | Augmented: What can I do if I've added my American Express card to Google Pay but the top-up feature isn't functioning properly?
VAL | [receiving_money] | ACCEPT | Reason: ... | Original: My friend wants to send me money, can she? | Augmented: Is it possible for my friend to transfer funds to me?
VAL | [failed_transfer] | ACCEPT | Reason: ... | Original: Hi, I'm trying to purchase a flat and I'm needing the first payment for the mortgage to go through on the flat I'm trying to buy. For some reason I keep getting an error.can you assist in making this transfer? What is going on? | Augmented: I'm attempting to finalize the purchase of a property and the initial mortgage payment is stuck. I'm encountering an issue with the transfer, and I'd appreciate it if you could help resolve this problem. What's causing the delay?
VAL | [card_acceptance] | ACCEPT | Reason: ... | Original: Are there any places that won't take my card? | Augmented: Are there any locations that don't accept my card?
VAL | [top_up_by_bank_transfer_charge] | ACCEPT | Reason: N/A | Original: If someone sends me money, will I be charged? | Augmented: If I receive a bank transfer from someone, will I be charged a fee?
VAL | [balance_not_updated_after_cheque_or_cash_deposit] | ACCEPT | Reason: N/A | Original: When will my cheque be processed? | Augmented: When will my cash deposit be reflected in my account balance?
VAL | [failed_transfer] | ACCEPT | Reason: ... | Original: I need to know what is going on. I'm attempting to purchase a flat and need the money to pay on my initial mortgage payment. I'm only getting an error. Can you find out what's going on and help in making the transfer? | Augmented: I'm trying to complete a transaction to secure a new property and require the funds for my initial mortgage payment. However, I'm encountering an issue and receiving an error message. Could you investigate the cause and assist me in resolving the transfer problem?
VAL | [beneficiary_not_allowed] | ACCEPT | Reason: N/A | Original: I need to transfer to my account and cant. | Augmented: I'm trying to transfer funds to my account, but it's not possible.
VAL | [transaction_charged_twice] | ACCEPT | Reason: N/A | Original: There is a transaction showing up several times. | Augmented: A duplicate transaction appears on my account.
VAL | [top_up_failed] | ACCEPT | Reason: ... | Original: I added funds to my account but the app didn't process it. | Augmented: I attempted to make a deposit into my account, but the transaction was unsuccessful.
VAL | [getting_spare_card] | ACCEPT | Reason: ... | Original: What is the procedure for me to get more cards on my account? | Augmented: How do I obtain additional cards for my account?
VAL | [extra_charge_on_statement] | ACCEPT | Reason: N/A | Original: I still have not received an answer as to why I was charged $1.00 in a transaction? | Augmented: I'm still waiting for an explanation about the additional fee that appeared on my statement.
VAL | [getting_spare_card] | ACCEPT | Reason: ... | Original: I would like to get additional physical cards at this time | Augmented: I'd like to obtain extra physical debit/credit cards right now
VAL | [card_payment_not_recognised] | ACCEPT | Reason: N/A | Original: Could you please put a freeze on my card?  There are some payments on it that I don't know where they came from. | Augmented: Can you temporarily suspend my card activity? I'm concerned about unauthorized transactions that have been made on my account.
VAL | [order_physical_card] | ACCEPT | Reason: ... | Original: I need an actual card that I can hold in my hand, how do I do that? | Augmented: I'd like to request a physical card that I can physically possess, how can I go about ordering one?
VAL | [top_up_by_bank_transfer_charge] | ACCEPT | Reason: N/A | Original: Do I get charged if I am receiving money? | Augmented: Will I be charged a fee when I receive funds through bank transfer?
VAL | [top_up_failed] | ACCEPT | Reason: N/A | Original: Fix my top up | Augmented: Complete my top-up transaction
VAL | [card_linking] | ACCEPT | Reason: N/A | Original: If I find a card I lost do I need to dispose of it? Or can I re-active the card and continue to use it? | Augmented: If I locate a lost card, do I need to destroy it or can I reactivate it and continue using it?
VAL | [apple_pay_or_google_pay] | UNKNOWN | Reason: N/A | Original: I seem to be having trouble with my Google Pay Top. Can you please help? | Augmented: I'm experiencing an issue with my Apple Pay account. Can you assist me with that?
VAL | [beneficiary_not_allowed] | ACCEPT | Reason: N/A | Original: I was unable to transfer to another account. | Augmented: I was unable to make a transfer to a different account.
VAL | [why_verify_identity] | ACCEPT | Reason: ... | Original: Is the identity check part of bank policy? | Augmented: What's the reason behind verifying identities at our bank?
