GEN | [country_support] | Orig: Can I use my card in Austria? -> Aug: Can I make purchases with my card in Austria?
GEN | [supported_cards_and_currencies] | Orig: I only have a card from the US is that okay? -> Aug: I'm wondering if it's acceptable to use a US-issued card?
GEN | [transaction_charged_twice] | Orig: I have noticed that my account was double charged for a couple of items this week. Please review and refund the double charged items back. -> Aug: I've found that I've been charged twice for a few transactions recently. Could you please investigate and reverse the duplicate charges?
GEN | [reverted_card_payment?] | Orig: Can you tell me why my card isn't letting me make purchases online? It's been 2 weeks I've been trying. -> Aug: Why is my card not allowing me to make online transactions? I've been trying for two weeks now.
GEN | [supported_cards_and_currencies] | Orig: Will you accept my credit card, it my only one. -> Aug: Can you accept my credit card, as it's the only one I have?
GEN | [passcode_forgotten] | Orig: Can you lookup my password? -> Aug: Can you retrieve my forgotten passcode?
GEN | [activate_my_card] | Orig: What do I need to do in order to use my card I just got? -> Aug: How can I activate my new card so I can start using it?
GEN | [transfer_fee_charged] | Orig: Why was money taken for a transfer? -> Aug: What's the reason for the fee deducted from my account for the recent transfer?
GEN | [card_not_working] | Orig: Why won't the machine accept my card anymore? -> Aug: The card is not functioning properly and won't be recognized by the payment terminal.
GEN | [supported_cards_and_currencies] | Orig: What card or currency can I use to pay? -> Aug: What payment methods or currencies are accepted for transactions?
GEN | [why_verify_identity] | Orig: My ID verification hasn't gone through yet, but can I use my account anyway? -> Aug: Since my ID verification is still pending, can I still access my account or is it locked until the verification is complete?
GEN | [top_up_reverted] | Orig: Reasons for top up cancellation. -> Aug: Reasons for reversal of top-up transaction.
GEN | [country_support] | Orig: Will my new card work outside of the EU? -> Aug: Will my new card be functional in countries outside the European Union?
GEN | [direct_debit_payment_not_recognised] | Orig: Why is there a direct debit set up in my name? -> Aug: We've noticed a direct debit payment that doesn't seem to be recognized in your account records.
GEN | [request_refund] | Orig: I bought a product a week ago, but may need to return it. -> Aug: I recently purchased a product, but I'm considering returning it.
GEN | [disposable_card_limits] | Orig: A friend was telling me about her disposable cards. What would I have to do to be able to get that feature? -> Aug: Can you tell me more about the disposable card limits your friend mentioned? What would I need to do to activate that feature for my own account?
GEN | [receiving_money] | Orig: how do i find out about transfers -> Aug: how can I learn about incoming transactions?
GEN | [card_linking] | Orig: If I have a credit card with you how I get set up to link to it? -> Aug: If I already have a credit card account with your bank, how do I go about linking it to my profile?
GEN | [transaction_charged_twice] | Orig: I had a duplicate card and bought something and it showed up twice. I canceled my card, how do I get my money back? -> Aug: I accidentally used a duplicate credit card to make a purchase, and it was reflected on my account twice. I've since cancelled the card, but I'd like to know how to recover the extra charge.
GEN | [unable_to_verify_identity] | Orig: The app does not know it is me. -> Aug: The system is unable to confirm your identity.
GEN | [card_payment_wrong_exchange_rate] | Orig: Please check my payment from last Saturday as I feel I have been overcharged on the exchange rate.  Thank you. -> Aug: Please review the transaction from last weekend, as I believe I was incorrectly charged a higher exchange rate. Appreciate your assistance.
GEN | [top_up_by_card_charge] | Orig: how much does it cost to add money -> Aug: what is the charge for topping up my account using my card?
GEN | [lost_or_stolen_card] | Orig: I lost my card n need a new one. -> Aug: I misplaced my card and require a replacement.
GEN | [top_up_reverted] | Orig: My money disappeared! Please help?? -> Aug: My funds vanished! Can you assist me with this issue?
GEN | [top_up_failed] | Orig: Can I tell if my top off didn't work?  It doesn't seem to have. -> Aug: Can you confirm if my top-up was unsuccessful? It appears it didn't go through.
GEN | [declined_transfer] | Orig: I wanted to know why my transaction didn't go through. -> Aug: I'm curious about the reason behind the failed transfer.
GEN | [request_refund] | Orig: I would like to retract my purchase. -> Aug: I'd like to cancel my transaction and seek a refund.
GEN | [supported_cards_and_currencies] | Orig: What cards do you support -> Aug: We accept a range of payment cards
GEN | [declined_transfer] | Orig: Hello. My credit keeps being declined, last night and again today, as I try to buy something. What is the status of my card? -> Aug: Hi, I've been experiencing issues with my credit card being declined, both yesterday evening and this morning when I tried to make a purchase. Could you please let me know the current status of my card?
GEN | [balance_not_updated_after_cheque_or_cash_deposit] | Orig: where is my money from this morning -> Aug: why hasn't my account balance been updated after the deposit I made this morning?
GEN | [card_linking] | Orig: Can I add a card to back into the app? -> Aug: Can I link a card to my account within the app?
GEN | [pending_transfer] | Orig: I have a pending transaction -> Aug: A transfer is currently in the process of being processed
