GEN | [visa_or_mastercard] | Orig: I prefer Mastecard. -> Aug: I would rather use Mastercard.
GEN | [declined_transfer] | Orig: What does the decline message mean -> Aug: The transfer was not successfully processed due to an issue.
GEN | [virtual_card_not_working] | Orig: My Virtual card was rejected for a car rental. Why? -> Aug: My virtual card was declined for a car rental, and I'm wondering why.
GEN | [virtual_card_not_working] | Orig: What is the reason I got rejected for using my disposable virtual card to pay a subscription to the gym? -> Aug: The reason I was declined when trying to use my temporary virtual card to pay for a gym membership is unclear to me.
GEN | [change_pin] | Orig: How can I change my Rowlock ? -> Aug: How do I modify my PIN?
GEN | [wrong_amount_of_cash_received] | Orig: i asked for 100 only got 80 -> Aug: i requested $100, but I was given $80 instead
GEN | [automatic_top_up] | Orig: How can I Use thereto-top option? -> Aug: How can I utilize the automatic top-up feature?
GEN | [get_physical_card] | Orig: Is the PIN separately delivered? -> Aug: Can I get my physical card separately, including the PIN?
GEN | [get_physical_card] | Orig: Do you deliver the PIN separately? -> Aug: Can you provide the physical card separately, including the PIN?
GEN | [get_physical_card] | Orig: Does the PIN come under separate cover? -> Aug: Is the PIN card separate from the physical card?
GEN | [contactless_not_working] | Orig: My contactless payments don't work. -> Aug: My mobile payment method isn't functioning properly.
GEN | [pending_top_up] | Orig: Can you tell me why my pop-up is still pending? -> Aug: Can you explain why my top-up request is still pending?
GEN | [declined_transfer] | Orig: Why am I getting declines when trying to make a purchase online? -> Aug: Why am I consistently encountering issues with my online transactions being declined?
GEN | [card_not_working] | Orig: WHAT IS THE REASON FOR THAT -> Aug: WHY IS MY CARD NOT FUNCTIONING?
GEN | [get_physical_card] | Orig: Is the PIN sent in another message? -> Aug: Can I receive the physical card separately?
GEN | [activate_my_card] | Orig: I tried activating my plug-in and it didn't piece of work -> Aug: I attempted to activate my card, but it didn't function properly
GEN | [change_pin] | Orig: While on vacation in Spain I think someone saw my PIN and I now need to change it, can I do this at an ATM in Spain? -> Aug: As I'm currently in Spain, I'm concerned that someone might have seen my PIN and I'd like to change it; can I do so at an ATM here or is there another option available?
GEN | [get_physical_card] | Orig: Can you deliver the PIN separately? -> Aug: Can you provide the physical card separately?
GEN | [declined_card_payment] | Orig: Hi, is everything in good standing with my card? I am receiving multiple "decline" messages. -> Aug: Hi, I'm getting a few "decline" notifications regarding my card. Is everything okay with my account?
GEN | [contactless_not_working] | Orig: I can't get a contactless payment to work. -> Aug: I'm having trouble with my contactless payment method.
GEN | [direct_debit_payment_not_recognised] | Orig: what is the matter? -> Aug: We're having trouble identifying your direct debit payment.
GEN | [get_physical_card] | Orig: Is my PIN sent separably? -> Aug: Can I obtain my physical card separately?
GEN | [disposable_card_limits] | Orig: i tried using a virtual card for a hotel but it didn't work, why not -> Aug: I attempted to utilize a disposable card for a hotel booking, but it was unsuccessful, could you please explain why?
GEN | [contactless_not_working] | Orig: How do I troubleshoot when contactless doesn't work? -> Aug: What steps can I take when my contactless payment method is not functioning properly?
GEN | [verify_top_up] | Orig: Verifying the top-up seems like a hassle. -> Aug: Confirming the top-up process appears to be a bit of a chore.
GEN | [contactless_not_working] | Orig: Can I make a contactless payments? -> Aug: Can I use contactless payment methods?
GEN | [change_pin] | Orig: I think someone saw my PIN and I am on vacation in Spain, can I change it locally at an ATM? -> Aug: I'm concerned that someone may have discovered my PIN and I'm currently in Spain, can I modify it at a local ATM?
GEN | [failed_transfer] | Orig: I'm getting an error when trying to make a payment. I want to purchase a flat but my mortgage payment needs to go through. Can you help me? -> Aug: I'm experiencing an issue with a transaction and I need assistance with completing a payment for a property purchase, as my mortgage payment is pending and I'm unable to proceed.
GEN | [beneficiary_not_allowed] | Orig: Why can't I use this beneficiary? -> Aug: Why is this beneficiary not eligible for use?
GEN | [supported_cards_and_currencies] | Orig: My card wants to be topped what do you guys support? -> Aug: What payment methods do you accept for card reloads?
GEN | [pending_card_payment] | Orig: How long does it take for a purchase to go from pending to authorised? -> Aug: When can I expect a pending card payment to be processed and move to an authorized status?
GEN | [verify_source_of_funds] | Orig: Is there a way for me to check my balance? -> Aug: Can you confirm the origin of the funds in my account before I check my balance?
GEN | [beneficiary_not_allowed] | Orig: Why is my beneficiary not being allowed to get payment services? -> Aug: Why is my designated recipient unable to access payment services?
GEN | [top_up_limits] | Orig: It seems I need to get information on limits for top-ups. -> Aug: Can you provide details about the limits for making deposits or adding funds to my account?
GEN | [pin_blocked] | Orig: How many incorrect attempts cause card to be blocked? -> Aug: What is the threshold for the number of incorrect PIN attempts that will trigger a card block?
GEN | [card_payment_fee_charged] | Orig: Is there a  way to  get around fees -> Aug: Can you help me avoid the payment fee that was charged on my card?
GEN | [change_pin] | Orig: I'm travelling abroad but I've run into a situation where I need to change my PIN immediately. Can I do this from here? -> Aug: I'm currently abroad and I need to update my PIN urgently. Can I make this change remotely?
GEN | [virtual_card_not_working] | Orig: I tried to use my disposable virtual card to pay a subscription to the gym and it got rejected. Any ideas why? -> Aug: I attempted to utilize my temporary virtual payment card to settle a recurring payment for a gym membership, but it was declined. Can you help me identify the reason behind this issue?
