GEN | [declined_transfer] | Orig: What do I do with my "decline" message on a transfer? -> Aug: What can I do about the transfer that was declined?
GEN | [topping_up_by_card] | Orig: With my credit card i would like to transfer money. -> Aug: I'd like to make a payment using my credit card.
GEN | [extra_charge_on_statement] | Orig: Why is there a pending hold on one pound on my statement? -> Aug: What's the reason for the extra charge showing up on my statement?
GEN | [topping_up_by_card] | Orig: I want to transfer money using my credit card. -> Aug: I'd like to add funds to my account using my credit card.
GEN | [top_up_by_bank_transfer_charge] | Orig: Do you offer SWIFT transfers? -> Aug: Can you facilitate bank transfers for topping up my account?
GEN | [transfer_into_account] | Orig: What transfer methods do you accept? -> Aug: How do you facilitate transfers into an account?
GEN | [transaction_charged_twice] | Orig: Why do I have two charges It should only be one charge? -> Aug: I've been charged twice for the same transaction, and I'm expecting only one charge.
GEN | [cancel_transfer] | Orig: Is there any way to cancel my transfer -> Aug: Can I stop the transfer I initiated?
GEN | [transfer_into_account] | Orig: I need to move money from one of my other accounts to this one. -> Aug: I'd like to transfer funds from another account to this account.
GEN | [topping_up_by_card] | Orig: Hoe do i use my credit card to transfer money? -> Aug: How can I use my credit card to make a payment or add funds to my account?
GEN | [topping_up_by_card] | Orig: I want to transfer money with my credit card. -> Aug: I'd like to add funds to my account using my credit card.
GEN | [topping_up_by_card] | Orig: How do I transfer funds directly from my credit card? -> Aug: How can I add funds to my account using my credit card?
GEN | [cancel_transfer] | Orig: Can I cancel a transfer I made -> Aug: May I terminate a transfer I initiated?
GEN | [failed_transfer] | Orig: The transger I tried to make failed. -> Aug: The transfer I attempted did not go through.
GEN | [transfer_fee_charged] | Orig: Can you elaborate on why I have an extra charge just for transferring? -> Aug: Could you please explain why I'm being charged an additional fee for initiating a transfer?
GEN | [virtual_card_not_working] | Orig: Why can't I make multiple payments with my virtual card? -> Aug: Why am I unable to process multiple transactions using my virtual card?
GEN | [balance_not_updated_after_cheque_or_cash_deposit] | Orig: Where is my cash deposit in my balance? -> Aug: Why hasn't my account balance been updated to reflect the cash deposit I made?
GEN | [Refund_not_showing_up] | Orig: how does my statement get updated so i know when a refund will reflect on my balance -> Aug: How do I get notified when a refund will be reflected on my account balance, and how will it be updated on my statement?
GEN | [topping_up_by_card] | Orig: Transferring money using credit card -> Aug: Adding funds to your account using your credit card
GEN | [cancel_transfer] | Orig: How can I cancel my transfer? -> Aug: Can you assist me in terminating the transfer I initiated?
GEN | [topping_up_by_card] | Orig: I'd like to transfer funds using my credit card. -> Aug: I'd like to make a payment using my credit card.
GEN | [top_up_by_bank_transfer_charge] | Orig: Am I able to do a SWIFT transfer with you? -> Aug: Can I initiate a bank transfer to top up my account with you?
GEN | [cancel_transfer] | Orig: Am I able to cancel a transfer I just made -> Aug: Can I stop a transfer I initiated recently?
GEN | [top_up_by_bank_transfer_charge] | Orig: Am I able to do a SWIFT transfer? -> Aug: Can I perform a bank transfer to top up my account?
GEN | [why_verify_identity] | Orig: Can we skip verifying? -> Aug: Can we bypass the identity verification process?
GEN | [top_up_by_card_charge] | Orig: should i add money via bank transfer instead -> Aug: can I recharge my account using a card charge instead?
GEN | [declined_transfer] | Orig: How do I make sure my transfer isn't goin to an unsupported merchant? -> Aug: How can I guarantee that my transfer won't be declined due to an unsupported merchant?
GEN | [verify_source_of_funds] | Orig: I require verification of my source of funds. -> Aug: I need to confirm the origin of my funds.
GEN | [top_up_by_bank_transfer_charge] | Orig: Do you take SWIFT transfers? -> Aug: Can you accept bank transfers via international wire transfer?
GEN | [verify_source_of_funds] | Orig: How can I receive verification for the source of my funds? -> Aug: Can you please provide information to confirm the origin of the funds used for this transaction?
GEN | [get_disposable_virtual_card] | Orig: What is the procedure for depositing a virtual card -> Aug: How do I obtain a disposable virtual card and use it for transactions?
GEN | [cancel_transfer] | Orig: stop the transaction -> Aug: halt the transfer
GEN | [contactless_not_working] | Orig: Help me to set up contactless payments. -> Aug: Can you assist me in enabling contactless transactions?
GEN | [top_up_by_bank_transfer_charge] | Orig: Do you process SWIFT transfers? -> Aug: Can you facilitate bank transfers via SWIFT or other international payment methods?
GEN | [top_up_by_bank_transfer_charge] | Orig: Can I do a SWIFT transfer? -> Aug: Can I make a bank transfer to top up my account?
GEN | [extra_charge_on_statement] | Orig: Why is there an extra pound charge that is pending? -> Aug: What's the reason behind the additional fee that's showing up on my statement?
GEN | [verify_source_of_funds] | Orig: My source of funds need verification. -> Aug: We need to confirm the origin of your funds.
VAL | [declined_transfer] | ACCEPT | Reason: N/A | Original: What do I do with my "decline" message on a transfer? | Augmented: What can I do about the transfer that was declined?
VAL | [topping_up_by_card] | ACCEPT | Reason: N/A | Original: With my credit card i would like to transfer money. | Augmented: I'd like to make a payment using my credit card.
VAL | [extra_charge_on_statement] | ACCEPT | Reason: N/A | Original: Why is there a pending hold on one pound on my statement? | Augmented: What's the reason for the extra charge showing up on my statement?
VAL | [topping_up_by_card] | ACCEPT | Reason: N/A | Original: I want to transfer money using my credit card. | Augmented: I'd like to add funds to my account using my credit card.
VAL | [top_up_by_bank_transfer_charge] | ACCEPT | Reason: N/A | Original: Do you offer SWIFT transfers? | Augmented: Can you facilitate bank transfers for topping up my account?
VAL | [transfer_into_account] | ACCEPT | Reason: N/A | Original: What transfer methods do you accept? | Augmented: How do you facilitate transfers into an account?
VAL | [transaction_charged_twice] | ACCEPT | Reason: ... | Original: Why do I have two charges It should only be one charge? | Augmented: I've been charged twice for the same transaction, and I'm expecting only one charge.
VAL | [cancel_transfer] | ACCEPT | Reason: N/A | Original: Is there any way to cancel my transfer | Augmented: Can I stop the transfer I initiated?
VAL | [transfer_into_account] | ACCEPT | Reason: Both texts convey the same intent of transferring money from one account to another, preserving the target intent of 'transfer_into_account'. There are no contradictions or ambiguities introduced. | Original: I need to move money from one of my other accounts to this one. | Augmented: I'd like to transfer funds from another account to this account.
VAL | [topping_up_by_card] | ACCEPT | Reason: N/A | Original: Hoe do i use my credit card to transfer money? | Augmented: How can I use my credit card to make a payment or add funds to my account?
VAL | [topping_up_by_card] | ACCEPT | Reason: N/A | Original: I want to transfer money with my credit card. | Augmented: I'd like to add funds to my account using my credit card.
VAL | [topping_up_by_card] | ACCEPT | Reason: N/A | Original: How do I transfer funds directly from my credit card? | Augmented: How can I add funds to my account using my credit card?
VAL | [cancel_transfer] | ACCEPT | Reason: ... | Original: Can I cancel a transfer I made | Augmented: May I terminate a transfer I initiated?
VAL | [failed_transfer] | ACCEPT | Reason: ... | Original: The transger I tried to make failed. | Augmented: The transfer I attempted did not go through.
VAL | [transfer_fee_charged] | ACCEPT | Reason: ... | Original: Can you elaborate on why I have an extra charge just for transferring? | Augmented: Could you please explain why I'm being charged an additional fee for initiating a transfer?
VAL | [virtual_card_not_working] | ACCEPT | Reason: ... | Original: Why can't I make multiple payments with my virtual card? | Augmented: Why am I unable to process multiple transactions using my virtual card?
VAL | [balance_not_updated_after_cheque_or_cash_deposit] | ACCEPT | Reason: ... | Original: Where is my cash deposit in my balance? | Augmented: Why hasn't my account balance been updated to reflect the cash deposit I made?
VAL | [Refund_not_showing_up] | REVIEW | Reason: ... | Original: how does my statement get updated so i know when a refund will reflect on my balance | Augmented: How do I get notified when a refund will be reflected on my account balance, and how will it be updated on my statement?
VAL | [topping_up_by_card] | ACCEPT | Reason: N/A | Original: Transferring money using credit card | Augmented: Adding funds to your account using your credit card
VAL | [cancel_transfer] | ACCEPT | Reason: ... | Original: How can I cancel my transfer? | Augmented: Can you assist me in terminating the transfer I initiated?
VAL | [topping_up_by_card] | ACCEPT | Reason: N/A | Original: I'd like to transfer funds using my credit card. | Augmented: I'd like to make a payment using my credit card.
VAL | [top_up_by_bank_transfer_charge] | ACCEPT | Reason: N/A | Original: Am I able to do a SWIFT transfer with you? | Augmented: Can I initiate a bank transfer to top up my account with you?
VAL | [cancel_transfer] | ACCEPT | Reason: ... | Original: Am I able to cancel a transfer I just made | Augmented: Can I stop a transfer I initiated recently?
VAL | [top_up_by_bank_transfer_charge] | ACCEPT | Reason: N/A | Original: Am I able to do a SWIFT transfer? | Augmented: Can I perform a bank transfer to top up my account?
VAL | [why_verify_identity] | ACCEPT | Reason: N/A | Original: Can we skip verifying? | Augmented: Can we bypass the identity verification process?
VAL | [top_up_by_card_charge] | ACCEPT | Reason: N/A | Original: should i add money via bank transfer instead | Augmented: can I recharge my account using a card charge instead?
VAL | [declined_transfer] | ACCEPT | Reason: ... | Original: How do I make sure my transfer isn't goin to an unsupported merchant? | Augmented: How can I guarantee that my transfer won't be declined due to an unsupported merchant?
VAL | [verify_source_of_funds] | ACCEPT | Reason: ... | Original: I require verification of my source of funds. | Augmented: I need to confirm the origin of my funds.
VAL | [top_up_by_bank_transfer_charge] | ACCEPT | Reason: N/A | Original: Do you take SWIFT transfers? | Augmented: Can you accept bank transfers via international wire transfer?
VAL | [verify_source_of_funds] | ACCEPT | Reason: N/A | Original: How can I receive verification for the source of my funds? | Augmented: Can you please provide information to confirm the origin of the funds used for this transaction?
VAL | [get_disposable_virtual_card] | REVIEW | Reason: N/A | Original: What is the procedure for depositing a virtual card | Augmented: How do I obtain a disposable virtual card and use it for transactions?
