GEN | [cancel_transfer] | Orig: I need to change a transfer. -> Aug: I'd like to modify a transfer.
GEN | [card_delivery_estimate] | Orig: i need to add express delivery if that's an option -> Aug: I'd like to inquire about the possibility of expedited shipping for my card delivery.
GEN | [card_about_to_expire] | Orig: Can I get a new card with new expiration date in China? -> Aug: Can I obtain a replacement card with a fresh expiration date while I'm in China?
GEN | [card_about_to_expire] | Orig: My card's expiring a month from now, should I place an order for the new card? -> Aug: My credit card's expiration date is approaching soon, should I request a replacement card?
GEN | [card_about_to_expire] | Orig: I will need a new card because mine is almost expired.  How fast do I get a replacement and what is the cost? -> Aug: I'm in need of a new card as my current one is nearing its expiration date. Can you please inform me about the process of getting a replacement and what the associated fee is?
GEN | [receiving_money] | Orig: I need my payment in another currency -> Aug: I require my funds in a different currency
GEN | [card_about_to_expire] | Orig: My card is expiring so how fast can I get a new one and how much will it be? -> Aug: I'm concerned that my card is nearing its expiration date. Can you please let me know how quickly I can obtain a replacement and what the cost will be?
GEN | [country_support] | Orig: Is there anywhere  In the  Eu  this card can not be delivered in -> Aug: Can this card be delivered to any location within the European Union, or are there specific areas where it cannot be delivered?
GEN | [card_about_to_expire] | Orig: Where can I have a new bank card sent to China? -> Aug: Can I request a replacement bank card to be delivered to China?
GEN | [card_about_to_expire] | Orig: Help me order a new card that's going to be expired soon. -> Aug: Assist me in obtaining a replacement card that's nearing its expiration date.
GEN | [receiving_money] | Orig: Salary in GBP has been received. Does it need to be configured into another place? -> Aug: Has the GBP salary been deposited into the correct account? If not, do you need assistance transferring it to a different location?
GEN | [card_arrival] | Orig: Is there a way I can get my card expedited? -> Aug: Can I request priority shipping for my card delivery?
GEN | [edit_personal_details] | Orig: My address needs to be changed. -> Aug: My residential address requires an update.
GEN | [card_about_to_expire] | Orig: My card is almost expired.  How fast will I get a new one and what is the cost? -> Aug: My credit card is nearing its expiration date. Can you tell me how quickly I can obtain a replacement and what the associated fee will be?
GEN | [card_about_to_expire] | Orig: Need a new card, mine is expiring. -> Aug: My current card is nearing its expiration date and I'd like to request a replacement.
GEN | [card_about_to_expire] | Orig: My card is expiring soon. -> Aug: My credit card's expiration date is approaching.
GEN | [card_about_to_expire] | Orig: I'm in China and need a new card. Please help. -> Aug: I'm currently abroad in China and require a replacement card as my existing one is nearing its expiration date. Can you assist me with this request?
GEN | [exchange_via_app] | Orig: I no longer need AUD, I need GBP instead, how can I make this happen? -> Aug: I'd like to exchange my AUD for GBP, is there a way to do this through the app?
GEN | [card_delivery_estimate] | Orig: Are the delivery days flexible?  My schedule only allows me to be a available on specific dates. -> Aug: Can you accommodate my schedule, which has specific availability on certain dates, for the card delivery?
GEN | [supported_cards_and_currencies] | Orig: Can you accept my other card from the U.S.?  It is the only other one I have. -> Aug: Can you accept my other credit card issued in the United States? It's the only other one I possess.
GEN | [edit_personal_details] | Orig: Is it possible to change my address? -> Aug: Can I update my personal information to reflect a new address?
GEN | [automatic_top_up] | Orig: How low does the balance have to be before the system updates? -> Aug: At what point does the account balance need to reach before the automatic top-up feature kicks in?
GEN | [visa_or_mastercard] | Orig: Can you send me a Mastercard, instead of a Visa? -> Aug: Can you provide me with a Mastercard instead of a Visa?
GEN | [visa_or_mastercard] | Orig: Please give me a Mastercard instead. -> Aug: Please provide me with a Visa or Mastercard.
GEN | [exchange_via_app] | Orig: I'm having difficulties changing AUD for GBP. How do I do this? -> Aug: I'm having trouble exchanging Australian dollars for British pounds. Can you guide me through the process?
GEN | [receiving_money] | Orig: What can I use to receive my salary? -> Aug: How can I get my salary payment?
GEN | [card_about_to_expire] | Orig: My card expires soon, will you send me one automatically? -> Aug: My credit card's expiration date is approaching, will you automatically issue a new one for me?
GEN | [verify_source_of_funds] | Orig: How can I lookup the source for my available money? -> Aug: Can you please confirm the origin of the funds currently available in my account?
GEN | [card_about_to_expire] | Orig: Does it cost much or take long to get a new card? Mine is about to expire. -> Aug: Is there a significant delay or fee associated with obtaining a replacement card, as my current one is nearing its expiration date?
GEN | [change_pin] | Orig: I'm travelling abroad but I've run into a situation where I need to change my PIN immediately. Can I do this from here? -> Aug: I'm currently abroad and I need to update my PIN urgently. Can I make this change remotely?
GEN | [change_pin] | Orig: I am on vacation in Spain and need to change my pin. -> Aug: I'm currently traveling in Spain and would like to modify my PIN.
GEN | [card_about_to_expire] | Orig: Can I order a new card to China? -> Aug: Can I request a replacement card before my current one expires?
GEN | [card_about_to_expire] | Orig: My card is about to expired what will happen? -> Aug: My credit card is nearing its expiration date, what will happen if it expires?
GEN | [automatic_top_up] | Orig: Can I have money transferred into my account at different intervals along my trip? -> Aug: Can I set up recurring transfers to my account during my trip?
GEN | [automatic_top_up] | Orig: When the time is right will this automatically replenish my balance? -> Aug: Will this automatically top up my account when the time is suitable?
GEN | [card_about_to_expire] | Orig: What do I do when I get close to the expiration date of my card? -> Aug: What happens when my credit card is about to expire, and I'm nearing the end of its validity period?
GEN | [receiving_money] | Orig: Can my salary be received here? -> Aug: Can I receive my paycheck here?
GEN | [card_about_to_expire] | Orig: My card is almost going to expire. -> Aug: My credit card is nearing its expiration date.
GEN | [edit_personal_details] | Orig: Can I change my address? -> Aug: May I update my personal information, specifically my address?
VAL | [cancel_transfer] | ACCEPT | Reason: N/A | Original: I need to change a transfer. | Augmented: I'd like to modify a transfer.
VAL | [card_delivery_estimate] | ACCEPT | Reason: N/A | Original: i need to add express delivery if that's an option | Augmented: I'd like to inquire about the possibility of expedited shipping for my card delivery.
VAL | [card_about_to_expire] | ACCEPT | Reason: N/A | Original: Can I get a new card with new expiration date in China? | Augmented: Can I obtain a replacement card with a fresh expiration date while I'm in China?
VAL | [card_about_to_expire] | ACCEPT | Reason: The augmented text maintains the core idea of the card expiring and the need for a new one, which aligns with the original intent. It does not introduce any contradictory or unsupported information. | Original: My card's expiring a month from now, should I place an order for the new card? | Augmented: My credit card's expiration date is approaching soon, should I request a replacement card?
VAL | [card_about_to_expire] | ACCEPT | Reason: ... | Original: I will need a new card because mine is almost expired.  How fast do I get a replacement and what is the cost? | Augmented: I'm in need of a new card as my current one is nearing its expiration date. Can you please inform me about the process of getting a replacement and what the associated fee is?
VAL | [receiving_money] | ACCEPT | Reason: N/A | Original: I need my payment in another currency | Augmented: I require my funds in a different currency
VAL | [card_about_to_expire] | ACCEPT | Reason: ... | Original: My card is expiring so how fast can I get a new one and how much will it be? | Augmented: I'm concerned that my card is nearing its expiration date. Can you please let me know how quickly I can obtain a replacement and what the cost will be?
VAL | [country_support] | ACCEPT | Reason: N/A | Original: Is there anywhere  In the  Eu  this card can not be delivered in | Augmented: Can this card be delivered to any location within the European Union, or are there specific areas where it cannot be delivered?
VAL | [card_about_to_expire] | ACCEPT | Reason: N/A | Original: Where can I have a new bank card sent to China? | Augmented: Can I request a replacement bank card to be delivered to China?
VAL | [card_about_to_expire] | ACCEPT | Reason: ... | Original: Help me order a new card that's going to be expired soon. | Augmented: Assist me in obtaining a replacement card that's nearing its expiration date.
VAL | [receiving_money] | ACCEPT | Reason: N/A | Original: Salary in GBP has been received. Does it need to be configured into another place? | Augmented: Has the GBP salary been deposited into the correct account? If not, do you need assistance transferring it to a different location?
VAL | [card_arrival] | ACCEPT | Reason: N/A | Original: Is there a way I can get my card expedited? | Augmented: Can I request priority shipping for my card delivery?
VAL | [edit_personal_details] | ACCEPT | Reason: ... | Original: My address needs to be changed. | Augmented: My residential address requires an update.
VAL | [card_about_to_expire] | ACCEPT | Reason: ... | Original: My card is almost expired.  How fast will I get a new one and what is the cost? | Augmented: My credit card is nearing its expiration date. Can you tell me how quickly I can obtain a replacement and what the associated fee will be?
VAL | [card_about_to_expire] | ACCEPT | Reason: ... | Original: Need a new card, mine is expiring. | Augmented: My current card is nearing its expiration date and I'd like to request a replacement.
VAL | [card_about_to_expire] | ACCEPT | Reason: ... | Original: My card is expiring soon. | Augmented: My credit card's expiration date is approaching.
VAL | [card_about_to_expire] | ACCEPT | Reason: N/A | Original: I'm in China and need a new card. Please help. | Augmented: I'm currently abroad in China and require a replacement card as my existing one is nearing its expiration date. Can you assist me with this request?
VAL | [exchange_via_app] | ACCEPT | Reason: ... | Original: I no longer need AUD, I need GBP instead, how can I make this happen? | Augmented: I'd like to exchange my AUD for GBP, is there a way to do this through the app?
VAL | [card_delivery_estimate] | ACCEPT | Reason: N/A | Original: Are the delivery days flexible?  My schedule only allows me to be a available on specific dates. | Augmented: Can you accommodate my schedule, which has specific availability on certain dates, for the card delivery?
VAL | [supported_cards_and_currencies] | ACCEPT | Reason: N/A | Original: Can you accept my other card from the U.S.?  It is the only other one I have. | Augmented: Can you accept my other credit card issued in the United States? It's the only other one I possess.
VAL | [edit_personal_details] | ACCEPT | Reason: ... | Original: Is it possible to change my address? | Augmented: Can I update my personal information to reflect a new address?
VAL | [automatic_top_up] | ACCEPT | Reason: N/A | Original: How low does the balance have to be before the system updates? | Augmented: At what point does the account balance need to reach before the automatic top-up feature kicks in?
VAL | [visa_or_mastercard] | ACCEPT | Reason: ... | Original: Can you send me a Mastercard, instead of a Visa? | Augmented: Can you provide me with a Mastercard instead of a Visa?
VAL | [visa_or_mastercard] | ACCEPT | Reason: ... | Original: Please give me a Mastercard instead. | Augmented: Please provide me with a Visa or Mastercard.
VAL | [exchange_via_app] | ACCEPT | Reason: ... | Original: I'm having difficulties changing AUD for GBP. How do I do this? | Augmented: I'm having trouble exchanging Australian dollars for British pounds. Can you guide me through the process?
VAL | [receiving_money] | ACCEPT | Reason: N/A | Original: What can I use to receive my salary? | Augmented: How can I get my salary payment?
VAL | [card_about_to_expire] | ACCEPT | Reason: ... | Original: My card expires soon, will you send me one automatically? | Augmented: My credit card's expiration date is approaching, will you automatically issue a new one for me?
VAL | [verify_source_of_funds] | ACCEPT | Reason: Both texts are asking about the origin of available funds in the user's account, which aligns with the 'verify_source_of_funds' intent. | Original: How can I lookup the source for my available money? | Augmented: Can you please confirm the origin of the funds currently available in my account?
VAL | [card_about_to_expire] | ACCEPT | Reason: N/A | Original: Does it cost much or take long to get a new card? Mine is about to expire. | Augmented: Is there a significant delay or fee associated with obtaining a replacement card, as my current one is nearing its expiration date?
VAL | [change_pin] | ACCEPT | Reason: N/A | Original: I'm travelling abroad but I've run into a situation where I need to change my PIN immediately. Can I do this from here? | Augmented: I'm currently abroad and I need to update my PIN urgently. Can I make this change remotely?
VAL | [change_pin] | ACCEPT | Reason: ... | Original: I am on vacation in Spain and need to change my pin. | Augmented: I'm currently traveling in Spain and would like to modify my PIN.
