GEN | [card_linking] | Orig: how do i get the card linked -> Aug: what steps do i need to take to link my card?
GEN | [why_verify_identity] | Orig: I can't do the verification. -> Aug: I'm unable to complete the identity verification process.
GEN | [card_about_to_expire] | Orig: Can I order a new card with the app? -> Aug: Can I request a replacement card before my current one expires?
GEN | [declined_cash_withdrawal] | Orig: I tried to withdraw some funds from my card, but was declined. How can I get my money? -> Aug: I attempted to make a cash withdrawal using my card, but it was unsuccessful. What are my options for retrieving my funds?
GEN | [lost_or_stolen_card] | Orig: I need to order a new card as my other one was stolen. -> Aug: I require a replacement card as my previous one has been stolen.
GEN | [getting_spare_card] | Orig: What's the process to receive a second card? -> Aug: How do I obtain a replacement card?
GEN | [card_swallowed] | Orig: A Bank ATM did not give my card back. What do I do now? -> Aug: A Bank ATM has retained my card. What should I do next?
GEN | [virtual_card_not_working] | Orig: My disposable virtual card got rejected -> Aug: My temporary virtual card was declined
GEN | [cash_withdrawal_not_recognised] | Orig: I got a message saying I made a withdrawal from the bank machine, but I did not. -> Aug: I received a notification indicating that I withdrew cash from an ATM, but I'm certain I didn't make the transaction.
GEN | [top_up_by_cash_or_cheque] | Orig: How long before a check I send clears? -> Aug: How long does it take for a cheque to clear before I can use it to top up my account?
GEN | [card_acceptance] | Orig: Are there businesses that don't accept this card? -> Aug: Can you tell me if there are any merchants that don't accept this particular card?
GEN | [card_linking] | Orig: help me link my card -> Aug: assist me in linking my card
GEN | [top_up_reverted] | Orig: I went to top up my card and it was cancelled. -> Aug: I attempted to add funds to my card, but the transaction was reversed.
GEN | [lost_or_stolen_phone] | Orig: Please help!  I was mugged and everything stolen.  What do I do to stop them from accessing my account? -> Aug: I'm in a bit of a panic - I was robbed and my phone was taken, which means they have access to my account. Can you please assist me in securing my account to prevent any unauthorized transactions?
GEN | [cash_withdrawal_not_recognised] | Orig: there is money in my account that i didnt put there -> Aug: I'm showing an unexpected cash withdrawal in my account, but I'm not sure where it came from.
GEN | [balance_not_updated_after_cheque_or_cash_deposit] | Orig: i need help. I updated my balance with a check yesterday and Im not seeing it. Can you look at my account to see what went wrong? -> Aug: I'm having an issue with my account. I deposited cash yesterday, but my balance hasn't been updated. Could you please investigate and let me know what's going on?
GEN | [failed_transfer] | Orig: I was unable to transfer money from my account. -> Aug: The transfer of funds from my account was unsuccessful.
GEN | [top_up_by_cash_or_cheque] | Orig: Is topping up with cash allowed? -> Aug: Can I make a cash deposit to top up my account?
GEN | [pending_cash_withdrawal] | Orig: I didn't receive my money earlier and it says the transaction is still in progress. Can you fix it? -> Aug: I'm still waiting for my cash withdrawal to be processed, but it's stuck in pending. Can you help resolve the issue?
GEN | [getting_spare_card] | Orig: I need a new card. -> Aug: I require a replacement card.
GEN | [pending_transfer] | Orig: Why is the transaction not posting? -> Aug: Why is the transfer still pending?
GEN | [activate_my_card] | Orig: How long does it take to activate the card, as it does not look like its working? -> Aug: How long does it take to enable my card, as it appears to be inactive?
GEN | [order_physical_card] | Orig: I would like to request a card. -> Aug: I'd like to place an order for a physical card.
GEN | [pending_cash_withdrawal] | Orig: How do I get my cash withdrawal to show? -> Aug: Why is my cash withdrawal pending and not showing up?
GEN | [why_verify_identity] | Orig: Do you think you're asking for too much information about me? -> Aug: Are you feeling overwhelmed by the amount of personal details we're asking you to provide?
GEN | [balance_not_updated_after_cheque_or_cash_deposit] | Orig: I put cash in my account, but I don't see it. -> Aug: I made a cash deposit, but my account balance hasn't been updated.
GEN | [order_physical_card] | Orig: Show me where to order my card. -> Aug: Where can I place an order for a physical card?
GEN | [top_up_reverted] | Orig: Do you support top ups? -> Aug: Can you facilitate additional deposits?
GEN | [card_linking] | Orig: I need some help linking my new card. -> Aug: I require assistance in connecting my recently issued card.
GEN | [declined_cash_withdrawal] | Orig: Why can't I get cash out? -> Aug: Why was my cash withdrawal request denied?
GEN | [balance_not_updated_after_bank_transfer] | Orig: Why hasn't my account updated to reflect my current balance? -> Aug: Why hasn't my account balance been updated to reflect the recent transfer I made?
GEN | [get_disposable_virtual_card] | Orig: I want to make an online purchase but I don't want to use my credit card. Can you tell me how a disposable virtual card works and where I can apply for one? -> Aug: I'd like to make an online purchase without using my credit card. Can you explain how a temporary virtual card works and where I can obtain one for this transaction?
GEN | [pending_transfer] | Orig: I wanted to know why there is a transfer of mine pending. -> Aug: I'm curious about the status of a transfer I initiated, which is currently pending.
GEN | [pending_transfer] | Orig: How long would does it take for a seller to receive an EU transfer if I bought something from them and sent them the money immediately? -> Aug: How long does it typically take for a seller to receive a pending transfer after I initiate the payment immediately?
GEN | [beneficiary_not_allowed] | Orig: My account transfer was not cleared. -> Aug: The transfer to the intended recipient was unsuccessful.
GEN | [get_disposable_virtual_card] | Orig: Please explain how I use the disposable cards? -> Aug: Please provide instructions on how to utilize the virtual disposable cards.
GEN | [unable_to_verify_identity] | Orig: i am under 18 and i am trying to verify my id. why wont it work? -> Aug: I'm a minor and I'm having trouble verifying my identification. Can you help me figure out why it's not working?
GEN | [top_up_by_bank_transfer_charge] | Orig: Will I be charged for receiving money? -> Aug: Will there be a fee for receiving a bank transfer?
GEN | [card_swallowed] | Orig: I need a new card because the ATM took mine. -> Aug: I require a replacement card because I accidentally swallowed my original one.
VAL | [card_linking] | ACCEPT | Reason: ... | Original: how do i get the card linked | Augmented: what steps do i need to take to link my card?
VAL | [why_verify_identity] | ACCEPT | Reason: N/A | Original: I can't do the verification. | Augmented: I'm unable to complete the identity verification process.
VAL | [card_about_to_expire] | ACCEPT | Reason: N/A | Original: Can I order a new card with the app? | Augmented: Can I request a replacement card before my current one expires?
VAL | [declined_cash_withdrawal] | ACCEPT | Reason: Both texts convey the same core issue of a failed cash withdrawal attempt and the user's need for further assistance. The wording is slightly different but does not change the intent. | Original: I tried to withdraw some funds from my card, but was declined. How can I get my money? | Augmented: I attempted to make a cash withdrawal using my card, but it was unsuccessful. What are my options for retrieving my funds?
VAL | [lost_or_stolen_card] | ACCEPT | Reason: ... | Original: I need to order a new card as my other one was stolen. | Augmented: I require a replacement card as my previous one has been stolen.
VAL | [getting_spare_card] | ACCEPT | Reason: N/A | Original: What's the process to receive a second card? | Augmented: How do I obtain a replacement card?
VAL | [card_swallowed] | ACCEPT | Reason: N/A | Original: A Bank ATM did not give my card back. What do I do now? | Augmented: A Bank ATM has retained my card. What should I do next?
VAL | [virtual_card_not_working] | ACCEPT | Reason: N/A | Original: My disposable virtual card got rejected | Augmented: My temporary virtual card was declined
VAL | [cash_withdrawal_not_recognised] | ACCEPT | Reason: ... | Original: I got a message saying I made a withdrawal from the bank machine, but I did not. | Augmented: I received a notification indicating that I withdrew cash from an ATM, but I'm certain I didn't make the transaction.
VAL | [top_up_by_cash_or_cheque] | ACCEPT | Reason: ... | Original: How long before a check I send clears? | Augmented: How long does it take for a cheque to clear before I can use it to top up my account?
VAL | [card_acceptance] | ACCEPT | Reason: ... | Original: Are there businesses that don't accept this card? | Augmented: Can you tell me if there are any merchants that don't accept this particular card?
VAL | [card_linking] | ACCEPT | Reason: Both texts are requesting assistance in linking a card, preserving the "card_linking" intent. | Original: help me link my card | Augmented: assist me in linking my card
VAL | [top_up_reverted] | ACCEPT | Reason: ... | Original: I went to top up my card and it was cancelled. | Augmented: I attempted to add funds to my card, but the transaction was reversed.
VAL | [lost_or_stolen_phone] | ACCEPT | Reason: N/A | Original: Please help!  I was mugged and everything stolen.  What do I do to stop them from accessing my account? | Augmented: I'm in a bit of a panic - I was robbed and my phone was taken, which means they have access to my account. Can you please assist me in securing my account to prevent any unauthorized transactions?
VAL | [cash_withdrawal_not_recognised] | ACCEPT | Reason: N/A | Original: there is money in my account that i didnt put there | Augmented: I'm showing an unexpected cash withdrawal in my account, but I'm not sure where it came from.
VAL | [balance_not_updated_after_cheque_or_cash_deposit] | ACCEPT | Reason: N/A | Original: i need help. I updated my balance with a check yesterday and Im not seeing it. Can you look at my account to see what went wrong? | Augmented: I'm having an issue with my account. I deposited cash yesterday, but my balance hasn't been updated. Could you please investigate and let me know what's going on?
VAL | [failed_transfer] | ACCEPT | Reason: ... | Original: I was unable to transfer money from my account. | Augmented: The transfer of funds from my account was unsuccessful.
VAL | [top_up_by_cash_or_cheque] | ACCEPT | Reason: N/A | Original: Is topping up with cash allowed? | Augmented: Can I make a cash deposit to top up my account?
VAL | [pending_cash_withdrawal] | ACCEPT | Reason: ... | Original: I didn't receive my money earlier and it says the transaction is still in progress. Can you fix it? | Augmented: I'm still waiting for my cash withdrawal to be processed, but it's stuck in pending. Can you help resolve the issue?
VAL | [getting_spare_card] | ACCEPT | Reason: N/A | Original: I need a new card. | Augmented: I require a replacement card.
VAL | [pending_transfer] | ACCEPT | Reason: ... | Original: Why is the transaction not posting? | Augmented: Why is the transfer still pending?
VAL | [activate_my_card] | ACCEPT | Reason: N/A | Original: How long does it take to activate the card, as it does not look like its working? | Augmented: How long does it take to enable my card, as it appears to be inactive?
VAL | [order_physical_card] | ACCEPT | Reason: ... | Original: I would like to request a card. | Augmented: I'd like to place an order for a physical card.
VAL | [pending_cash_withdrawal] | ACCEPT | Reason: ... | Original: How do I get my cash withdrawal to show? | Augmented: Why is my cash withdrawal pending and not showing up?
VAL | [why_verify_identity] | ACCEPT | Reason: N/A | Original: Do you think you're asking for too much information about me? | Augmented: Are you feeling overwhelmed by the amount of personal details we're asking you to provide?
VAL | [balance_not_updated_after_cheque_or_cash_deposit] | ACCEPT | Reason: ... | Original: I put cash in my account, but I don't see it. | Augmented: I made a cash deposit, but my account balance hasn't been updated.
VAL | [order_physical_card] | ACCEPT | Reason: N/A | Original: Show me where to order my card. | Augmented: Where can I place an order for a physical card?
VAL | [top_up_reverted] | UNKNOWN | Reason: N/A | Original: Do you support top ups? | Augmented: Can you facilitate additional deposits?
VAL | [card_linking] | ACCEPT | Reason: Both texts convey the need for assistance with the card linking process, maintaining the same intent without any contradictions or unsupported information. | Original: I need some help linking my new card. | Augmented: I require assistance in connecting my recently issued card.
VAL | [declined_cash_withdrawal] | ACCEPT | Reason: ... | Original: Why can't I get cash out? | Augmented: Why was my cash withdrawal request denied?
VAL | [balance_not_updated_after_bank_transfer] | ACCEPT | Reason: The augmented text maintains the same intent of the original text by focusing on the account balance not being updated after a transfer. It is specific and clear about the context of the transfer. | Original: Why hasn't my account updated to reflect my current balance? | Augmented: Why hasn't my account balance been updated to reflect the recent transfer I made?
VAL | [get_disposable_virtual_card] | ACCEPT | Reason: The augmented text preserves the same banking intent of obtaining information about a disposable virtual card for online transactions. | Original: I want to make an online purchase but I don't want to use my credit card. Can you tell me how a disposable virtual card works and where I can apply for one? | Augmented: I'd like to make an online purchase without using my credit card. Can you explain how a temporary virtual card works and where I can obtain one for this transaction?
VAL | [pending_transfer] | ACCEPT | Reason: ... | Original: I wanted to know why there is a transfer of mine pending. | Augmented: I'm curious about the status of a transfer I initiated, which is currently pending.
VAL | [pending_transfer] | ACCEPT | Reason: N/A | Original: How long would does it take for a seller to receive an EU transfer if I bought something from them and sent them the money immediately? | Augmented: How long does it typically take for a seller to receive a pending transfer after I initiate the payment immediately?
VAL | [beneficiary_not_allowed] | ACCEPT | Reason: N/A | Original: My account transfer was not cleared. | Augmented: The transfer to the intended recipient was unsuccessful.
VAL | [get_disposable_virtual_card] | ACCEPT | Reason: ... | Original: Please explain how I use the disposable cards? | Augmented: Please provide instructions on how to utilize the virtual disposable cards.
VAL | [unable_to_verify_identity] | ACCEPT | Reason: ... | Original: i am under 18 and i am trying to verify my id. why wont it work? | Augmented: I'm a minor and I'm having trouble verifying my identification. Can you help me figure out why it's not working?
VAL | [top_up_by_bank_transfer_charge] | ACCEPT | Reason: N/A | Original: Will I be charged for receiving money? | Augmented: Will there be a fee for receiving a bank transfer?
VAL | [card_swallowed] | ACCEPT | Reason: N/A | Original: I need a new card because the ATM took mine. | Augmented: I require a replacement card because I accidentally swallowed my original one.
VAL_SUMMARY | ACCEPT: 38 | REVIEW: 0 | REJECT: 0 | UNKNOWN: 1 | Accept Rate: 0.9744
