GEN | [unable_to_verify_identity] | Orig: The app failed to verify me. -> Aug: The system was unable to confirm my identity.
GEN | [order_physical_card] | Orig: I need to order a new card. -> Aug: I'd like to request a new physical card.
GEN | [supported_cards_and_currencies] | Orig: Will you accept my credit card? -> Aug: Do you support credit card payments?
GEN | [balance_not_updated_after_cheque_or_cash_deposit] | Orig: Why hasn't my cheque processed? -> Aug: Why hasn't my cash deposit been reflected in my account balance?
GEN | [fiat_currency_support] | Orig: Will you be adding more currencies in the future? -> Aug: Are there any plans to expand the list of supported fiat currencies in the future?
GEN | [wrong_exchange_rate_for_cash_withdrawal] | Orig: Is it possible to use an ATM when I am not in the country and make a withdraw with out extra fees? -> Aug: Can I withdraw cash from an ATM while abroad without incurring additional fees due to an incorrect exchange rate for the cash withdrawal?
GEN | [top_up_limits] | Orig: Is the top-up amount unlimited? -> Aug: Can the top-up limit be increased without any restrictions?
GEN | [balance_not_updated_after_cheque_or_cash_deposit] | Orig: How long do deposits take to appear? I've been waiting for more than a week and need the money! -> Aug: Why hasn't my account balance been updated after a recent cheque or cash deposit? I've been waiting for an extended period and would like to know when I can expect the funds to reflect in my account.
GEN | [unable_to_verify_identity] | Orig: What's wrong with my ID? I can't verify it. -> Aug: We're having trouble confirming your identity. It seems we're unable to verify the information provided.
GEN | [getting_spare_card] | Orig: If I want to be able to give my daughter a card for my account, would I be allowed to get one for her? -> Aug: Can I obtain a spare card for my account to gift it to my daughter?
GEN | [cancel_transfer] | Orig: The wrong account was used during a transaction. -> Aug: The incorrect account was mistakenly used for a transfer.
GEN | [verify_source_of_funds] | Orig: Can you tell me where my readily available cash has come from? -> Aug: Can you confirm the origin of the funds that are readily available in my account?
GEN | [direct_debit_payment_not_recognised] | Orig: There was a strange transaction made on my account a couple weeks ago by a seller I don't recognize. May you please check on this transaction for me. -> Aug: We've noticed an unusual payment on your account, made by a merchant you don't have a record of. Could you please confirm if this is a direct debit payment that was not recognized by our system?
GEN | [card_about_to_expire] | Orig: Will you send me a new card in China? -> Aug: Can you provide a replacement card for me in China?
GEN | [visa_or_mastercard] | Orig: What credit cards do you carry -> Aug: What types of payment cards do you accept?
GEN | [card_payment_not_recognised] | Orig: i dont recognize a charge on my card -> Aug: I'm unable to identify a transaction on my credit card statement.
GEN | [order_physical_card] | Orig: Do I get a real card? -> Aug: Can I receive a physical card?
GEN | [getting_spare_card] | Orig: How many different cards can I have for my account? -> Aug: Can I have multiple cards linked to my account?
GEN | [exchange_charge] | Orig: Exchange fee help? -> Aug: Need assistance with the exchange fee?
GEN | [transfer_timing] | Orig: I need to transfer something to China. It is urgent. How many days will it take to get there? -> Aug: I require an expedited transfer to China. Can you inform me about the estimated timeframe for the transfer to reach its destination?
GEN | [card_payment_not_recognised] | Orig: i didnt do this charge -> Aug: We didn't recognize this payment from you.
GEN | [visa_or_mastercard] | Orig: What cards do you offer? -> Aug: We accept which payment methods, specifically Visa or Mastercard?
GEN | [exchange_charge] | Orig: Will I get charged on a foreign currencies exchange? -> Aug: Will I be charged for exchanging foreign currencies?
GEN | [order_physical_card] | Orig: Card delivery services? Where? -> Aug: How do I get my physical card delivered?
GEN | [cancel_transfer] | Orig: I goofed up and used the wrong account.  Please help. -> Aug: I made an error and used the incorrect account. Can you assist me?
GEN | [declined_transfer] | Orig: Why do you keep declining my transfers? It's been working well so far, but when I just tried to buy something, the card got declined. I tried it a few times, but same thing happened every try. -> Aug: I'm confused, as I've been able to make transfers successfully in the past, but my recent attempts have been declined. I've tried multiple times, but the outcome is the same - my card is being rejected. Can you help me understand why this is happening?
GEN | [card_payment_not_recognised] | Orig: How do I find out how or where this transaction on my account came from? -> Aug: I'm trying to figure out where this payment on my account originated from. Can you help me identify the source of this transaction?
GEN | [card_about_to_expire] | Orig: I think my card is expiring, what happens then? -> Aug: I'm concerned that my credit card is nearing its expiration date, what are the consequences?
GEN | [request_refund] | Orig: Hello, I have recently made a purchase and have decided to cancel my purchase. Is there any way that you can cancel that transaction for me so I can get the money back? It's very important. -> Aug: I'd like to cancel a recent purchase and obtain a refund. Could you assist me in reversing the transaction so I can retrieve the funds? It's crucial that I get the refund as soon as possible.
GEN | [unable_to_verify_identity] | Orig: I dont have identification -> Aug: We're having trouble confirming your identity.
GEN | [cash_withdrawal_not_recognised] | Orig: Somebody stole my wallet and is using my card! Can you do something so they can't keep taking my money? -> Aug: My card has been stolen and someone is using it to make unauthorized transactions. Can you help me stop them from accessing my account and withdrawing cash?
GEN | [beneficiary_not_allowed] | Orig: I am having trouble transferring money to a beneficiery. -> Aug: I'm having issues sending funds to a designated recipient.
GEN | [compromised_card] | Orig: There are fraudulent charges that I didn't make on my card. Can you please put in the safeguards necessary to stop this from happening anymore? -> Aug: I've noticed some unauthorized transactions on my card. Could you please take steps to prevent any further unauthorized activity?
GEN | [cash_withdrawal_charge] | Orig: Explain the extra ATM fees. -> Aug: What are the additional charges for withdrawing cash from an ATM?
VAL | [unable_to_verify_identity] | ACCEPT | Reason: N/A | Original: The app failed to verify me. | Augmented: The system was unable to confirm my identity.
VAL | [order_physical_card] | ACCEPT | Reason: ... | Original: I need to order a new card. | Augmented: I'd like to request a new physical card.
VAL | [supported_cards_and_currencies] | ACCEPT | Reason: N/A | Original: Will you accept my credit card? | Augmented: Do you support credit card payments?
VAL | [balance_not_updated_after_cheque_or_cash_deposit] | ACCEPT | Reason: N/A | Original: Why hasn't my cheque processed? | Augmented: Why hasn't my cash deposit been reflected in my account balance?
VAL | [fiat_currency_support] | ACCEPT | Reason: N/A | Original: Will you be adding more currencies in the future? | Augmented: Are there any plans to expand the list of supported fiat currencies in the future?
VAL | [wrong_exchange_rate_for_cash_withdrawal] | UNKNOWN | Reason: N/A | Original: Is it possible to use an ATM when I am not in the country and make a withdraw with out extra fees? | Augmented: Can I withdraw cash from an ATM while abroad without incurring additional fees due to an incorrect exchange rate for the cash withdrawal?
VAL | [top_up_limits] | ACCEPT | Reason: N/A | Original: Is the top-up amount unlimited? | Augmented: Can the top-up limit be increased without any restrictions?
VAL | [balance_not_updated_after_cheque_or_cash_deposit] | ACCEPT | Reason: N/A | Original: How long do deposits take to appear? I've been waiting for more than a week and need the money! | Augmented: Why hasn't my account balance been updated after a recent cheque or cash deposit? I've been waiting for an extended period and would like to know when I can expect the funds to reflect in my account.
VAL | [unable_to_verify_identity] | ACCEPT | Reason: N/A | Original: What's wrong with my ID? I can't verify it. | Augmented: We're having trouble confirming your identity. It seems we're unable to verify the information provided.
VAL | [getting_spare_card] | ACCEPT | Reason: ... | Original: If I want to be able to give my daughter a card for my account, would I be allowed to get one for her? | Augmented: Can I obtain a spare card for my account to gift it to my daughter?
VAL | [cancel_transfer] | ACCEPT | Reason: N/A | Original: The wrong account was used during a transaction. | Augmented: The incorrect account was mistakenly used for a transfer.
VAL | [verify_source_of_funds] | ACCEPT | Reason: ... | Original: Can you tell me where my readily available cash has come from? | Augmented: Can you confirm the origin of the funds that are readily available in my account?
VAL | [direct_debit_payment_not_recognised] | ACCEPT | Reason: N/A | Original: There was a strange transaction made on my account a couple weeks ago by a seller I don't recognize. May you please check on this transaction for me. | Augmented: We've noticed an unusual payment on your account, made by a merchant you don't have a record of. Could you please confirm if this is a direct debit payment that was not recognized by our system?
VAL | [card_about_to_expire] | ACCEPT | Reason: N/A | Original: Will you send me a new card in China? | Augmented: Can you provide a replacement card for me in China?
VAL | [visa_or_mastercard] | UNKNOWN | Reason: N/A | Original: What credit cards do you carry | Augmented: What types of payment cards do you accept?
VAL | [card_payment_not_recognised] | ACCEPT | Reason: N/A | Original: i dont recognize a charge on my card | Augmented: I'm unable to identify a transaction on my credit card statement.
VAL | [order_physical_card] | ACCEPT | Reason: N/A | Original: Do I get a real card? | Augmented: Can I receive a physical card?
VAL | [getting_spare_card] | ACCEPT | Reason: N/A | Original: How many different cards can I have for my account? | Augmented: Can I have multiple cards linked to my account?
VAL | [exchange_charge] | ACCEPT | Reason: ... | Original: Exchange fee help? | Augmented: Need assistance with the exchange fee?
VAL | [transfer_timing] | ACCEPT | Reason: ... | Original: I need to transfer something to China. It is urgent. How many days will it take to get there? | Augmented: I require an expedited transfer to China. Can you inform me about the estimated timeframe for the transfer to reach its destination?
VAL | [card_payment_not_recognised] | ACCEPT | Reason: N/A | Original: i didnt do this charge | Augmented: We didn't recognize this payment from you.
VAL | [visa_or_mastercard] | ACCEPT | Reason: ... | Original: What cards do you offer? | Augmented: We accept which payment methods, specifically Visa or Mastercard?
VAL | [exchange_charge] | ACCEPT | Reason: ... | Original: Will I get charged on a foreign currencies exchange? | Augmented: Will I be charged for exchanging foreign currencies?
VAL | [order_physical_card] | ACCEPT | Reason: N/A | Original: Card delivery services? Where? | Augmented: How do I get my physical card delivered?
VAL | [cancel_transfer] | ACCEPT | Reason: N/A | Original: I goofed up and used the wrong account.  Please help. | Augmented: I made an error and used the incorrect account. Can you assist me?
VAL | [declined_transfer] | ACCEPT | Reason: ... | Original: Why do you keep declining my transfers? It's been working well so far, but when I just tried to buy something, the card got declined. I tried it a few times, but same thing happened every try. | Augmented: I'm confused, as I've been able to make transfers successfully in the past, but my recent attempts have been declined. I've tried multiple times, but the outcome is the same - my card is being rejected. Can you help me understand why this is happening?
VAL | [card_payment_not_recognised] | ACCEPT | Reason: N/A | Original: How do I find out how or where this transaction on my account came from? | Augmented: I'm trying to figure out where this payment on my account originated from. Can you help me identify the source of this transaction?
VAL | [card_about_to_expire] | ACCEPT | Reason: ... | Original: I think my card is expiring, what happens then? | Augmented: I'm concerned that my credit card is nearing its expiration date, what are the consequences?
VAL | [request_refund] | ACCEPT | Reason: ... | Original: Hello, I have recently made a purchase and have decided to cancel my purchase. Is there any way that you can cancel that transaction for me so I can get the money back? It's very important. | Augmented: I'd like to cancel a recent purchase and obtain a refund. Could you assist me in reversing the transaction so I can retrieve the funds? It's crucial that I get the refund as soon as possible.
VAL | [unable_to_verify_identity] | ACCEPT | Reason: N/A | Original: I dont have identification | Augmented: We're having trouble confirming your identity.
