GEN | [verify_top_up] | Orig: How do i verify my card? -> Aug: How can I confirm my card details?
GEN | [card_about_to_expire] | Orig: My card expires soon, will you send me one automatically? -> Aug: My credit card's expiration date is approaching, will you automatically issue a new one for me?
GEN | [card_acceptance] | Orig: Who accepts the card? -> Aug: What financial institutions or merchants accept the card?
GEN | [top_up_failed] | Orig: I got my card a few days ago but am unable to top up. I'm thinking about closing my account because of this. What is going on? -> Aug: I recently received my card, but I'm having trouble adding funds to it. I'm considering canceling my account due to this issue. Can you help me resolve this problem?
GEN | [transfer_fee_charged] | Orig: Should I be seeing a fee applied for my money transfer? -> Aug: Am I supposed to be charged a fee for the transfer of funds?
GEN | [card_acceptance] | Orig: Are there businesses that don't accept this card? -> Aug: Can you tell me if there are any merchants that don't accept this particular card?
GEN | [top_up_by_card_charge] | Orig: Are there still fees for european top-ups? -> Aug: Are there any charges for making a top-up payment using my card in Europe?
GEN | [automatic_top_up] | Orig: Can I schedule future top ups? -> Aug: Can I set up recurring automatic top-ups?
GEN | [card_linking] | Orig: I would like to link my card to my account. -> Aug: I'd like to connect my card to my account.
GEN | [visa_or_mastercard] | Orig: Can I get a Visa or does it have to be something else. -> Aug: Can I use a Mastercard instead, or is it specifically a Visa requirement?
GEN | [cancel_transfer] | Orig: How do i cancel a charge? -> Aug: How can I stop a pending transfer?
GEN | [declined_card_payment] | Orig: Please help me in this, as i was unable to make any payment by my new card,  it was getting declined repeatedly. I am not very happy with this incident. -> Aug: I'm having trouble making a payment with my new card, as it keeps getting declined. I'm quite frustrated with this situation.
GEN | [direct_debit_payment_not_recognised] | Orig: I didn't set up a direct debit payment on my account. -> Aug: We didn't find a direct debit payment arrangement linked to your account.
GEN | [top_up_by_card_charge] | Orig: How much does it cost to us US cards? -> Aug: What is the charge for topping up using a US-issued card?
GEN | [order_physical_card] | Orig: I still don't have a card. How do I get one? -> Aug: I'm missing my physical card. Can you help me obtain a new one?
GEN | [country_support] | Orig: I just moved to the US how do I get a card? -> Aug: I've recently relocated to the United States and would like to obtain a new card.
GEN | [card_payment_fee_charged] | Orig: I have a fee showing from last time I used my card. -> Aug: I noticed a charge for a fee from my last card transaction.
GEN | [topping_up_by_card] | Orig: I can't see my top up in my wallet! -> Aug: I'm unable to locate the recent card top-up in my digital wallet.
GEN | [card_about_to_expire] | Orig: What is the cost and time frame of getting a new card? -> Aug: What is the process and timeline for replacing an expiring card?
GEN | [topping_up_by_card] | Orig: I don't see me 'top up' in my wallet -> Aug: I'm unable to locate my card top-up transaction in my digital wallet.
GEN | [order_physical_card] | Orig: Do you ship your cards anywhere? -> Aug: Can you deliver your physical cards to any location?
GEN | [supported_cards_and_currencies] | Orig: can i use my mastercard to add money to my account -> Aug: Can I use my Mastercard to fund my account?
GEN | [wrong_amount_of_cash_received] | Orig: You shorted me money when I tried to make a withdrawal. -> Aug: You gave me less cash than I was supposed to get when I withdrew some money.
GEN | [wrong_exchange_rate_for_cash_withdrawal] | Orig: Hello, in these holidays i have been overcharged on the amount i have withdrawn on one of your ATMs. I did not had any clue about the horrible charges otherwise i would not have withdrawn. -> Aug: I'm experiencing an issue with the exchange rate for a cash withdrawal I made at one of your ATMs during the holidays. I was unaware of the incorrect rate, otherwise I wouldn't have proceeded with the transaction.
GEN | [getting_spare_card] | Orig: If I need more than cards will I have to pay a fee to receive them? -> Aug: If I require additional cards, will I be charged a fee for obtaining them?
GEN | [top_up_failed] | Orig: is there a way to fix my top up -> Aug: can you help me resolve the issue with my top-up attempt?
GEN | [declined_cash_withdrawal] | Orig: The ATM keeps rejecting my Payment. I tried two different ATMs but did not work .Can you please check if everything is okay with my account? -> Aug: The ATM machine is declining my cash withdrawal attempt. I've tried using two different ATMs, but the issue persists. Could you kindly verify if there's a problem with my account?
GEN | [getting_spare_card] | Orig: I would like some more physical cards, what is my limit? -> Aug: I'd like to request additional physical debit/credit cards, could you please inform me about my available limit?
GEN | [balance_not_updated_after_cheque_or_cash_deposit] | Orig: I am still awaiting the money I put into my account this morning. -> Aug: I'm still waiting for the funds I deposited into my account earlier today to reflect in my balance.
GEN | [pin_blocked] | Orig: While I was drunk, I goofed my PIN number and your machine ate my card. How can I get it back? -> Aug: I made a mistake while entering my PIN and your ATM swallowed my card. Can I retrieve it?
GEN | [card_about_to_expire] | Orig: My bank card has expired, how can I get a new physical card? -> Aug: My bank card has reached its expiration date, what steps can I take to obtain a replacement physical card?
GEN | [receiving_money] | Orig: How can I receive money? -> Aug: What methods are available for me to receive funds?
GEN | [transfer_into_account] | Orig: Please provide details on how to top up my account using transfer option -> Aug: Please provide instructions on how to deposit funds into my account using the transfer feature
GEN | [declined_transfer] | Orig: How can I find a way to transfer money without it being rejected? -> Aug: I'm trying to make a transfer, but it keeps getting declined. Can you help me figure out why it's not going through?
GEN | [card_acceptance] | Orig: Are there limits to businesses that will accept this card? -> Aug: Can you tell me about any restrictions on the types of businesses that will accept this card?
