GEN | [exchange_rate] | Orig: How do you do exchanges? -> Aug: What's the process for converting currencies?
GEN | [automatic_top_up] | Orig: Will the system automatically update once there is no more money left? -> Aug: Will the automatic top-up feature trigger a refill when my account balance reaches zero?
GEN | [top_up_by_bank_transfer_charge] | Orig: Do I get charged if I get money? -> Aug: Will I be charged a fee when I receive a bank transfer to top up my account?
GEN | [transfer_fee_charged] | Orig: I have a fee listed for a transfer. -> Aug: A charge is showing for a transfer transaction.
GEN | [balance_not_updated_after_bank_transfer] | Orig: Can you tell me how long it would take, to make a transfer from France? I made one 2 days ago and its not there yet. -> Aug: I'm trying to make sense of a recent bank transfer from France, but my account balance hasn't been updated yet. Can you give me an estimate of how long it usually takes for these transactions to reflect in my account?
GEN | [failed_transfer] | Orig: Your system is broken. My transfers keep failing, 5 times now. -> Aug: My transfers are consistently failing, and I've experienced this issue at least 5 times.
GEN | [passcode_forgotten] | Orig: I can't log in -> Aug: I'm having trouble accessing my account because I've forgotten my passcode.
GEN | [card_acceptance] | Orig: How can I know where my card will be accepted? -> Aug: What areas can I expect to find merchants that accept my card?
GEN | [pending_top_up] | Orig: i put money on my card and i dont see it on the balance -> Aug: I added funds to my card, but the amount is still pending and hasn't been reflected in my balance.
GEN | [card_acceptance] | Orig: Are there any places that won't take my card? -> Aug: Are there any locations that don't accept my card?
GEN | [card_about_to_expire] | Orig: My card is almost going to expire. -> Aug: My credit card is nearing its expiration date.
GEN | [supported_cards_and_currencies] | Orig: Do you have a list of the cards and currencies supported? -> Aug: We'd be happy to provide you with a list of the payment cards and currencies we currently support.
GEN | [exchange_rate] | Orig: If I need to cash foreign transfers, how does that work? -> Aug: What's the process for exchanging foreign currencies for cash transfers?
GEN | [transfer_fee_charged] | Orig: Does it cost anything to buy something from another country? Like is there going to be hidden transfer fees or currency conversion fees? -> Aug: Are there any additional charges, such as transfer fees or currency conversion fees, when making a purchase from another country?
GEN | [card_acceptance] | Orig: Where do I pay with my card? -> Aug: How can I use my card for payment?
GEN | [card_about_to_expire] | Orig: My card's expiration date is close. -> Aug: My credit card's expiration date is approaching.
GEN | [automatic_top_up] | Orig: Can I add money in intervals to my account?  I will be traveling. -> Aug: Can I set up recurring deposits to my account, so I can maintain a steady balance while I'm away on my trip?
GEN | [wrong_exchange_rate_for_cash_withdrawal] | Orig: How can I get money in my home currency while I'm traveling internationally? I wanted to take it out of a local ATM but am worried that I will get charged extra fees. -> Aug: I'm planning a trip abroad and I'd like to withdraw some cash from a local ATM, but I'm concerned that I'll be hit with an unfavorable exchange rate, which might result in an unexpected fee.
GEN | [card_delivery_estimate] | Orig: I need my card as quick as possible -> Aug: I'd like to receive my card as soon as possible.
GEN | [transfer_fee_charged] | Orig: I have used this account overseas recently. Has there been an increase in fees that I am unaware of? -> Aug: I've been making international transactions from this account lately. Are there any new or changed fees I should be aware of?
GEN | [card_delivery_estimate] | Orig: I need my card immediately. -> Aug: I require my card as soon as possible.
GEN | [failed_transfer] | Orig: I think youre system may be broken because I have tried transfer money 5x and it isnt working!  I'm not doing anything complicated it is what I usually do. -> Aug: I'm having trouble transferring funds as it seems to be malfunctioning. I've attempted to make the transfer multiple times, but it's not going through. I'm not doing anything out of the ordinary, just my usual routine.
GEN | [pending_transfer] | Orig: As I double checked that I have the correct account details that i submitted , they're right for sure. Transfer is still pending so far. -> Aug: Upon re-verifying the account information I provided, I'm confident it's accurate. The transfer remains in a pending state at this time.
GEN | [top_up_by_bank_transfer_charge] | Orig: Is there a cost to receive money? -> Aug: Are there any fees associated with receiving a bank transfer to top up my account?
GEN | [verify_source_of_funds] | Orig: My source of funds require verification. -> Aug: We need to confirm the origin of your funds.
GEN | [Refund_not_showing_up] | Orig: why cant you just refund me instead of a merchant -> Aug: why can't you simply process a refund for me instead of waiting for the merchant to initiate it?
GEN | [passcode_forgotten] | Orig: I can't log in with this passocde -> Aug: I'm having trouble accessing my account because I've forgotten my passcode.
GEN | [lost_or_stolen_phone] | Orig: What do I do if I can't access the app? -> Aug: If I've misplaced or had my phone stolen, what steps can I take to regain access to the app?
GEN | [card_delivery_estimate] | Orig: how much to get my card in 2 days? -> Aug: Can you provide an estimate for the delivery of my card within a 2-day timeframe?
GEN | [Refund_not_showing_up] | Orig: I need my refund as soon as possible. What else do I have to do? -> Aug: I'm expecting my refund, and I'd like to know what's causing the delay. Can you help me with that?
GEN | [exchange_via_app] | Orig: Can this convert money? -> Aug: Can I make an exchange using the app?
GEN | [card_delivery_estimate] | Orig: Can I have it by a certain date? -> Aug: Can you provide an estimated delivery date for the card?
GEN | [compromised_card] | Orig: I froze my account, but how do I order a replacement card? -> Aug: I locked my account, but how do I get a new card issued?
GEN | [cash_withdrawal_charge] | Orig: I believe i was charged for making a withdrawal after i went grocery shopping. Are you guys charging for this now? -> Aug: I'm wondering if I was incorrectly charged a fee for a recent cash withdrawal, perhaps related to a recent purchase or transaction?
GEN | [country_support] | Orig: What countries do your accounts send and receive to? -> Aug: Which countries do your accounts support international transactions to and from?
GEN | [transfer_into_account] | Orig: I need to deposit money to my account -> Aug: I'd like to transfer funds into my account.
VAL | [exchange_rate] | ACCEPT | Reason: N/A | Original: How do you do exchanges? | Augmented: What's the process for converting currencies?
VAL | [automatic_top_up] | ACCEPT | Reason: N/A | Original: Will the system automatically update once there is no more money left? | Augmented: Will the automatic top-up feature trigger a refill when my account balance reaches zero?
VAL | [top_up_by_bank_transfer_charge] | ACCEPT | Reason: N/A | Original: Do I get charged if I get money? | Augmented: Will I be charged a fee when I receive a bank transfer to top up my account?
VAL | [transfer_fee_charged] | ACCEPT | Reason: ... | Original: I have a fee listed for a transfer. | Augmented: A charge is showing for a transfer transaction.
VAL | [balance_not_updated_after_bank_transfer] | ACCEPT | Reason: ... | Original: Can you tell me how long it would take, to make a transfer from France? I made one 2 days ago and its not there yet. | Augmented: I'm trying to make sense of a recent bank transfer from France, but my account balance hasn't been updated yet. Can you give me an estimate of how long it usually takes for these transactions to reflect in my account?
VAL | [failed_transfer] | ACCEPT | Reason: ... | Original: Your system is broken. My transfers keep failing, 5 times now. | Augmented: My transfers are consistently failing, and I've experienced this issue at least 5 times.
VAL | [passcode_forgotten] | ACCEPT | Reason: N/A | Original: I can't log in | Augmented: I'm having trouble accessing my account because I've forgotten my passcode.
VAL | [card_acceptance] | ACCEPT | Reason: ... | Original: How can I know where my card will be accepted? | Augmented: What areas can I expect to find merchants that accept my card?
VAL | [pending_top_up] | ACCEPT | Reason: The augmented text preserves the same banking intent by indicating that the user has made a top-up, but the transaction is pending and not yet reflected in the balance. It does not introduce any contradictions or unsupported information. | Original: i put money on my card and i dont see it on the balance | Augmented: I added funds to my card, but the amount is still pending and hasn't been reflected in my balance.
VAL | [card_acceptance] | ACCEPT | Reason: ... | Original: Are there any places that won't take my card? | Augmented: Are there any locations that don't accept my card?
VAL | [card_about_to_expire] | ACCEPT | Reason: ... | Original: My card is almost going to expire. | Augmented: My credit card is nearing its expiration date.
VAL | [supported_cards_and_currencies] | ACCEPT | Reason: ... | Original: Do you have a list of the cards and currencies supported? | Augmented: We'd be happy to provide you with a list of the payment cards and currencies we currently support.
VAL | [exchange_rate] | ACCEPT | Reason: N/A | Original: If I need to cash foreign transfers, how does that work? | Augmented: What's the process for exchanging foreign currencies for cash transfers?
VAL | [transfer_fee_charged] | ACCEPT | Reason: ... | Original: Does it cost anything to buy something from another country? Like is there going to be hidden transfer fees or currency conversion fees? | Augmented: Are there any additional charges, such as transfer fees or currency conversion fees, when making a purchase from another country?
VAL | [card_acceptance] | ACCEPT | Reason: N/A | Original: Where do I pay with my card? | Augmented: How can I use my card for payment?
VAL | [card_about_to_expire] | ACCEPT | Reason: N/A | Original: My card's expiration date is close. | Augmented: My credit card's expiration date is approaching.
VAL | [automatic_top_up] | ACCEPT | Reason: N/A | Original: Can I add money in intervals to my account?  I will be traveling. | Augmented: Can I set up recurring deposits to my account, so I can maintain a steady balance while I'm away on my trip?
VAL | [wrong_exchange_rate_for_cash_withdrawal] | ACCEPT | Reason: N/A | Original: How can I get money in my home currency while I'm traveling internationally? I wanted to take it out of a local ATM but am worried that I will get charged extra fees. | Augmented: I'm planning a trip abroad and I'd like to withdraw some cash from a local ATM, but I'm concerned that I'll be hit with an unfavorable exchange rate, which might result in an unexpected fee.
VAL | [card_delivery_estimate] | ACCEPT | Reason: ... | Original: I need my card as quick as possible | Augmented: I'd like to receive my card as soon as possible.
VAL | [transfer_fee_charged] | ACCEPT | Reason: N/A | Original: I have used this account overseas recently. Has there been an increase in fees that I am unaware of? | Augmented: I've been making international transactions from this account lately. Are there any new or changed fees I should be aware of?
VAL | [card_delivery_estimate] | ACCEPT | Reason: N/A | Original: I need my card immediately. | Augmented: I require my card as soon as possible.
VAL | [failed_transfer] | ACCEPT | Reason: The augmented text preserves the intent of a failed transfer and the user's repeated attempts without changing the core message or adding unsupported information. | Original: I think youre system may be broken because I have tried transfer money 5x and it isnt working!  I'm not doing anything complicated it is what I usually do. | Augmented: I'm having trouble transferring funds as it seems to be malfunctioning. I've attempted to make the transfer multiple times, but it's not going through. I'm not doing anything out of the ordinary, just my usual routine.
VAL | [pending_transfer] | ACCEPT | Reason: ... | Original: As I double checked that I have the correct account details that i submitted , they're right for sure. Transfer is still pending so far. | Augmented: Upon re-verifying the account information I provided, I'm confident it's accurate. The transfer remains in a pending state at this time.
VAL | [top_up_by_bank_transfer_charge] | UNKNOWN | Reason: N/A | Original: Is there a cost to receive money? | Augmented: Are there any fees associated with receiving a bank transfer to top up my account?
VAL | [verify_source_of_funds] | ACCEPT | Reason: N/A | Original: My source of funds require verification. | Augmented: We need to confirm the origin of your funds.
VAL | [Refund_not_showing_up] | ACCEPT | Reason: N/A | Original: why cant you just refund me instead of a merchant | Augmented: why can't you simply process a refund for me instead of waiting for the merchant to initiate it?
VAL | [passcode_forgotten] | ACCEPT | Reason: N/A | Original: I can't log in with this passocde | Augmented: I'm having trouble accessing my account because I've forgotten my passcode.
VAL | [lost_or_stolen_phone] | ACCEPT | Reason: N/A | Original: What do I do if I can't access the app? | Augmented: If I've misplaced or had my phone stolen, what steps can I take to regain access to the app?
VAL | [card_delivery_estimate] | ACCEPT | Reason: ... | Original: how much to get my card in 2 days? | Augmented: Can you provide an estimate for the delivery of my card within a 2-day timeframe?
