GEN | [visa_or_mastercard] | Orig: I'm happy with Mastercard and want to stick with just that credit card. -> Aug: I'm content with Mastercard and would prefer to continue using only that Visa or Mastercard.
GEN | [extra_charge_on_statement] | Orig: Is the 1 pound charge going to be reimbursed on my card? -> Aug: Will the extra charge that appears on my statement be credited back to my card?
GEN | [visa_or_mastercard] | Orig: Which one are you?  Visa or Mastercard? -> Aug: Which payment method would you like to use? Visa or Mastercard?
GEN | [visa_or_mastercard] | Orig: I prefer Mastecard. -> Aug: I would rather use Mastercard.
GEN | [card_payment_fee_charged] | Orig: Is there a  way to  get around fees -> Aug: Can you help me avoid the payment fee that was charged on my card?
GEN | [contactless_not_working] | Orig: Can I make a contactless payments? -> Aug: Can I use contactless payment methods?
GEN | [supported_cards_and_currencies] | Orig: Will you accept my credit card, it my only one. -> Aug: Can you accept my credit card, as it's the only one I have?
GEN | [card_swallowed] | Orig: how can the money machine keep my card what do i need to do? -> Aug: How can I prevent my card from being swallowed by the ATM? What steps can I take to ensure it's returned safely?
GEN | [visa_or_mastercard] | Orig: Please give me a Mastercard instead. -> Aug: Please provide me with a Visa or Mastercard.
GEN | [card_payment_fee_charged] | Orig: Hi, I am new to this. Are there any additional fees or charges that I should be aware of? I was looking through the app and I thought I saw something in regards to fee-free allowances. -> Aug: I'm a new customer and I was wondering if there are any extra charges or fees I should know about. I noticed something about fee-free transactions in the app, but I'm not entirely sure what it means.
GEN | [supported_cards_and_currencies] | Orig: What are my payment options? -> Aug: What methods of payment do you accept?
GEN | [top_up_by_card_charge] | Orig: I am wanting to refill my card, is there a charge? -> Aug: I'd like to add funds to my card, will there be a fee involved?
GEN | [wrong_exchange_rate_for_cash_withdrawal] | Orig: Do any of your machines provide cash from my home country? I don't have any money on me and I'm on holiday so I'm concerned. Also, will I be charged anything to do this? -> Aug: Can I withdraw cash from my home country using one of your machines while I'm on holiday? I'm worried about not having any local currency with me and would like to know if I'll be charged a fee for this service.
GEN | [contactless_not_working] | Orig: Help me to set up contactless payments. -> Aug: Can you assist me in enabling contactless transactions?
GEN | [verify_source_of_funds] | Orig: I would like to know where my source of funds came from. -> Aug: I'd like to confirm the origin of the funds used for this transaction.
GEN | [supported_cards_and_currencies] | Orig: I only have one other credit card from the US. Do you accept that? -> Aug: I'm wondering if you support any other credit cards besides the one I'm using, specifically one from the United States.
GEN | [visa_or_mastercard] | Orig: I need a Visa and a Mastercard from you. -> Aug: I require both a Visa and a Mastercard from your institution.
GEN | [verify_source_of_funds] | Orig: what is source of my money -> Aug: where is the origin of the funds used for this transaction?
GEN | [cash_withdrawal_not_recognised] | Orig: It is urgency. Please freeze my card now. As someone in some odd remote town has withdrawn some money by using my card. As i did not withdraw any money. -> Aug: It's an emergency. Please cancel my card immediately. Someone in a distant location has made an unauthorized cash withdrawal using my card, and I didn't make the transaction myself.
GEN | [extra_charge_on_statement] | Orig: There is some odd 1£ charge that appears as pending on my statement. What's that about? Pretty sure I haven't purchased anything for a pound there. -> Aug: I've noticed a mysterious £1 charge showing up as pending on my statement. Can you help me figure out what it's for? I'm certain I didn't make any purchases for that amount.
GEN | [transfer_fee_charged] | Orig: I just moved overseas and I noticed that you are charging me more fees.  I am a loyal customer, is this how you expect to keep customers? -> Aug: I've recently relocated abroad and I've noticed an increase in the transfer fees. As a long-time customer, I'm surprised by this change in policy.
GEN | [declined_card_payment] | Orig: I'm sure I have enough money so why didn't the store accept my card? -> Aug: I'm certain I have sufficient funds, yet the merchant refused to accept my payment method.
GEN | [visa_or_mastercard] | Orig: Are you Visa or Mastercard? -> Aug: Which payment method are you using, Visa or Mastercard?
GEN | [visa_or_mastercard] | Orig: I want a Mastercard, instead. -> Aug: I'd prefer a Visa, if possible.
GEN | [declined_card_payment] | Orig: I couldn't pay with card in a shop -> Aug: The payment using my card was not accepted in the store.
GEN | [verify_source_of_funds] | Orig: Who is giving me my money? -> Aug: Who is the source of the funds being used to make this transaction?
GEN | [reverted_card_payment?] | Orig: What happens if a merchant doesn't accept  you payment? -> Aug: What happens if a payment to a merchant is declined or reversed?
GEN | [verify_source_of_funds] | Orig: Can someone please explain to me where my source of funds came from? -> Aug: Could you please clarify the origin of the funds used for this transaction?
GEN | [top_up_failed] | Orig: Won't let me top my card up!! Who can get it sorted out for me? It's urgent! How do I find out what the problem is with my card and how else to top it up? -> Aug: Can't seem to add funds to my card! Can someone help me resolve this issue ASAP? I need to know what's causing the problem and how to successfully top up my card.
GEN | [visa_or_mastercard] | Orig: I prefer Visa, can I get that instead? -> Aug: I'd like to opt for a Visa, if possible?
GEN | [verify_source_of_funds] | Orig: where can I get the info for my funds -> Aug: Can you please provide me with the source of my funds?
GEN | [visa_or_mastercard] | Orig: No Visa please. I want to continue with Mastercard. -> Aug: I'd prefer not to use Visa, can I proceed with Mastercard instead?
GEN | [order_physical_card] | Orig: Can you tell me exactly what fees I will expect to see in regards to your cards? -> Aug: What charges can I anticipate when ordering a physical card from your institution?
GEN | [visa_or_mastercard] | Orig: I won't be pleased unless I get a Mastercard. -> Aug: I'm not satisfied unless I receive a Visa or Mastercard.
VAL | [visa_or_mastercard] | ACCEPT | Reason: N/A | Original: I'm happy with Mastercard and want to stick with just that credit card. | Augmented: I'm content with Mastercard and would prefer to continue using only that Visa or Mastercard.
VAL | [extra_charge_on_statement] | ACCEPT | Reason: N/A | Original: Is the 1 pound charge going to be reimbursed on my card? | Augmented: Will the extra charge that appears on my statement be credited back to my card?
VAL | [visa_or_mastercard] | ACCEPT | Reason: N/A | Original: Which one are you?  Visa or Mastercard? | Augmented: Which payment method would you like to use? Visa or Mastercard?
VAL | [visa_or_mastercard] | ACCEPT | Reason: ... | Original: I prefer Mastecard. | Augmented: I would rather use Mastercard.
VAL | [card_payment_fee_charged] | ACCEPT | Reason: N/A | Original: Is there a  way to  get around fees | Augmented: Can you help me avoid the payment fee that was charged on my card?
VAL | [contactless_not_working] | ACCEPT | Reason: N/A | Original: Can I make a contactless payments? | Augmented: Can I use contactless payment methods?
VAL | [supported_cards_and_currencies] | ACCEPT | Reason: N/A | Original: Will you accept my credit card, it my only one. | Augmented: Can you accept my credit card, as it's the only one I have?
VAL | [card_swallowed] | ACCEPT | Reason: N/A | Original: how can the money machine keep my card what do i need to do? | Augmented: How can I prevent my card from being swallowed by the ATM? What steps can I take to ensure it's returned safely?
VAL | [visa_or_mastercard] | ACCEPT | Reason: ... | Original: Please give me a Mastercard instead. | Augmented: Please provide me with a Visa or Mastercard.
VAL | [card_payment_fee_charged] | ACCEPT | Reason: N/A | Original: Hi, I am new to this. Are there any additional fees or charges that I should be aware of? I was looking through the app and I thought I saw something in regards to fee-free allowances. | Augmented: I'm a new customer and I was wondering if there are any extra charges or fees I should know about. I noticed something about fee-free transactions in the app, but I'm not entirely sure what it means.
VAL | [supported_cards_and_currencies] | ACCEPT | Reason: N/A | Original: What are my payment options? | Augmented: What methods of payment do you accept?
VAL | [top_up_by_card_charge] | ACCEPT | Reason: ... | Original: I am wanting to refill my card, is there a charge? | Augmented: I'd like to add funds to my card, will there be a fee involved?
VAL | [wrong_exchange_rate_for_cash_withdrawal] | UNKNOWN | Reason: N/A | Original: Do any of your machines provide cash from my home country? I don't have any money on me and I'm on holiday so I'm concerned. Also, will I be charged anything to do this? | Augmented: Can I withdraw cash from my home country using one of your machines while I'm on holiday? I'm worried about not having any local currency with me and would like to know if I'll be charged a fee for this service.
VAL | [contactless_not_working] | ACCEPT | Reason: N/A | Original: Help me to set up contactless payments. | Augmented: Can you assist me in enabling contactless transactions?
VAL | [verify_source_of_funds] | ACCEPT | Reason: N/A | Original: I would like to know where my source of funds came from. | Augmented: I'd like to confirm the origin of the funds used for this transaction.
VAL | [supported_cards_and_currencies] | ACCEPT | Reason: ... | Original: I only have one other credit card from the US. Do you accept that? | Augmented: I'm wondering if you support any other credit cards besides the one I'm using, specifically one from the United States.
VAL | [visa_or_mastercard] | ACCEPT | Reason: ... | Original: I need a Visa and a Mastercard from you. | Augmented: I require both a Visa and a Mastercard from your institution.
VAL | [verify_source_of_funds] | ACCEPT | Reason: N/A | Original: what is source of my money | Augmented: where is the origin of the funds used for this transaction?
VAL | [cash_withdrawal_not_recognised] | ACCEPT | Reason: N/A | Original: It is urgency. Please freeze my card now. As someone in some odd remote town has withdrawn some money by using my card. As i did not withdraw any money. | Augmented: It's an emergency. Please cancel my card immediately. Someone in a distant location has made an unauthorized cash withdrawal using my card, and I didn't make the transaction myself.
VAL | [extra_charge_on_statement] | ACCEPT | Reason: ... | Original: There is some odd 1£ charge that appears as pending on my statement. What's that about? Pretty sure I haven't purchased anything for a pound there. | Augmented: I've noticed a mysterious £1 charge showing up as pending on my statement. Can you help me figure out what it's for? I'm certain I didn't make any purchases for that amount.
VAL | [transfer_fee_charged] | ACCEPT | Reason: N/A | Original: I just moved overseas and I noticed that you are charging me more fees.  I am a loyal customer, is this how you expect to keep customers? | Augmented: I've recently relocated abroad and I've noticed an increase in the transfer fees. As a long-time customer, I'm surprised by this change in policy.
VAL | [declined_card_payment] | ACCEPT | Reason: ... | Original: I'm sure I have enough money so why didn't the store accept my card? | Augmented: I'm certain I have sufficient funds, yet the merchant refused to accept my payment method.
VAL | [visa_or_mastercard] | ACCEPT | Reason: ... | Original: Are you Visa or Mastercard? | Augmented: Which payment method are you using, Visa or Mastercard?
VAL | [visa_or_mastercard] | ACCEPT | Reason: N/A | Original: I want a Mastercard, instead. | Augmented: I'd prefer a Visa, if possible.
VAL | [declined_card_payment] | ACCEPT | Reason: ... | Original: I couldn't pay with card in a shop | Augmented: The payment using my card was not accepted in the store.
VAL | [verify_source_of_funds] | ACCEPT | Reason: N/A | Original: Who is giving me my money? | Augmented: Who is the source of the funds being used to make this transaction?
VAL | [reverted_card_payment?] | REVIEW | Reason: N/A | Original: What happens if a merchant doesn't accept  you payment? | Augmented: What happens if a payment to a merchant is declined or reversed?
VAL | [verify_source_of_funds] | ACCEPT | Reason: ... | Original: Can someone please explain to me where my source of funds came from? | Augmented: Could you please clarify the origin of the funds used for this transaction?
VAL | [top_up_failed] | ACCEPT | Reason: ... | Original: Won't let me top my card up!! Who can get it sorted out for me? It's urgent! How do I find out what the problem is with my card and how else to top it up? | Augmented: Can't seem to add funds to my card! Can someone help me resolve this issue ASAP? I need to know what's causing the problem and how to successfully top up my card.
VAL | [visa_or_mastercard] | ACCEPT | Reason: ... | Original: I prefer Visa, can I get that instead? | Augmented: I'd like to opt for a Visa, if possible?
VAL | [verify_source_of_funds] | ACCEPT | Reason: N/A | Original: where can I get the info for my funds | Augmented: Can you please provide me with the source of my funds?
VAL | [visa_or_mastercard] | ACCEPT | Reason: ... | Original: No Visa please. I want to continue with Mastercard. | Augmented: I'd prefer not to use Visa, can I proceed with Mastercard instead?
VAL | [order_physical_card] | ACCEPT | Reason: N/A | Original: Can you tell me exactly what fees I will expect to see in regards to your cards? | Augmented: What charges can I anticipate when ordering a physical card from your institution?
VAL | [visa_or_mastercard] | ACCEPT | Reason: N/A | Original: I won't be pleased unless I get a Mastercard. | Augmented: I'm not satisfied unless I receive a Visa or Mastercard.
