GEN | [transfer_fee_charged] | Orig: who charged my card -> Aug: who deducted the transfer fee from my card
GEN | [failed_transfer] | Orig: Why was my transaction not approved? -> Aug: Why was my transfer not processed successfully?
GEN | [extra_charge_on_statement] | Orig: I still have not received an answer as to why I was charged $1.00 in a transaction? -> Aug: I'm still waiting for an explanation about the additional fee that appeared on my statement.
GEN | [transfer_not_received_by_recipient] | Orig: How long will my transaction take? -> Aug: When can I expect my transfer to reach the recipient?
GEN | [transfer_not_received_by_recipient] | Orig: Why hasn't my in country transfer gone through yet? I confirmed the account info a couple days ago but the payment hasn't been posted yet. -> Aug: I'm still waiting for my domestic transfer to be credited to the recipient's account. I double-checked the account details a few days ago, but the payment hasn't been processed yet.
GEN | [compromised_card] | Orig: I have some transactions on my account I did not make. Can you cancel my card and prevent further use. -> Aug: I'm concerned about unauthorized activity on my account. Can you suspend my card to stop any further transactions?
GEN | [direct_debit_payment_not_recognised] | Orig: I'm checking my statements and I saw a purchase from a couple weeks ago that I don't recall at all. Not only that, but I don't even know the business that charged it. I'm not sure if I did it or not, but can we check it and see if we can trace it back to make certain? -> Aug: We've noticed a transaction on your statement that's causing some confusion. It appears to be a direct debit payment that we can't identify. The date is a few weeks old, and I'm not familiar with the business that made the charge. I'm wondering if you could help us investigate this further and determine if it was a legitimate transaction or not.
GEN | [card_payment_not_recognised] | Orig: I don't think I made this transaction on my statement -> Aug: I'm not sure if I authorized this payment on my recent statement.
GEN | [getting_virtual_card] | Orig: How long do you have to wait to see your virtual card your ordered? -> Aug: When can I expect to receive my virtual card after ordering it?
GEN | [direct_debit_payment_not_recognised] | Orig: I have an unknown charge. -> Aug: We've detected an unfamiliar payment.
GEN | [card_payment_not_recognised] | Orig: I've never been to that store.  That's a fraudulent charge. -> Aug: We've never processed a payment from that merchant before. This transaction appears to be unauthorized.
GEN | [getting_virtual_card] | Orig: I ordered a virtual card but it hasn't come through yet -> Aug: I'm still waiting for my virtual card to be issued
GEN | [card_payment_fee_charged] | Orig: i have used my card online before and wasn't charged, why am i charged now -> Aug: I've made online transactions with my card previously without being charged a fee, so I'm puzzled as to why I'm being charged one now.
GEN | [why_verify_identity] | Orig: If my identy verifacation hasn't gone through can I use my account? -> Aug: If my identity verification process hasn't been completed, can I still access my account?
GEN | [card_payment_not_recognised] | Orig: Why is there an unknown card payment? -> Aug: We're unable to identify a recognized card payment.
GEN | [transaction_charged_twice] | Orig: I have noticed that my account was double charged for a couple of items this week. Please review and refund the double charged items back. -> Aug: I've found that I've been charged twice for a few transactions recently. Could you please investigate and reverse the duplicate charges?
GEN | [top_up_by_cash_or_cheque] | Orig: how can i add money to my account if you don't accept cash -> Aug: Can I deposit funds into my account if you don't accept cash?
GEN | [transfer_fee_charged] | Orig: I think I have an extra transfer charge. -> Aug: I believe I've been incorrectly billed for a transfer fee.
GEN | [verify_top_up] | Orig: For what reason must I authenticate the top up? -> Aug: Why do I need to confirm the top-up?
GEN | [getting_virtual_card] | Orig: I want to get my hands on one of those virtual cards! -> Aug: I'd like to obtain a virtual card.
GEN | [why_verify_identity] | Orig: Do you think you're asking for too much information about me? -> Aug: Are you feeling overwhelmed by the amount of personal details we're asking you to provide?
GEN | [getting_virtual_card] | Orig: I haven't received my virtual card yet!! -> Aug: I'm still waiting to receive my virtual card.
GEN | [transaction_charged_twice] | Orig: I had a duplicate card and bought something and it showed up twice. I canceled my card, how do I get my money back? -> Aug: I accidentally used a duplicate credit card to make a purchase, and it was reflected on my account twice. I've since cancelled the card, but I'd like to know how to recover the extra charge.
GEN | [wrong_amount_of_cash_received] | Orig: How can I get my money that I didn't get from the ATM? -> Aug: I'm trying to retrieve the cash I didn't receive from the ATM transaction.
GEN | [transfer_fee_charged] | Orig: There is a fee from a transfer that is not supposed to be here! -> Aug: A surprise fee has appeared on a transfer that shouldn't have had one.
GEN | [card_arrival] | Orig: Is my new bank card on the way and is there a way to track it? -> Aug: Has my new bank card been dispatched, and can I monitor its delivery status?
GEN | [reverted_card_payment?] | Orig: The seller just told me he didn't get paid. After reviewing my account it did subtract the balance but now it has added it back to my account. I need you to please take care of this promptly. -> Aug: The seller informed me that they didn't receive the payment. Upon checking my account, I noticed that the payment was initially deducted, but it was then reversed and credited back to my account. Can you assist me with resolving this issue as soon as possible?
GEN | [top_up_by_cash_or_cheque] | Orig: Can cash be used in physical locations to top up? -> Aug: Can I use cash to top up my account at a physical location?
GEN | [wrong_amount_of_cash_received] | Orig: I'm stuck here at your broken ATM and I don't know what to do next. Asked for 30 pounds, got 10. ATM said I got 30. Something very wrong here and I want my money now! -> Aug: I'm having an issue with the ATM and I'm not sure what to do. I requested £30, but it only dispensed £10. The machine confirmed the transaction, but I'm certain something went wrong and I'd like to resolve this as soon as possible.
GEN | [cash_withdrawal_not_recognised] | Orig: I did not get the cash that is showing up in my app. -> Aug: The cash withdrawal I'm seeing on my app isn't reflecting in my actual account balance.
GEN | [pin_blocked] | Orig: My card got blocked, how do I reset? -> Aug: My PIN has been blocked, what's the process to unblock it?
VAL | [transfer_fee_charged] | ACCEPT | Reason: N/A | Original: who charged my card | Augmented: who deducted the transfer fee from my card
VAL | [failed_transfer] | ACCEPT | Reason: Both texts are asking about a failed attempt to move funds, which aligns with the 'failed_transfer' intent. The wording has been slightly modified but the core question remains the same. | Original: Why was my transaction not approved? | Augmented: Why was my transfer not processed successfully?
VAL | [extra_charge_on_statement] | ACCEPT | Reason: N/A | Original: I still have not received an answer as to why I was charged $1.00 in a transaction? | Augmented: I'm still waiting for an explanation about the additional fee that appeared on my statement.
VAL | [transfer_not_received_by_recipient] | UNKNOWN | Reason: N/A | Original: How long will my transaction take? | Augmented: When can I expect my transfer to reach the recipient?
VAL | [transfer_not_received_by_recipient] | ACCEPT | Reason: N/A | Original: Why hasn't my in country transfer gone through yet? I confirmed the account info a couple days ago but the payment hasn't been posted yet. | Augmented: I'm still waiting for my domestic transfer to be credited to the recipient's account. I double-checked the account details a few days ago, but the payment hasn't been processed yet.
VAL | [compromised_card] | ACCEPT | Reason: N/A | Original: I have some transactions on my account I did not make. Can you cancel my card and prevent further use. | Augmented: I'm concerned about unauthorized activity on my account. Can you suspend my card to stop any further transactions?
VAL | [direct_debit_payment_not_recognised] | ACCEPT | Reason: N/A | Original: I'm checking my statements and I saw a purchase from a couple weeks ago that I don't recall at all. Not only that, but I don't even know the business that charged it. I'm not sure if I did it or not, but can we check it and see if we can trace it back to make certain? | Augmented: We've noticed a transaction on your statement that's causing some confusion. It appears to be a direct debit payment that we can't identify. The date is a few weeks old, and I'm not familiar with the business that made the charge. I'm wondering if you could help us investigate this further and determine if it was a legitimate transaction or not.
VAL | [card_payment_not_recognised] | ACCEPT | Reason: N/A | Original: I don't think I made this transaction on my statement | Augmented: I'm not sure if I authorized this payment on my recent statement.
VAL | [getting_virtual_card] | ACCEPT | Reason: ... | Original: How long do you have to wait to see your virtual card your ordered? | Augmented: When can I expect to receive my virtual card after ordering it?
VAL | [direct_debit_payment_not_recognised] | ACCEPT | Reason: N/A | Original: I have an unknown charge. | Augmented: We've detected an unfamiliar payment.
VAL | [card_payment_not_recognised] | ACCEPT | Reason: N/A | Original: I've never been to that store.  That's a fraudulent charge. | Augmented: We've never processed a payment from that merchant before. This transaction appears to be unauthorized.
VAL | [getting_virtual_card] | ACCEPT | Reason: ... | Original: I ordered a virtual card but it hasn't come through yet | Augmented: I'm still waiting for my virtual card to be issued
VAL | [card_payment_fee_charged] | ACCEPT | Reason: ... | Original: i have used my card online before and wasn't charged, why am i charged now | Augmented: I've made online transactions with my card previously without being charged a fee, so I'm puzzled as to why I'm being charged one now.
VAL | [why_verify_identity] | ACCEPT | Reason: ... | Original: If my identy verifacation hasn't gone through can I use my account? | Augmented: If my identity verification process hasn't been completed, can I still access my account?
VAL | [card_payment_not_recognised] | ACCEPT | Reason: ... | Original: Why is there an unknown card payment? | Augmented: We're unable to identify a recognized card payment.
VAL | [transaction_charged_twice] | ACCEPT | Reason: ... | Original: I have noticed that my account was double charged for a couple of items this week. Please review and refund the double charged items back. | Augmented: I've found that I've been charged twice for a few transactions recently. Could you please investigate and reverse the duplicate charges?
VAL | [top_up_by_cash_or_cheque] | ACCEPT | Reason: N/A | Original: how can i add money to my account if you don't accept cash | Augmented: Can I deposit funds into my account if you don't accept cash?
VAL | [transfer_fee_charged] | ACCEPT | Reason: The augmented text maintains the core idea of an extra charge for a transfer, which is consistent with the target intent. It does not introduce any new or unsupported information and remains specific to the banking context of fees. | Original: I think I have an extra transfer charge. | Augmented: I believe I've been incorrectly billed for a transfer fee.
VAL | [verify_top_up] | ACCEPT | Reason: ... | Original: For what reason must I authenticate the top up? | Augmented: Why do I need to confirm the top-up?
VAL | [getting_virtual_card] | ACCEPT | Reason: ... | Original: I want to get my hands on one of those virtual cards! | Augmented: I'd like to obtain a virtual card.
VAL | [why_verify_identity] | ACCEPT | Reason: N/A | Original: Do you think you're asking for too much information about me? | Augmented: Are you feeling overwhelmed by the amount of personal details we're asking you to provide?
VAL | [getting_virtual_card] | ACCEPT | Reason: Both sentences convey the same expectation of receiving a virtual card, just expressed with slightly different wording. | Original: I haven't received my virtual card yet!! | Augmented: I'm still waiting to receive my virtual card.
VAL | [transaction_charged_twice] | ACCEPT | Reason: ... | Original: I had a duplicate card and bought something and it showed up twice. I canceled my card, how do I get my money back? | Augmented: I accidentally used a duplicate credit card to make a purchase, and it was reflected on my account twice. I've since cancelled the card, but I'd like to know how to recover the extra charge.
VAL | [wrong_amount_of_cash_received] | ACCEPT | Reason: N/A | Original: How can I get my money that I didn't get from the ATM? | Augmented: I'm trying to retrieve the cash I didn't receive from the ATM transaction.
VAL | [transfer_fee_charged] | ACCEPT | Reason: ... | Original: There is a fee from a transfer that is not supposed to be here! | Augmented: A surprise fee has appeared on a transfer that shouldn't have had one.
VAL | [card_arrival] | ACCEPT | Reason: N/A | Original: Is my new bank card on the way and is there a way to track it? | Augmented: Has my new bank card been dispatched, and can I monitor its delivery status?
VAL | [reverted_card_payment?] | ACCEPT | Reason: The augmented text maintains the core issue of a payment being deducted and then reversed, which is consistent with the original intent. It provides more detail about the sequence of events but does not change the fundamental nature of the problem. | Original: The seller just told me he didn't get paid. After reviewing my account it did subtract the balance but now it has added it back to my account. I need you to please take care of this promptly. | Augmented: The seller informed me that they didn't receive the payment. Upon checking my account, I noticed that the payment was initially deducted, but it was then reversed and credited back to my account. Can you assist me with resolving this issue as soon as possible?
VAL | [top_up_by_cash_or_cheque] | ACCEPT | Reason: ... | Original: Can cash be used in physical locations to top up? | Augmented: Can I use cash to top up my account at a physical location?
VAL | [wrong_amount_of_cash_received] | ACCEPT | Reason: ... | Original: I'm stuck here at your broken ATM and I don't know what to do next. Asked for 30 pounds, got 10. ATM said I got 30. Something very wrong here and I want my money now! | Augmented: I'm having an issue with the ATM and I'm not sure what to do. I requested £30, but it only dispensed £10. The machine confirmed the transaction, but I'm certain something went wrong and I'd like to resolve this as soon as possible.
VAL | [cash_withdrawal_not_recognised] | ACCEPT | Reason: N/A | Original: I did not get the cash that is showing up in my app. | Augmented: The cash withdrawal I'm seeing on my app isn't reflecting in my actual account balance.
VAL | [pin_blocked] | ACCEPT | Reason: N/A | Original: My card got blocked, how do I reset? | Augmented: My PIN has been blocked, what's the process to unblock it?
VAL_SUMMARY | ACCEPT: 30 | REVIEW: 0 | REJECT: 0 | UNKNOWN: 1 | Accept Rate: 0.9677
