GEN | [card_not_working] | Orig: WHAT IS THE REASON FOR THAT -> Aug: WHY IS MY CARD NOT FUNCTIONING?
GEN | [direct_debit_payment_not_recognised] | Orig: what is the matter? -> Aug: We're having trouble identifying your direct debit payment.
GEN | [reverted_card_payment?] | Orig: I've got a problem - I bought something with my card one or two weeks ago, but now exact same amount of the purchase is showing up in my account. I like more money in my account, but this is too good to be true. Can you tell me what's happening? -> Aug: I'm concerned about a recent transaction - I made a purchase with my card a few weeks ago, but the same amount is now appearing in my account. I'm not sure what's going on, but I'd appreciate it if you could help me understand why I'm seeing this unexpected deposit.
GEN | [card_delivery_estimate] | Orig: Can I pay more to get it deliver quicker? -> Aug: Is there an option to expedite the delivery of my card for an additional fee?
GEN | [top_up_failed] | Orig: I got my card a few days ago but am unable to top up. I'm thinking about closing my account because of this. What is going on? -> Aug: I recently received my card, but I'm having trouble adding funds to it. I'm considering canceling my account due to this issue. Can you help me resolve this problem?
GEN | [pending_card_payment] | Orig: I am waiting for a payment to be processed -> Aug: I am expecting a payment to be cleared
GEN | [card_payment_fee_charged] | Orig: How can I check how much free spending I have left? I have some big purchases coming up and want to know where I can look for any info. -> Aug: Can you help me find out how much I have available for spending? I'm planning some significant transactions and need to know where to check for the remaining balance.
GEN | [card_delivery_estimate] | Orig: i need to add express delivery if that's an option -> Aug: I'd like to inquire about the possibility of expedited shipping for my card delivery.
GEN | [declined_card_payment] | Orig: Why are the payments being declined on my new card?  I tried several times to use my new card to pay for my gas at the Shell station in my neighborhood.  I am very distressed about my new card not working. -> Aug: I'm having trouble using my new card to make payments, and it keeps getting declined. I've tried to use it multiple times to pay for gas at the Shell station near my home, but it's not working. I'm really frustrated about this issue with my new card.
GEN | [exchange_rate] | Orig: What's the process for exchanges? -> Aug: How do I initiate an exchange?
GEN | [cash_withdrawal_not_recognised] | Orig: Hi, It's urgent, please freeze my card. As someone has withdrawn money using my card in odd remote town. Since i have not done this withdrawal. Do it fast. -> Aug: Hi, I need immediate assistance. Someone has made an unauthorized cash withdrawal using my card in a distant location, and I didn't authorize it. Please, can you freeze my card as soon as possible?
GEN | [reverted_card_payment?] | Orig: Can you tell me why my card isn't letting me make purchases online? It's been 2 weeks I've been trying. -> Aug: Why is my card not allowing me to make online transactions? I've been trying for two weeks now.
GEN | [fiat_currency_support] | Orig: Do you have a problem with EUR exchanges? -> Aug: Are you experiencing an issue with converting or exchanging euros?
GEN | [transfer_not_received_by_recipient] | Orig: I am just waiting on the completion of the transaction. -> Aug: I'm still waiting for the transfer to be successfully delivered to the recipient.
GEN | [top_up_limits] | Orig: What is the daily limit on my card? -> Aug: What is the daily spending limit on my credit card?
GEN | [transfer_not_received_by_recipient] | Orig: I am just waiting for the transaction to be completed. -> Aug: I'm still waiting for the transfer to reach the recipient.
GEN | [request_refund] | Orig: It has been forever ago that I made an order online. The product simply is not coming. Just give me back my money because I'm not paying these people. -> Aug: I've been waiting for an eternity for my online order to arrive, but it's nowhere to be found. I'd like to request a refund as I'm not willing to continue holding onto my payment.
GEN | [lost_or_stolen_card] | Orig: Could you please freeze my card immediately? -> Aug: Can you put a hold on my card right away?
GEN | [direct_debit_payment_not_recognised] | Orig: I did not set up a direct debit I have -> Aug: We didn't find a direct debit payment arrangement in your account records.
GEN | [country_support] | Orig: i live in portugal. do you operate here? -> Aug: I am a resident of Portugal. Do you have a presence in this country?
GEN | [pin_blocked] | Orig: How many incorrect attempts cause card to be blocked? -> Aug: What is the threshold for the number of incorrect PIN attempts that will trigger a card block?
GEN | [virtual_card_not_working] | Orig: Why can't I make multiple payments with my virtual card? -> Aug: Why am I unable to process multiple transactions using my virtual card?
GEN | [card_delivery_estimate] | Orig: If I need delivery on a certain day, is that something that could be accommodated? -> Aug: Can you confirm if it's possible to arrange for the card delivery on a specific date?
GEN | [pending_card_payment] | Orig: How long does it actually take for a card payment to go through? There's one stuck since a couple days already that doesn't seem to move -> Aug: How long does it typically take for a pending card payment to clear? I have one that's been pending for a few days now and it's not showing any progress.
GEN | [declined_transfer] | Orig: What does the decline message mean -> Aug: The transfer was not successfully processed due to an issue.
GEN | [top_up_failed] | Orig: I need assistance finding out why I am unable to top-up my card, it keeps getting refused.  It is extremely imperative I get this resolved quickly. -> Aug: I'm having trouble topping up my card, and it's consistently being declined. I urgently need help resolving this issue as soon as possible.
GEN | [pending_card_payment] | Orig: How long does it actually take for a card payment to go through? There's one stuck since a couple of days already that doesn't seem to move -> Aug: How long does it typically take for a pending card payment to clear? I have one that's been pending for a few days now and it's not showing any progress.
GEN | [exchange_rate] | Orig: How do you do exchanges? -> Aug: What's the process for converting currencies?
GEN | [top_up_failed] | Orig: My credit card did not go through. Can you see if it has insufficient funds? -> Aug: My payment attempt was unsuccessful. Could you check if my credit card has sufficient funds?
GEN | [supported_cards_and_currencies] | Orig: What are my payment options? -> Aug: What methods of payment do you accept?
GEN | [disposable_card_limits] | Orig: On my disposable card, is there a transaction limit? -> Aug: Can I know the spending limit on my disposable card?
GEN | [card_arrival] | Orig: maximum how many days get the courier? -> Aug: How long does it take for the courier to deliver the card?
GEN | [request_refund] | Orig: It's been some time ago that I placed an order and it just isn't coming. At this point just give me back my money because I'm not paying them. -> Aug: I've been waiting for a while now, and since the order hasn't arrived, I'd like to request a refund as I'm no longer interested in pursuing the purchase.
GEN | [pending_cash_withdrawal] | Orig: Explain pending transactions. -> Aug: Describe outstanding cash withdrawal requests.
GEN | [direct_debit_payment_not_recognised] | Orig: I didn't set up the direct debit I have -> Aug: We couldn't find a direct debit payment arrangement in your account.
VAL | [card_not_working] | ACCEPT | Reason: N/A | Original: WHAT IS THE REASON FOR THAT | Augmented: WHY IS MY CARD NOT FUNCTIONING?
VAL | [direct_debit_payment_not_recognised] | ACCEPT | Reason: N/A | Original: what is the matter? | Augmented: We're having trouble identifying your direct debit payment.
VAL | [reverted_card_payment?] | ACCEPT | Reason: The augmented text maintains the core issue of an unexpected deposit from a previous card transaction, which is consistent with the original intent. The user is asking for clarification on why they are seeing this unexpected deposit. | Original: I've got a problem - I bought something with my card one or two weeks ago, but now exact same amount of the purchase is showing up in my account. I like more money in my account, but this is too good to be true. Can you tell me what's happening? | Augmented: I'm concerned about a recent transaction - I made a purchase with my card a few weeks ago, but the same amount is now appearing in my account. I'm not sure what's going on, but I'd appreciate it if you could help me understand why I'm seeing this unexpected deposit.
VAL | [card_delivery_estimate] | ACCEPT | Reason: N/A | Original: Can I pay more to get it deliver quicker? | Augmented: Is there an option to expedite the delivery of my card for an additional fee?
VAL | [top_up_failed] | ACCEPT | Reason: ... | Original: I got my card a few days ago but am unable to top up. I'm thinking about closing my account because of this. What is going on? | Augmented: I recently received my card, but I'm having trouble adding funds to it. I'm considering canceling my account due to this issue. Can you help me resolve this problem?
VAL | [pending_card_payment] | ACCEPT | Reason: N/A | Original: I am waiting for a payment to be processed | Augmented: I am expecting a payment to be cleared
VAL | [card_payment_fee_charged] | UNKNOWN | Reason: N/A | Original: How can I check how much free spending I have left? I have some big purchases coming up and want to know where I can look for any info. | Augmented: Can you help me find out how much I have available for spending? I'm planning some significant transactions and need to know where to check for the remaining balance.
VAL | [card_delivery_estimate] | ACCEPT | Reason: N/A | Original: i need to add express delivery if that's an option | Augmented: I'd like to inquire about the possibility of expedited shipping for my card delivery.
VAL | [declined_card_payment] | ACCEPT | Reason: ... | Original: Why are the payments being declined on my new card?  I tried several times to use my new card to pay for my gas at the Shell station in my neighborhood.  I am very distressed about my new card not working. | Augmented: I'm having trouble using my new card to make payments, and it keeps getting declined. I've tried to use it multiple times to pay for gas at the Shell station near my home, but it's not working. I'm really frustrated about this issue with my new card.
VAL | [exchange_rate] | ACCEPT | Reason: N/A | Original: What's the process for exchanges? | Augmented: How do I initiate an exchange?
VAL | [cash_withdrawal_not_recognised] | ACCEPT | Reason: N/A | Original: Hi, It's urgent, please freeze my card. As someone has withdrawn money using my card in odd remote town. Since i have not done this withdrawal. Do it fast. | Augmented: Hi, I need immediate assistance. Someone has made an unauthorized cash withdrawal using my card in a distant location, and I didn't authorize it. Please, can you freeze my card as soon as possible?
VAL | [reverted_card_payment?] | ACCEPT | Reason: N/A | Original: Can you tell me why my card isn't letting me make purchases online? It's been 2 weeks I've been trying. | Augmented: Why is my card not allowing me to make online transactions? I've been trying for two weeks now.
VAL | [fiat_currency_support] | ACCEPT | Reason: Both texts are asking about problems with exchanging euros, which is consistent with the fiat_currency_support intent. | Original: Do you have a problem with EUR exchanges? | Augmented: Are you experiencing an issue with converting or exchanging euros?
VAL | [transfer_not_received_by_recipient] | ACCEPT | Reason: N/A | Original: I am just waiting on the completion of the transaction. | Augmented: I'm still waiting for the transfer to be successfully delivered to the recipient.
VAL | [top_up_limits] | ACCEPT | Reason: N/A | Original: What is the daily limit on my card? | Augmented: What is the daily spending limit on my credit card?
VAL | [transfer_not_received_by_recipient] | ACCEPT | Reason: N/A | Original: I am just waiting for the transaction to be completed. | Augmented: I'm still waiting for the transfer to reach the recipient.
VAL | [request_refund] | ACCEPT | Reason: ... | Original: It has been forever ago that I made an order online. The product simply is not coming. Just give me back my money because I'm not paying these people. | Augmented: I've been waiting for an eternity for my online order to arrive, but it's nowhere to be found. I'd like to request a refund as I'm not willing to continue holding onto my payment.
VAL | [lost_or_stolen_card] | ACCEPT | Reason: N/A | Original: Could you please freeze my card immediately? | Augmented: Can you put a hold on my card right away?
VAL | [direct_debit_payment_not_recognised] | UNKNOWN | Reason: N/A | Original: I did not set up a direct debit I have | Augmented: We didn't find a direct debit payment arrangement in your account records.
VAL | [country_support] | ACCEPT | Reason: N/A | Original: i live in portugal. do you operate here? | Augmented: I am a resident of Portugal. Do you have a presence in this country?
VAL | [pin_blocked] | ACCEPT | Reason: N/A | Original: How many incorrect attempts cause card to be blocked? | Augmented: What is the threshold for the number of incorrect PIN attempts that will trigger a card block?
VAL | [virtual_card_not_working] | ACCEPT | Reason: ... | Original: Why can't I make multiple payments with my virtual card? | Augmented: Why am I unable to process multiple transactions using my virtual card?
VAL | [card_delivery_estimate] | ACCEPT | Reason: Both texts are seeking confirmation about the possibility of arranging for card delivery on a specific date, which aligns with the target intent of 'card_delivery_estimate'. There is no contradiction or ambiguity introduced. | Original: If I need delivery on a certain day, is that something that could be accommodated? | Augmented: Can you confirm if it's possible to arrange for the card delivery on a specific date?
VAL | [pending_card_payment] | ACCEPT | Reason: The augmented text preserves the same banking intent by focusing on the duration of a pending card payment and the issue of a payment not moving forward, which is consistent with the original text. | Original: How long does it actually take for a card payment to go through? There's one stuck since a couple days already that doesn't seem to move | Augmented: How long does it typically take for a pending card payment to clear? I have one that's been pending for a few days now and it's not showing any progress.
VAL | [declined_transfer] | ACCEPT | Reason: N/A | Original: What does the decline message mean | Augmented: The transfer was not successfully processed due to an issue.
VAL | [top_up_failed] | ACCEPT | Reason: ... | Original: I need assistance finding out why I am unable to top-up my card, it keeps getting refused.  It is extremely imperative I get this resolved quickly. | Augmented: I'm having trouble topping up my card, and it's consistently being declined. I urgently need help resolving this issue as soon as possible.
VAL | [pending_card_payment] | ACCEPT | Reason: ... | Original: How long does it actually take for a card payment to go through? There's one stuck since a couple of days already that doesn't seem to move | Augmented: How long does it typically take for a pending card payment to clear? I have one that's been pending for a few days now and it's not showing any progress.
VAL | [exchange_rate] | ACCEPT | Reason: N/A | Original: How do you do exchanges? | Augmented: What's the process for converting currencies?
