GEN | [extra_charge_on_statement] | Orig: What does the €1 fee mean? -> Aug: What is the purpose of the additional charge that appears on my statement?
GEN | [card_payment_wrong_exchange_rate] | Orig: Why is the exchange rate on my card wrong? -> Aug: The exchange rate applied to my card payment is incorrect.
GEN | [card_payment_wrong_exchange_rate] | Orig: The exchange rate for my card payment doesn't seem right. -> Aug: The rate applied to my card transaction appears to be incorrect.
GEN | [card_payment_fee_charged] | Orig: I was charged a fee for using my card. Can I check that in any way? It seems like there are occasions that I am charge for fees. Can you elaborate this? -> Aug: I'm wondering if I was incorrectly charged a fee for using my card. Could you help me verify this? It seems like there are instances where I'm being charged for fees. Can you provide more information on this?
GEN | [transfer_fee_charged] | Orig: I use my card internationally to manage payments and I just noticed that you are adding additional fees.  Why?  I am a good customer and this has me thinking about leaving. -> Aug: I've been using my card for international transactions and I'm concerned about the extra fees I'm being charged. As a loyal customer, I'd appreciate an explanation for these additional charges, as it's making me consider taking my business elsewhere.
GEN | [extra_charge_on_statement] | Orig: what was the $1 fee i got -> Aug: what was the additional charge I noticed on my statement?
GEN | [wrong_exchange_rate_for_cash_withdrawal] | Orig: My rate is not right when I used my card in a different country's money. -> Aug: The exchange rate was incorrect when I made a cash withdrawal using my card in a foreign country.
GEN | [transfer_fee_charged] | Orig: I just moved overseas and I noticed that you are charging me more fees.  I am a loyal customer, is this how you expect to keep customers? -> Aug: I've recently relocated abroad and I've noticed an increase in the transfer fees. As a long-time customer, I'm surprised by this change in policy.
GEN | [card_payment_wrong_exchange_rate] | Orig: I am not receiving the correct exchange rate on my card. -> Aug: The exchange rate applied to my card payment is incorrect.
GEN | [card_payment_wrong_exchange_rate] | Orig: Why is the exchange rate on my card payment different than I expected? -> Aug: Why is the exchange rate applied to my card payment not what I was expecting?
GEN | [card_payment_fee_charged] | Orig: Hello! I randomly got charged an extra fee today as i was shopping online and i have no idea why! Are there extra fees for card payments? Or am i missing something here? -> Aug: Hi, I'm a bit puzzled - I was making an online purchase and suddenly got hit with an unexpected fee. Could you please clarify if there's an additional charge for using my card for transactions? I'm not sure what's going on!
GEN | [extra_charge_on_statement] | Orig: What is this extra €1 fee about? -> Aug: What is the purpose of this additional €1 charge on my statement?
GEN | [extra_charge_on_statement] | Orig: Where did the  €1 fee in my statement come from -> Aug: Can you explain the €1 charge on my recent statement?
GEN | [extra_charge_on_statement] | Orig: Why is there a 1 euro fee on my statement? -> Aug: What is the reason for the additional charge that appears on my statement?
GEN | [transaction_charged_twice] | Orig: I was charged multiple times at the same location at the same time -> Aug: I was double-billed at the same location during the same transaction period
GEN | [extra_charge_on_statement] | Orig: What is the extra €1 on my statement for? -> Aug: What is the additional charge on my statement for?
GEN | [card_payment_fee_charged] | Orig: Why was the price higher when I paid with my card? -> Aug: Why was there an additional charge when I used my credit card to make the payment?
GEN | [exchange_rate] | Orig: What do you use to figure out the exchange rate for the card? -> Aug: How do you determine the exchange rate for the card?
GEN | [card_payment_wrong_exchange_rate] | Orig: I think the exchange rate on my card payment is incorrect. -> Aug: I believe the exchange rate applied to my card transaction is inaccurate.
GEN | [card_payment_fee_charged] | Orig: I had to pay money for paying with my card. -> Aug: I was charged a fee for using my card to make the payment.
GEN | [extra_charge_on_statement] | Orig: There is some odd 1£ charge that appears as pending on my statement. What's that about? Pretty sure I haven't purchased anything for a pound there. -> Aug: I've noticed a mysterious £1 charge showing up as pending on my statement. Can you help me figure out what it's for? I'm certain I didn't make any purchases for that amount.
GEN | [exchange_rate] | Orig: Can you explain your exchange rates basis? -> Aug: What is the basis for your exchange rates?
GEN | [card_payment_fee_charged] | Orig: I think a fee was applied for paying with a card. -> Aug: I believe a charge was added for using a credit/debit card for the transaction.
GEN | [card_payment_fee_charged] | Orig: What are these fees i am paying? -> Aug: Why am I being charged these fees on my card payment?
GEN | [country_support] | Orig: I live in Germany. Is that one of the countries you are in? What other countries are you in? -> Aug: I reside in Germany. Are you a financial institution that operates in multiple countries, including Germany? Can you provide a list of all the countries you support?
GEN | [transaction_charged_twice] | Orig: Why am I being charged for the same thing twice? -> Aug: I've been double-charged for the same transaction, and I'm not sure why.
GEN | [card_payment_wrong_exchange_rate] | Orig: Exchange rate for my card payment is wrong -> Aug: The exchange rate applied to my card transaction is incorrect
GEN | [card_payment_fee_charged] | Orig: I don't think I should have been charged a fee to use my card. -> Aug: I'm surprised to see a fee applied to my card transaction.
GEN | [exchange_rate] | Orig: What value can I get for my currency? -> Aug: What's the current exchange rate for my money?
GEN | [extra_charge_on_statement] | Orig: Why has my card been charged an extra pound? -> Aug: Why is there an additional charge on my statement?
GEN | [card_payment_wrong_exchange_rate] | Orig: The exchange rate from my card payment isn't right. -> Aug: The exchange rate applied to my card transaction is incorrect.
GEN | [extra_charge_on_statement] | Orig: Is the 1 pound charge I can see an error or an incorrect entry? -> Aug: Is the £1 charge on my statement an error or an incorrect entry?
GEN | [card_payment_fee_charged] | Orig: I used my card and there was a fee -> Aug: I made a payment using my card, and a fee was deducted
GEN | [card_payment_fee_charged] | Orig: Why are you charging me fees for using my card? -> Aug: I'm not sure why I'm being charged a fee for making a payment with my card.
GEN | [exchange_rate] | Orig: I'm interested in what your exchange rates are based on. -> Aug: I'd like to know more about your current exchange rates.
GEN | [card_payment_fee_charged] | Orig: Tell me why there is a fee for a card payment. -> Aug: I'd be happy to explain why a fee is applied to your card payment.
GEN | [order_physical_card] | Orig: how much does a card cost and why do you charge me -> Aug: What is the price of a physical card, and can you explain the fees associated with it?
GEN | [transaction_charged_twice] | Orig: I have two of the same charges on my account! -> Aug: I've noticed that I've been double-charged for the same transaction.
VAL | [extra_charge_on_statement] | ACCEPT | Reason: ... | Original: What does the €1 fee mean? | Augmented: What is the purpose of the additional charge that appears on my statement?
VAL | [card_payment_wrong_exchange_rate] | ACCEPT | Reason: N/A | Original: Why is the exchange rate on my card wrong? | Augmented: The exchange rate applied to my card payment is incorrect.
VAL | [card_payment_wrong_exchange_rate] | ACCEPT | Reason: Both texts indicate dissatisfaction with the exchange rate used in a card payment, which aligns with the target intent of 'card_payment_wrong_exchange_rate'. There is no contradiction or ambiguity introduced. | Original: The exchange rate for my card payment doesn't seem right. | Augmented: The rate applied to my card transaction appears to be incorrect.
VAL | [card_payment_fee_charged] | ACCEPT | Reason: ... | Original: I was charged a fee for using my card. Can I check that in any way? It seems like there are occasions that I am charge for fees. Can you elaborate this? | Augmented: I'm wondering if I was incorrectly charged a fee for using my card. Could you help me verify this? It seems like there are instances where I'm being charged for fees. Can you provide more information on this?
VAL | [transfer_fee_charged] | ACCEPT | Reason: N/A | Original: I use my card internationally to manage payments and I just noticed that you are adding additional fees.  Why?  I am a good customer and this has me thinking about leaving. | Augmented: I've been using my card for international transactions and I'm concerned about the extra fees I'm being charged. As a loyal customer, I'd appreciate an explanation for these additional charges, as it's making me consider taking my business elsewhere.
VAL | [extra_charge_on_statement] | ACCEPT | Reason: ... | Original: what was the $1 fee i got | Augmented: what was the additional charge I noticed on my statement?
VAL | [wrong_exchange_rate_for_cash_withdrawal] | ACCEPT | Reason: N/A | Original: My rate is not right when I used my card in a different country's money. | Augmented: The exchange rate was incorrect when I made a cash withdrawal using my card in a foreign country.
VAL | [transfer_fee_charged] | ACCEPT | Reason: N/A | Original: I just moved overseas and I noticed that you are charging me more fees.  I am a loyal customer, is this how you expect to keep customers? | Augmented: I've recently relocated abroad and I've noticed an increase in the transfer fees. As a long-time customer, I'm surprised by this change in policy.
VAL | [card_payment_wrong_exchange_rate] | ACCEPT | Reason: N/A | Original: I am not receiving the correct exchange rate on my card. | Augmented: The exchange rate applied to my card payment is incorrect.
VAL | [card_payment_wrong_exchange_rate] | ACCEPT | Reason: ... | Original: Why is the exchange rate on my card payment different than I expected? | Augmented: Why is the exchange rate applied to my card payment not what I was expecting?
VAL | [card_payment_fee_charged] | ACCEPT | Reason: ... | Original: Hello! I randomly got charged an extra fee today as i was shopping online and i have no idea why! Are there extra fees for card payments? Or am i missing something here? | Augmented: Hi, I'm a bit puzzled - I was making an online purchase and suddenly got hit with an unexpected fee. Could you please clarify if there's an additional charge for using my card for transactions? I'm not sure what's going on!
VAL | [extra_charge_on_statement] | ACCEPT | Reason: ... | Original: What is this extra €1 fee about? | Augmented: What is the purpose of this additional €1 charge on my statement?
VAL | [extra_charge_on_statement] | ACCEPT | Reason: Both texts are asking for an explanation of an unexpected amount on the statement, preserving the core intent of identifying an extra charge. | Original: Where did the  €1 fee in my statement come from | Augmented: Can you explain the €1 charge on my recent statement?
VAL | [extra_charge_on_statement] | ACCEPT | Reason: ... | Original: Why is there a 1 euro fee on my statement? | Augmented: What is the reason for the additional charge that appears on my statement?
VAL | [transaction_charged_twice] | ACCEPT | Reason: N/A | Original: I was charged multiple times at the same location at the same time | Augmented: I was double-billed at the same location during the same transaction period
VAL | [extra_charge_on_statement] | ACCEPT | Reason: ... | Original: What is the extra €1 on my statement for? | Augmented: What is the additional charge on my statement for?
VAL | [card_payment_fee_charged] | ACCEPT | Reason: N/A | Original: Why was the price higher when I paid with my card? | Augmented: Why was there an additional charge when I used my credit card to make the payment?
VAL | [exchange_rate] | ACCEPT | Reason: Both texts are asking about the method to find out the exchange rate for a card, which is consistent with the target intent. | Original: What do you use to figure out the exchange rate for the card? | Augmented: How do you determine the exchange rate for the card?
VAL | [card_payment_wrong_exchange_rate] | ACCEPT | Reason: ... | Original: I think the exchange rate on my card payment is incorrect. | Augmented: I believe the exchange rate applied to my card transaction is inaccurate.
VAL | [card_payment_fee_charged] | ACCEPT | Reason: ... | Original: I had to pay money for paying with my card. | Augmented: I was charged a fee for using my card to make the payment.
VAL | [extra_charge_on_statement] | ACCEPT | Reason: ... | Original: There is some odd 1£ charge that appears as pending on my statement. What's that about? Pretty sure I haven't purchased anything for a pound there. | Augmented: I've noticed a mysterious £1 charge showing up as pending on my statement. Can you help me figure out what it's for? I'm certain I didn't make any purchases for that amount.
VAL | [exchange_rate] | ACCEPT | Reason: Both texts are seeking clarification on the methodology or standards used to set exchange rates. | Original: Can you explain your exchange rates basis? | Augmented: What is the basis for your exchange rates?
VAL | [card_payment_fee_charged] | ACCEPT | Reason: N/A | Original: I think a fee was applied for paying with a card. | Augmented: I believe a charge was added for using a credit/debit card for the transaction.
VAL | [card_payment_fee_charged] | ACCEPT | Reason: ... | Original: What are these fees i am paying? | Augmented: Why am I being charged these fees on my card payment?
VAL | [country_support] | UNKNOWN | Reason: N/A | Original: I live in Germany. Is that one of the countries you are in? What other countries are you in? | Augmented: I reside in Germany. Are you a financial institution that operates in multiple countries, including Germany? Can you provide a list of all the countries you support?
VAL | [transaction_charged_twice] | ACCEPT | Reason: The augmented text preserves the same issue of being charged twice for the same transaction, which aligns with the original intent. It does not introduce any ambiguity or unsupported information. | Original: Why am I being charged for the same thing twice? | Augmented: I've been double-charged for the same transaction, and I'm not sure why.
VAL | [card_payment_wrong_exchange_rate] | ACCEPT | Reason: ... | Original: Exchange rate for my card payment is wrong | Augmented: The exchange rate applied to my card transaction is incorrect
VAL | [card_payment_fee_charged] | ACCEPT | Reason: The augmented text maintains the essence of the original text by expressing surprise at the fee, which is consistent with the target intent. It does not introduce any contradictory or unsupported information. | Original: I don't think I should have been charged a fee to use my card. | Augmented: I'm surprised to see a fee applied to my card transaction.
VAL | [exchange_rate] | ACCEPT | Reason: N/A | Original: What value can I get for my currency? | Augmented: What's the current exchange rate for my money?
VAL | [extra_charge_on_statement] | ACCEPT | Reason: ... | Original: Why has my card been charged an extra pound? | Augmented: Why is there an additional charge on my statement?
VAL | [card_payment_wrong_exchange_rate] | ACCEPT | Reason: ... | Original: The exchange rate from my card payment isn't right. | Augmented: The exchange rate applied to my card transaction is incorrect.
VAL | [extra_charge_on_statement] | ACCEPT | Reason: ... | Original: Is the 1 pound charge I can see an error or an incorrect entry? | Augmented: Is the £1 charge on my statement an error or an incorrect entry?
VAL | [card_payment_fee_charged] | ACCEPT | Reason: N/A | Original: I used my card and there was a fee | Augmented: I made a payment using my card, and a fee was deducted
VAL | [card_payment_fee_charged] | ACCEPT | Reason: The augmented text preserves the core question about a fee being charged for a card transaction, which is the same as the original intent. | Original: Why are you charging me fees for using my card? | Augmented: I'm not sure why I'm being charged a fee for making a payment with my card.
VAL | [exchange_rate] | ACCEPT | Reason: ... | Original: I'm interested in what your exchange rates are based on. | Augmented: I'd like to know more about your current exchange rates.
VAL | [card_payment_fee_charged] | ACCEPT | Reason: ... | Original: Tell me why there is a fee for a card payment. | Augmented: I'd be happy to explain why a fee is applied to your card payment.
VAL | [order_physical_card] | ACCEPT | Reason: N/A | Original: how much does a card cost and why do you charge me | Augmented: What is the price of a physical card, and can you explain the fees associated with it?
VAL | [transaction_charged_twice] | ACCEPT | Reason: ... | Original: I have two of the same charges on my account! | Augmented: I've noticed that I've been double-charged for the same transaction.
VAL_SUMMARY | ACCEPT: 37 | REVIEW: 0 | REJECT: 0 | UNKNOWN: 1 | Accept Rate: 0.9737
