GEN | [change_pin] | Orig: I am on vacation in Spain and need to change my pin. -> Aug: I'm currently traveling in Spain and would like to modify my PIN.
GEN | [card_not_working] | Orig: HOW LONG TO TAKE THE TIME TO SOLVE -> Aug: How long will it take to resolve the issue with my card not working?
GEN | [why_verify_identity] | Orig: Can we skip verifying? -> Aug: Can we bypass the identity verification process?
GEN | [card_delivery_estimate] | Orig: Are the delivery days flexible?  My schedule only allows me to be a available on specific dates. -> Aug: Can you accommodate my schedule, which has specific availability on certain dates, for the card delivery?
GEN | [card_acceptance] | Orig: WHAT IS THE ATMOSPHERE OF IT -> Aug: What is the acceptance of the card?
GEN | [change_pin] | Orig: Can I change my PIN in Austria? -> Aug: Can I modify my PIN in Austria?
GEN | [get_physical_card] | Orig: Does the PIN come under separate cover? -> Aug: Is the PIN card separate from the physical card?
GEN | [contactless_not_working] | Orig: Help me to set up contactless payments. -> Aug: Can you assist me in enabling contactless transactions?
GEN | [unable_to_verify_identity] | Orig: why does it take so long to verify my id -> Aug: We're having trouble confirming your identity, and it's taking a bit longer than usual to complete the verification process.
GEN | [change_pin] | Orig: How can I change my PIN even though I'm out of the country in Austria at the moment? -> Aug: Can I modify my PIN while I'm currently abroad in Austria?
GEN | [why_verify_identity] | Orig: I'm waiting for the ID verification to go through still, so is it too soon to use my account? -> Aug: I'm still waiting for the ID verification process to complete, so can I use my account already?
GEN | [change_pin] | Orig: I'm travelling abroad but I've run into a situation where I need to change my PIN immediately. Can I do this from here? -> Aug: I'm currently abroad and I need to update my PIN urgently. Can I make this change remotely?
GEN | [verify_my_identity] | Orig: why do I need to show ID -> Aug: what's the purpose of verifying my identity
GEN | [why_verify_identity] | Orig: how do I speed up identity verification? -> Aug: What's the best way to expedite the identity verification process?
GEN | [terminate_account] | Orig: i'm not satisfied with the services and no longer want to be a customer -> Aug: I'm unhappy with the services and would like to discontinue my account.
GEN | [pending_cash_withdrawal] | Orig: I tried to get some with-drawls but the machine didn't work. The transaction still seems in progress.Seems like  something is wrong,I don't want to be charged for Transaction i did not make. -> Aug: I attempted to initiate a cash withdrawal, but the ATM malfunctioned. The transaction appears to be pending, and I'm concerned that I might be charged for a transaction I didn't authorize.
GEN | [terminate_account] | Orig: if im not using my account should i close it or just let it sit -> Aug: If I'm not actively using my account, should I cancel it or simply leave it inactive?
GEN | [why_verify_identity] | Orig: Why do I have to give you my drivers license -> Aug: We're verifying your identity to ensure the security and integrity of your account.
GEN | [contactless_not_working] | Orig: My contactless payments don't work. -> Aug: My mobile payment method isn't functioning properly.
GEN | [why_verify_identity] | Orig: Can I use my account even though the identity verification has not passed yet? -> Aug: Can I still access my account if the identity verification process hasn't been completed yet?
GEN | [change_pin] | Orig: I have been travelling overseas and I need to change my PIN. Can you tell me how this is done? -> Aug: I'm currently abroad and I'd like to modify my PIN. Could you please guide me through the process of updating it?
GEN | [edit_personal_details] | Orig: How do I input a new address? -> Aug: How can I update my address information?
GEN | [why_verify_identity] | Orig: I am still waiting for verification.  Can I use my account before I am verified? -> Aug: I'm still waiting for the verification process to complete. Can I access my account before it's confirmed?
GEN | [card_swallowed] | Orig: how can the money machine keep my card what do i need to do? -> Aug: How can I prevent my card from being swallowed by the ATM? What steps can I take to ensure it's returned safely?
GEN | [wrong_amount_of_cash_received] | Orig: i asked for 100 only got 80 -> Aug: i requested $100, but I was given $80 instead
GEN | [change_pin] | Orig: How can I change my Rowlock ? -> Aug: How do I modify my PIN?
GEN | [card_not_working] | Orig: I tried to purchase airline tickets online this morning and my card information isn't working. Is there something going on with my account? -> Aug: I attempted to book a flight online this morning, but my credit card details aren't being accepted. Is there an issue with my account?
GEN | [change_pin] | Orig: While on vacation in Spain I think someone saw my PIN and I now need to change it, can I do this at an ATM in Spain? -> Aug: As I'm currently in Spain, I'm concerned that someone might have seen my PIN and I'd like to change it; can I do so at an ATM here or is there another option available?
GEN | [cash_withdrawal_not_recognised] | Orig: It is urgency. Please freeze my card now. As someone in some odd remote town has withdrawn some money by using my card. As i did not withdraw any money. -> Aug: It's an emergency. Please cancel my card immediately. Someone in a distant location has made an unauthorized cash withdrawal using my card, and I didn't make the transaction myself.
GEN | [contactless_not_working] | Orig: I am having issues using contactless payments, could my card be damaged? -> Aug: I'm experiencing problems with making contactless transactions, is it possible that my card is faulty?
GEN | [why_verify_identity] | Orig: Can I already use my account although the identity verification has not passed yet? -> Aug: Can I access my account before the identity verification process is completed?
GEN | [get_disposable_virtual_card] | Orig: I need to deposit my virtual card, how do i do that. -> Aug: I'd like to obtain a new virtual card, can you guide me through the process?
GEN | [edit_personal_details] | Orig: I am here to change my adress. -> Aug: I'd like to update my residential address.
GEN | [unable_to_verify_identity] | Orig: How long does it take for my id to verify? -> Aug: We're having trouble confirming your identity, and we need a bit more time to complete the verification process.
GEN | [getting_spare_card] | Orig: I need more physical cards than I have right now! -> Aug: I require additional physical debit/credit cards to have a sufficient supply.
GEN | [change_pin] | Orig: Help me with a PIN change. -> Aug: Assist me in updating my PIN.
GEN | [topping_up_by_card] | Orig: I wasn't able to use my top up card because the money I put on there wasn't there anymore -> Aug: I'm having trouble using my card to top up because the funds I loaded onto it are no longer available.
GEN | [change_pin] | Orig: Can I change my PIN abroad? -> Aug: Can I modify my PIN while I'm traveling internationally?
VAL | [change_pin] | ACCEPT | Reason: ... | Original: I am on vacation in Spain and need to change my pin. | Augmented: I'm currently traveling in Spain and would like to modify my PIN.
VAL | [card_not_working] | ACCEPT | Reason: N/A | Original: HOW LONG TO TAKE THE TIME TO SOLVE | Augmented: How long will it take to resolve the issue with my card not working?
VAL | [why_verify_identity] | ACCEPT | Reason: N/A | Original: Can we skip verifying? | Augmented: Can we bypass the identity verification process?
VAL | [card_delivery_estimate] | ACCEPT | Reason: N/A | Original: Are the delivery days flexible?  My schedule only allows me to be a available on specific dates. | Augmented: Can you accommodate my schedule, which has specific availability on certain dates, for the card delivery?
VAL | [card_acceptance] | ACCEPT | Reason: N/A | Original: WHAT IS THE ATMOSPHERE OF IT | Augmented: What is the acceptance of the card?
VAL | [change_pin] | ACCEPT | Reason: N/A | Original: Can I change my PIN in Austria? | Augmented: Can I modify my PIN in Austria?
VAL | [get_physical_card] | ACCEPT | Reason: N/A | Original: Does the PIN come under separate cover? | Augmented: Is the PIN card separate from the physical card?
VAL | [contactless_not_working] | ACCEPT | Reason: N/A | Original: Help me to set up contactless payments. | Augmented: Can you assist me in enabling contactless transactions?
VAL | [unable_to_verify_identity] | ACCEPT | Reason: N/A | Original: why does it take so long to verify my id | Augmented: We're having trouble confirming your identity, and it's taking a bit longer than usual to complete the verification process.
VAL | [change_pin] | ACCEPT | Reason: Both texts are asking about changing a PIN while being abroad in Austria, preserving the same intent. | Original: How can I change my PIN even though I'm out of the country in Austria at the moment? | Augmented: Can I modify my PIN while I'm currently abroad in Austria?
VAL | [why_verify_identity] | ACCEPT | Reason: N/A | Original: I'm waiting for the ID verification to go through still, so is it too soon to use my account? | Augmented: I'm still waiting for the ID verification process to complete, so can I use my account already?
VAL | [change_pin] | ACCEPT | Reason: N/A | Original: I'm travelling abroad but I've run into a situation where I need to change my PIN immediately. Can I do this from here? | Augmented: I'm currently abroad and I need to update my PIN urgently. Can I make this change remotely?
VAL | [verify_my_identity] | REVIEW | Reason: N/A | Original: why do I need to show ID | Augmented: what's the purpose of verifying my identity
VAL | [why_verify_identity] | ACCEPT | Reason: ... | Original: how do I speed up identity verification? | Augmented: What's the best way to expedite the identity verification process?
VAL | [terminate_account] | ACCEPT | Reason: ... | Original: i'm not satisfied with the services and no longer want to be a customer | Augmented: I'm unhappy with the services and would like to discontinue my account.
VAL | [pending_cash_withdrawal] | ACCEPT | Reason: The augmented text preserves the intent of a pending cash withdrawal and the user's concern about the transaction status and potential unauthorized charges. There are no contradictions or unsupported details. | Original: I tried to get some with-drawls but the machine didn't work. The transaction still seems in progress.Seems like  something is wrong,I don't want to be charged for Transaction i did not make. | Augmented: I attempted to initiate a cash withdrawal, but the ATM malfunctioned. The transaction appears to be pending, and I'm concerned that I might be charged for a transaction I didn't authorize.
VAL | [terminate_account] | ACCEPT | Reason: ... | Original: if im not using my account should i close it or just let it sit | Augmented: If I'm not actively using my account, should I cancel it or simply leave it inactive?
VAL | [why_verify_identity] | UNKNOWN | Reason: N/A | Original: Why do I have to give you my drivers license | Augmented: We're verifying your identity to ensure the security and integrity of your account.
VAL | [contactless_not_working] | ACCEPT | Reason: N/A | Original: My contactless payments don't work. | Augmented: My mobile payment method isn't functioning properly.
VAL | [why_verify_identity] | ACCEPT | Reason: Both texts are asking about the ability to use an account while the identity verification is pending, which aligns with the 'why_verify_identity' intent. | Original: Can I use my account even though the identity verification has not passed yet? | Augmented: Can I still access my account if the identity verification process hasn't been completed yet?
VAL | [change_pin] | ACCEPT | Reason: ... | Original: I have been travelling overseas and I need to change my PIN. Can you tell me how this is done? | Augmented: I'm currently abroad and I'd like to modify my PIN. Could you please guide me through the process of updating it?
VAL | [edit_personal_details] | ACCEPT | Reason: ... | Original: How do I input a new address? | Augmented: How can I update my address information?
VAL | [why_verify_identity] | ACCEPT | Reason: ... | Original: I am still waiting for verification.  Can I use my account before I am verified? | Augmented: I'm still waiting for the verification process to complete. Can I access my account before it's confirmed?
VAL | [card_swallowed] | ACCEPT | Reason: N/A | Original: how can the money machine keep my card what do i need to do? | Augmented: How can I prevent my card from being swallowed by the ATM? What steps can I take to ensure it's returned safely?
VAL | [wrong_amount_of_cash_received] | ACCEPT | Reason: ... | Original: i asked for 100 only got 80 | Augmented: i requested $100, but I was given $80 instead
VAL | [change_pin] | ACCEPT | Reason: N/A | Original: How can I change my Rowlock ? | Augmented: How do I modify my PIN?
VAL | [card_not_working] | ACCEPT | Reason: ... | Original: I tried to purchase airline tickets online this morning and my card information isn't working. Is there something going on with my account? | Augmented: I attempted to book a flight online this morning, but my credit card details aren't being accepted. Is there an issue with my account?
VAL | [change_pin] | ACCEPT | Reason: ... | Original: While on vacation in Spain I think someone saw my PIN and I now need to change it, can I do this at an ATM in Spain? | Augmented: As I'm currently in Spain, I'm concerned that someone might have seen my PIN and I'd like to change it; can I do so at an ATM here or is there another option available?
VAL | [cash_withdrawal_not_recognised] | ACCEPT | Reason: N/A | Original: It is urgency. Please freeze my card now. As someone in some odd remote town has withdrawn some money by using my card. As i did not withdraw any money. | Augmented: It's an emergency. Please cancel my card immediately. Someone in a distant location has made an unauthorized cash withdrawal using my card, and I didn't make the transaction myself.
VAL | [contactless_not_working] | ACCEPT | Reason: ... | Original: I am having issues using contactless payments, could my card be damaged? | Augmented: I'm experiencing problems with making contactless transactions, is it possible that my card is faulty?
VAL | [why_verify_identity] | ACCEPT | Reason: ... | Original: Can I already use my account although the identity verification has not passed yet? | Augmented: Can I access my account before the identity verification process is completed?
