text,label
What does EKG stand for ?,0
What is RCD ?,0
Who is Snoopy 's arch-enemy ?,3
What country and western singer is known as The Silver Fox ?,4
"What kind of creatures are black , yellow , and brown bullheads ?",1
How many elevators do you ride to reach the top floor of the Empire State Building ?,5
What was the player 's name who played nose tackle for the Eagles in Super Bowl XV ?,3
Which city did Christian Crusaders fight to recapture from the Muslims ?,4
What kind of poisoning is known as plumbism ?,1
How many freckles does Howdy Doody have on his face ?,5
What two countries contain Sierra Nevada mountains ?,4
When did swimming become commonplace ?,5
Who released the Internet worm in the late 1980s ?,3
"What is p.m. an abbreviation for , as in 5 p.m. ?",0
How old was George Washington when he died ?,5
What is a fear of lice ?,1
What does `` B.Y.O.B. '' mean ?,0
What is HDLC ?,0
What country did King Wenceslas rule ?,4
What does IQ stand for ?,0
Where did Woodstock take place ?,4
What 1966 boob tube bomb took astronauts back to prehistoric times ?,1
What is Michael Jackson 's middle name ?,3
When is Boxing Day ?,5
What are values ?,2
How many thousands of students attend the University of Massachusetts ?,5
What was the name of Baretta 's cockatoo ?,1
What is Linux ?,2
What is AFS ?,0
Who was the president of Vichy France ?,3
What category does the color pink denote in the Trivial Pursuit Baby Boomer Edition ?,2
What 's the symbol for the zodiacal sign Gemini ?,1
What are the seven virtues ?,2
"What is the latitude and longitude of El Paso , Texas ?",5
What has to be produced in a writ of habeas corpus ?,1
Who protects DC Comics ' realm of dreams ?,3
When was Microsoft established ?,5
What country did the Allies invade in World War II 's Operation Avalanche ?,4
"The lawyer who represented Randy Craft , what was his name ?",3
What happens to the female body with lack of sleep and food ?,2
Where is Procter & Gamble based in the U.S. ?,4
CPR is the abbreviation for what ?,0
What is a dangling participle ?,2
"What does R.E.M. stand for , as in the rock group R.E.M. ?",0
What were the first three cities to have a population of more than a million ?,4
Who accompanied Space Ghost on his missions ?,3
What father and son won the Medal of Honor ?,3
"What are the factors leading to the high teen pregnancy rate in Spartanburg , South Carolina ?",2
Where was the largest concentration camp in World War II ?,4
Which comic book was not spawned directly from the pulp magazines ?,1
