GEN | [declined_cash_withdrawal] | Orig: Why can't I get cash out? -> Aug: Why was my cash withdrawal request denied?
GEN | [lost_or_stolen_card] | Orig: I need to order a new card as my other one was stolen. -> Aug: I require a replacement card as my previous one has been stolen.
GEN | [top_up_by_cash_or_cheque] | Orig: How long before a check I send clears? -> Aug: How long does it take for a cheque to clear before I can use it to top up my account?
GEN | [balance_not_updated_after_cheque_or_cash_deposit] | Orig: I am still awaiting the money I put into my account this morning. -> Aug: I'm still waiting for the funds I deposited into my account earlier today to reflect in my balance.
GEN | [pending_cash_withdrawal] | Orig: I have the cash already, my account still shows up as pending.  How can my account be still pending? -> Aug: I've already deposited the cash, yet my account remains pending. Why is my account still showing a pending status?
GEN | [balance_not_updated_after_bank_transfer] | Orig: Why is  my balance not updated? -> Aug: Why hasn't my account balance been updated after the recent bank transfer?
GEN | [card_about_to_expire] | Orig: What is the cost and time frame of getting a new card? -> Aug: What is the process and timeline for replacing an expiring card?
GEN | [wrong_exchange_rate_for_cash_withdrawal] | Orig: Hello, in these holidays i have been overcharged on the amount i have withdrawn on one of your ATMs. I did not had any clue about the horrible charges otherwise i would not have withdrawn. -> Aug: I'm experiencing an issue with the exchange rate for a cash withdrawal I made at one of your ATMs during the holidays. I was unaware of the incorrect rate, otherwise I wouldn't have proceeded with the transaction.
GEN | [balance_not_updated_after_bank_transfer] | Orig: The balance has not been updated. -> Aug: The account balance remains unchanged.
GEN | [fiat_currency_support] | Orig: Can I have money of different country of origin. -> Aug: Can I obtain funds in various foreign currencies?
GEN | [balance_not_updated_after_bank_transfer] | Orig: Why didn't the money I transferred into my account get added to my balance? -> Aug: Why hasn't my account balance been updated after I made a transfer from another bank account?
GEN | [balance_not_updated_after_cheque_or_cash_deposit] | Orig: I put some money in my account the other day and it's not gone in yet, can you help with this? -> Aug: I made a deposit recently, but my account balance hasn't been updated yet, could you assist me with this issue?
GEN | [card_acceptance] | Orig: Will my card work at all merchant locations? -> Aug: Can I use my card at all merchant locations?
GEN | [cash_withdrawal_not_recognised] | Orig: I got a message saying I made a withdrawal from the bank machine, but I did not. -> Aug: I received a notification indicating that I withdrew cash from an ATM, but I'm certain I didn't make the transaction.
GEN | [why_verify_identity] | Orig: I can't do the verification. -> Aug: I'm unable to complete the identity verification process.
GEN | [compromised_card] | Orig: There's a possibility that my card was compromised. -> Aug: My card may have been compromised.
GEN | [pending_cash_withdrawal] | Orig: There is a withdrawal waiting. -> Aug: A pending cash withdrawal is currently being processed.
GEN | [request_refund] | Orig: I'm cancelling this charge. I still have not received what I bought from these people a while ago. -> Aug: I'm cancelling the payment as I haven't received the item I purchased from them a while back.
GEN | [pending_cash_withdrawal] | Orig: So much time has gone by, the pending status shouldn't still be there shouldn't it? -> Aug: It's been a while, and I'm surprised the pending cash withdrawal is still showing up. Shouldn't it have been resolved by now?
GEN | [transfer_into_account] | Orig: Whats the transfer process -> Aug: How do I initiate a transfer into an account?
GEN | [pending_transfer] | Orig: How long would does it take for a seller to receive an EU transfer if I bought something from them and sent them the money immediately? -> Aug: How long does it typically take for a seller to receive a pending transfer after I initiate the payment immediately?
GEN | [balance_not_updated_after_bank_transfer] | Orig: My balance didn't change after I transferred some money. -> Aug: My account balance remains the same despite the recent transfer I made.
GEN | [getting_spare_card] | Orig: I need a new card. -> Aug: I require a replacement card.
GEN | [transfer_not_received_by_recipient] | Orig: Hello, a few days ago I transferred my rent check to my landlord, however, he is saying that it has not gone though. On my end everything looks fine and I double checked the account number. Is there anything else that could be holding up the check? -> Aug: I recently sent a payment to my landlord, but they're telling me it hasn't been received. I've checked my account details and everything appears to be correct. Could there be an issue with the transfer that's preventing it from reaching them?
GEN | [transfer_fee_charged] | Orig: There is a fee from a transfer that is not supposed to be here! -> Aug: A surprise fee has appeared on a transfer that shouldn't have had one.
GEN | [transfer_not_received_by_recipient] | Orig: I've been waiting since Friday, where is my money? -> Aug: I've been expecting my transfer since Friday, but it still hasn't arrived.
GEN | [pin_blocked] | Orig: I logged in wrong and am blocked, how do I log in? -> Aug: I mistakenly entered my PIN and now I'm unable to access my account, can you help me log in?
GEN | [direct_debit_payment_not_recognised] | Orig: This debit is not my transcation. How do I get my money out back? -> Aug: This direct debit payment is not recognized as my transaction. How can I retrieve my funds?
GEN | [cash_withdrawal_not_recognised] | Orig: I did not get the cash that is showing up in my app. -> Aug: The cash withdrawal I'm seeing on my app isn't reflecting in my actual account balance.
GEN | [getting_spare_card] | Orig: How many active cards can I have? -> Aug: How many spare cards can I have issued to me?
GEN | [declined_cash_withdrawal] | Orig: The ATM keeps rejecting my Payment. I tried two different ATMs but did not work .Can you please check if everything is okay with my account? -> Aug: The ATM machine is declining my cash withdrawal attempt. I've tried using two different ATMs, but the issue persists. Could you kindly verify if there's a problem with my account?
GEN | [reverted_card_payment?] | Orig: I cancelled my card payment -> Aug: Did you reverse the payment on your card?
GEN | [pending_card_payment] | Orig: Why are the things I bought earlier today still showing as pending? -> Aug: Why are the purchases I made earlier today still pending for payment?
GEN | [pending_transfer] | Orig: How long do EU transfers actually take? I bought something online a couple days ago, sent the money immediately online but the seller says it's still not there yet. -> Aug: How long does it typically take for international transfers to be processed? I made an online purchase a few days ago and initiated the transfer promptly, but the vendor is telling me that the funds are still pending.
GEN | [cancel_transfer] | Orig: Please can you block the transaction I just sent from my account? It was a payment but I accidently typed in the wrong details and think it might have gone to the wrong place. -> Aug: Can you cancel the transfer I just initiated? I made an error and accidentally entered the wrong recipient information, so I'm worried it might have been sent to the wrong account.
GEN | [lost_or_stolen_card] | Orig: Help!  I fear that my card was stolen, -> Aug: I'm worried that my card has been stolen.
VAL | [declined_cash_withdrawal] | ACCEPT | Reason: ... | Original: Why can't I get cash out? | Augmented: Why was my cash withdrawal request denied?
VAL | [lost_or_stolen_card] | ACCEPT | Reason: ... | Original: I need to order a new card as my other one was stolen. | Augmented: I require a replacement card as my previous one has been stolen.
VAL | [top_up_by_cash_or_cheque] | ACCEPT | Reason: ... | Original: How long before a check I send clears? | Augmented: How long does it take for a cheque to clear before I can use it to top up my account?
VAL | [balance_not_updated_after_cheque_or_cash_deposit] | ACCEPT | Reason: ... | Original: I am still awaiting the money I put into my account this morning. | Augmented: I'm still waiting for the funds I deposited into my account earlier today to reflect in my balance.
VAL | [pending_cash_withdrawal] | ACCEPT | Reason: N/A | Original: I have the cash already, my account still shows up as pending.  How can my account be still pending? | Augmented: I've already deposited the cash, yet my account remains pending. Why is my account still showing a pending status?
VAL | [balance_not_updated_after_bank_transfer] | ACCEPT | Reason: ... | Original: Why is  my balance not updated? | Augmented: Why hasn't my account balance been updated after the recent bank transfer?
VAL | [card_about_to_expire] | ACCEPT | Reason: N/A | Original: What is the cost and time frame of getting a new card? | Augmented: What is the process and timeline for replacing an expiring card?
VAL | [wrong_exchange_rate_for_cash_withdrawal] | ACCEPT | Reason: The augmented text preserves the same banking intent by highlighting the overcharging due to an incorrect exchange rate during a cash withdrawal, which aligns with the original intent. The text does not introduce any contradictory information or unsupported details. | Original: Hello, in these holidays i have been overcharged on the amount i have withdrawn on one of your ATMs. I did not had any clue about the horrible charges otherwise i would not have withdrawn. | Augmented: I'm experiencing an issue with the exchange rate for a cash withdrawal I made at one of your ATMs during the holidays. I was unaware of the incorrect rate, otherwise I wouldn't have proceeded with the transaction.
VAL | [balance_not_updated_after_bank_transfer] | ACCEPT | Reason: N/A | Original: The balance has not been updated. | Augmented: The account balance remains unchanged.
VAL | [fiat_currency_support] | ACCEPT | Reason: N/A | Original: Can I have money of different country of origin. | Augmented: Can I obtain funds in various foreign currencies?
VAL | [balance_not_updated_after_bank_transfer] | ACCEPT | Reason: ... | Original: Why didn't the money I transferred into my account get added to my balance? | Augmented: Why hasn't my account balance been updated after I made a transfer from another bank account?
VAL | [balance_not_updated_after_cheque_or_cash_deposit] | ACCEPT | Reason: ... | Original: I put some money in my account the other day and it's not gone in yet, can you help with this? | Augmented: I made a deposit recently, but my account balance hasn't been updated yet, could you assist me with this issue?
VAL | [card_acceptance] | ACCEPT | Reason: Both texts are seeking confirmation about the universal acceptance of a card across multiple merchants. | Original: Will my card work at all merchant locations? | Augmented: Can I use my card at all merchant locations?
VAL | [cash_withdrawal_not_recognised] | ACCEPT | Reason: ... | Original: I got a message saying I made a withdrawal from the bank machine, but I did not. | Augmented: I received a notification indicating that I withdrew cash from an ATM, but I'm certain I didn't make the transaction.
VAL | [why_verify_identity] | ACCEPT | Reason: N/A | Original: I can't do the verification. | Augmented: I'm unable to complete the identity verification process.
VAL | [compromised_card] | ACCEPT | Reason: ... | Original: There's a possibility that my card was compromised. | Augmented: My card may have been compromised.
VAL | [pending_cash_withdrawal] | ACCEPT | Reason: N/A | Original: There is a withdrawal waiting. | Augmented: A pending cash withdrawal is currently being processed.
VAL | [request_refund] | ACCEPT | Reason: N/A | Original: I'm cancelling this charge. I still have not received what I bought from these people a while ago. | Augmented: I'm cancelling the payment as I haven't received the item I purchased from them a while back.
VAL | [pending_cash_withdrawal] | ACCEPT | Reason: ... | Original: So much time has gone by, the pending status shouldn't still be there shouldn't it? | Augmented: It's been a while, and I'm surprised the pending cash withdrawal is still showing up. Shouldn't it have been resolved by now?
VAL | [transfer_into_account] | ACCEPT | Reason: N/A | Original: Whats the transfer process | Augmented: How do I initiate a transfer into an account?
VAL | [pending_transfer] | ACCEPT | Reason: N/A | Original: How long would does it take for a seller to receive an EU transfer if I bought something from them and sent them the money immediately? | Augmented: How long does it typically take for a seller to receive a pending transfer after I initiate the payment immediately?
VAL | [balance_not_updated_after_bank_transfer] | ACCEPT | Reason: ... | Original: My balance didn't change after I transferred some money. | Augmented: My account balance remains the same despite the recent transfer I made.
VAL | [getting_spare_card] | ACCEPT | Reason: N/A | Original: I need a new card. | Augmented: I require a replacement card.
VAL | [transfer_not_received_by_recipient] | ACCEPT | Reason: ... | Original: Hello, a few days ago I transferred my rent check to my landlord, however, he is saying that it has not gone though. On my end everything looks fine and I double checked the account number. Is there anything else that could be holding up the check? | Augmented: I recently sent a payment to my landlord, but they're telling me it hasn't been received. I've checked my account details and everything appears to be correct. Could there be an issue with the transfer that's preventing it from reaching them?
VAL | [transfer_fee_charged] | ACCEPT | Reason: ... | Original: There is a fee from a transfer that is not supposed to be here! | Augmented: A surprise fee has appeared on a transfer that shouldn't have had one.
VAL | [transfer_not_received_by_recipient] | ACCEPT | Reason: ... | Original: I've been waiting since Friday, where is my money? | Augmented: I've been expecting my transfer since Friday, but it still hasn't arrived.
VAL | [pin_blocked] | ACCEPT | Reason: N/A | Original: I logged in wrong and am blocked, how do I log in? | Augmented: I mistakenly entered my PIN and now I'm unable to access my account, can you help me log in?
VAL | [direct_debit_payment_not_recognised] | ACCEPT | Reason: N/A | Original: This debit is not my transcation. How do I get my money out back? | Augmented: This direct debit payment is not recognized as my transaction. How can I retrieve my funds?
VAL | [cash_withdrawal_not_recognised] | ACCEPT | Reason: N/A | Original: I did not get the cash that is showing up in my app. | Augmented: The cash withdrawal I'm seeing on my app isn't reflecting in my actual account balance.
VAL | [getting_spare_card] | REJECT | Reason: N/A | Original: How many active cards can I have? | Augmented: How many spare cards can I have issued to me?
VAL | [declined_cash_withdrawal] | ACCEPT | Reason: N/A | Original: The ATM keeps rejecting my Payment. I tried two different ATMs but did not work .Can you please check if everything is okay with my account? | Augmented: The ATM machine is declining my cash withdrawal attempt. I've tried using two different ATMs, but the issue persists. Could you kindly verify if there's a problem with my account?
