GEN | [card_not_working] | Orig: WHAT IS THE REASON FOR THAT -> Aug: WHY IS MY CARD NOT FUNCTIONING?
GEN | [extra_charge_on_statement] | Orig: What is the extra €1 on my statement for? -> Aug: What is the additional charge on my statement for?
GEN | [cash_withdrawal_not_recognised] | Orig: Hi, It's urgent, please freeze my card. As someone has withdrawn money using my card in odd remote town. Since i have not done this withdrawal. Do it fast. -> Aug: Hi, I need immediate assistance. Someone has made an unauthorized cash withdrawal using my card in a distant location, and I didn't authorize it. Please, can you freeze my card as soon as possible?
GEN | [card_about_to_expire] | Orig: How do I get a new expiration date? -> Aug: What steps can I take to extend the validity of my card?
GEN | [beneficiary_not_allowed] | Orig: Hi,  Is there any problem with app? As i am facing some issues with the exchange of crypto currency. I am extremely interested in buying. -> Aug: Hello, I'm having some trouble with the app. I'm trying to exchange cryptocurrency, but it's not working as expected. I'm eager to make a purchase.
GEN | [direct_debit_payment_not_recognised] | Orig: I did not set up a direct debit I have -> Aug: We didn't find a direct debit payment arrangement in your account records.
GEN | [wrong_amount_of_cash_received] | Orig: how come when i asked for 100 it only gave me 20.00 in the app -> Aug: I was expecting to receive the full amount of $100, but instead, I only got $20.
GEN | [pending_cash_withdrawal] | Orig: I tried to get cash at some ATM in the city centre earlier but the machine declined my card. I've seen it still shows up as pending in my account. Please cancel it immediately as I definitely have not received that money! -> Aug: I attempted to withdraw cash from an ATM in the city centre earlier, but the machine refused my card. The transaction still appears as pending in my account. Could you please cancel it as I'm certain I didn't receive the funds?
GEN | [direct_debit_payment_not_recognised] | Orig: what is the matter? -> Aug: We're having trouble identifying your direct debit payment.
GEN | [cancel_transfer] | Orig: Help please!  My rent payment is coming out tomorrow and I made a payment mistake yesterday! Can you put in in the correct account? -> Aug: My rent payment is scheduled to be withdrawn tomorrow, but I made an error with the payment yesterday. Could you please correct the transfer to the correct account?
GEN | [extra_charge_on_statement] | Orig: There is some odd 1£ charge that appears as pending on my statement. What's that about? Pretty sure I haven't purchased anything for a pound there. -> Aug: I've noticed a mysterious £1 charge showing up as pending on my statement. Can you help me figure out what it's for? I'm certain I didn't make any purchases for that amount.
GEN | [cash_withdrawal_not_recognised] | Orig: It is urgency. Please freeze my card now. As someone in some odd remote town has withdrawn some money by using my card. As i did not withdraw any money. -> Aug: It's an emergency. Please cancel my card immediately. Someone in a distant location has made an unauthorized cash withdrawal using my card, and I didn't make the transaction myself.
GEN | [extra_charge_on_statement] | Orig: Why is there a 1 euro fee on my statement? -> Aug: What is the reason for the additional charge that appears on my statement?
GEN | [wrong_amount_of_cash_received] | Orig: If the ATM only gave me 10 pounds instead of the 30 I requested, what do I do? -> Aug: I was given less cash than I expected, as I only received 10 pounds when I asked for 30.
GEN | [direct_debit_payment_not_recognised] | Orig: I didn't set up the direct debit I have -> Aug: We couldn't find a direct debit payment arrangement in your account.
GEN | [cash_withdrawal_charge] | Orig: I just had a look at my statement. Why have I been changed for using the ATM? -> Aug: I've reviewed my statement and noticed a charge for using an ATM. Can you explain why I was charged for this transaction?
GEN | [wrong_amount_of_cash_received] | Orig: why did i only get 20.00 -> Aug: I was expecting a larger amount, but I only received $20.00.
GEN | [card_not_working] | Orig: WHAT IS THE MAIN REASON OF THIS PROBLEM -> Aug: WHY IS MY CARD NOT FUNCTIONING PROPERLY?
GEN | [top_up_reverted] | Orig: My top-up was cancelled and I am writing to ask if I need to complete the 3D Secure authentication section before I submit it. -> Aug: My top-up reversal was processed and I would like to confirm if I still need to complete the 3D Secure authentication process before resubmitting the request.
GEN | [unable_to_verify_identity] | Orig: Why isn't this accepting my identity? -> Aug: We're having trouble confirming your identity with the information provided.
GEN | [request_refund] | Orig: Hello, I recently ordered an item and I need help with cancelling and processing a refund as soon as possible. It's very important that I get my refund quickly. -> Aug: I'm reaching out regarding a recent purchase, and I'd like to expedite the refund process as soon as possible. It's crucial that I receive my refund promptly.
GEN | [transfer_fee_charged] | Orig: why was i chargged -> Aug: why was a fee charged on my transfer?
GEN | [reverted_card_payment?] | Orig: HELP. My account has been deducted already and the Seller says they haven't received the money yet? When can they expect it? -> Aug: Why was the payment made to my account if the seller claims they haven't received it? Can you clarify when the payment will be reversed?
GEN | [wrong_amount_of_cash_received] | Orig: Why can't I take $100 out -> Aug: I was expecting to receive a certain amount of cash, but it seems I've been given the wrong amount.
GEN | [pending_card_payment] | Orig: How long does it take for a purchase to go from pending to authorised? -> Aug: When can I expect a pending card payment to be processed and move to an authorized status?
GEN | [why_verify_identity] | Orig: Why do I have to give you my drivers license -> Aug: We're verifying your identity to ensure the security and integrity of your account.
GEN | [why_verify_identity] | Orig: Can we skip verifying? -> Aug: Can we bypass the identity verification process?
GEN | [edit_personal_details] | Orig: should i contact customer support if i can't edit details -> Aug: can i reach out to customer support if i'm having trouble updating my personal information?
GEN | [edit_personal_details] | Orig: Why can't I edit my personal details? -> Aug: Why am I unable to modify my personal information?
GEN | [edit_personal_details] | Orig: details need to be modified -> Aug: information needs to be updated
GEN | [direct_debit_payment_not_recognised] | Orig: What do I do if there is an electronic debit that is not correct? -> Aug: What should I do if a direct debit payment is not recognized by our system?
GEN | [transfer_fee_charged] | Orig: Hi! I'm a university student studying abroad and I noticed that when I was trying to cross-reference my budget for this month that there were extra fees I was not expecting. Why is that? I've had this account for years and I haven't had any trouble so far, it might not even be on your all's end since I'm still new to international travel and finance, but I wanted to double check in case a mistake was made! -> Aug: I'm a student studying abroad and I'm reviewing my budget for the month, but I noticed some unexpected fees. Can you help me understand why these charges were added? I've had this account for years and haven't had any issues before, so I'm wondering if it's related to my recent international transactions or if there's an error on your end.
GEN | [edit_personal_details] | Orig: Am I able to modify my account details? -> Aug: Can I make changes to my personal information?
GEN | [transfer_not_received_by_recipient] | Orig: |I moved out of my old house two weeks ago and cancelled my direct debit to my old landlord, this direct debit was working fine.  Now I've moved in to a new place and set up a transfer to a new landlord but it's not reached her yet, can you check it please? -> Aug: I recently relocated to a new residence and terminated my direct debit with my previous landlord, which was functioning correctly. Since then, I've established a new transfer to my new landlord, but it hasn't been received by her yet. Could you kindly investigate this matter for me?
GEN | [exchange_via_app] | Orig: I'm having difficulties changing AUD for GBP. How do I do this? -> Aug: I'm having trouble exchanging Australian dollars for British pounds. Can you guide me through the process?
VAL | [card_not_working] | ACCEPT | Reason: N/A | Original: WHAT IS THE REASON FOR THAT | Augmented: WHY IS MY CARD NOT FUNCTIONING?
VAL | [extra_charge_on_statement] | ACCEPT | Reason: ... | Original: What is the extra €1 on my statement for? | Augmented: What is the additional charge on my statement for?
VAL | [cash_withdrawal_not_recognised] | ACCEPT | Reason: N/A | Original: Hi, It's urgent, please freeze my card. As someone has withdrawn money using my card in odd remote town. Since i have not done this withdrawal. Do it fast. | Augmented: Hi, I need immediate assistance. Someone has made an unauthorized cash withdrawal using my card in a distant location, and I didn't authorize it. Please, can you freeze my card as soon as possible?
VAL | [card_about_to_expire] | ACCEPT | Reason: N/A | Original: How do I get a new expiration date? | Augmented: What steps can I take to extend the validity of my card?
VAL | [beneficiary_not_allowed] | ACCEPT | Reason: N/A | Original: Hi,  Is there any problem with app? As i am facing some issues with the exchange of crypto currency. I am extremely interested in buying. | Augmented: Hello, I'm having some trouble with the app. I'm trying to exchange cryptocurrency, but it's not working as expected. I'm eager to make a purchase.
VAL | [direct_debit_payment_not_recognised] | UNKNOWN | Reason: N/A | Original: I did not set up a direct debit I have | Augmented: We didn't find a direct debit payment arrangement in your account records.
VAL | [wrong_amount_of_cash_received] | ACCEPT | Reason: ... | Original: how come when i asked for 100 it only gave me 20.00 in the app | Augmented: I was expecting to receive the full amount of $100, but instead, I only got $20.
VAL | [pending_cash_withdrawal] | ACCEPT | Reason: ... | Original: I tried to get cash at some ATM in the city centre earlier but the machine declined my card. I've seen it still shows up as pending in my account. Please cancel it immediately as I definitely have not received that money! | Augmented: I attempted to withdraw cash from an ATM in the city centre earlier, but the machine refused my card. The transaction still appears as pending in my account. Could you please cancel it as I'm certain I didn't receive the funds?
VAL | [direct_debit_payment_not_recognised] | ACCEPT | Reason: N/A | Original: what is the matter? | Augmented: We're having trouble identifying your direct debit payment.
VAL | [cancel_transfer] | ACCEPT | Reason: ... | Original: Help please!  My rent payment is coming out tomorrow and I made a payment mistake yesterday! Can you put in in the correct account? | Augmented: My rent payment is scheduled to be withdrawn tomorrow, but I made an error with the payment yesterday. Could you please correct the transfer to the correct account?
VAL | [extra_charge_on_statement] | ACCEPT | Reason: ... | Original: There is some odd 1£ charge that appears as pending on my statement. What's that about? Pretty sure I haven't purchased anything for a pound there. | Augmented: I've noticed a mysterious £1 charge showing up as pending on my statement. Can you help me figure out what it's for? I'm certain I didn't make any purchases for that amount.
VAL | [cash_withdrawal_not_recognised] | ACCEPT | Reason: N/A | Original: It is urgency. Please freeze my card now. As someone in some odd remote town has withdrawn some money by using my card. As i did not withdraw any money. | Augmented: It's an emergency. Please cancel my card immediately. Someone in a distant location has made an unauthorized cash withdrawal using my card, and I didn't make the transaction myself.
VAL | [extra_charge_on_statement] | ACCEPT | Reason: ... | Original: Why is there a 1 euro fee on my statement? | Augmented: What is the reason for the additional charge that appears on my statement?
VAL | [wrong_amount_of_cash_received] | ACCEPT | Reason: ... | Original: If the ATM only gave me 10 pounds instead of the 30 I requested, what do I do? | Augmented: I was given less cash than I expected, as I only received 10 pounds when I asked for 30.
VAL | [direct_debit_payment_not_recognised] | ACCEPT | Reason: N/A | Original: I didn't set up the direct debit I have | Augmented: We couldn't find a direct debit payment arrangement in your account.
VAL | [cash_withdrawal_charge] | ACCEPT | Reason: ... | Original: I just had a look at my statement. Why have I been changed for using the ATM? | Augmented: I've reviewed my statement and noticed a charge for using an ATM. Can you explain why I was charged for this transaction?
VAL | [wrong_amount_of_cash_received] | ACCEPT | Reason: ... | Original: why did i only get 20.00 | Augmented: I was expecting a larger amount, but I only received $20.00.
VAL | [card_not_working] | ACCEPT | Reason: N/A | Original: WHAT IS THE MAIN REASON OF THIS PROBLEM | Augmented: WHY IS MY CARD NOT FUNCTIONING PROPERLY?
VAL | [top_up_reverted] | ACCEPT | Reason: N/A | Original: My top-up was cancelled and I am writing to ask if I need to complete the 3D Secure authentication section before I submit it. | Augmented: My top-up reversal was processed and I would like to confirm if I still need to complete the 3D Secure authentication process before resubmitting the request.
VAL | [unable_to_verify_identity] | ACCEPT | Reason: ... | Original: Why isn't this accepting my identity? | Augmented: We're having trouble confirming your identity with the information provided.
VAL | [request_refund] | ACCEPT | Reason: ... | Original: Hello, I recently ordered an item and I need help with cancelling and processing a refund as soon as possible. It's very important that I get my refund quickly. | Augmented: I'm reaching out regarding a recent purchase, and I'd like to expedite the refund process as soon as possible. It's crucial that I receive my refund promptly.
VAL | [transfer_fee_charged] | ACCEPT | Reason: ... | Original: why was i chargged | Augmented: why was a fee charged on my transfer?
VAL | [reverted_card_payment?] | ACCEPT | Reason: N/A | Original: HELP. My account has been deducted already and the Seller says they haven't received the money yet? When can they expect it? | Augmented: Why was the payment made to my account if the seller claims they haven't received it? Can you clarify when the payment will be reversed?
VAL | [wrong_amount_of_cash_received] | ACCEPT | Reason: N/A | Original: Why can't I take $100 out | Augmented: I was expecting to receive a certain amount of cash, but it seems I've been given the wrong amount.
VAL | [pending_card_payment] | ACCEPT | Reason: ... | Original: How long does it take for a purchase to go from pending to authorised? | Augmented: When can I expect a pending card payment to be processed and move to an authorized status?
VAL | [why_verify_identity] | UNKNOWN | Reason: N/A | Original: Why do I have to give you my drivers license | Augmented: We're verifying your identity to ensure the security and integrity of your account.
VAL | [why_verify_identity] | ACCEPT | Reason: N/A | Original: Can we skip verifying? | Augmented: Can we bypass the identity verification process?
VAL | [edit_personal_details] | ACCEPT | Reason: ... | Original: should i contact customer support if i can't edit details | Augmented: can i reach out to customer support if i'm having trouble updating my personal information?
VAL | [edit_personal_details] | ACCEPT | Reason: ... | Original: Why can't I edit my personal details? | Augmented: Why am I unable to modify my personal information?
VAL | [edit_personal_details] | ACCEPT | Reason: Both phrases indicate a need to change or correct personal information in a banking context. | Original: details need to be modified | Augmented: information needs to be updated
VAL | [direct_debit_payment_not_recognised] | ACCEPT | Reason: N/A | Original: What do I do if there is an electronic debit that is not correct? | Augmented: What should I do if a direct debit payment is not recognized by our system?
