GEN | [compromised_card] | Orig: The card has suffered a security breach. -> Aug: The card's security has been compromised.
GEN | [balance_not_updated_after_cheque_or_cash_deposit] | Orig: Why is it taking so long for my money to appear in my account? I have been waiting a week! -> Aug: Why hasn't my account balance been updated after I deposited a cheque or cash? I've been waiting for a while now.
GEN | [transfer_into_account] | Orig: How does your app transfer the money -> Aug: What steps does your app take to move funds into another account?
GEN | [lost_or_stolen_card] | Orig: I lost my wallet and all my cards were in it. -> Aug: I misplaced my wallet, which contained all my credit cards.
GEN | [failed_transfer] | Orig: Is there a problem with your system being down or something? I have already tried 5 times to issue a standard transfer but I'm getting nowhere. -> Aug: Is there an issue with your system or network? I've attempted to initiate a standard transfer multiple times, but it's not going through.
GEN | [terminate_account] | Orig: I would like to invalidate my account.  I am very disappointed with your services. -> Aug: I'd like to cancel my account due to dissatisfaction with your services.
GEN | [verify_my_identity] | Orig: Can I get a full list of instructions for identity checks? -> Aug: Could you please provide me with a comprehensive guide on how to verify my identity?
GEN | [terminate_account] | Orig: I no longer want this account, what should I do? -> Aug: I'd like to cancel my account, please.
GEN | [verify_my_identity] | Orig: What type of ID do you accept? -> Aug: We accept various forms of identification. Which one would you like to provide?
GEN | [beneficiary_not_allowed] | Orig: I have to transfer money over to my mother, and I have tried numerous times and all that keeps happening is error messages. -> Aug: I've been attempting to transfer funds to my mother, but I keep encountering error messages despite multiple attempts.
GEN | [failed_transfer] | Orig: I couldnt transfer money from my account. -> Aug: I was unable to complete a transfer from my account.
GEN | [cash_withdrawal_charge] | Orig: I hate this ATM, it charged me an extra fee, Why did it charge? -> Aug: I'm really frustrated with this ATM, it slapped me with an unexpected fee, Can you tell me why it did that?
GEN | [pending_card_payment] | Orig: What is the cause of the delay in applying my card payment to my account? -> Aug: Why is there a holdup in processing my card payment for my account?
GEN | [automatic_top_up] | Orig: When traveling, is it possible for it to add money at specific time intervals? -> Aug: Can I set up automatic top-ups to add funds at regular intervals while I'm traveling?
GEN | [declined_card_payment] | Orig: I NEED HELP WITH MY CARD!!!!! please. It keeps getting declined when I try to use it. I have tried a few times to use it and it keeps getting rejected. I have no idea why. -> Aug: I'm having trouble with my card, as it's consistently being declined whenever I attempt to use it. Despite trying multiple times, it's still being rejected, and I'm unsure why this is happening.
GEN | [activate_my_card] | Orig: What do I need to do in order to use my card I just got? -> Aug: How can I activate my new card so I can start using it?
GEN | [lost_or_stolen_card] | Orig: I want to block my card or deactivate it or something, it's been stolen and I don't want it misused. I want this handled right away. -> Aug: I'd like to report my card as stolen and request that it be immediately suspended or deactivated to prevent any unauthorized transactions.
GEN | [exchange_rate] | Orig: How do you do exchanges? -> Aug: What's the process for converting currencies?
GEN | [top_up_by_bank_transfer_charge] | Orig: Does it cost me to add cash? -> Aug: Is there a fee for topping up my account via bank transfer?
GEN | [transfer_not_received_by_recipient] | Orig: I have done a transfer within the country a couple days ago, but it's still not there yet. Can you please check what's going on with that, the account number definitely is the right one, I've checked that several times already. -> Aug: I made a domestic transfer a few days ago, but the recipient hasn't received it yet. Could you look into this and let me know what's causing the delay, as I've double-checked the account number to ensure it's correct.
GEN | [transfer_not_received_by_recipient] | Orig: How long do transfers typically take? Is there a way of speeding the process up? My friend needs the money I sent her desperately. -> Aug: Why haven't my friend received the transfer I sent her? Is there a way to expedite the transfer process, as she's in urgent need of the funds?
GEN | [apple_pay_or_google_pay] | Orig: Can you explain why my Google Pay Top isn't working? -> Aug: Why isn't my Apple Pay account functioning properly?
GEN | [activate_my_card] | Orig: How can I switch on my new card? -> Aug: How do I turn on my new credit card?
GEN | [get_physical_card] | Orig: I haven't been sent my new pin! -> Aug: I need to receive my physical card.
GEN | [lost_or_stolen_phone] | Orig: Can my account me accessed by a thief?  I was mugged. -> Aug: Can my account be accessed by an unauthorized person? I had my phone stolen.
GEN | [card_linking] | Orig: I received my card, how do I get it to work in the app? -> Aug: I got my new card, can you help me link it to my account so I can use it in the app?
GEN | [card_acceptance] | Orig: Is my card denied anywhere? -> Aug: Is my credit card being rejected anywhere?
GEN | [transfer_not_received_by_recipient] | Orig: I performed a transfer within the country the day before yesterday, but it has not gone through? Can you check on that? The account number is definitely correct, as I've checked. -> Aug: I made a domestic transfer yesterday, but the recipient hasn't received it yet. Could you look into this for me? I've double-checked the account number to ensure it's correct.
GEN | [apple_pay_or_google_pay] | Orig: I seem to be having trouble with my Google Pay Top. Can you please help? -> Aug: I'm experiencing an issue with my Apple Pay account. Can you assist me with that?
GEN | [fiat_currency_support] | Orig: What types of foreign money can be used with this service.? -> Aug: What currencies are accepted for international transactions with this service?
GEN | [terminate_account] | Orig: Remove my account immediately. -> Aug: Cancel my account forthwith.
GEN | [supported_cards_and_currencies] | Orig: Will you accept my credit card, it my only one. -> Aug: Can you accept my credit card, as it's the only one I have?
GEN | [beneficiary_not_allowed] | Orig: is there something blocking me from making transfers -> Aug: is there a restriction preventing me from initiating transactions
GEN | [cash_withdrawal_charge] | Orig: Since when do you charge to make a withdrawal? I've always done it for free. So how much is it now? -> Aug: When did you start charging for cash withdrawals? I've always been able to do it without incurring a fee. How much does it cost now?
GEN | [declined_cash_withdrawal] | Orig: This morning I wanted to make a withdrawal before work, but my card was declined! Please double check it for me as this is the first time it was declined. -> Aug: This morning, I attempted to make a cash withdrawal, but my card was rejected. Could you kindly verify the issue, as this is the first time it's happened?
VAL | [compromised_card] | ACCEPT | Reason: N/A | Original: The card has suffered a security breach. | Augmented: The card's security has been compromised.
VAL | [balance_not_updated_after_cheque_or_cash_deposit] | ACCEPT | Reason: N/A | Original: Why is it taking so long for my money to appear in my account? I have been waiting a week! | Augmented: Why hasn't my account balance been updated after I deposited a cheque or cash? I've been waiting for a while now.
VAL | [transfer_into_account] | ACCEPT | Reason: N/A | Original: How does your app transfer the money | Augmented: What steps does your app take to move funds into another account?
VAL | [lost_or_stolen_card] | ACCEPT | Reason: N/A | Original: I lost my wallet and all my cards were in it. | Augmented: I misplaced my wallet, which contained all my credit cards.
VAL | [failed_transfer] | ACCEPT | Reason: N/A | Original: Is there a problem with your system being down or something? I have already tried 5 times to issue a standard transfer but I'm getting nowhere. | Augmented: Is there an issue with your system or network? I've attempted to initiate a standard transfer multiple times, but it's not going through.
VAL | [terminate_account] | ACCEPT | Reason: N/A | Original: I would like to invalidate my account.  I am very disappointed with your services. | Augmented: I'd like to cancel my account due to dissatisfaction with your services.
VAL | [verify_my_identity] | ACCEPT | Reason: N/A | Original: Can I get a full list of instructions for identity checks? | Augmented: Could you please provide me with a comprehensive guide on how to verify my identity?
VAL | [terminate_account] | ACCEPT | Reason: Both texts express a clear intention to terminate an account without any contradictions or ambiguities. | Original: I no longer want this account, what should I do? | Augmented: I'd like to cancel my account, please.
VAL | [verify_my_identity] | ACCEPT | Reason: N/A | Original: What type of ID do you accept? | Augmented: We accept various forms of identification. Which one would you like to provide?
VAL | [beneficiary_not_allowed] | ACCEPT | Reason: N/A | Original: I have to transfer money over to my mother, and I have tried numerous times and all that keeps happening is error messages. | Augmented: I've been attempting to transfer funds to my mother, but I keep encountering error messages despite multiple attempts.
VAL | [failed_transfer] | ACCEPT | Reason: ... | Original: I couldnt transfer money from my account. | Augmented: I was unable to complete a transfer from my account.
VAL | [cash_withdrawal_charge] | ACCEPT | Reason: ... | Original: I hate this ATM, it charged me an extra fee, Why did it charge? | Augmented: I'm really frustrated with this ATM, it slapped me with an unexpected fee, Can you tell me why it did that?
VAL | [pending_card_payment] | ACCEPT | Reason: ... | Original: What is the cause of the delay in applying my card payment to my account? | Augmented: Why is there a holdup in processing my card payment for my account?
VAL | [automatic_top_up] | ACCEPT | Reason: ... | Original: When traveling, is it possible for it to add money at specific time intervals? | Augmented: Can I set up automatic top-ups to add funds at regular intervals while I'm traveling?
VAL | [declined_card_payment] | ACCEPT | Reason: ... | Original: I NEED HELP WITH MY CARD!!!!! please. It keeps getting declined when I try to use it. I have tried a few times to use it and it keeps getting rejected. I have no idea why. | Augmented: I'm having trouble with my card, as it's consistently being declined whenever I attempt to use it. Despite trying multiple times, it's still being rejected, and I'm unsure why this is happening.
VAL | [activate_my_card] | ACCEPT | Reason: The augmented text preserves the same banking intent of activating a new card to enable its usage. It does not introduce any contradictions or unsupported information. | Original: What do I need to do in order to use my card I just got? | Augmented: How can I activate my new card so I can start using it?
VAL | [lost_or_stolen_card] | ACCEPT | Reason: N/A | Original: I want to block my card or deactivate it or something, it's been stolen and I don't want it misused. I want this handled right away. | Augmented: I'd like to report my card as stolen and request that it be immediately suspended or deactivated to prevent any unauthorized transactions.
VAL | [exchange_rate] | ACCEPT | Reason: N/A | Original: How do you do exchanges? | Augmented: What's the process for converting currencies?
VAL | [top_up_by_bank_transfer_charge] | ACCEPT | Reason: N/A | Original: Does it cost me to add cash? | Augmented: Is there a fee for topping up my account via bank transfer?
VAL | [transfer_not_received_by_recipient] | ACCEPT | Reason: N/A | Original: I have done a transfer within the country a couple days ago, but it's still not there yet. Can you please check what's going on with that, the account number definitely is the right one, I've checked that several times already. | Augmented: I made a domestic transfer a few days ago, but the recipient hasn't received it yet. Could you look into this and let me know what's causing the delay, as I've double-checked the account number to ensure it's correct.
VAL | [transfer_not_received_by_recipient] | ACCEPT | Reason: N/A | Original: How long do transfers typically take? Is there a way of speeding the process up? My friend needs the money I sent her desperately. | Augmented: Why haven't my friend received the transfer I sent her? Is there a way to expedite the transfer process, as she's in urgent need of the funds?
VAL | [apple_pay_or_google_pay] | REJECT | Reason: N/A | Original: Can you explain why my Google Pay Top isn't working? | Augmented: Why isn't my Apple Pay account functioning properly?
VAL | [activate_my_card] | ACCEPT | Reason: Both texts are asking about the activation of a new card, with no change in the core intent. | Original: How can I switch on my new card? | Augmented: How do I turn on my new credit card?
VAL | [get_physical_card] | UNKNOWN | Reason: N/A | Original: I haven't been sent my new pin! | Augmented: I need to receive my physical card.
VAL | [lost_or_stolen_phone] | ACCEPT | Reason: N/A | Original: Can my account me accessed by a thief?  I was mugged. | Augmented: Can my account be accessed by an unauthorized person? I had my phone stolen.
VAL | [card_linking] | ACCEPT | Reason: ... | Original: I received my card, how do I get it to work in the app? | Augmented: I got my new card, can you help me link it to my account so I can use it in the app?
VAL | [card_acceptance] | ACCEPT | Reason: ... | Original: Is my card denied anywhere? | Augmented: Is my credit card being rejected anywhere?
VAL | [transfer_not_received_by_recipient] | ACCEPT | Reason: N/A | Original: I performed a transfer within the country the day before yesterday, but it has not gone through? Can you check on that? The account number is definitely correct, as I've checked. | Augmented: I made a domestic transfer yesterday, but the recipient hasn't received it yet. Could you look into this for me? I've double-checked the account number to ensure it's correct.
VAL | [apple_pay_or_google_pay] | UNKNOWN | Reason: N/A | Original: I seem to be having trouble with my Google Pay Top. Can you please help? | Augmented: I'm experiencing an issue with my Apple Pay account. Can you assist me with that?
