GEN | [getting_spare_card] | Orig: I want a new card -> Aug: I need a replacement card
GEN | [card_not_working] | Orig: Please help me!  My physical card isn't working right. -> Aug: Can you assist me? My physical bank card is malfunctioning.
GEN | [card_about_to_expire] | Orig: My card expires soon, will you send me one automatically? -> Aug: My credit card's expiration date is approaching, will you automatically issue a new one for me?
GEN | [declined_transfer] | Orig: I wanted to know why my transaction didn't go through. -> Aug: I'm curious about the reason behind the failed transfer.
GEN | [card_arrival] | Orig: Can the card was sen to me be tracked? -> Aug: Can I track the card that was sent to me?
GEN | [automatic_top_up] | Orig: When traveling, is it possible for it to add money at specific time intervals? -> Aug: Can I set up automatic top-ups to add funds at regular intervals while I'm traveling?
GEN | [card_payment_fee_charged] | Orig: I have a fee showing from last time I used my card. -> Aug: I noticed a charge for a fee from my last card transaction.
GEN | [pending_top_up] | Orig: It's been some time since refilled the top-up. -> Aug: It's been a while since the top-up was replenished.
GEN | [compromised_card] | Orig: The card has suffered a security breach. -> Aug: The card's security has been compromised.
GEN | [top_up_reverted] | Orig: top up cancellation -> Aug: reversal of a top-up request
GEN | [card_not_working] | Orig: What can I do to make my physical card work? -> Aug: How can I get my physical card to function properly?
GEN | [Refund_not_showing_up] | Orig: Please send my refund now. -> Aug: Please dispatch my refund immediately.
GEN | [card_not_working] | Orig: I can't get my actual card to work -> Aug: I'm having trouble using my physical card
GEN | [compromised_card] | Orig: am suspicious of my card's security -> Aug: I'm concerned about the security of my card.
GEN | [failed_transfer] | Orig: Why was my transaction not approved? -> Aug: Why was my transfer not processed successfully?
GEN | [top_up_by_bank_transfer_charge] | Orig: If someone sends me money, will I be charged? -> Aug: If I receive a bank transfer from someone, will I be charged a fee?
GEN | [cash_withdrawal_not_recognised] | Orig: I did not get the cash that is showing up in my app. -> Aug: The cash withdrawal I'm seeing on my app isn't reflecting in my actual account balance.
GEN | [exchange_rate] | Orig: How do you do exchanges? -> Aug: What's the process for converting currencies?
GEN | [card_not_working] | Orig: The card that I have isn't working. This is the physical card. -> Aug: The physical card I possess is not functioning properly.
GEN | [declined_card_payment] | Orig: I couldn't pay with my card -> Aug: The payment was not processed due to a card issue.
GEN | [top_up_by_cash_or_cheque] | Orig: how can i add money to my account if you don't accept cash -> Aug: Can I deposit funds into my account if you don't accept cash?
GEN | [top_up_by_cash_or_cheque] | Orig: Can cash be used in physical locations to top up? -> Aug: Can I use cash to top up my account at a physical location?
GEN | [country_support] | Orig: Can I use my card in Austria? -> Aug: Can I make purchases with my card in Austria?
GEN | [card_about_to_expire] | Orig: I think my card is expiring, what happens then? -> Aug: I'm concerned that my credit card is nearing its expiration date, what are the consequences?
GEN | [top_up_failed] | Orig: I have the funds, why can I not use my top-up? -> Aug: I have sufficient funds, yet I'm unable to complete my top-up.
GEN | [card_about_to_expire] | Orig: Tell me what I should do after my card expires. -> Aug: What steps should I take once my credit card's expiration date has passed?
GEN | [cash_withdrawal_not_recognised] | Orig: I AM MISSING CASH FROM MY BANK ACCOUNT ACCORDING TO MY APP -> Aug: I'M UNABLE TO FIND THE CASH WITHDRAWAL FROM MY BANK ACCOUNT AS SHOWN IN MY APP.
GEN | [top_up_limits] | Orig: Tell me if there is a top-up limit. -> Aug: What's the maximum amount I can top up my account?
GEN | [extra_charge_on_statement] | Orig: I was charged $1 in a transaction. -> Aug: I was unexpectedly billed an additional amount in a recent transaction.
GEN | [card_payment_not_recognised] | Orig: Why is there an unknown card payment? -> Aug: We're unable to identify a recognized card payment.
GEN | [pending_top_up] | Orig: How long after a failed topup will funds refurn to account -> Aug: When will the funds be returned to my account after a failed top-up attempt?
GEN | [card_delivery_estimate] | Orig: What is the length of time for one of these items to come to the U.S? -> Aug: How long does it typically take for one of these items to arrive in the United States?
GEN | [transfer_not_received_by_recipient] | Orig: I did a money transaction and dont have a receipt -> Aug: I made a payment and didn't receive a confirmation
GEN | [card_not_working] | Orig: Need help to get my card to work. -> Aug: Can you assist me in resolving the issue with my card not functioning properly?
GEN | [card_payment_not_recognised] | Orig: I do not recognise this card payment. -> Aug: I'm unable to verify this card payment.
GEN | [top_up_reverted] | Orig: I thought crypto top up with something you offer. This is not working. The money has been deducted from my account. Can you find out what's going on? -> Aug: I attempted to perform a crypto top-up using your service, but it appears to have been unsuccessful. The funds have been debited from my account, and I'd appreciate it if you could investigate this issue.
