GEN | [edit_personal_details] | Orig: I am here to change my adress. -> Aug: I'd like to update my residential address.
GEN | [cancel_transfer] | Orig: stop the transaction -> Aug: halt the transfer
GEN | [direct_debit_payment_not_recognised] | Orig: I didn't set up the direct debit I have -> Aug: We couldn't find a direct debit payment arrangement in your account.
GEN | [cancel_transfer] | Orig: Can I stop a transaction? -> Aug: Can I cancel a transfer?
GEN | [direct_debit_payment_not_recognised] | Orig: I did not set up a direct debit I have -> Aug: We didn't find a direct debit payment arrangement in your account records.
GEN | [beneficiary_not_allowed] | Orig: I'm trying to purchase crypto via the app. I haven't been able to get it to go through. Am I doing something wrong? -> Aug: I'm having trouble completing a crypto purchase through the app. Can you help me figure out what's preventing it from processing?
GEN | [cash_withdrawal_not_recognised] | Orig: My wallet was just stolen, and they've already used my card! Please help, I can't afford to lose more money! -> Aug: My purse was snatched, and the thief has already made a withdrawal using my card. I'm in a tight spot and need your assistance to prevent further unauthorized transactions.
GEN | [beneficiary_not_allowed] | Orig: I have been trying to exchange this for crypto but the app won't work could you please help me? -> Aug: I'm having trouble converting this to cryptocurrency, but the app is not allowing me to proceed. Can you assist me with this issue?
GEN | [edit_personal_details] | Orig: How do I input a new address? -> Aug: How can I update my address information?
GEN | [pin_blocked] | Orig: How many incorrect attempts cause card to be blocked? -> Aug: What is the threshold for the number of incorrect PIN attempts that will trigger a card block?
GEN | [declined_transfer] | Orig: What does the decline message mean -> Aug: The transfer was not successfully processed due to an issue.
GEN | [transfer_fee_charged] | Orig: why was i chargged -> Aug: why was a fee charged on my transfer?
GEN | [request_refund] | Orig: Do you have a return policy? -> Aug: Can I initiate a return and request a refund?
GEN | [card_delivery_estimate] | Orig: Are the delivery days flexible?  My schedule only allows me to be a available on specific dates. -> Aug: Can you accommodate my schedule, which has specific availability on certain dates, for the card delivery?
GEN | [card_payment_not_recognised] | Orig: I didn't do a payment and I have it now. -> Aug: I've missed a payment and I'm providing the payment now.
GEN | [declined_card_payment] | Orig: Hi, is everything in good standing with my card? I am receiving multiple "decline" messages. -> Aug: Hi, I'm getting a few "decline" notifications regarding my card. Is everything okay with my account?
GEN | [terminate_account] | Orig: Your company is lame. Shut down all my account services right now. -> Aug: Close my account immediately, as I'm extremely dissatisfied with your company's services.
GEN | [balance_not_updated_after_bank_transfer] | Orig: What's the time frame normally for a UK account transfer? I just made one and it's not showing up anywhere. I want to be sure that everything is good. -> Aug: When can I expect the transfer to reflect in my UK account? I recently initiated a transfer, but my balance hasn't been updated yet, and I'd like to confirm everything is in order.
GEN | [exchange_via_app] | Orig: I'm having difficulties changing AUD for GBP. How do I do this? -> Aug: I'm having trouble exchanging Australian dollars for British pounds. Can you guide me through the process?
GEN | [cancel_transfer] | Orig: is it possible to cancel transactions? -> Aug: Can I terminate a transfer in progress?
GEN | [declined_cash_withdrawal] | Orig: I tried to use my card to withdrawal money from the ATM in Notting Hill but it didn't work. This is the first time I've tried using it. Is my card working? -> Aug: I attempted to make a cash withdrawal at an ATM in Notting Hill using my card, but it was unsuccessful. This is my first attempt to use it. Is my card functional?
GEN | [direct_debit_payment_not_recognised] | Orig: what is the word? -> Aug: We're unable to identify the direct debit payment you're referring to.
GEN | [cancel_transfer] | Orig: Is it possible for a transaction to be cancelled? -> Aug: Can I cancel a transfer that's already been initiated?
GEN | [declined_cash_withdrawal] | Orig: I tried using my ATM card at your Notting Hill location today.  It did not work.  Am I doing something wrong? -> Aug: I attempted to withdraw cash using my ATM card at your Notting Hill branch, but it was unsuccessful. Is there an issue with my card or the machine?
GEN | [wrong_amount_of_cash_received] | Orig: Why can't I take $100 out -> Aug: I was expecting to receive a certain amount of cash, but it seems I've been given the wrong amount.
GEN | [Refund_not_showing_up] | Orig: how does my statement get updated so i know when a refund will reflect on my balance -> Aug: How do I get notified when a refund will be reflected on my account balance, and how will it be updated on my statement?
GEN | [card_payment_not_recognised] | Orig: Could you please put a freeze on my card?  There are some payments on it that I don't know where they came from. -> Aug: Can you temporarily suspend my card activity? I'm concerned about unauthorized transactions that have been made on my account.
GEN | [contactless_not_working] | Orig: I am having issues using contactless payments, could my card be damaged? -> Aug: I'm experiencing problems with making contactless transactions, is it possible that my card is faulty?
GEN | [wrong_exchange_rate_for_cash_withdrawal] | Orig: My rate is not right when I used my card in a different country's money. -> Aug: The exchange rate was incorrect when I made a cash withdrawal using my card in a foreign country.
GEN | [compromised_card] | Orig: How do I stop fraud to my card? -> Aug: What steps can I take to prevent unauthorized transactions on my compromised card?
GEN | [transfer_not_received_by_recipient] | Orig: |I moved out of my old house two weeks ago and cancelled my direct debit to my old landlord, this direct debit was working fine.  Now I've moved in to a new place and set up a transfer to a new landlord but it's not reached her yet, can you check it please? -> Aug: I recently relocated to a new residence and terminated my direct debit with my previous landlord, which was functioning correctly. Since then, I've established a new transfer to my new landlord, but it hasn't been received by her yet. Could you kindly investigate this matter for me?
GEN | [passcode_forgotten] | Orig: I can't log in with this passocde -> Aug: I'm having trouble accessing my account because I've forgotten my passcode.
GEN | [top_up_failed] | Orig: My credit card did not go through. Can you see if it has insufficient funds? -> Aug: My payment attempt was unsuccessful. Could you check if my credit card has sufficient funds?
