GEN | [cash_withdrawal_charge] | Orig: I was charged for getting cash. -> Aug: I was charged a fee for withdrawing cash.
GEN | [cash_withdrawal_charge] | Orig: I noticed a different charge while I was taking my money out. -> Aug: I observed an unexpected fee when I withdrew my cash.
GEN | [wrong_amount_of_cash_received] | Orig: You shorted me money when I tried to make a withdrawal. -> Aug: You gave me less cash than I was supposed to get when I withdrew some money.
GEN | [top_up_by_bank_transfer_charge] | Orig: Am I able to do a SWIFT transfer? -> Aug: Can I perform a bank transfer to top up my account?
GEN | [visa_or_mastercard] | Orig: Can I select my card scheme or do you choose it for me? -> Aug: Do you allow me to choose between Visa and Mastercard, or do you automatically select the card type for me?
GEN | [lost_or_stolen_card] | Orig: My card has been stolen. I reported it with the police, but I need to report it with you as well. -> Aug: My credit card has been stolen, and I've already informed the authorities. Now, I'd like to notify you as well.
GEN | [edit_personal_details] | Orig: Where do I go to change my account details? -> Aug: How can I modify my personal information associated with my account?
GEN | [exchange_via_app] | Orig: Do you support changing the currency I use? -> Aug: Can I switch the currency I'm using through your app?
GEN | [unable_to_verify_identity] | Orig: The app failed to verify me. -> Aug: The system was unable to confirm my identity.
GEN | [extra_charge_on_statement] | Orig: Why has my card been charged an extra pound? -> Aug: Why is there an additional charge on my statement?
GEN | [beneficiary_not_allowed] | Orig: Why wasn't my payment to beneficiary X approved? -> Aug: Why was my payment to the designated beneficiary rejected?
GEN | [transfer_into_account] | Orig: Can I withdraw money from another bank and transfer it into my empty account? -> Aug: Can I transfer funds from another bank into my account, which currently has no balance?
GEN | [top_up_reverted] | Orig: I got an cancellation error when I was topping up. -> Aug: I encountered an error while attempting to make a top-up, and it was cancelled.
GEN | [failed_transfer] | Orig: Can you tell my why my funds transfer did not work properly? -> Aug: Why did my recent transfer fail to process as expected?
GEN | [extra_charge_on_statement] | Orig: I had a dollar charged to my account that's still pending and wanted to know what the charge is for? -> Aug: I'm still seeing a pending charge of $1 on my account and I'd like to understand what it's for.
GEN | [card_payment_not_recognised] | Orig: i dont recognize a charge on my card -> Aug: I'm unable to identify a transaction on my credit card statement.
GEN | [contactless_not_working] | Orig: how many days processing new card? -> Aug: what's the estimated timeframe for processing new contactless payment cards?
GEN | [wrong_exchange_rate_for_cash_withdrawal] | Orig: Hello, in these holidays i have been overcharged on the amount i have withdrawn on one of your ATMs. I did not had any clue about the horrible charges otherwise i would not have withdrawn. -> Aug: I'm experiencing an issue with the exchange rate for a cash withdrawal I made at one of your ATMs during the holidays. I was unaware of the incorrect rate, otherwise I wouldn't have proceeded with the transaction.
GEN | [exchange_charge] | Orig: Is there any cost to change foreign money to local? -> Aug: Are there any fees associated with exchanging foreign currency for local currency?
GEN | [top_up_by_card_charge] | Orig: What do I need to know about topping up? -> Aug: What are the requirements for charging my card for a top-up?
GEN | [top_up_by_card_charge] | Orig: I was wondering if you will take any fees in exchange for top ups? -> Aug: Are there any charges involved when I top up my account using my card?
GEN | [transfer_into_account] | Orig: I need more money in my account. Can I add more by transferring? -> Aug: I'd like to increase my account balance by transferring funds into my account.
GEN | [top_up_by_cash_or_cheque] | Orig: Can I only top-up digitally? Or could I use cash? -> Aug: Can I make a digital payment or is it possible to use cash to top up my account?
GEN | [edit_personal_details] | Orig: I need to change my data. -> Aug: I'd like to update my personal information.
GEN | [fiat_currency_support] | Orig: Can I have money of different country of origin. -> Aug: Can I obtain funds in various foreign currencies?
GEN | [top_up_reverted] | Orig: I went to top up my card and it was cancelled. -> Aug: I attempted to add funds to my card, but the transaction was reversed.
GEN | [age_limit] | Orig: I have young kids. Can they use this service? -> Aug: I'm a parent with minors. Can they access this service?
GEN | [reverted_card_payment?] | Orig: The money is still in my account even though I already paid -- I don't understand what happened. -> Aug: The payment I made hasn't been processed, and the funds are still in my account. Can you help me figure out what's going on?
GEN | [card_linking] | Orig: Card has been received, how will it show up on the app? -> Aug: How will the newly received card be reflected in the app?
GEN | [verify_my_identity] | Orig: What form of identification is accepted? -> Aug: What types of identification documents are accepted for verification?
GEN | [activate_my_card] | Orig: I couldn't complete card activation. -> Aug: I'm having trouble finishing the activation process for my card.
GEN | [get_physical_card] | Orig: In regards to the PIN of the card? -> Aug: Regarding the physical card's PIN information?
GEN | [failed_transfer] | Orig: My card couldn't complete a transfer, why? -> Aug: The transfer I initiated with my card was unsuccessful, what happened?
GEN | [get_physical_card] | Orig: The card PIN is not visible anywhere? -> Aug: Can I request a physical copy of my card, as I'm unable to locate the PIN?
GEN | [wrong_amount_of_cash_received] | Orig: my atm transaction was wrong -> Aug: the amount I received from my ATM transaction was incorrect
GEN | [supported_cards_and_currencies] | Orig: What currency is acceptable for a top up? -> Aug: We accept a range of currencies for top-ups, including but not limited to the following: USD, EUR, JPY, and more.
GEN | [top_up_by_cash_or_cheque] | Orig: Help me please, I need to top up cash. -> Aug: Can you assist me in replenishing my account balance using cash?
VAL | [cash_withdrawal_charge] | ACCEPT | Reason: ... | Original: I was charged for getting cash. | Augmented: I was charged a fee for withdrawing cash.
VAL | [cash_withdrawal_charge] | ACCEPT | Reason: N/A | Original: I noticed a different charge while I was taking my money out. | Augmented: I observed an unexpected fee when I withdrew my cash.
VAL | [wrong_amount_of_cash_received] | ACCEPT | Reason: N/A | Original: You shorted me money when I tried to make a withdrawal. | Augmented: You gave me less cash than I was supposed to get when I withdrew some money.
VAL | [top_up_by_bank_transfer_charge] | ACCEPT | Reason: N/A | Original: Am I able to do a SWIFT transfer? | Augmented: Can I perform a bank transfer to top up my account?
VAL | [visa_or_mastercard] | ACCEPT | Reason: ... | Original: Can I select my card scheme or do you choose it for me? | Augmented: Do you allow me to choose between Visa and Mastercard, or do you automatically select the card type for me?
VAL | [lost_or_stolen_card] | ACCEPT | Reason: N/A | Original: My card has been stolen. I reported it with the police, but I need to report it with you as well. | Augmented: My credit card has been stolen, and I've already informed the authorities. Now, I'd like to notify you as well.
VAL | [edit_personal_details] | ACCEPT | Reason: N/A | Original: Where do I go to change my account details? | Augmented: How can I modify my personal information associated with my account?
VAL | [exchange_via_app] | ACCEPT | Reason: ... | Original: Do you support changing the currency I use? | Augmented: Can I switch the currency I'm using through your app?
VAL | [unable_to_verify_identity] | ACCEPT | Reason: N/A | Original: The app failed to verify me. | Augmented: The system was unable to confirm my identity.
VAL | [extra_charge_on_statement] | ACCEPT | Reason: ... | Original: Why has my card been charged an extra pound? | Augmented: Why is there an additional charge on my statement?
VAL | [beneficiary_not_allowed] | ACCEPT | Reason: N/A | Original: Why wasn't my payment to beneficiary X approved? | Augmented: Why was my payment to the designated beneficiary rejected?
VAL | [transfer_into_account] | ACCEPT | Reason: N/A | Original: Can I withdraw money from another bank and transfer it into my empty account? | Augmented: Can I transfer funds from another bank into my account, which currently has no balance?
VAL | [top_up_reverted] | ACCEPT | Reason: N/A | Original: I got an cancellation error when I was topping up. | Augmented: I encountered an error while attempting to make a top-up, and it was cancelled.
VAL | [failed_transfer] | ACCEPT | Reason: ... | Original: Can you tell my why my funds transfer did not work properly? | Augmented: Why did my recent transfer fail to process as expected?
VAL | [extra_charge_on_statement] | ACCEPT | Reason: The augmented text maintains the same intent of understanding an unexpected charge on the account, and the pending status and amount are preserved. | Original: I had a dollar charged to my account that's still pending and wanted to know what the charge is for? | Augmented: I'm still seeing a pending charge of $1 on my account and I'd like to understand what it's for.
VAL | [card_payment_not_recognised] | ACCEPT | Reason: N/A | Original: i dont recognize a charge on my card | Augmented: I'm unable to identify a transaction on my credit card statement.
VAL | [contactless_not_working] | ACCEPT | Reason: N/A | Original: how many days processing new card? | Augmented: what's the estimated timeframe for processing new contactless payment cards?
VAL | [wrong_exchange_rate_for_cash_withdrawal] | ACCEPT | Reason: The augmented text preserves the same banking intent by highlighting the overcharging due to an incorrect exchange rate during a cash withdrawal, which aligns with the original intent. The text does not introduce any contradictory information or unsupported details. | Original: Hello, in these holidays i have been overcharged on the amount i have withdrawn on one of your ATMs. I did not had any clue about the horrible charges otherwise i would not have withdrawn. | Augmented: I'm experiencing an issue with the exchange rate for a cash withdrawal I made at one of your ATMs during the holidays. I was unaware of the incorrect rate, otherwise I wouldn't have proceeded with the transaction.
VAL | [exchange_charge] | ACCEPT | Reason: Both texts are asking about the cost of converting one currency to another, which is a clear example of an exchange charge. | Original: Is there any cost to change foreign money to local? | Augmented: Are there any fees associated with exchanging foreign currency for local currency?
VAL | [top_up_by_card_charge] | ACCEPT | Reason: N/A | Original: What do I need to know about topping up? | Augmented: What are the requirements for charging my card for a top-up?
VAL | [top_up_by_card_charge] | ACCEPT | Reason: N/A | Original: I was wondering if you will take any fees in exchange for top ups? | Augmented: Are there any charges involved when I top up my account using my card?
VAL | [transfer_into_account] | ACCEPT | Reason: ... | Original: I need more money in my account. Can I add more by transferring? | Augmented: I'd like to increase my account balance by transferring funds into my account.
VAL | [top_up_by_cash_or_cheque] | ACCEPT | Reason: N/A | Original: Can I only top-up digitally? Or could I use cash? | Augmented: Can I make a digital payment or is it possible to use cash to top up my account?
VAL | [edit_personal_details] | ACCEPT | Reason: ... | Original: I need to change my data. | Augmented: I'd like to update my personal information.
VAL | [fiat_currency_support] | ACCEPT | Reason: N/A | Original: Can I have money of different country of origin. | Augmented: Can I obtain funds in various foreign currencies?
VAL | [top_up_reverted] | ACCEPT | Reason: ... | Original: I went to top up my card and it was cancelled. | Augmented: I attempted to add funds to my card, but the transaction was reversed.
VAL | [age_limit] | ACCEPT | Reason: N/A | Original: I have young kids. Can they use this service? | Augmented: I'm a parent with minors. Can they access this service?
VAL | [reverted_card_payment?] | ACCEPT | Reason: N/A | Original: The money is still in my account even though I already paid -- I don't understand what happened. | Augmented: The payment I made hasn't been processed, and the funds are still in my account. Can you help me figure out what's going on?
VAL | [card_linking] | ACCEPT | Reason: Both texts are asking about the reflection of a newly received card in the app, which is directly related to the card linking process. | Original: Card has been received, how will it show up on the app? | Augmented: How will the newly received card be reflected in the app?
