GEN | [atm_support] | Orig: 
Where can I withdraw money from? -> Aug: Where can I access cash from?
GEN | [atm_support] | Orig: Where can I withdraw money from? -> Aug: Where can I access cash from an ATM or a bank branch?
GEN | [atm_support] | Orig: I need to withdraw money. Where can I do that? -> Aug: I'm looking to make a withdrawal. Can you tell me where I can access an ATM to do so?
GEN | [card_delivery_estimate] | Orig: I need my card right away. -> Aug: I require my card as soon as possible.
GEN | [balance_not_updated_after_bank_transfer] | Orig: After I transferred money the balance remained the same. -> Aug: The balance on my account didn't update after I made a transfer.
GEN | [card_swallowed] | Orig: I have lost my credit card in the ATM! -> Aug: I accidentally left my credit card in the ATM machine.
GEN | [apple_pay_or_google_pay] | Orig: I am having a slight problem with my American express in apple play, can you help me fix the problem with top up? -> Aug: I'm experiencing an issue with my American Express account on Google Pay, could you assist me in resolving the issue with a top-up?
GEN | [passcode_forgotten] | Orig: I can't log in -> Aug: I'm having trouble accessing my account because I've forgotten my passcode.
GEN | [atm_support] | Orig: I need to know where I can withdraw money. -> Aug: I'm looking for an ATM location where I can withdraw cash.
GEN | [declined_card_payment] | Orig: My card did not go through in a shop -> Aug: My payment was declined at the store.
GEN | [supported_cards_and_currencies] | Orig: how can i transfer money from american express card -> Aug: What methods are available for transferring funds from my American Express card?
GEN | [order_physical_card] | Orig: Is payment required to get a card of my own? -> Aug: Do I need to make a payment to obtain a physical card?
GEN | [balance_not_updated_after_cheque_or_cash_deposit] | Orig: I put some money in my account the other day and it's not gone in yet, can you help with this? -> Aug: I made a deposit recently, but my account balance hasn't been updated yet, could you assist me with this issue?
GEN | [direct_debit_payment_not_recognised] | Orig: I think I am a victim of fraud.  I noticed there was a charge on my account that I didn't do because I haven't touched my card today.  Can you please reverse the charge and refund my money? -> Aug: I'm concerned that someone has unauthorized access to my account. I've checked my card activity and found an unexplained transaction. Can you investigate and cancel the charge, then refund the amount to my account?
GEN | [cancel_transfer] | Orig: I made the incorrect payment for my rent yesterday and this needs to be fixed by no later than tomorrow. How can you help? -> Aug: I mistakenly processed a payment for my rent yesterday and I urgently need to reverse it by tomorrow. Can you assist me with this?
GEN | [receiving_money] | Orig: Can I use a transfer to receive my transfer? -> Aug: Can I use a transfer to receive the funds I'm expecting?
GEN | [declined_transfer] | Orig: How can I find a way to transfer money without it being rejected? -> Aug: I'm trying to make a transfer, but it keeps getting declined. Can you help me figure out why it's not going through?
GEN | [exchange_charge] | Orig: What is the fee for accepting money from a foreign country? -> Aug: What is the charge for exchanging currency from a foreign country?
GEN | [card_about_to_expire] | Orig: Am I able to have a card sent to China? -> Aug: Can I arrange for a card to be delivered to China?
GEN | [transfer_not_received_by_recipient] | Orig: I've been waiting since Friday, where is my money? -> Aug: I've been expecting my transfer since Friday, but it still hasn't arrived.
GEN | [wrong_exchange_rate_for_cash_withdrawal] | Orig: Can I withdraw money in my hometown currency while on holiday without any additional fees? -> Aug: Can I get the correct exchange rate for a cash withdrawal in my local currency while I'm traveling, or will I be charged an incorrect rate and incur extra fees?
GEN | [reverted_card_payment?] | Orig: I am not able to purchase anything online! I have been using my card on multiple sites over a period of two weeks and none of the payments have gone through. Why is this happening? -> Aug: Why haven't any of my recent online transactions been processed using my card, despite multiple attempts over the past two weeks?
GEN | [supported_cards_and_currencies] | Orig: can i use my mastercard to add money to my account -> Aug: Can I use my Mastercard to fund my account?
GEN | [order_physical_card] | Orig: Can you send me the actual card? -> Aug: Can you dispatch the physical card to me?
GEN | [pending_cash_withdrawal] | Orig: Why hasn't my withdrawal shown on my statement? -> Aug: Why is my pending cash withdrawal not reflected on my account statement?
GEN | [balance_not_updated_after_bank_transfer] | Orig: The balance has not been updated. -> Aug: The account balance remains unchanged.
GEN | [balance_not_updated_after_bank_transfer] | Orig: Is there a longer processing time for international bank transfers? -> Aug: Why does it take a while for my account balance to update after an international bank transfer is made?
GEN | [atm_support] | Orig: Can you tell me where I can withdraw money? -> Aug: Where can I find an ATM to withdraw cash?
GEN | [order_physical_card] | Orig: Show me where to order my card. -> Aug: Where can I place an order for a physical card?
GEN | [verify_my_identity] | Orig: Tell me what the steps for the identity checks are -> Aug: Explain the process for verifying my identity
GEN | [direct_debit_payment_not_recognised] | Orig: Purchases I did not make are appearing in my bank statement? -> Aug: We've noticed some transactions on your bank statement that don't match any payments you've made.
GEN | [balance_not_updated_after_cheque_or_cash_deposit] | Orig: I am still awaiting the money I put into my account this morning. -> Aug: I'm still waiting for the funds I deposited into my account earlier today to reflect in my balance.
GEN | [card_delivery_estimate] | Orig: are you sending me my card? -> Aug: Can you confirm when I can expect to receive my card?
GEN | [reverted_card_payment?] | Orig: I tried to use my debit card, but the payment did not work. -> Aug: I attempted to make a payment using my debit card, but it was unsuccessful.
GEN | [getting_virtual_card] | Orig: How long do you have to wait to see your virtual card your ordered? -> Aug: When can I expect to receive my virtual card after ordering it?
GEN | [transfer_fee_charged] | Orig: A transfer I sent was received in less than the full amount I originally sent, and now I have to send additional funds to cover the full amount. What happened? -> Aug: A transfer I initiated was short by a certain amount, and I need to make an additional payment to complete the full transfer. What's going on?
VAL | [atm_support] | ACCEPT | Reason: N/A | Original: 
Where can I withdraw money from? | Augmented: Where can I access cash from?
VAL | [atm_support] | ACCEPT | Reason: N/A | Original: Where can I withdraw money from? | Augmented: Where can I access cash from an ATM or a bank branch?
VAL | [atm_support] | ACCEPT | Reason: ... | Original: I need to withdraw money. Where can I do that? | Augmented: I'm looking to make a withdrawal. Can you tell me where I can access an ATM to do so?
VAL | [card_delivery_estimate] | ACCEPT | Reason: N/A | Original: I need my card right away. | Augmented: I require my card as soon as possible.
VAL | [balance_not_updated_after_bank_transfer] | ACCEPT | Reason: ... | Original: After I transferred money the balance remained the same. | Augmented: The balance on my account didn't update after I made a transfer.
VAL | [card_swallowed] | ACCEPT | Reason: ... | Original: I have lost my credit card in the ATM! | Augmented: I accidentally left my credit card in the ATM machine.
VAL | [apple_pay_or_google_pay] | UNKNOWN | Reason: N/A | Original: I am having a slight problem with my American express in apple play, can you help me fix the problem with top up? | Augmented: I'm experiencing an issue with my American Express account on Google Pay, could you assist me in resolving the issue with a top-up?
VAL | [passcode_forgotten] | ACCEPT | Reason: N/A | Original: I can't log in | Augmented: I'm having trouble accessing my account because I've forgotten my passcode.
VAL | [atm_support] | ACCEPT | Reason: ... | Original: I need to know where I can withdraw money. | Augmented: I'm looking for an ATM location where I can withdraw cash.
VAL | [declined_card_payment] | ACCEPT | Reason: ... | Original: My card did not go through in a shop | Augmented: My payment was declined at the store.
VAL | [supported_cards_and_currencies] | ACCEPT | Reason: N/A | Original: how can i transfer money from american express card | Augmented: What methods are available for transferring funds from my American Express card?
VAL | [order_physical_card] | ACCEPT | Reason: N/A | Original: Is payment required to get a card of my own? | Augmented: Do I need to make a payment to obtain a physical card?
VAL | [balance_not_updated_after_cheque_or_cash_deposit] | ACCEPT | Reason: ... | Original: I put some money in my account the other day and it's not gone in yet, can you help with this? | Augmented: I made a deposit recently, but my account balance hasn't been updated yet, could you assist me with this issue?
VAL | [direct_debit_payment_not_recognised] | UNKNOWN | Reason: N/A | Original: I think I am a victim of fraud.  I noticed there was a charge on my account that I didn't do because I haven't touched my card today.  Can you please reverse the charge and refund my money? | Augmented: I'm concerned that someone has unauthorized access to my account. I've checked my card activity and found an unexplained transaction. Can you investigate and cancel the charge, then refund the amount to my account?
VAL | [cancel_transfer] | ACCEPT | Reason: ... | Original: I made the incorrect payment for my rent yesterday and this needs to be fixed by no later than tomorrow. How can you help? | Augmented: I mistakenly processed a payment for my rent yesterday and I urgently need to reverse it by tomorrow. Can you assist me with this?
VAL | [receiving_money] | ACCEPT | Reason: N/A | Original: Can I use a transfer to receive my transfer? | Augmented: Can I use a transfer to receive the funds I'm expecting?
VAL | [declined_transfer] | ACCEPT | Reason: N/A | Original: How can I find a way to transfer money without it being rejected? | Augmented: I'm trying to make a transfer, but it keeps getting declined. Can you help me figure out why it's not going through?
VAL | [exchange_charge] | ACCEPT | Reason: N/A | Original: What is the fee for accepting money from a foreign country? | Augmented: What is the charge for exchanging currency from a foreign country?
VAL | [card_about_to_expire] | UNKNOWN | Reason: N/A | Original: Am I able to have a card sent to China? | Augmented: Can I arrange for a card to be delivered to China?
VAL | [transfer_not_received_by_recipient] | ACCEPT | Reason: ... | Original: I've been waiting since Friday, where is my money? | Augmented: I've been expecting my transfer since Friday, but it still hasn't arrived.
VAL | [wrong_exchange_rate_for_cash_withdrawal] | UNKNOWN | Reason: N/A | Original: Can I withdraw money in my hometown currency while on holiday without any additional fees? | Augmented: Can I get the correct exchange rate for a cash withdrawal in my local currency while I'm traveling, or will I be charged an incorrect rate and incur extra fees?
VAL | [reverted_card_payment?] | ACCEPT | Reason: N/A | Original: I am not able to purchase anything online! I have been using my card on multiple sites over a period of two weeks and none of the payments have gone through. Why is this happening? | Augmented: Why haven't any of my recent online transactions been processed using my card, despite multiple attempts over the past two weeks?
VAL | [supported_cards_and_currencies] | ACCEPT | Reason: N/A | Original: can i use my mastercard to add money to my account | Augmented: Can I use my Mastercard to fund my account?
VAL | [order_physical_card] | ACCEPT | Reason: ... | Original: Can you send me the actual card? | Augmented: Can you dispatch the physical card to me?
VAL | [pending_cash_withdrawal] | ACCEPT | Reason: Both texts are asking about a withdrawal that has not yet been reflected on the account statement, indicating a pending transaction. | Original: Why hasn't my withdrawal shown on my statement? | Augmented: Why is my pending cash withdrawal not reflected on my account statement?
VAL | [balance_not_updated_after_bank_transfer] | ACCEPT | Reason: N/A | Original: The balance has not been updated. | Augmented: The account balance remains unchanged.
VAL | [balance_not_updated_after_bank_transfer] | ACCEPT | Reason: N/A | Original: Is there a longer processing time for international bank transfers? | Augmented: Why does it take a while for my account balance to update after an international bank transfer is made?
VAL | [atm_support] | ACCEPT | Reason: ... | Original: Can you tell me where I can withdraw money? | Augmented: Where can I find an ATM to withdraw cash?
VAL | [order_physical_card] | ACCEPT | Reason: N/A | Original: Show me where to order my card. | Augmented: Where can I place an order for a physical card?
VAL | [verify_my_identity] | ACCEPT | Reason: N/A | Original: Tell me what the steps for the identity checks are | Augmented: Explain the process for verifying my identity
VAL | [direct_debit_payment_not_recognised] | ACCEPT | Reason: N/A | Original: Purchases I did not make are appearing in my bank statement? | Augmented: We've noticed some transactions on your bank statement that don't match any payments you've made.
VAL | [balance_not_updated_after_cheque_or_cash_deposit] | ACCEPT | Reason: ... | Original: I am still awaiting the money I put into my account this morning. | Augmented: I'm still waiting for the funds I deposited into my account earlier today to reflect in my balance.
VAL | [card_delivery_estimate] | ACCEPT | Reason: ... | Original: are you sending me my card? | Augmented: Can you confirm when I can expect to receive my card?
