GEN | [top_up_by_card_charge] | Orig: how should i add money to my card -> Aug: how can I charge my card to add funds?
GEN | [verify_source_of_funds] | Orig: Can I track history on funds? -> Aug: Can I review the origin of the funds?
GEN | [declined_card_payment] | Orig: May monthly payment to Apple has been declined but I don't know why, they are going to re-try the payment and it must go through, can you tell me what is going on please? -> Aug: My recurring payment to Apple has been declined, and I'm not sure why. They're going to retry the payment, but I need to know what's causing the issue. Can you help me understand what's happening?
GEN | [getting_virtual_card] | Orig: I need to order a new card, can you please direct me to the virtual cards? -> Aug: I'd like to request a new virtual card, could you guide me on how to obtain one?
GEN | [cancel_transfer] | Orig: Please can you block the transaction I just sent from my account? It was a payment but I accidently typed in the wrong details and think it might have gone to the wrong place. -> Aug: Can you cancel the transfer I just initiated? I made an error and accidentally entered the wrong recipient information, so I'm worried it might have been sent to the wrong account.
GEN | [getting_spare_card] | Orig: daughter needs card, how do i add her -> Aug: I'd like to obtain a spare card for my daughter.
GEN | [transfer_into_account] | Orig: What are the steps for  making a transfer for topping up? -> Aug: How do I initiate a transfer to add funds to an account?
GEN | [card_arrival] | Orig: Have you sent out my card yet? -> Aug: Has my new card been dispatched already?
GEN | [country_support] | Orig: How does a US resident go about acquiring a new card? -> Aug: What steps can a US citizen take to obtain a new credit card?
GEN | [declined_cash_withdrawal] | Orig: Why can I not take out cash? -> Aug: Why was my cash withdrawal request denied?
GEN | [card_arrival] | Orig: Where is my credit card that was to be mailed? -> Aug: When can I expect to receive my credit card, which was supposed to be sent to me?
GEN | [card_payment_not_recognised] | Orig: Why is this payment on my app -> Aug: We're having trouble identifying this payment on your account.
GEN | [passcode_forgotten] | Orig: I used to know my password, but not anymore. -> Aug: I'm having trouble recalling my passcode, as I've forgotten it.
GEN | [balance_not_updated_after_bank_transfer] | Orig: Can you check if my money has reached my account since it is not showing up yet? -> Aug: Can you investigate why my account balance is not reflecting the recent bank transfer I made, as it's not updating yet?
GEN | [getting_spare_card] | Orig: how is it possible to add another card to account -> Aug: Can I get a spare card added to my account?
GEN | [transfer_fee_charged] | Orig: There is a fee from a transfer that is not supposed to be here! -> Aug: A surprise fee has appeared on a transfer that shouldn't have had one.
GEN | [card_payment_not_recognised] | Orig: There is a payment in the app that I did not approve -> Aug: A payment has been recorded in the app that I did not authorize.
GEN | [lost_or_stolen_card] | Orig: Who can I speak with regarding a lost card? -> Aug: I'd like to report a missing credit card.
GEN | [pending_transfer] | Orig: Why is the transaction not posting? -> Aug: Why is the transfer still pending?
GEN | [card_about_to_expire] | Orig: Can I order a new card with the app? -> Aug: Can I request a replacement card before my current one expires?
GEN | [cancel_transfer] | Orig: Please cancel my last transaction. -> Aug: Please cancel the most recent transfer I made.
GEN | [transaction_charged_twice] | Orig: My account seems a bit off and getting weird charges. -> Aug: My account appears to be experiencing some unusual activity, with duplicate charges showing up.
GEN | [compromised_card] | Orig: How can I tell if someone else is using my card? -> Aug: How can I determine if my card has been compromised and is being used by someone else?
GEN | [card_arrival] | Orig: Can you help me track my card? -> Aug: Can you assist me in locating my card?
GEN | [cash_withdrawal_not_recognised] | Orig: I just lost my wallet and I think someone is using my card to withdraw my money. Can you please cancel or freeze my card?!! -> Aug: I'm concerned that my card has been compromised and someone is attempting to make unauthorized cash withdrawals. Can you assist me in suspending my card's activity or canceling it altogether?
GEN | [edit_personal_details] | Orig: my identity hasn't been verified and i can't edit my details, what's next -> Aug: since my identity has not been confirmed, I'm unable to update my personal information, what are the next steps?
GEN | [cancel_transfer] | Orig: I have arranged a transfer, but no longer need to send it. How do I stop the transfer? -> Aug: I've initiated a transfer, but I've changed my mind and would like to cancel it. Can you help me stop the transfer from going through?
GEN | [direct_debit_payment_not_recognised] | Orig: what is this charge i didnt do it what can i do -> Aug: We're showing a direct debit payment that we haven't recognized as yours. Can you help us figure out what's going on?
GEN | [transfer_fee_charged] | Orig: I got an unexpected charge on my transfers. How can I correct this? -> Aug: I'm surprised to see an additional fee on my transfer transactions. Can you help me resolve this issue?
GEN | [topping_up_by_card] | Orig: Can anyone else top-up for me? -> Aug: Can someone else make a card payment on my behalf?
GEN | [cash_withdrawal_charge] | Orig: How much can I withdrawal in one month without incurring fees? -> Aug: What is the maximum amount I can withdraw in a month without being charged a cash withdrawal fee?
GEN | [pending_cash_withdrawal] | Orig: Hello. I looked at my account and see that a transaction I tried to do is pending, but I did not complete that transaction. When I was at the ATM, the machine declined my card. Can you make sure that transaction does not go through because I definitely did not receive the money. -> Aug: I've checked my account and noticed a pending transaction that I didn't complete. The ATM declined my card when I tried to make the withdrawal, and I'm concerned that the transaction might still be processed. Can you cancel it since I didn't receive the cash?
GEN | [lost_or_stolen_phone] | Orig: How can I stop someone from using my card after I lost it yesterday. -> Aug: How can I prevent someone from using my card after I misplaced it yesterday?
GEN | [pending_cash_withdrawal] | Orig: How do I get my cash withdrawal to show? -> Aug: Why is my cash withdrawal pending and not showing up?
GEN | [card_arrival] | Orig: What's go on, where is my new card? -> Aug: What's taking so long? When can I expect my new card to arrive?
GEN | [failed_transfer] | Orig: I was unable to transfer money from my account. -> Aug: The transfer of funds from my account was unsuccessful.
GEN | [order_physical_card] | Orig: I need to order a new card. -> Aug: I'd like to request a new physical card.
GEN | [why_verify_identity] | Orig: I don't want to use this method to identify myself. -> Aug: I'm hesitant to confirm my identity through this process.
VAL | [top_up_by_card_charge] | ACCEPT | Reason: The augmented text preserves the same banking intent of adding money to a card. It does not introduce any contradictory information or unsupported details. | Original: how should i add money to my card | Augmented: how can I charge my card to add funds?
VAL | [verify_source_of_funds] | ACCEPT | Reason: N/A | Original: Can I track history on funds? | Augmented: Can I review the origin of the funds?
VAL | [declined_card_payment] | ACCEPT | Reason: N/A | Original: May monthly payment to Apple has been declined but I don't know why, they are going to re-try the payment and it must go through, can you tell me what is going on please? | Augmented: My recurring payment to Apple has been declined, and I'm not sure why. They're going to retry the payment, but I need to know what's causing the issue. Can you help me understand what's happening?
VAL | [getting_virtual_card] | ACCEPT | Reason: ... | Original: I need to order a new card, can you please direct me to the virtual cards? | Augmented: I'd like to request a new virtual card, could you guide me on how to obtain one?
VAL | [cancel_transfer] | ACCEPT | Reason: ... | Original: Please can you block the transaction I just sent from my account? It was a payment but I accidently typed in the wrong details and think it might have gone to the wrong place. | Augmented: Can you cancel the transfer I just initiated? I made an error and accidentally entered the wrong recipient information, so I'm worried it might have been sent to the wrong account.
VAL | [getting_spare_card] | ACCEPT | Reason: N/A | Original: daughter needs card, how do i add her | Augmented: I'd like to obtain a spare card for my daughter.
VAL | [transfer_into_account] | ACCEPT | Reason: N/A | Original: What are the steps for  making a transfer for topping up? | Augmented: How do I initiate a transfer to add funds to an account?
VAL | [card_arrival] | ACCEPT | Reason: N/A | Original: Have you sent out my card yet? | Augmented: Has my new card been dispatched already?
VAL | [country_support] | ACCEPT | Reason: N/A | Original: How does a US resident go about acquiring a new card? | Augmented: What steps can a US citizen take to obtain a new credit card?
VAL | [declined_cash_withdrawal] | ACCEPT | Reason: ... | Original: Why can I not take out cash? | Augmented: Why was my cash withdrawal request denied?
VAL | [card_arrival] | ACCEPT | Reason: ... | Original: Where is my credit card that was to be mailed? | Augmented: When can I expect to receive my credit card, which was supposed to be sent to me?
VAL | [card_payment_not_recognised] | ACCEPT | Reason: N/A | Original: Why is this payment on my app | Augmented: We're having trouble identifying this payment on your account.
VAL | [passcode_forgotten] | ACCEPT | Reason: N/A | Original: I used to know my password, but not anymore. | Augmented: I'm having trouble recalling my passcode, as I've forgotten it.
VAL | [balance_not_updated_after_bank_transfer] | ACCEPT | Reason: ... | Original: Can you check if my money has reached my account since it is not showing up yet? | Augmented: Can you investigate why my account balance is not reflecting the recent bank transfer I made, as it's not updating yet?
VAL | [getting_spare_card] | ACCEPT | Reason: ... | Original: how is it possible to add another card to account | Augmented: Can I get a spare card added to my account?
VAL | [transfer_fee_charged] | ACCEPT | Reason: ... | Original: There is a fee from a transfer that is not supposed to be here! | Augmented: A surprise fee has appeared on a transfer that shouldn't have had one.
VAL | [card_payment_not_recognised] | ACCEPT | Reason: N/A | Original: There is a payment in the app that I did not approve | Augmented: A payment has been recorded in the app that I did not authorize.
VAL | [lost_or_stolen_card] | ACCEPT | Reason: N/A | Original: Who can I speak with regarding a lost card? | Augmented: I'd like to report a missing credit card.
VAL | [pending_transfer] | ACCEPT | Reason: ... | Original: Why is the transaction not posting? | Augmented: Why is the transfer still pending?
VAL | [card_about_to_expire] | ACCEPT | Reason: N/A | Original: Can I order a new card with the app? | Augmented: Can I request a replacement card before my current one expires?
VAL | [cancel_transfer] | ACCEPT | Reason: ... | Original: Please cancel my last transaction. | Augmented: Please cancel the most recent transfer I made.
VAL | [transaction_charged_twice] | ACCEPT | Reason: N/A | Original: My account seems a bit off and getting weird charges. | Augmented: My account appears to be experiencing some unusual activity, with duplicate charges showing up.
VAL | [compromised_card] | ACCEPT | Reason: ... | Original: How can I tell if someone else is using my card? | Augmented: How can I determine if my card has been compromised and is being used by someone else?
VAL | [card_arrival] | ACCEPT | Reason: N/A | Original: Can you help me track my card? | Augmented: Can you assist me in locating my card?
VAL | [cash_withdrawal_not_recognised] | ACCEPT | Reason: N/A | Original: I just lost my wallet and I think someone is using my card to withdraw my money. Can you please cancel or freeze my card?!! | Augmented: I'm concerned that my card has been compromised and someone is attempting to make unauthorized cash withdrawals. Can you assist me in suspending my card's activity or canceling it altogether?
VAL | [edit_personal_details] | ACCEPT | Reason: ... | Original: my identity hasn't been verified and i can't edit my details, what's next | Augmented: since my identity has not been confirmed, I'm unable to update my personal information, what are the next steps?
VAL | [cancel_transfer] | ACCEPT | Reason: ... | Original: I have arranged a transfer, but no longer need to send it. How do I stop the transfer? | Augmented: I've initiated a transfer, but I've changed my mind and would like to cancel it. Can you help me stop the transfer from going through?
VAL | [direct_debit_payment_not_recognised] | ACCEPT | Reason: N/A | Original: what is this charge i didnt do it what can i do | Augmented: We're showing a direct debit payment that we haven't recognized as yours. Can you help us figure out what's going on?
VAL | [transfer_fee_charged] | ACCEPT | Reason: N/A | Original: I got an unexpected charge on my transfers. How can I correct this? | Augmented: I'm surprised to see an additional fee on my transfer transactions. Can you help me resolve this issue?
VAL | [topping_up_by_card] | ACCEPT | Reason: N/A | Original: Can anyone else top-up for me? | Augmented: Can someone else make a card payment on my behalf?
VAL | [cash_withdrawal_charge] | ACCEPT | Reason: ... | Original: How much can I withdrawal in one month without incurring fees? | Augmented: What is the maximum amount I can withdraw in a month without being charged a cash withdrawal fee?
VAL | [pending_cash_withdrawal] | ACCEPT | Reason: N/A | Original: Hello. I looked at my account and see that a transaction I tried to do is pending, but I did not complete that transaction. When I was at the ATM, the machine declined my card. Can you make sure that transaction does not go through because I definitely did not receive the money. | Augmented: I've checked my account and noticed a pending transaction that I didn't complete. The ATM declined my card when I tried to make the withdrawal, and I'm concerned that the transaction might still be processed. Can you cancel it since I didn't receive the cash?
