GEN | [cancel_transfer] | Orig: Help please!  My rent payment is coming out tomorrow and I made a payment mistake yesterday! Can you put in in the correct account? -> Aug: My rent payment is scheduled to be withdrawn tomorrow, but I made an error with the payment yesterday. Could you please correct the transfer to the correct account?
GEN | [visa_or_mastercard] | Orig: This transaction needs both a Visa and a Mastercard. -> Aug: This transaction requires both a Visa and a Mastercard.
GEN | [visa_or_mastercard] | Orig: I want a Mastercard, instead. -> Aug: I'd prefer a Visa, if possible.
GEN | [transfer_not_received_by_recipient] | Orig: I am just waiting for the transaction to be completed. -> Aug: I'm still waiting for the transfer to reach the recipient.
GEN | [visa_or_mastercard] | Orig: Mastercard is preferred to me. -> Aug: I have a preference for Mastercard.
GEN | [pending_card_payment] | Orig: How long does it take for a purchase to go from pending to authorised? -> Aug: When can I expect a pending card payment to be processed and move to an authorized status?
GEN | [transfer_not_received_by_recipient] | Orig: I am just waiting on the completion of the transaction. -> Aug: I'm still waiting for the transfer to be successfully delivered to the recipient.
GEN | [beneficiary_not_allowed] | Orig: Hi,  Is there any problem with app? As i am facing some issues with the exchange of crypto currency. I am extremely interested in buying. -> Aug: Hello, I'm having some trouble with the app. I'm trying to exchange cryptocurrency, but it's not working as expected. I'm eager to make a purchase.
GEN | [terminate_account] | Orig: if im not using my account should i close it or just let it sit -> Aug: If I'm not actively using my account, should I cancel it or simply leave it inactive?
GEN | [top_up_reverted] | Orig: I need some help, I thought you guys accepted crypto top ups?? It won't seem to let me do it. I put money in my account and now it's gone and I didn't spend it. Where did it go?? -> Aug: I'm having an issue with a recent transaction, I'm certain your bank allows cryptocurrency deposits, but I'm unable to complete the process. After adding funds to my account, the amount seems to have vanished, and I'm unsure what happened to it.
GEN | [visa_or_mastercard] | Orig: I need a Visa and a Mastercard from you. -> Aug: I require both a Visa and a Mastercard from your institution.
GEN | [pending_transfer] | Orig: What is the average pending time for a transaction? -> Aug: How long does it typically take for a transfer to be processed?
GEN | [edit_personal_details] | Orig: should i contact customer support if i can't edit details -> Aug: can i reach out to customer support if i'm having trouble updating my personal information?
GEN | [transfer_not_received_by_recipient] | Orig: I'm waiting for my transaction to complete. -> Aug: I'm expecting my transfer to be received by the recipient.
GEN | [transfer_not_received_by_recipient] | Orig: How long will my transaction take? -> Aug: When can I expect my transfer to reach the recipient?
GEN | [direct_debit_payment_not_recognised] | Orig: what is the matter? -> Aug: We're having trouble identifying your direct debit payment.
GEN | [cancel_transfer] | Orig: I don't need to transfer anymore and I want to cancel it. -> Aug: I'd like to stop the transfer process and cancel the transaction.
GEN | [cancel_transfer] | Orig: I just realised I made the wrong payment yesterday. Can you please change it to the right account? It's my rent payment and really really needs to be in the right account by tomorrow -> Aug: I've just noticed an error with the transfer I initiated yesterday. Could you assist me in correcting it to the correct account? It's a rent payment and it's crucial that it's processed in the correct account by tomorrow.
GEN | [visa_or_mastercard] | Orig: I'm happy with Mastercard and want to stick with just that credit card. -> Aug: I'm content with Mastercard and would prefer to continue using only that Visa or Mastercard.
GEN | [cancel_transfer] | Orig: How fast can you fix an error in payment?  I made a payment in the wrong account yesterday and it needs to be adjusted by tomorrow for my rent. -> Aug: Can you expedite the correction of a mistaken payment made to the wrong account yesterday, as it's crucial to rectify it by tomorrow for my rent payment?
GEN | [wrong_amount_of_cash_received] | Orig: i asked for 100 only got 80 -> Aug: i requested $100, but I was given $80 instead
