GEN | [card_acceptance] | Orig: WHAT IS THE ATMOSPHERE OF IT -> Aug: What is the acceptance of the card?
GEN | [country_support] | Orig: Is there anywhere  In the  Eu  this card can not be delivered in -> Aug: Can this card be delivered to any location within the European Union, or are there specific areas where it cannot be delivered?
GEN | [country_support] | Orig: I'm in the EU. Can I get one of your cards? -> Aug: I'm a resident of the European Union. Can I obtain one of your credit cards?
GEN | [country_support] | Orig: I live in Germany. Is that one of the countries you are in? What other countries are you in? -> Aug: I reside in Germany. Are you a financial institution that operates in multiple countries, including Germany? Can you provide a list of all the countries you support?
GEN | [why_verify_identity] | Orig: Why do I have to give you my drivers license -> Aug: We're verifying your identity to ensure the security and integrity of your account.
GEN | [country_support] | Orig: i live in portugal. do you operate here? -> Aug: I am a resident of Portugal. Do you have a presence in this country?
GEN | [country_support] | Orig: May I get one of your cards?  I live in the EU. -> Aug: Might I request a card, as I am a resident of the European Union?
GEN | [card_about_to_expire] | Orig: Where can I have a new bank card sent to China? -> Aug: Can I request a replacement bank card to be delivered to China?
GEN | [supported_cards_and_currencies] | Orig: My card wants to be topped what do you guys support? -> Aug: What payment methods do you accept for card reloads?
GEN | [compromised_card] | Orig: Should I order a new card before I freeze my original one? -> Aug: Should I request a replacement card before securing my compromised card?
GEN | [extra_charge_on_statement] | Orig: Is the 1 pound charge going to be reimbursed on my card? -> Aug: Will the extra charge that appears on my statement be credited back to my card?
GEN | [supported_cards_and_currencies] | Orig: What are the currencies and cards that are supported with my account? -> Aug: What types of payment methods and currencies are accepted with my account?
GEN | [card_delivery_estimate] | Orig: i need to expedite my card -> Aug: I'd like to request an expedited delivery for my card.
GEN | [country_support] | Orig: Can I get support? -> Aug: Do you need assistance?
GEN | [card_linking] | Orig: Will I need a new card or can I put my old card back into the app? -> Aug: Can I reactivate my existing card or do I need to request a new one for use with the app?
GEN | [lost_or_stolen_card] | Orig: I misplaced my card and I dont know where the last place is where I used the card last. Can you look at my account and tell me the last place I used the card? -> Aug: I'm not sure where I last used my card, but I think I might have misplaced it. Can you check my account activity to see the last transaction made with my card?
GEN | [why_verify_identity] | Orig: I'm waiting for the ID verification to go through still, so is it too soon to use my account? -> Aug: I'm still waiting for the ID verification process to complete, so can I use my account already?
GEN | [atm_support] | Orig: How can I tell if an AMT will take this card? -> Aug: What's the best way to determine if an ATM will accept my card?
GEN | [pending_top_up] | Orig: Even though I added money ey to the card, I couldn't use it -> Aug: Despite depositing funds onto the card, I'm still unable to make a transaction.
GEN | [card_delivery_estimate] | Orig: i need to add express delivery if that's an option -> Aug: I'd like to inquire about the possibility of expedited shipping for my card delivery.
GEN | [top_up_failed] | Orig: I'm not sure if my pop-up went through. -> Aug: I'm unsure if my top-up was successfully processed.
GEN | [lost_or_stolen_phone] | Orig: I don't have my cell phone with me so I cannot access the system to complete the transaction. -> Aug: I'm currently without my mobile device, which is preventing me from accessing the system to finalize the transaction.
GEN | [contactless_not_working] | Orig: How do I troubleshoot when contactless doesn't work? -> Aug: What steps can I take when my contactless payment method is not functioning properly?
GEN | [fiat_currency_support] | Orig: What currencies can I not hold many in, if so what are they? -> Aug: Which fiat currencies are restricted for holding a large amount, and what are the limitations?
GEN | [card_not_working] | Orig: HOW LONG TO TAKE THE TIME TO SOLVE -> Aug: How long will it take to resolve the issue with my card not working?
GEN | [getting_spare_card] | Orig: I have left my card at my parents house. Can you send me a spare one please to use in the meantime? -> Aug: I've misplaced my card at my parents' residence. Could you kindly provide me with a replacement card until I can retrieve the original one?
GEN | [card_not_working] | Orig: Is my card frozen? -> Aug: Is my credit card not functioning properly?
GEN | [getting_spare_card] | Orig: What is the procedure for me to get more cards on my account? -> Aug: How do I obtain additional cards for my account?
GEN | [supported_cards_and_currencies] | Orig: What are my payment options? -> Aug: What methods of payment do you accept?
GEN | [supported_cards_and_currencies] | Orig: Do you have a list of the cards and currencies supported? -> Aug: We'd be happy to provide you with a list of the payment cards and currencies we currently support.
GEN | [card_acceptance] | Orig: Is there anywhere I can't use my card? -> Aug: Are there any specific places or situations where my card won't be accepted?
GEN | [pending_top_up] | Orig: how long does it take to reflect in my balance a top up -> Aug: when can I expect the top-up amount to be credited to my account balance?
GEN | [fiat_currency_support] | Orig: Do you have EUR currency available for me? -> Aug: Can I get some information on the availability of the Euro currency for my transaction?
GEN | [pending_top_up] | Orig: new customer and filling gas for the first time today, not working, -> Aug: New customer attempting to top up their account for the first time today, but the transaction is not processing.
GEN | [top_up_by_card_charge] | Orig: I topped off my card is that something you will charge me for? -> Aug: I'm wondering if there's a fee associated with adding funds to my card?
GEN | [card_acceptance] | Orig: Where do I pay with my debit or credit card? -> Aug: How can I use my debit or credit card for payment?
GEN | [card_linking] | Orig: May I reactivate my card? I previously reported it lost, but have now found it safe and sound. -> Aug: Can I reissue my card? I previously reported it lost, but I've since located it and would like to reactivate it.
GEN | [getting_spare_card] | Orig: Is a new debit card free? -> Aug: Can I get a new debit card without any additional charges?
GEN | [extra_charge_on_statement] | Orig: There is some odd 1£ charge that appears as pending on my statement. What's that about? Pretty sure I haven't purchased anything for a pound there. -> Aug: I've noticed a mysterious £1 charge showing up as pending on my statement. Can you help me figure out what it's for? I'm certain I didn't make any purchases for that amount.
