GEN | [card_arrival] | Orig: Have you sent out my card yet? -> Aug: Has my new card been dispatched already?
GEN | [reverted_card_payment?] | Orig: I received a message from a seller stating they hadn't received my money even though it definitely came out of my account. The money has now been deposited back into my account. Please get this resolved as soon as possible. -> Aug: I was informed by a merchant that they didn't receive the payment, despite the fact that it was deducted from my account. The funds have since been reversed and credited back to my account. Can you look into this matter urgently?
GEN | [cash_withdrawal_not_recognised] | Orig: I did not get the cash that is showing up in my app. -> Aug: The cash withdrawal I'm seeing on my app isn't reflecting in my actual account balance.
GEN | [wrong_amount_of_cash_received] | Orig: How can I get my money that I didn't get from the ATM? -> Aug: I'm trying to retrieve the cash I didn't receive from the ATM transaction.
GEN | [card_payment_fee_charged] | Orig: Why am I being charged fees on some transactions but not on others? What am I missing here? I cannot find where to see the fee structure on my account. Help! -> Aug: I'm confused about why I'm being charged fees on certain transactions but not others. Can you please clarify the fee structure for my account? I've looked everywhere but can't find it.
GEN | [transfer_not_received_by_recipient] | Orig: How long do transfers typically take? Is there a way of speeding the process up? My friend needs the money I sent her desperately. -> Aug: Why haven't my friend received the transfer I sent her? Is there a way to expedite the transfer process, as she's in urgent need of the funds?
GEN | [receiving_money] | Orig: Can I use a transfer to receive my transfer? -> Aug: Can I use a transfer to receive the funds I'm expecting?
GEN | [top_up_by_cash_or_cheque] | Orig: how do i find top up for cash deposit -> Aug: how can I proceed with a cash deposit or cheque top-up?
GEN | [exchange_charge] | Orig: Is there any cost to change foreign money to local? -> Aug: Are there any fees associated with exchanging foreign currency for local currency?
GEN | [pending_top_up] | Orig: Is there a problem with the top up system? My transaction hasn't gone through properly -> Aug: Why hasn't my top-up request been processed successfully?
GEN | [failed_transfer] | Orig: Can you tell my why my funds transfer did not work properly? -> Aug: Why did my recent transfer fail to process as expected?
GEN | [transfer_into_account] | Orig: I have money in a foreign account that I want to send to this account. -> Aug: I'd like to transfer funds from a foreign account to this account.
GEN | [wrong_amount_of_cash_received] | Orig: my cash balance less than what I thought -> Aug: my account shows a lower balance than I expected
GEN | [top_up_by_bank_transfer_charge] | Orig: Will I receive all the money sent to my account by SEPA transfer? -> Aug: Will I get the full amount credited to my account when I top up by bank transfer charge?
GEN | [direct_debit_payment_not_recognised] | Orig: I haven't used my card all day but there is a payment showing in the app. Please cancel it! -> Aug: I'm showing a payment in the app, but I haven't made any transactions today. Can you help me stop it?
GEN | [top_up_by_bank_transfer_charge] | Orig: Do I get charged if I am receiving money? -> Aug: Will I be charged a fee when I receive funds through bank transfer?
GEN | [topping_up_by_card] | Orig: I can't see my top up in my wallet! -> Aug: I'm unable to locate the recent card top-up in my digital wallet.
GEN | [top_up_by_cash_or_cheque] | Orig: How long before a check I send clears? -> Aug: How long does it take for a cheque to clear before I can use it to top up my account?
GEN | [terminate_account] | Orig: I would like to invalidate my account.  I am very disappointed with your services. -> Aug: I'd like to cancel my account due to dissatisfaction with your services.
GEN | [top_up_by_cash_or_cheque] | Orig: Where do I look for cash top up? -> Aug: You can find information on how to top up your account by cash or cheque.
GEN | [top_up_by_cash_or_cheque] | Orig: If I need to top up with cash where should I look? -> Aug: You can top up your account by cash or cheque at any of our bank branches or authorized outlets.
GEN | [top_up_by_bank_transfer_charge] | Orig: Am I able to do a SWIFT transfer with you? -> Aug: Can I initiate a bank transfer to top up my account with you?
GEN | [top_up_by_card_charge] | Orig: should i add money via bank transfer instead -> Aug: can I recharge my account using a card charge instead?
GEN | [top_up_reverted] | Orig: Reasons for top up cancellation. -> Aug: Reasons for reversal of top-up transaction.
GEN | [transfer_timing] | Orig: When will the money reach my  account? -> Aug: When can I expect the funds to be deposited into my account?
GEN | [pending_cash_withdrawal] | Orig: I have the cash already, my account still shows up as pending.  How can my account be still pending? -> Aug: I've already deposited the cash, yet my account remains pending. Why is my account still showing a pending status?
GEN | [wrong_amount_of_cash_received] | Orig: my atm transaction was wrong -> Aug: the amount I received from my ATM transaction was incorrect
GEN | [top_up_reverted] | Orig: Do you support top ups? -> Aug: Can you facilitate additional deposits?
GEN | [failed_transfer] | Orig: How is this transfer supposed to work? It's not working for me. -> Aug: What's going on with this transfer? It's not processing as expected.
GEN | [direct_debit_payment_not_recognised] | Orig: This debit is not my transcation. How do I get my money out back? -> Aug: This direct debit payment is not recognized as my transaction. How can I retrieve my funds?
GEN | [cash_withdrawal_not_recognised] | Orig: I think someone may have cloned my card or something.  My card isn't lost but I just saw a charge of $500 cash withdraw.  Can you help me? -> Aug: I'm concerned that my card may have been compromised. Although I haven't misplaced it, I've noticed an unusual cash withdrawal of $500. Can you assist me in resolving this issue?
GEN | [failed_transfer] | Orig: please help my transfer go through -> Aug: can you assist me in completing my transfer?
GEN | [pending_top_up] | Orig: How long after a failed topup will funds refurn to account -> Aug: When will the funds be returned to my account after a failed top-up attempt?
GEN | [top_up_reverted] | Orig: I put some money in my account the other day but now its gone? Why is this? -> Aug: I recently made a deposit, but it seems to have been reversed. Can you help me understand why this happened?
GEN | [reverted_card_payment?] | Orig: I had a seller reach out to me saying my money didn't come through to them, but I'm sure it was removed from my account. Can you figure out what the deal is here? -> Aug: I'm trying to understand why the payment I made wasn't credited to the seller, as they're saying it didn't go through. Can you help me resolve this issue?
GEN | [card_delivery_estimate] | Orig: I need my card right away. -> Aug: I require my card as soon as possible.
GEN | [automatic_top_up] | Orig: How do I access the option to top up? -> Aug: How can I initiate an automatic top-up process?
GEN | [verify_my_identity] | Orig: Can I get information on the identity checks? -> Aug: May I request information about the verification process for your identity?
GEN | [transfer_fee_charged] | Orig: I made a transfer and the receiver did not get the right amount its lesser than what it should be,Now I have to transfer more money to make up for the missing amount . Can you please help me about this, what should be done -> Aug: I initiated a transfer, but the recipient only received a reduced amount, which means I need to make an additional transfer to cover the shortfall. Can you assist me with this issue?
VAL | [card_arrival] | ACCEPT | Reason: N/A | Original: Have you sent out my card yet? | Augmented: Has my new card been dispatched already?
VAL | [reverted_card_payment?] | ACCEPT | Reason: The augmented text preserves the key elements of the original text: the payment being deducted from the account, the lack of receipt by the merchant, and the subsequent reversal of the transaction. The urgency and the request for action are also maintained. | Original: I received a message from a seller stating they hadn't received my money even though it definitely came out of my account. The money has now been deposited back into my account. Please get this resolved as soon as possible. | Augmented: I was informed by a merchant that they didn't receive the payment, despite the fact that it was deducted from my account. The funds have since been reversed and credited back to my account. Can you look into this matter urgently?
VAL | [cash_withdrawal_not_recognised] | ACCEPT | Reason: N/A | Original: I did not get the cash that is showing up in my app. | Augmented: The cash withdrawal I'm seeing on my app isn't reflecting in my actual account balance.
VAL | [wrong_amount_of_cash_received] | ACCEPT | Reason: N/A | Original: How can I get my money that I didn't get from the ATM? | Augmented: I'm trying to retrieve the cash I didn't receive from the ATM transaction.
VAL | [card_payment_fee_charged] | REVIEW | Reason: The augmented text is closely related to the original intent but lacks explicit mention of a fee being charged, which could make it ambiguous. | Original: Why am I being charged fees on some transactions but not on others? What am I missing here? I cannot find where to see the fee structure on my account. Help! | Augmented: I'm confused about why I'm being charged fees on certain transactions but not others. Can you please clarify the fee structure for my account? I've looked everywhere but can't find it.
VAL | [transfer_not_received_by_recipient] | ACCEPT | Reason: N/A | Original: How long do transfers typically take? Is there a way of speeding the process up? My friend needs the money I sent her desperately. | Augmented: Why haven't my friend received the transfer I sent her? Is there a way to expedite the transfer process, as she's in urgent need of the funds?
VAL | [receiving_money] | ACCEPT | Reason: N/A | Original: Can I use a transfer to receive my transfer? | Augmented: Can I use a transfer to receive the funds I'm expecting?
VAL | [top_up_by_cash_or_cheque] | ACCEPT | Reason: N/A | Original: how do i find top up for cash deposit | Augmented: how can I proceed with a cash deposit or cheque top-up?
VAL | [exchange_charge] | ACCEPT | Reason: Both texts are asking about the cost of converting one currency to another, which is a clear example of an exchange charge. | Original: Is there any cost to change foreign money to local? | Augmented: Are there any fees associated with exchanging foreign currency for local currency?
VAL | [pending_top_up] | ACCEPT | Reason: ... | Original: Is there a problem with the top up system? My transaction hasn't gone through properly | Augmented: Why hasn't my top-up request been processed successfully?
VAL | [failed_transfer] | ACCEPT | Reason: ... | Original: Can you tell my why my funds transfer did not work properly? | Augmented: Why did my recent transfer fail to process as expected?
VAL | [transfer_into_account] | ACCEPT | Reason: Both texts convey the same intent of transferring money from a foreign account to another account. | Original: I have money in a foreign account that I want to send to this account. | Augmented: I'd like to transfer funds from a foreign account to this account.
VAL | [wrong_amount_of_cash_received] | ACCEPT | Reason: N/A | Original: my cash balance less than what I thought | Augmented: my account shows a lower balance than I expected
VAL | [top_up_by_bank_transfer_charge] | UNKNOWN | Reason: N/A | Original: Will I receive all the money sent to my account by SEPA transfer? | Augmented: Will I get the full amount credited to my account when I top up by bank transfer charge?
VAL | [direct_debit_payment_not_recognised] | ACCEPT | Reason: The augmented text preserves the same banking intent as the original text, indicating an unrecognized direct debit payment and seeking assistance to stop it. | Original: I haven't used my card all day but there is a payment showing in the app. Please cancel it! | Augmented: I'm showing a payment in the app, but I haven't made any transactions today. Can you help me stop it?
VAL | [top_up_by_bank_transfer_charge] | ACCEPT | Reason: N/A | Original: Do I get charged if I am receiving money? | Augmented: Will I be charged a fee when I receive funds through bank transfer?
VAL | [topping_up_by_card] | ACCEPT | Reason: N/A | Original: I can't see my top up in my wallet! | Augmented: I'm unable to locate the recent card top-up in my digital wallet.
VAL | [top_up_by_cash_or_cheque] | ACCEPT | Reason: ... | Original: How long before a check I send clears? | Augmented: How long does it take for a cheque to clear before I can use it to top up my account?
VAL | [terminate_account] | ACCEPT | Reason: N/A | Original: I would like to invalidate my account.  I am very disappointed with your services. | Augmented: I'd like to cancel my account due to dissatisfaction with your services.
VAL | [top_up_by_cash_or_cheque] | UNKNOWN | Reason: N/A | Original: Where do I look for cash top up? | Augmented: You can find information on how to top up your account by cash or cheque.
VAL | [top_up_by_cash_or_cheque] | UNKNOWN | Reason: N/A | Original: If I need to top up with cash where should I look? | Augmented: You can top up your account by cash or cheque at any of our bank branches or authorized outlets.
VAL | [top_up_by_bank_transfer_charge] | ACCEPT | Reason: N/A | Original: Am I able to do a SWIFT transfer with you? | Augmented: Can I initiate a bank transfer to top up my account with you?
VAL | [top_up_by_card_charge] | ACCEPT | Reason: N/A | Original: should i add money via bank transfer instead | Augmented: can I recharge my account using a card charge instead?
VAL | [top_up_reverted] | ACCEPT | Reason: N/A | Original: Reasons for top up cancellation. | Augmented: Reasons for reversal of top-up transaction.
VAL | [transfer_timing] | ACCEPT | Reason: ... | Original: When will the money reach my  account? | Augmented: When can I expect the funds to be deposited into my account?
VAL | [pending_cash_withdrawal] | ACCEPT | Reason: N/A | Original: I have the cash already, my account still shows up as pending.  How can my account be still pending? | Augmented: I've already deposited the cash, yet my account remains pending. Why is my account still showing a pending status?
VAL | [wrong_amount_of_cash_received] | ACCEPT | Reason: N/A | Original: my atm transaction was wrong | Augmented: the amount I received from my ATM transaction was incorrect
VAL | [top_up_reverted] | UNKNOWN | Reason: N/A | Original: Do you support top ups? | Augmented: Can you facilitate additional deposits?
VAL | [failed_transfer] | ACCEPT | Reason: ... | Original: How is this transfer supposed to work? It's not working for me. | Augmented: What's going on with this transfer? It's not processing as expected.
VAL | [direct_debit_payment_not_recognised] | ACCEPT | Reason: N/A | Original: This debit is not my transcation. How do I get my money out back? | Augmented: This direct debit payment is not recognized as my transaction. How can I retrieve my funds?
VAL | [cash_withdrawal_not_recognised] | ACCEPT | Reason: N/A | Original: I think someone may have cloned my card or something.  My card isn't lost but I just saw a charge of $500 cash withdraw.  Can you help me? | Augmented: I'm concerned that my card may have been compromised. Although I haven't misplaced it, I've noticed an unusual cash withdrawal of $500. Can you assist me in resolving this issue?
VAL | [failed_transfer] | ACCEPT | Reason: N/A | Original: please help my transfer go through | Augmented: can you assist me in completing my transfer?
