GEN | [card_not_working] | Orig: WHAT IS THE REASON FOR THAT -> Aug: WHY IS MY CARD NOT FUNCTIONING?
GEN | [contactless_not_working] | Orig: The contactless payments are not working. -> Aug: The contactless payment method is currently unavailable.
GEN | [exchange_via_app] | Orig: I'm having difficulties changing AUD for GBP. How do I do this? -> Aug: I'm having trouble exchanging Australian dollars for British pounds. Can you guide me through the process?
GEN | [contactless_not_working] | Orig: Help me to set up contactless payments. -> Aug: Can you assist me in enabling contactless transactions?
GEN | [extra_charge_on_statement] | Orig: Why is there a pending hold on one pound on my statement? -> Aug: What's the reason for the extra charge showing up on my statement?
GEN | [extra_charge_on_statement] | Orig: How long will the $1 charge show as pending? -> Aug: How long will the extra charge appear as pending on my statement?
GEN | [extra_charge_on_statement] | Orig: Is the 1 pound charge I can see an error or an incorrect entry? -> Aug: Is the £1 charge on my statement an error or an incorrect entry?
GEN | [direct_debit_payment_not_recognised] | Orig: what is the matter? -> Aug: We're having trouble identifying your direct debit payment.
GEN | [extra_charge_on_statement] | Orig: What is the dollar that I have pending on my statement there? -> Aug: What is the additional charge that I see on my statement?
GEN | [failed_transfer] | Orig: I'm getting an error when trying to make a payment. I want to purchase a flat but my mortgage payment needs to go through. Can you help me? -> Aug: I'm experiencing an issue with a transaction and I need assistance with completing a payment for a property purchase, as my mortgage payment is pending and I'm unable to proceed.
GEN | [balance_not_updated_after_bank_transfer] | Orig: Why hasn't my account updated to reflect my current balance? -> Aug: Why hasn't my account balance been updated to reflect the recent transfer I made?
GEN | [receiving_money] | Orig: I need my payment in another currency -> Aug: I require my funds in a different currency
GEN | [verify_source_of_funds] | Orig: Is there a way for me to check my balance? -> Aug: Can you confirm the origin of the funds in my account before I check my balance?
GEN | [extra_charge_on_statement] | Orig: There is some odd 1£ charge that appears as pending on my statement. What's that about? Pretty sure I haven't purchased anything for a pound there. -> Aug: I've noticed a mysterious £1 charge showing up as pending on my statement. Can you help me figure out what it's for? I'm certain I didn't make any purchases for that amount.
GEN | [balance_not_updated_after_cheque_or_cash_deposit] | Orig: When will my balance reflect a deposit? -> Aug: Why hasn't my account balance been updated after a recent deposit?
GEN | [exchange_via_app] | Orig: I accidentally chose to exchange GBP, but I need to pick AUD. How can I change it? -> Aug: I mistakenly selected GBP for the exchange, but I'd like to switch to AUD instead. Can I modify the exchange rate?
GEN | [automatic_top_up] | Orig: When the time is right will this automatically replenish my balance? -> Aug: Will this automatically top up my account when the time is suitable?
GEN | [card_payment_fee_charged] | Orig: Hi, I am new to this. Are there any additional fees or charges that I should be aware of? I was looking through the app and I thought I saw something in regards to fee-free allowances. -> Aug: I'm a new customer and I was wondering if there are any extra charges or fees I should know about. I noticed something about fee-free transactions in the app, but I'm not entirely sure what it means.
GEN | [card_about_to_expire] | Orig: Where can I have a new bank card sent to China? -> Aug: Can I request a replacement bank card to be delivered to China?
GEN | [pending_transfer] | Orig: I have an outgoing transaction -> Aug: I have a pending transfer
GEN | [balance_not_updated_after_bank_transfer] | Orig: Balance is not up to date. -> Aug: Your account balance has not been updated after the recent bank transfer.
GEN | [card_not_working] | Orig: WHAT IS THE MAIN REASON OF THIS PROBLEM -> Aug: WHY IS MY CARD NOT FUNCTIONING PROPERLY?
GEN | [pending_card_payment] | Orig: How long does it actually take for a card payment to go through? There's one stuck since a couple days already that doesn't seem to move -> Aug: How long does it typically take for a pending card payment to clear? I have one that's been pending for a few days now and it's not showing any progress.
GEN | [pending_transfer] | Orig: I have an outgoing transfer -> Aug: I have a pending outgoing transaction
GEN | [declined_transfer] | Orig: How can I check for an unsupported merchant for my transfer request? -> Aug: What steps can I take to verify if the merchant is not supported for my transfer attempt?
GEN | [fiat_currency_support] | Orig: Is my fiat currency supported for both hold and exchange? -> Aug: Can I use my fiat currency for both holding and exchanging purposes?
GEN | [balance_not_updated_after_cheque_or_cash_deposit] | Orig: I need my account checked because it appears there is a problem. I attempted to update my balance yesterday using cheque but it doesn't seem to have worked.  Should this not be faster than this? -> Aug: I'm concerned about an issue with my account. I deposited a cheque yesterday, but my balance hasn't been updated yet. Can you look into this and let me know why it's taking so long?
GEN | [balance_not_updated_after_cheque_or_cash_deposit] | Orig: Where is my cash deposit in my balance? -> Aug: Why hasn't my account balance been updated to reflect the cash deposit I made?
GEN | [card_payment_fee_charged] | Orig: Is there a  way to  get around fees -> Aug: Can you help me avoid the payment fee that was charged on my card?
GEN | [card_delivery_estimate] | Orig: i need to expedite my card -> Aug: I'd like to request an expedited delivery for my card.
GEN | [contactless_not_working] | Orig: I'm confused ass to why my contactless is not working. -> Aug: I'm puzzled as to why my contactless payment method isn't functioning properly.
GEN | [cancel_transfer] | Orig: I need to change a transfer. -> Aug: I'd like to modify a transfer.
GEN | [balance_not_updated_after_bank_transfer] | Orig: I did a transfer but the balance is the same. -> Aug: I made a transfer, but my account balance hasn't been updated.
VAL | [card_not_working] | ACCEPT | Reason: N/A | Original: WHAT IS THE REASON FOR THAT | Augmented: WHY IS MY CARD NOT FUNCTIONING?
VAL | [contactless_not_working] | ACCEPT | Reason: N/A | Original: The contactless payments are not working. | Augmented: The contactless payment method is currently unavailable.
VAL | [exchange_via_app] | ACCEPT | Reason: ... | Original: I'm having difficulties changing AUD for GBP. How do I do this? | Augmented: I'm having trouble exchanging Australian dollars for British pounds. Can you guide me through the process?
VAL | [contactless_not_working] | ACCEPT | Reason: N/A | Original: Help me to set up contactless payments. | Augmented: Can you assist me in enabling contactless transactions?
VAL | [extra_charge_on_statement] | ACCEPT | Reason: N/A | Original: Why is there a pending hold on one pound on my statement? | Augmented: What's the reason for the extra charge showing up on my statement?
VAL | [extra_charge_on_statement] | ACCEPT | Reason: N/A | Original: How long will the $1 charge show as pending? | Augmented: How long will the extra charge appear as pending on my statement?
VAL | [extra_charge_on_statement] | ACCEPT | Reason: ... | Original: Is the 1 pound charge I can see an error or an incorrect entry? | Augmented: Is the £1 charge on my statement an error or an incorrect entry?
VAL | [direct_debit_payment_not_recognised] | ACCEPT | Reason: N/A | Original: what is the matter? | Augmented: We're having trouble identifying your direct debit payment.
VAL | [extra_charge_on_statement] | ACCEPT | Reason: N/A | Original: What is the dollar that I have pending on my statement there? | Augmented: What is the additional charge that I see on my statement?
VAL | [failed_transfer] | ACCEPT | Reason: N/A | Original: I'm getting an error when trying to make a payment. I want to purchase a flat but my mortgage payment needs to go through. Can you help me? | Augmented: I'm experiencing an issue with a transaction and I need assistance with completing a payment for a property purchase, as my mortgage payment is pending and I'm unable to proceed.
VAL | [balance_not_updated_after_bank_transfer] | ACCEPT | Reason: The augmented text maintains the same intent of the original text by focusing on the account balance not being updated after a transfer. It is specific and clear about the context of the transfer. | Original: Why hasn't my account updated to reflect my current balance? | Augmented: Why hasn't my account balance been updated to reflect the recent transfer I made?
VAL | [receiving_money] | ACCEPT | Reason: N/A | Original: I need my payment in another currency | Augmented: I require my funds in a different currency
VAL | [verify_source_of_funds] | ACCEPT | Reason: N/A | Original: Is there a way for me to check my balance? | Augmented: Can you confirm the origin of the funds in my account before I check my balance?
VAL | [extra_charge_on_statement] | ACCEPT | Reason: ... | Original: There is some odd 1£ charge that appears as pending on my statement. What's that about? Pretty sure I haven't purchased anything for a pound there. | Augmented: I've noticed a mysterious £1 charge showing up as pending on my statement. Can you help me figure out what it's for? I'm certain I didn't make any purchases for that amount.
VAL | [balance_not_updated_after_cheque_or_cash_deposit] | ACCEPT | Reason: N/A | Original: When will my balance reflect a deposit? | Augmented: Why hasn't my account balance been updated after a recent deposit?
VAL | [exchange_via_app] | ACCEPT | Reason: N/A | Original: I accidentally chose to exchange GBP, but I need to pick AUD. How can I change it? | Augmented: I mistakenly selected GBP for the exchange, but I'd like to switch to AUD instead. Can I modify the exchange rate?
VAL | [automatic_top_up] | ACCEPT | Reason: N/A | Original: When the time is right will this automatically replenish my balance? | Augmented: Will this automatically top up my account when the time is suitable?
VAL | [card_payment_fee_charged] | ACCEPT | Reason: N/A | Original: Hi, I am new to this. Are there any additional fees or charges that I should be aware of? I was looking through the app and I thought I saw something in regards to fee-free allowances. | Augmented: I'm a new customer and I was wondering if there are any extra charges or fees I should know about. I noticed something about fee-free transactions in the app, but I'm not entirely sure what it means.
VAL | [card_about_to_expire] | ACCEPT | Reason: N/A | Original: Where can I have a new bank card sent to China? | Augmented: Can I request a replacement bank card to be delivered to China?
VAL | [pending_transfer] | ACCEPT | Reason: N/A | Original: I have an outgoing transaction | Augmented: I have a pending transfer
VAL | [balance_not_updated_after_bank_transfer] | ACCEPT | Reason: N/A | Original: Balance is not up to date. | Augmented: Your account balance has not been updated after the recent bank transfer.
VAL | [card_not_working] | ACCEPT | Reason: N/A | Original: WHAT IS THE MAIN REASON OF THIS PROBLEM | Augmented: WHY IS MY CARD NOT FUNCTIONING PROPERLY?
VAL | [pending_card_payment] | ACCEPT | Reason: The augmented text preserves the same banking intent by focusing on the duration of a pending card payment and the issue of a payment not moving forward, which is consistent with the original text. | Original: How long does it actually take for a card payment to go through? There's one stuck since a couple days already that doesn't seem to move | Augmented: How long does it typically take for a pending card payment to clear? I have one that's been pending for a few days now and it's not showing any progress.
VAL | [pending_transfer] | ACCEPT | Reason: ... | Original: I have an outgoing transfer | Augmented: I have a pending outgoing transaction
VAL | [declined_transfer] | ACCEPT | Reason: N/A | Original: How can I check for an unsupported merchant for my transfer request? | Augmented: What steps can I take to verify if the merchant is not supported for my transfer attempt?
VAL | [fiat_currency_support] | ACCEPT | Reason: Both texts are asking about the support for fiat currency in terms of holding and exchanging, which aligns with the target intent of fiat_currency_support. | Original: Is my fiat currency supported for both hold and exchange? | Augmented: Can I use my fiat currency for both holding and exchanging purposes?
